底表行,序号,医院,姓名,来源链接,列名,修改前,修改后
673,672,中山大学肿瘤防治中心,丘惠娟,https://www.sysucc.org.cn/node/3768,亮眼经历线索,"副主任医师 临床专家 面包屑 首页 / 临床科室 / 内科系列 / 中医科 / 临床专家 丘惠娟 职称：副主任医师 专长 用中药配合手术、放疗、化疗治疗各种肿瘤,以减轻毒副反应、提高患者生存质量 一、基本情况 职称：副主任医师 专家门诊时间： 周四下午 专业特长：从事肿瘤中西医结合治疗的临床工作已近20年。 二、学习及工作经历： 1986年-1991年： 广州中医药大学医疗系就读 1991年-1996年： 广东省清远市中医院内科工作 1996-至今： 中山大学附属肿瘤医院从事肿瘤的中西医结合临床研究工作 1999年： 北京进修中西医结合肿瘤临床 2004年： 参加国家药品食品监督管理局“国家药品临床研究基地负责人提高班”学习 加载更多 一、基本情况 职称：副主任医师 专家门诊时间： 周四下午 专业特长：从事肿瘤中西医结合治疗的临床工作已近20年。 二、学习及工作经历 ： 1986年-1991年： 广州中医药大学医疗系就读 ...","副主任医师 丘惠娟 职称：副主任医师 专长 用中药配合手术、放疗、化疗治疗各种肿瘤,以减轻毒副反应、提高患者生存质量 一、基本情况 职称：副主任医师 专家门诊时间： 周四下午 专业特长：从事肿瘤中西医结合治疗的临床工作已近20年。 二、学习及工作经历： 1986年-1991年： 广州中医药大学医疗系就读 1991年-1996年： 广东省清远市中医院内科工作 1996-至今： 中山大学附属肿瘤医院从事肿瘤的中西医结合临床研究工作 1999年： 北京进修中西医结合肿瘤临床 2004年： 参加国家药品食品监督管理局“国家药品临床研究基地负责人提高班”学习 一、基本情况 职称：副主任医师 专家门诊时间： 周四下午 专业特长：从事肿瘤中西医结合治疗的临床工作已近20年。"
673,672,中山大学肿瘤防治中心,丘惠娟,https://www.sysucc.org.cn/node/3768,异常提示,,亮眼经历含导航文本，已清洗
677,676,中山大学肿瘤防治中心,欧阳华强,https://www.sysucc.org.cn/node/6681,亮眼经历线索,医学博士、副主任医师 临床专家 面包屑 首页 / 临床科室 / 内科系列 / 中医科 / 临床专家 欧阳华强 职称：医学博士、副主任医师 专长 恶性肿瘤的中医及中西医结合防治 出诊时间： 周二上午（黄埔院区） 医疗特色： 师从上海市名中医、复旦大学附属肿瘤医院刘鲁明教授，从事中西医结合防治肿瘤的临床与基础研究。 从业近20年，主持完成国家自然科学基金、中国临床肿瘤学科学基金各1项，参与科研课题10余项，以第一作者发表SCI及核心期刊论文20余篇，参编专著2部，并多次在国内外肿瘤学术会议上发言及获奖。 学习工作简历： 1999-2004 年 湖南中医药大学（本科） 2004-2009 年 复旦大学附属肿瘤医院（硕士、博士） 2009-2021 年 天津市肿瘤医院（临床医师） 2021-2022 年 瑞典隆德大学（国家公派访问学者） 2023- 至今 中山大学肿瘤防治中心（临床医师） 主要学会任职： 中国临床肿瘤学会（CSCO...,医学博士、副主任医师 欧阳华强 职称：医学博士、副主任医师 专长 恶性肿瘤的中医及中西医结合防治 出诊时间： 周二上午（黄埔院区） 医疗特色： 师从上海市名中医、复旦大学附属肿瘤医院刘鲁明教授，从事中西医结合防治肿瘤的临床与基础研究。 从业近20年，主持完成国家自然科学基金、中国临床肿瘤学科学基金各1项，参与科研课题10余项，以第一作者发表SCI及核心期刊论文20余篇，参编专著2部，并多次在国内外肿瘤学术会议上发言及获奖。 学习工作简历： 1999-2004 年 湖南中医药大学（本科） 2004-2009 年 复旦大学附属肿瘤医院（硕士、博士） 2009-2021 年 天津市肿瘤医院（临床医师） 2021-2022 年 瑞典隆德大学（国家公派访问学者） 2023- 至今 中山大学肿瘤防治中心（临床医师） 主要学会任职： 中国临床肿瘤学会（CSCO...
677,676,中山大学肿瘤防治中心,欧阳华强,https://www.sysucc.org.cn/node/6681,异常提示,,亮眼经历含导航文本，已清洗
678,677,中山大学肿瘤防治中心,范腾,https://www.sysucc.org.cn/node/8022,亮眼经历线索,中山大学肿瘤防治中心中西医结合研究中心秘书 职称：中西医结合博士 、中山大学临床医学博士后、副主任医师 临床专家 面包屑 首页 / 临床科室 / 内科系列 / 中医科 / 临床专家 范腾 职务：中山大学肿瘤防治中心中西医结合研究中心秘书 职称：中西医结合博士 、中山大学临床医学博士后、副主任医师 专长 肿瘤的中医及中西医结合治疗。 一、基本情况 中西医结合临床博士，中山大学肿瘤防治中心临床博士后，辛辛那提儿童医院访问学者。 出诊时间： 周三下午（黄埔院区）、周五下午（越秀院区） 二、教育及工作经历 2020-2024中山大学肿瘤防治中心 2018-2019 美国辛辛那提儿童医院访问学者 2017-2020 中国中医科学院西苑医院博士 三、学术兼职 广东省中西医结合学会肿瘤专业委员会青年委员 国医名师学术经验传承工作委会委员 中国抗癌学会中西医整合白血病委员会委员 中国医药教育协会工作委会委员 四、主持科研项目 主持省部级及...,中山大学肿瘤防治中心中西医结合研究中心秘书 职称：中西医结合博士 、中山大学临床医学博士后、副主任医师 范腾 职务：中山大学肿瘤防治中心中西医结合研究中心秘书 职称：中西医结合博士 、中山大学临床医学博士后、副主任医师 专长 肿瘤的中医及中西医结合治疗。 一、基本情况 中西医结合临床博士，中山大学肿瘤防治中心临床博士后，辛辛那提儿童医院访问学者。 出诊时间： 周三下午（黄埔院区）、周五下午（越秀院区） 二、教育及工作经历 2020-2024中山大学肿瘤防治中心 2018-2019 美国辛辛那提儿童医院访问学者 2017-2020 中国中医科学院西苑医院博士 三、学术兼职 广东省中西医结合学会肿瘤专业委员会青年委员 国医名师学术经验传承工作委会委员 中国抗癌学会中西医整合白血病委员会委员 中国医药教育协会工作委会委员 四、主持科研项目 主持省部级及...
678,677,中山大学肿瘤防治中心,范腾,https://www.sysucc.org.cn/node/8022,异常提示,,亮眼经历含导航文本，已清洗
679,678,中山大学肿瘤防治中心,阚钧,https://www.sysucc.org.cn/node/6488,亮眼经历线索,中山大学肿瘤防治中心中西医结合研究中心 秘书 职称：副主任医师、中西医结合博士、中山大学临床医学博士后 临床专家 面包屑 首页 / 临床科室 / 内科系列 / 中医科 / 临床专家 阚钧 职务：中山大学肿瘤防治中心中西医结合研究中心 秘书 职称：副主任医师、中西医结合博士、中山大学临床医学博士后 专长 肿瘤的中医及中西医结合治疗。 主持博士后面上项目、广州市科技应用与基础应用项目各一项，参与广州市重点研发计划、国家重点研发项目、国自然面上项目等课题多项。 主编《愚泉斋医学随笔》、《愚泉斋医方集》，参编《中医肿瘤学》、《杏林问道-肿瘤临证耕耘录》，以第一作者（含共同）在Phytomedicine、Front immunol、FEBS J等国内外知名期刊发表高水平论文十余篇。,中山大学肿瘤防治中心中西医结合研究中心 秘书 职称：副主任医师、中西医结合博士、中山大学临床医学博士后 阚钧 职务：中山大学肿瘤防治中心中西医结合研究中心 秘书 职称：副主任医师、中西医结合博士、中山大学临床医学博士后 专长 肿瘤的中医及中西医结合治疗。 主持博士后面上项目、广州市科技应用与基础应用项目各一项，参与广州市重点研发计划、国家重点研发项目、国自然面上项目等课题多项。 主编《愚泉斋医学随笔》、《愚泉斋医方集》，参编《中医肿瘤学》、《杏林问道-肿瘤临证耕耘录》，以第一作者（含共同）在Phytomedicine、Front immunol、FEBS J等国内外知名期刊发表高水平论文十余篇。
679,678,中山大学肿瘤防治中心,阚钧,https://www.sysucc.org.cn/node/6488,异常提示,,亮眼经历含导航文本，已清洗
680,679,中山大学肿瘤防治中心,陈平,https://www.sysucc.org.cn/node/3778,亮眼经历线索,副主任医师 临床专家 面包屑 首页 / 临床科室 / 内科系列 / 中医科 / 临床专家 陈平 职称：副主任医师 专长 主要从事鼻咽癌、肺癌、肠癌、胃癌、食管癌、肝癌、乳腺癌等肿瘤中西医结合治疗和预防复发转移。 一、基本情况 副主任医师，医学博士。 深耕肿瘤中西医结合治疗多年，临床经验丰富，擅长辨证论治、精准遣方用药。,副主任医师 陈平 职称：副主任医师 专长 主要从事鼻咽癌、肺癌、肠癌、胃癌、食管癌、肝癌、乳腺癌等肿瘤中西医结合治疗和预防复发转移。 一、基本情况 副主任医师，医学博士。 深耕肿瘤中西医结合治疗多年，临床经验丰富，擅长辨证论治、精准遣方用药。
680,679,中山大学肿瘤防治中心,陈平,https://www.sysucc.org.cn/node/3778,异常提示,,亮眼经历含导航文本，已清洗
