hospital,name,source_link,http_status,final_url,selector,dom_breadcrumb,page_title,removed_segment,agreement,observed_utc,error
中山大学肿瘤防治中心,丘惠娟,https://www.sysucc.org.cn/node/3768,200,https://www.sysucc.org.cn/node/3768,nav.breadcrumb,面包屑 首页 / 临床科室 / 内科系列 / 中医科 / 临床专家,丘惠娟,临床专家 面包屑 首页 / 临床科室 / 内科系列 / 中医科 / 临床专家 丘惠娟 ,YES,2026-08-20T03:25:37.426625Z,
中山大学肿瘤防治中心,张蓓,https://www.sysucc.org.cn/node/3773,200,https://www.sysucc.org.cn/node/3773,nav.breadcrumb,面包屑 首页 / 临床科室 / 内科系列 / 中医科 / 临床专家,张蓓,临床专家 面包屑 首页 / 临床科室 / 内科系列 / 中医科 / 临床专家 张蓓 ,YES,2026-08-20T03:25:37.648134Z,
中山大学肿瘤防治中心,卢雅立,https://www.sysucc.org.cn/node/3829,200,https://www.sysucc.org.cn/node/3829,nav.breadcrumb,面包屑 首页 / 临床科室 / 平台科室 / 手术麻醉科 / 临床专家,卢雅立,临床专家 面包屑 首页 / 临床科室 / 平台科室 / 手术麻醉科 / 临床专家 卢雅立 ,YES,2026-08-20T03:25:38.513510Z,
中山大学肿瘤防治中心,谢丹,https://www.sysucc.org.cn/node/1541,200,https://www.sysucc.org.cn/node/1541,nav.breadcrumb,面包屑 首页 / 临床科室 / 平台科室 / 病理科 / 科学研究 / 科研学者,谢丹,科研学者 面包屑 首页 / 临床科室 / 平台科室 / 病理科 / 科学研究 / 科研学者 谢丹 ,YES,2026-08-20T03:25:39.500992Z,
中山大学肿瘤防治中心,刘慧,https://www.sysucc.org.cn/node/1658,200,https://www.sysucc.org.cn/node/1658,nav.breadcrumb,面包屑 首页 / 临床科室 / 放疗系列 / 放疗科 / 临床专家,刘慧(小),临床专家 面包屑 首页 / 临床科室 / 放疗系列 / 放疗科 / 临床专家 刘慧(小) ,YES,2026-08-20T03:25:40.510570Z,
中山大学肿瘤防治中心,郑利民,https://www.sysucc.org.cn/node/1542,200,https://www.sysucc.org.cn/node/1542,nav.breadcrumb,面包屑 首页 / 临床科室 / 内科系列 / 生物治疗中心 / 科学研究 / 科研学者,郑利民,科研学者 面包屑 首页 / 临床科室 / 内科系列 / 生物治疗中心 / 科学研究 / 科研学者 郑利民 ,YES,2026-08-20T03:25:41.501557Z,
中山大学附属第三医院,刘慧,https://www.zssy.com.cn/node/11033,200,https://www.zssy.com.cn/node/11033,nav.breadcrumb,导航痕迹 首页 / 专家介绍 / 刘慧,刘慧,导航痕迹 首页 / 专家介绍 / 刘慧 ,YES,2026-08-20T03:25:42.516206Z,
中山大学附属第三医院,刘穗玲,https://www.zssy.com.cn/node/15106,200,https://www.zssy.com.cn/node/15106,nav.breadcrumb,导航痕迹 首页 / 专家介绍 / 刘穗玲,刘穗玲,导航痕迹 首页 / 专家介绍 / 刘穗玲 ,YES,2026-08-20T03:25:43.696861Z,
中山大学附属第三医院,余步云,https://www.zssy.com.cn/node/14193,200,https://www.zssy.com.cn/node/14193,nav.breadcrumb,导航痕迹 首页 / 专家介绍 / 余步云,余步云,导航痕迹 首页 / 专家介绍 / 余步云 ,YES,2026-08-20T03:25:44.511600Z,
中山大学附属第三医院,变态反应,https://www.zssy.com.cn/node/14098,200,https://www.zssy.com.cn/node/14098,nav.breadcrumb,导航痕迹 首页 / 变态反应（过敏）学科,变态反应（过敏）学科,导航痕迹 首页 / 变态反应（过敏）学科 ,YES,2026-08-20T03:25:45.516101Z,
