row_number,sequence,hospital,name,source_link,column,removed_length,original_sha256,remaining_sha256,profile_path,profile_replacements,profile_before_sha256,profile_after_sha256
673,672,中山大学肿瘤防治中心,丘惠娟,https://www.sysucc.org.cn/node/3768,详情正文摘录,43,0bc0391d1bd8d8140a6a434c583ebaf7ce1e1d2a7801b011dd3697122179621e,21358a158178d7dce2eee62d61a65a74b31ec3a149257c42992b1787834e46a9,,0,,
674,673,中山大学肿瘤防治中心,张蓓,https://www.sysucc.org.cn/node/3773,详情正文摘录,42,b38eae077e082e14f93d03c72397db6f14c381204711c6f0f0ccfa30cd725314,f5d3e7ea854b39be599cf3ca6df4ddb64e62d485eae2c27079f0065aac2cfe0d,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/张蓓.md,1,ff9d2c22b0578e3e7be743b02188b4cef91acd702ce646e9c3be2c39d7b21cb0,3ed95461775cadc3eb3a75f53ca265e890a6d2d9f26c010d65aa7f002db9093d
677,676,中山大学肿瘤防治中心,欧阳华强,https://www.sysucc.org.cn/node/6681,详情正文摘录,44,4237ce8e146cfa8f166693cc15500cfe399e7e14896830044b38b2a0f12a6595,c50f091f137d2e45c7cb50c6e04de8f787b0e9d03ca35649244156003adf62e1,,0,,
678,677,中山大学肿瘤防治中心,范腾,https://www.sysucc.org.cn/node/8022,详情正文摘录,42,d0b99f23bf2639d5518264baaf89211f4e0ca7f234111d55f5ebd4c4bf259d00,6b0f116345ad0c07c5162707a2e98827bb9af5389cbe3fe0e6bb324471ef7503,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/范腾.md,1,23a20c4077f1d2606b335bfd0d4ec358366cc91d6bb72039e9ae3dec13e5a869,6eef124032c1626b47936fdcf0cb9565f1d4e1a0dbe6250dedd7c7934fbfbc97
679,678,中山大学肿瘤防治中心,阚钧,https://www.sysucc.org.cn/node/6488,详情正文摘录,42,e49e17e34f3964cb32a9918523dfdc2107955988b3adbe5683104e1834772bf2,7a1488007a984c9a87b612e4630c36b179e9a58c97e3389a0e16019195956588,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/阚钧.md,1,b2b35d0258873e9c4d6b3c6b86c54f5da3e20551d5a871de69cc8ab8f120ec91,53e9465833c28d5216499f737f3a45220d2d1c188969c60e1260b72dea5d4a9a
680,679,中山大学肿瘤防治中心,陈平,https://www.sysucc.org.cn/node/3778,详情正文摘录,42,c38508da9c1e8819cec707377319a7cff270dc5501148038e1d958cc0a5d98dc,5b08840a325bd13d4b07fe54d516484ad33c156ed1f678096c12b1e14dfa05a8,,0,,
681,680,中山大学肿瘤防治中心,陈徐贤,https://www.sysucc.org.cn/node/3774,详情正文摘录,43,88170f05f8e6993d3575286fe3fee7be3510023925d68eac1fd0afaa814e05f4,60bc2e29bc07281f4b0cc59005050438fd664b38e08b1530104f05ec4f74817e,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/陈徐贤.md,1,2707cdbc5c3a3c152ad788d9213e9a00c79960fd97acf539dd39d1f3c7bb9cbd,d507d3c86a622fe5cb8a1e4dd28f5d3bc2d00db65e207addbb4e159743fe13c3
682,681,中山大学肿瘤防治中心,黄国贤,https://www.sysucc.org.cn/node/3775,详情正文摘录,43,583c3e2391e12c4a8d9a8de8157cab6c1b84bec91d733f8d3ea1b49786ed763a,e560ad686ed9fad14c05be26d2e741eade4c5af19d32eef062a691f79b5c2647,,0,,
683,682,中山大学肿瘤防治中心,黄圆圆,https://www.sysucc.org.cn/node/3769,详情正文摘录,43,b05ff60636fce40bce2134794e2f064db348cd82393f7b6685e017cf9bb56e0c,848a5cff8691ebb4a3661228846b272653212ae45198ff8f3de7eea38a2add01,,0,,
684,683,中山大学肿瘤防治中心,黄金圣,https://www.sysucc.org.cn/node/3779,详情正文摘录,43,e01110b46f62ddef0a9224749a69d3533ddd932b2b79071d475a34946da5ff58,a9ab378d6eac451a35b3fa7cd91da5454f876b609356c2cc74ad7ca7bd8279ca,,0,,
685,684,中山大学肿瘤防治中心,医学教育,https://www.sysucc.org.cn/taxonomy/term/267,详情正文摘录,36,6b696eb44624f55118c2f338ea9e825b21d4fac36872b5005ff32b220a66dfca,913dd3d77a34ac095a9e2da23eea50dcecc03b164e04d0be21ee21cd73e346ca,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/医学教育.md,2,b1d01d0316f8d77bcd735167cc476e557683d8f2a0f32b5d9072cfd033081da3,f424eb3094cf72459865d7bb25e4f50d88e4a1b9255807da4340c85f8e069663
686,685,中山大学肿瘤防治中心,叶文锋,https://www.sysucc.org.cn/node/3927,详情正文摘录,45,aa3f1cf59d59f045f17383bb1101e11be9d793dfdc4cc0d85c81790ca3910ffa,9f5fdc6d3eb4c584315fe7af5c7850616ed45d43e515c4d18c62fa9d9dbf71c9,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/叶文锋.md,1,bf890547811f761080232eef5951b8c4e349580903c7a71d55e1660b08d49d3d,2bceea9bfeef9257a8ceff4206f286ae950aeb5c4513f96fe493fa3a5ebeecb1
687,686,中山大学肿瘤防治中心,吴锡文,https://www.sysucc.org.cn/node/12740,详情正文摘录,45,24f61fb2ed07f33e873796b232aca6e4c7e9550f28d270ca5d9faf1ad8a7cbf4,e2cae088787d833a8c1e794b1452ac80adf46e2828c8b3d5de75aaa8b87ab187,,0,,
