hospital,profile_path,source_link,master_row_number,master_name,marker_occurrences,carrier_line_numbers,carrier_sections,non_detail_carrier,owner_atypical_profile_case
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/miRNA-.md,https://www.sysucc.org.cn/node/1683,884,miRNA-...,1,50,## 教育与进修经历,YES,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/丁娅.md,https://www.sysucc.org.cn/node/3787,994,丁娅,1,53,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/严岳.md,https://www.sysucc.org.cn/node/3944,1182,严岳,1,50,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/云径平.md,https://www.sysucc.org.cn/node/3855,1008,云径平,1,52,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/任超.md,https://www.sysucc.org.cn/node/1515,713,任超,1,56,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/何伟.md,https://www.sysucc.org.cn/node/3647,1075,何伟,1,59,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/何伟雄.md,https://www.sysucc.org.cn/node/3827,861,何伟雄,1,59,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/何洁华.md,https://www.sysucc.org.cn/node/3858,1009,何洁华,1,44,## 教育与进修经历,YES,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/何霞.md,https://www.sysucc.org.cn/node/13431,956,何霞,1,48,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/冯艳玲.md,https://www.sysucc.org.cn/node/3702,802,冯艳玲,1,59,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/刘万里.md,https://www.sysucc.org.cn/node/3874,957,刘万里,1,49,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/刘丽婷.md,https://www.sysucc.org.cn/node/1646,1191,刘丽婷,1,54,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/刘乾文.md,https://www.sysucc.org.cn/node/3626,1114,刘乾文,1,52,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/刘孟忠.md,https://www.sysucc.org.cn/node/1662,888,刘孟忠,1,54,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/刘宇英.md,https://www.sysucc.org.cn/node/3942,1183,刘宇英,1,51,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/刘寿生.md,https://www.sysucc.org.cn/node/3771,1065,刘寿生,1,58,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/刘敏 中山大学肿瘤防治中心 副主任医师 医学博士 硕士生导师.md,https://www.sysucc.org.cn/node/6668,1157,刘敏 中山大学肿瘤防治中心 副主任医师 医学博士 硕士生导师,1,54,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/刘晓华.md,https://www.sysucc.org.cn/node/3888,958,刘晓华,1,48,## 详情正文摘录,NO,NO
