row_number,sequence,hospital,name,source_link,original_length,removed_segment,removed_length,remaining_length,segment_start,segment_end,segment_position,match_type,site_title,name_variant,owner_atypical_profile_case,quote_boundary_status,original_sha256,remaining_sha256
673,672,中山大学肿瘤防治中心,丘惠娟,https://www.sysucc.org.cn/node/3768,761,临床专家 面包屑 首页 / 临床科室 / 内科系列 / 中医科 / 临床专家 丘惠娟 ,43,718,0,43,START,SYSUCC_CLINICAL_EXPERT,丘惠娟,NO,NO,NO_ADJACENT_QUOTE,0bc0391d1bd8d8140a6a434c583ebaf7ce1e1d2a7801b011dd3697122179621e,21358a158178d7dce2eee62d61a65a74b31ec3a149257c42992b1787834e46a9
674,673,中山大学肿瘤防治中心,张蓓,https://www.sysucc.org.cn/node/3773,1800,临床专家 面包屑 首页 / 临床科室 / 内科系列 / 中医科 / 临床专家 张蓓 ,42,1758,0,42,START,SYSUCC_CLINICAL_EXPERT,张蓓,NO,NO,NO_ADJACENT_QUOTE,b38eae077e082e14f93d03c72397db6f14c381204711c6f0f0ccfa30cd725314,f5d3e7ea854b39be599cf3ca6df4ddb64e62d485eae2c27079f0065aac2cfe0d
677,676,中山大学肿瘤防治中心,欧阳华强,https://www.sysucc.org.cn/node/6681,623,临床专家 面包屑 首页 / 临床科室 / 内科系列 / 中医科 / 临床专家 欧阳华强 ,44,579,0,44,START,SYSUCC_CLINICAL_EXPERT,欧阳华强,NO,NO,NO_ADJACENT_QUOTE,4237ce8e146cfa8f166693cc15500cfe399e7e14896830044b38b2a0f12a6595,c50f091f137d2e45c7cb50c6e04de8f787b0e9d03ca35649244156003adf62e1
678,677,中山大学肿瘤防治中心,范腾,https://www.sysucc.org.cn/node/8022,570,临床专家 面包屑 首页 / 临床科室 / 内科系列 / 中医科 / 临床专家 范腾 ,42,528,0,42,START,SYSUCC_CLINICAL_EXPERT,范腾,NO,NO,NO_ADJACENT_QUOTE,d0b99f23bf2639d5518264baaf89211f4e0ca7f234111d55f5ebd4c4bf259d00,6b0f116345ad0c07c5162707a2e98827bb9af5389cbe3fe0e6bb324471ef7503
679,678,中山大学肿瘤防治中心,阚钧,https://www.sysucc.org.cn/node/6488,729,临床专家 面包屑 首页 / 临床科室 / 内科系列 / 中医科 / 临床专家 阚钧 ,42,687,0,42,START,SYSUCC_CLINICAL_EXPERT,阚钧,NO,NO,NO_ADJACENT_QUOTE,e49e17e34f3964cb32a9918523dfdc2107955988b3adbe5683104e1834772bf2,7a1488007a984c9a87b612e4630c36b179e9a58c97e3389a0e16019195956588
680,679,中山大学肿瘤防治中心,陈平,https://www.sysucc.org.cn/node/3778,1800,临床专家 面包屑 首页 / 临床科室 / 内科系列 / 中医科 / 临床专家 陈平 ,42,1758,0,42,START,SYSUCC_CLINICAL_EXPERT,陈平,NO,NO,NO_ADJACENT_QUOTE,c38508da9c1e8819cec707377319a7cff270dc5501148038e1d958cc0a5d98dc,5b08840a325bd13d4b07fe54d516484ad33c156ed1f678096c12b1e14dfa05a8
681,680,中山大学肿瘤防治中心,陈徐贤,https://www.sysucc.org.cn/node/3774,332,临床专家 面包屑 首页 / 临床科室 / 内科系列 / 中医科 / 临床专家 陈徐贤 ,43,289,0,43,START,SYSUCC_CLINICAL_EXPERT,陈徐贤,NO,NO,NO_ADJACENT_QUOTE,88170f05f8e6993d3575286fe3fee7be3510023925d68eac1fd0afaa814e05f4,60bc2e29bc07281f4b0cc59005050438fd664b38e08b1530104f05ec4f74817e
682,681,中山大学肿瘤防治中心,黄国贤,https://www.sysucc.org.cn/node/3775,791,临床专家 面包屑 首页 / 临床科室 / 内科系列 / 中医科 / 临床专家 黄国贤 ,43,748,0,43,START,SYSUCC_CLINICAL_EXPERT,黄国贤,NO,NO,NO_ADJACENT_QUOTE,583c3e2391e12c4a8d9a8de8157cab6c1b84bec91d733f8d3ea1b49786ed763a,e560ad686ed9fad14c05be26d2e741eade4c5af19d32eef062a691f79b5c2647
683,682,中山大学肿瘤防治中心,黄圆圆,https://www.sysucc.org.cn/node/3769,1276,临床专家 面包屑 首页 / 临床科室 / 内科系列 / 中医科 / 临床专家 黄圆圆 ,43,1233,0,43,START,SYSUCC_CLINICAL_EXPERT,黄圆圆,NO,NO,NO_ADJACENT_QUOTE,b05ff60636fce40bce2134794e2f064db348cd82393f7b6685e017cf9bb56e0c,848a5cff8691ebb4a3661228846b272653212ae45198ff8f3de7eea38a2add01
684,683,中山大学肿瘤防治中心,黄金圣,https://www.sysucc.org.cn/node/3779,1800,临床专家 面包屑 首页 / 临床科室 / 内科系列 / 中医科 / 临床专家 黄金圣 ,43,1757,0,43,START,SYSUCC_CLINICAL_EXPERT,黄金圣,NO,NO,NO_ADJACENT_QUOTE,e01110b46f62ddef0a9224749a69d3533ddd932b2b79071d475a34946da5ff58,a9ab378d6eac451a35b3fa7cd91da5454f876b609356c2cc74ad7ca7bd8279ca
