姓名,来源链接,状态,失败三态,照片链接,照片文件,字节数,SHA-256,宽,高,错误证据
易珍,http://www.gzzoc.org.cn/node/12767,实采,,http://www.gzzoc.org.cn/sites/zoc.live1.sysucloud2.sysu.edu.cn/files/styles/large_960_x_auto_/public/2024-10/yizhen_2.jpg?itok=DVZxrNdb,01_试点医院/中山大学中山眼科中心/照片/易珍-小儿眼病与眼遗传病科-主治医师-中山大学中山眼科中心.jpg,914893,ec52f840b1a1a9df9cef7d5acf54cfa80ad4723936353d1d6e20f92b8a372e23,960,1440,
原永广,http://www.gzzoc.org.cn/node/3195,实采,,http://www.gzzoc.org.cn/sites/zoc.live1.sysucloud2.sysu.edu.cn/files/styles/large_960_x_auto_/public/2022-04/%E5%8E%9F%E6%B0%B8%E5%B9%BF.jpg?itok=M1zI1PqV,01_试点医院/中山大学中山眼科中心/照片/原永广-斜视-主治医师-中山大学中山眼科中心.jpg,852250,c3462a66d31404cdd09ed6d4e245914f3b83ef5a99d045066e299f3089b1144b,960,1440,
吴河坪,http://www.gzzoc.org.cn/node/3188,实采,,http://www.gzzoc.org.cn/sites/zoc.live1.sysucloud2.sysu.edu.cn/files/styles/large_960_x_auto_/public/2022-09/%E5%90%B4%E6%B2%B3%E5%9D%AA.jpg?itok=vBwZtvBA,01_试点医院/中山大学中山眼科中心/照片/吴河坪-斜视-副主任医师-中山大学中山眼科中心.jpg,449789,962424f7baeff6acf08b5f341107279344945d7716db029e144ed679fb277742,960,960,
文芸,http://www.gzzoc.org.cn/node/3199,实采,,http://www.gzzoc.org.cn/sites/zoc.live1.sysucloud2.sysu.edu.cn/files/styles/large_960_x_auto_/public/2024-01/_cgi-bin_mmwebwx-bin_webwxgetmsgimg_msgid4458145099124081103skeycrypt_bc07f56c_cd89cf310c16e697ccf86707aaad4efammweb_appidwx_webfilehelper.jpg?itok=6HauvlKQ,01_试点医院/中山大学中山眼科中心/照片/文芸-斜视-主治医师-中山大学中山眼科中心.jpg,491269,fecb654a5528a08cbf12ac68565640a77a740d5913e8c0b0643c065650514871,960,960,
李劲嵘,http://www.gzzoc.org.cn/node/3192,实采,,http://www.gzzoc.org.cn/sites/zoc.live1.sysucloud2.sysu.edu.cn/files/styles/large_960_x_auto_/public/2022-09/%E6%9D%8E%E5%8A%B2%E5%B5%98.png?itok=KShWoy97,01_试点医院/中山大学中山眼科中心/照片/李劲嵘-斜视-教授-中山大学中山眼科中心.png,797148,bbd076b3210f667fd9967c60f57817740f39bd6260d7eec638c243bd48fee47b,960,1206,
桑璇,http://www.gzzoc.org.cn/node/14192,实采,,http://www.gzzoc.org.cn/sites/zoc.live1.sysucloud2.sysu.edu.cn/files/styles/large_960_x_auto_/public/2026-03/sangxuangongzuozhaobanshenzhao2.jpg?itok=LZQ16-G1,01_试点医院/中山大学中山眼科中心/照片/桑璇-斜视-主治医师-中山大学中山眼科中心.jpg,323027,1629e0285cbc6fe096633ed2ea9fbbbf1f62405d23d12c50410b1adf2e1b3bd5,960,1404,
汪瑞昕,http://www.gzzoc.org.cn/node/14428,实采,,http://www.gzzoc.org.cn/sites/zoc.live1.sysucloud2.sysu.edu.cn/files/styles/large_960_x_auto_/public/2026-06/wangruixin.png?itok=CI_MXe_p,01_试点医院/中山大学中山眼科中心/照片/汪瑞昕-斜视-副主任医师-中山大学中山眼科中心.png,1492859,35445a856d777e08672ab18274ef665400836c4fe702a94ec91bb7d3a9474801,960,1280,
邱璇,http://www.gzzoc.org.cn/node/3190,实采,,http://www.gzzoc.org.cn/sites/zoc.live1.sysucloud2.sysu.edu.cn/files/styles/large_960_x_auto_/public/2022-04/%E9%82%B1%E7%92%87.jpg?itok=uAuR3dmD,01_试点医院/中山大学中山眼科中心/照片/邱璇-斜视-副主任医师-中山大学中山眼科中心.jpg,782136,3d68a138fd2bf3edc8966c7fb0a1ca66e71976f8c77f82a9e3b16c8e484b6a4a,960,1440,
陈冲林,http://www.gzzoc.org.cn/node/3198,实采,,http://www.gzzoc.org.cn/sites/zoc.live1.sysucloud2.sysu.edu.cn/files/styles/large_960_x_auto_/public/2022-09/%E9%99%88%E5%86%B2%E6%9E%97.jpg?itok=CFctjSjj,01_试点医院/中山大学中山眼科中心/照片/陈冲林-斜视-主治医师-中山大学中山眼科中心.jpg,767429,1c45d365e52fe44a55f89bddd61d43b204e45061c34c6e9506cdb747e3bad56f,960,1440,
颜建华,http://www.gzzoc.org.cn/node/3189,实采,,http://www.gzzoc.org.cn/sites/zoc.live1.sysucloud2.sysu.edu.cn/files/styles/large_960_x_auto_/public/2022-04/%E9%A2%9C%E5%BB%BA%E5%8D%8E.jpg?itok=sNC-Ntk_,01_试点医院/中山大学中山眼科中心/照片/颜建华-斜视-主任医师-中山大学中山眼科中心.jpg,783168,d9651c02c07e7c5e281f33987c83c31009bb9a5260fc5e291e42601be47a66b4,960,1440,
