序号,医院,姓名,科室_分类页,科室_列表卡片,职称_关键词,职称身份原文,重点优先级,重点关注范围,重点疾病标签,擅长诊疗方向摘录,亮眼经历线索,列表简介,详情正文摘录,来源类型,来源链接,照片链接,照片文件,采集入口,采集方式,采集日期,详情页状态,已建画像,异常提示,复核状态
466,中山大学中山眼科中心,易珍,小儿眼病与眼遗传病科,小儿眼病与眼遗传病科,主治医师,主治医师,高,慢性病、术后恢复/康复,糖尿病、营养,擅长新生儿泪囊炎、婴幼儿视功能异常、视网膜色素变性、Leber先天性黑矇、锥杆细胞营养不良、FEVR、眼白化病、先天性眼球震颤、早发高度近视等先天性或遗传性眼病的诊治、基因诊断及遗传咨询。,主治医师，眼科学博士，硕士生导师，广东省医学遗传学会青年委员。 作为眼底病方向张钊填副主任医师团队成员，对成人及青少年儿童视网膜脱离、玻璃体积血、糖尿病性视网膜病变、视网膜静脉阻塞、黄斑疾病等常见眼底病的诊治及手术有一定经验。 以第一/通讯作者身份在《先进科学》（Advanced Science IF=14.1）、《柳叶刀发现科学-电子生物医学》（The Lancet Discovery Science-EBioMedicine IF=11.2）、《眼科研究与视觉科学》（IOVS）、《眼睛》(EYE)、《医学遗传学杂志》（J Med Genet）等国际权威期刊发表SCI论文10余篇。,擅长新生儿泪囊炎、婴幼儿视功能异常、视网膜色素变性、Leber先天性黑矇、锥杆细胞营养不良、FEVR、眼白化病、先天性眼球震颤、早发高度近视等先天性或遗传性眼病的诊治、基因诊断及遗传咨询。,主治医师，眼科学博士，硕士生导师，广东省医学遗传学会青年委员。毕业于中山眼科中心“优生优培”资助计划直博生，师从张清炯教授，专注遗传性眼病诊治工作十余年，擅长先天性眼球震颤、视网膜色素变性、锥杆细胞营养不良、FEVR、早发高度屈光不正（近视、远视）、新生儿泪囊炎等遗传性或先天性眼病的诊治、基因诊断及遗传咨询。作为眼底病方向张钊填副主任医师团队成员，对成人及青少年儿童视网膜脱离、玻璃体积血、糖尿病性视网膜病变、视网膜静脉阻塞、黄斑疾病等常见眼底病的诊治及手术有一定经验。作为项目负责人，主持国家级、省部级等基金项目共6项。以第一/通讯作者身份在《先进科学》（Advanced Science IF=14.1）、《柳叶刀发现科学-电子生物医学》（The Lancet Discovery Science-EBioMedicine IF=11.2）、《眼科研究与视觉科学》（IOVS）、《眼睛》(EYE)、《医学遗传学杂志》（J Med Genet）等国际权威期刊发表SCI论文10余篇。,医院官网,http://www.gzzoc.org.cn/node/12767,http://www.gzzoc.org.cn/sites/zoc.live1.sysucloud2.sysu.edu.cn/files/styles/large_960_x_auto_/public/2024-10/yizhen_2.jpg?itok=DVZxrNdb,01_试点医院/中山大学中山眼科中心/照片/易珍-小儿眼病与眼遗传病科-主治医师-中山大学中山眼科中心.jpg,http://www.gzzoc.org.cn/expert-introduction?name=&department=All,官网专家列表页+官网医生详情页,2026-08-09,200,否,,待人工复核
467,中山大学中山眼科中心,原永广,斜视、弱视、双眼视觉功能,斜视、弱视、双眼视觉功能,主治医师,主治医师,高,疑难重症,疑难,擅长常见及疑难斜视弱视、屈光不正、屈光参差、视疲劳，双眼视异常等眼病的诊治 。,擅长常见及疑难斜视弱视、屈光不正、屈光参差、视疲劳，双眼视异常等眼病的诊治 。 擅长常见及疑难斜视弱视、屈光不正、屈光参差、视疲劳，双眼视异常等眼病的诊治 。 擅长常见及疑难斜视弱视、屈光不正、屈光参差、视疲劳，双眼视异常等眼病的诊治 。 广东省研究型医院学会会员， 广东省视光学会斜视弱视专业委员会会员 ，发表SCI论文多篇，参与多项国家级和省重点科研项目,擅长常见及疑难斜视弱视、屈光不正、屈光参差、视疲劳，双眼视异常等眼病的诊治 。,眼科学博士； 擅长常见及疑难斜视弱视、屈光不正、屈光参差、视疲劳，双眼视异常等眼病的诊治 。广东省研究型医院学会会员， 广东省视光学会斜视弱视专业委员会会员 ，发表SCI论文多篇，参与多项国家级和省重点科研项目,医院官网,http://www.gzzoc.org.cn/node/3195,http://www.gzzoc.org.cn/sites/zoc.live1.sysucloud2.sysu.edu.cn/files/styles/large_960_x_auto_/public/2022-04/%E5%8E%9F%E6%B0%B8%E5%B9%BF.jpg?itok=M1zI1PqV,01_试点医院/中山大学中山眼科中心/照片/原永广-斜视-主治医师-中山大学中山眼科中心.jpg,http://www.gzzoc.org.cn/expert-introduction?name=&department=All,官网专家列表页+官网医生详情页,2026-08-09,200,否,,待人工复核
476,中山大学中山眼科中心,付月,玻璃体、视网膜视神经疾病,玻璃体、视网膜视神经疾病,主治医师,主治医师,高,肿瘤,肿瘤,神经眼科和眼底内科疾病的诊断和治疗，熟悉眼前段及眼后段疾病的激光治疗。,,神经眼科和眼底内科疾病的诊断和治疗，熟悉眼前段及眼后段疾病的激光治疗。,医学博士，擅长神经眼科及眼底内科疾病的诊断与治疗，对视神经炎、缺血性视神经病变、先天性视神经病变、中毒性视神经病变和视神经肿瘤等相关疾病的诊断和治疗，具有独到的治疗经验和较为深入的研究，熟悉眼前段及眼后段疾病的激光治疗。,医院官网,http://www.gzzoc.org.cn/node/3163,http://www.gzzoc.org.cn/sites/zoc.live1.sysucloud2.sysu.edu.cn/files/styles/large_960_x_auto_/public/2022-04/%E4%BB%98%E6%9C%88.jpg?itok=Gl0-plIl,01_试点医院/中山大学中山眼科中心/照片/付月-玻璃体-主治医师-中山大学中山眼科中心.jpg,http://www.gzzoc.org.cn/expert-introduction?name=&department=All,官网专家列表页+官网医生详情页,2026-08-09,200,否,,待人工复核
489,中山大学中山眼科中心,罗燕,玻璃体、视网膜视神经疾病、眼免疫与葡萄膜炎,玻璃体、视网膜视神经疾病、眼免疫与葡萄膜炎,教授,教授,高,慢性病、免疫/风湿/感染,糖尿病、免疫,熟悉眼科常见病和多发病的诊治，尤其擅长各种眼底疾病如年龄相关性黄斑变性、糖尿病视网膜病、视网膜血管阻塞、视网膜色素变性和葡萄膜炎的诊断和治疗，并积累了丰富临床经验。,教授，主任医师，医学博士，博士研究生导师。 曾获“羊城好医生”称号。 广东省医学会眼科学分会黄斑病学组副组长，广东省眼健康协会中老年眼保健专业保健委员会副主任委员，广东省眼健康协会中老年眼保健专业保健委员会副主任委员。 教育部新世纪优秀人才。,熟悉眼科常见病和多发病的诊治，尤其擅长各种眼底疾病如年龄相关性黄斑变性、糖尿病视网膜病、视网膜血管阻塞、视网膜色素变性和葡萄膜炎的诊断和治疗，并积累了丰富临床经验。,教授，主任医师，医学博士，博士研究生导师。熟悉眼科常见病和多发病的诊治，尤其擅长各种包括如眼底血管性、退变性、遗传性疾病、葡萄膜炎和视神经疾病等疾病的诊断和治疗，并积累了丰富临床经验。曾获“羊城好医生”称号。广东省医学会眼科学分会黄斑病学组副组长，广东省眼健康协会中老年眼保健专业保健委员会副主任委员，广东省眼健康协会中老年眼保健专业保健委员会副主任委员。教育部新世纪优秀人才。美国耶鲁大学3年博士后和Doheny眼科中心1年访问学者工作。,医院官网,http://www.gzzoc.org.cn/node/3160,http://www.gzzoc.org.cn/sites/zoc.live1.sysucloud2.sysu.edu.cn/files/styles/large_960_x_auto_/public/2022-04/%E7%BD%97%E7%87%95.jpg?itok=SzeOEd49,01_试点医院/中山大学中山眼科中心/照片/罗燕-玻璃体-教授-中山大学中山眼科中心.jpg,http://www.gzzoc.org.cn/expert-introduction?name=&department=All,官网专家列表页+官网医生详情页,2026-08-09,200,否,,待人工复核
490,中山大学中山眼科中心,何嫦,白内障,白内障,副主任医师,副主任医师,高,疑难重症,疑难,擅长各种类型白内障及其他晶状体相关疾病的诊断与治疗。,副主任医师 副主任医师 眼科学博士，副主任医师，硕士生导师。 从事白内障临床和科研工作十余年，对于眼科常见病、多发病及疑难病诊治有丰富的经验。,擅长各种类型白内障及其他晶状体相关疾病的诊断与治疗。,眼科学博士，副主任医师，硕士生导师。 从事白内障临床和科研工作十余年，对于眼科常见病、多发病及疑难病诊治有丰富的经验。擅长各种类型白内障的诊治和手术治疗。承担国家自然基金委优秀青年项目、面上项目等国家省部级项目，曾留学美国国立卫生研究院（博士后），以第一作者或通讯作者在高影响力杂志上发表论文20余篇（IF>10分11篇）。,医院官网,http://www.gzzoc.org.cn/node/3274,http://www.gzzoc.org.cn/sites/zoc.live1.sysucloud2.sysu.edu.cn/files/styles/large_960_x_auto_/public/2022-09/%E4%BD%95%E5%AB%A6.jpg?itok=LmfEABle,01_试点医院/中山大学中山眼科中心/照片/何嫦-白内障-副主任医师-中山大学中山眼科中心.jpg,http://www.gzzoc.org.cn/expert-introduction?name=&department=All,官网专家列表页+官网医生详情页,2026-08-09,200,否,,待人工复核
506,中山大学中山眼科中心,戴烨,眼免疫与葡萄膜炎,眼免疫与葡萄膜炎,副主任医师,副主任医师,高,免疫/风湿/感染,免疫,葡萄膜炎、眼底病、白内障、角膜病的诊断和治疗。,副主任医师 副主任医师 医学博士，主持国家自然科学基金1项、眼科学国家重点实验室课题1项，参与多项国家级科研项目、广东省科技计划以及科技部港澳台合作专项，发表SCI文章多篇。,葡萄膜炎、眼底病、白内障、角膜病的诊断和治疗。,医学博士，主持国家自然科学基金1项、眼科学国家重点实验室课题1项，参与多项国家级科研项目、广东省科技计划以及科技部港澳台合作专项，发表SCI文章多篇。,医院官网,http://www.gzzoc.org.cn/node/3119,http://www.gzzoc.org.cn/sites/zoc.live1.sysucloud2.sysu.edu.cn/files/styles/large_960_x_auto_/public/2022-04/%E6%88%B4%E7%83%A8.jpg?itok=ynZOKAn9,01_试点医院/中山大学中山眼科中心/照片/戴烨-眼免疫与葡萄膜炎-副主任医师-中山大学中山眼科中心.jpg,http://www.gzzoc.org.cn/expert-introduction?name=&department=All,官网专家列表页+官网医生详情页,2026-08-09,200,否,,待人工复核
510,中山大学中山眼科中心,于珊珊,眼底疾病,眼底疾病,副主任医师,副主任医师,高,疑难重症,疑难,眼底影像的分析及诊断，眼底激光，眼内注药，眼底手术,副主任医师 副主任医师 眼科学博士，副主任医师。 2006毕业于中山大学临床医学院七年制，师从于梁小玲教授，毕业后就职于中山大学中山眼科中心眼底病科，擅长于眼底病的诊断，眼底疑难病例分析，尤其在解读眼底造影方面有较深的造诣。,眼底影像的分析及诊断，眼底激光，眼内注药，眼底手术,眼科学博士，副主任医师。2006毕业于中山大学临床医学院七年制，师从于梁小玲教授，毕业后就职于中山大学中山眼科中心眼底病科，擅长于眼底病的诊断，眼底疑难病例分析，尤其在解读眼底造影方面有较深的造诣。参与多项科研基金项目，参与多项临床药物试验。 本人以第一作者发表了5篇文章（SCI 3篇），参与发表了24篇文章（SCI 13篇）。,医院官网,http://www.gzzoc.org.cn/node/3182,http://www.gzzoc.org.cn/sites/zoc.live1.sysucloud2.sysu.edu.cn/files/styles/large_960_x_auto_/public/2022-04/%E4%BA%8E%E7%8F%8A%E7%8F%8A.jpg?itok=SBLuJwWZ,01_试点医院/中山大学中山眼科中心/照片/于珊珊-眼底疾病-副主任医师-中山大学中山眼科中心.jpg,http://www.gzzoc.org.cn/expert-introduction?name=&department=All,官网专家列表页+官网医生详情页,2026-08-09,200,否,,待人工复核
533,中山大学中山眼科中心,吕林,眼底疾病、高度近视科,眼底疾病、高度近视科,教授,教授,高,慢性病、疑难重症,糖尿病、疑难、难治、复杂,擅长视网膜脱离、玻璃体积血、黄斑疾病、视网膜血管疾病、糖尿病视网膜病变及小儿眼底病的手术治疗,博士生导师、教授、主任医师。 担任中国医师协会眼科医师分会眼底病专业委员会副主任委员，中华医学会眼科分会眼底病学组委员，广东省优生优育协会儿童眼保健主委会主任委员，中国微循环协会眼科分会常委，中国老年保健协会眼科分会常委，中国信息及大数据协会眼科分会常委，广东省眼科医疗质量控制中心专家组副组长，担任《中华眼底病杂志》、《眼科学报》、《Asia Pacific J Ophthalmology》编委。 在临床工作中不断改革创新，在国内首先开展了视网膜切开与切除术治疗复杂性视网膜脱离，明显改善了难治性复杂性视网膜的预后，获得广东省科学技术进步三等奖； 发明黄斑兜带手术治疗高度近视黄斑劈裂、黄斑裂孔视网膜脱离，大大改善了疑难眼底病的手术技术及预后，相关成果发表在Ophthalmology、Retina等国际权威杂志。,擅长视网膜脱离、玻璃体积血、黄斑疾病、视网膜血管疾病、糖尿病视网膜病变及小儿眼底病的手术治疗,博士生导师、教授、主任医师。担任中国医师协会眼科医师分会眼底病专业委员会副主任委员，中华医学会眼科分会眼底病学组委员，广东省优生优育协会儿童眼保健主委会主任委员，中国微循环协会眼科分会常委，中国老年保健协会眼科分会常委，中国信息及大数据协会眼科分会常委，广东省眼科医疗质量控制中心专家组副组长，担任《中华眼底病杂志》、《眼科学报》、《Asia Pacific J Ophthalmology》编委。 在临床工作中不断改革创新，在国内首先开展了视网膜切开与切除术治疗复杂性视网膜脱离，明显改善了难治性复杂性视网膜的预后，获得广东省科学技术进步三等奖；首次将传统巩膜环扎手术进行改良，发明了可松解巩膜环扎术，获得国内外学者的高度好评；发明黄斑兜带手术治疗高度近视黄斑劈裂、黄斑裂孔视网膜脱离，大大改善了疑难眼底病的手术技术及预后，相关成果发表在Ophthalmology、Retina等国际权威杂志。先后承担国家自然科学基金面上项目3项。以通讯/第一作者发表SCI论文40余篇。共培养博士及硕士20余人，培养全国各地眼底进修医师50余人。,医院官网,http://www.gzzoc.org.cn/node/3170,http://www.gzzoc.org.cn/sites/zoc.live1.sysucloud2.sysu.edu.cn/files/styles/large_960_x_auto_/public/2022-04/%E5%90%95%E6%9E%97.jpg?itok=Z5EpHytF,01_试点医院/中山大学中山眼科中心/照片/吕林-眼底疾病-教授-中山大学中山眼科中心.jpg,http://www.gzzoc.org.cn/expert-introduction?name=&department=All,官网专家列表页+官网医生详情页,2026-08-09,200,否,,待人工复核
534,中山大学中山眼科中心,曲艺欣,眼整形与泪器病,眼整形与泪器病,主治医师,主治医师,高,术后恢复/康复,术后,激光美容精细化治疗、眼睑肿物切除及切除术后轻度眼睑畸形矫正、内翻倒睫矫正（儿童倒睫、老年性内翻倒睫）、眼睑皮肤松弛及活动性义眼座植入等部分外眼美容手术。,,激光美容精细化治疗、眼睑肿物切除及切除术后轻度眼睑畸形矫正、内翻倒睫矫正（儿童倒睫、老年性内翻倒睫）、眼睑皮肤松弛及活动性义眼座植入等部分外眼美容手术。,担任科室教学秘书和宣传通讯工作，医学博士。2016年在暨南大学获得眼科学博士学位，毕业后在中山大学中山眼科中心规培3年，2019年定于眼整形与泪道科。从事临床、教学、科研工作7年，专注眼整形与激光美容领域，既擅长解决倒睫、活动性义眼座植入和眼睑肿物等眼部问题，也能为爱美人士定制激光美容、眼睑松弛矫正等个性化方案。同时深耕教学与科研工作，用专业能力为患者的眼部健康与美学需求保驾护航。,医院官网,http://www.gzzoc.org.cn/node/14195,http://www.gzzoc.org.cn/sites/zoc.live1.sysucloud2.sysu.edu.cn/files/styles/large_960_x_auto_/public/2026-03/quyixin_0.jpg?itok=yliJ5B5v,01_试点医院/中山大学中山眼科中心/照片/曲艺欣-眼整形与泪器病-主治医师-中山大学中山眼科中心.jpg,http://www.gzzoc.org.cn/expert-introduction?name=&department=All,官网专家列表页+官网医生详情页,2026-08-09,200,否,,待人工复核
542,中山大学中山眼科中心,刘耀明,眼眶病与眼肿瘤,眼眶病与眼肿瘤,主治医师,主治医师,高,肿瘤,肿瘤,擅长各种眼科常见病、多发病的诊断和治疗，尤其是眼眶病、眼肿瘤的诊治。,主治医师，眼科学博士（博士毕业于中山大学中山眼科中心，美国德州大学休斯顿健康科学中心联合培养博士） 熟悉各种眼科常见病、多发病的诊断和治疗，尤其是眼眶病、眼肿瘤的诊治。 在SCI期刊发表论文30余篇，主持国家自然科学基金1项，广东省自然科学基金1项。,擅长各种眼科常见病、多发病的诊断和治疗，尤其是眼眶病、眼肿瘤的诊治。,主治医师，眼科学博士（博士毕业于中山大学中山眼科中心，美国德州大学休斯顿健康科学中心联合培养博士） 熟悉各种眼科常见病、多发病的诊断和治疗，尤其是眼眶病、眼肿瘤的诊治。在SCI期刊发表论文30余篇，主持国家自然科学基金1项，广东省自然科学基金1项。,医院官网,http://www.gzzoc.org.cn/node/3302,http://www.gzzoc.org.cn/sites/zoc.live1.sysucloud2.sysu.edu.cn/files/styles/large_960_x_auto_/public/2024-08/liuyaoming.jpg?itok=VsuYfTNU,01_试点医院/中山大学中山眼科中心/照片/刘耀明-眼眶病与眼肿瘤-主治医师-中山大学中山眼科中心.jpg,http://www.gzzoc.org.cn/expert-introduction?name=&department=All,官网专家列表页+官网医生详情页,2026-08-09,200,否,,待人工复核
