name,department,primary_title,title_level,source_link,detail_template,photo_url,path_kind,filename,bytes,sha256,width,height,detail_status,photo_status,photo_final_url
宋尔卫,乳腺外科,主任医师,正高,https://www.gzsys.org.cn/node/14894,node,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/doctor/10155.jpg,doctor-subdir,宋尔卫-乳腺外科-主任医师-中山大学孙逸仙纪念医院.jpg,23352,5ae0e992c91073ca0882ac0a1208a9634cff5c8104f6a56f151603398f7d9c8c,247,338,200,200,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/doctor/10155.jpg
陈样新,心血管内科,主任医师,正高,https://www.gzsys.org.cn/node/14820,node,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/12822.jpg,files-root,陈样新-心血管内科-主任医师-中山大学孙逸仙纪念医院.jpg,1731623,08338ee737613de07f475332030be71b55e3762f6c1d831f0aabd334c093dbd8,2450,3589,200,200,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/12822.jpg
詹俊,消化内科,主任医师,正高,https://www.gzsys.org.cn/doctor/14811,doctor,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/doctor/10547.jpg,doctor-subdir,詹俊-消化内科-主任医师-中山大学孙逸仙纪念医院.jpg,10354,e2296a8e111de8f690f827c58ca9bf33767353d6f59de7a7df30fdc1888844e5,168,240,200,200,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/doctor/10547.jpg
黄晓波,乳腺放疗专科,副主任医师,副高,https://www.gzsys.org.cn/node/14863,node,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/16732.jpg,files-root,黄晓波-乳腺放疗专科-副主任医师-中山大学孙逸仙纪念医院.jpg,132642,ce52e8fa1b3369e30493e3ecd204399b539d1386cc2f702bb76fe195ab7282de,413,626,200,200,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/16732.jpg
黎江,乳腺肿瘤中心,副研究员,副高,https://www.gzsys.org.cn/node/24064,node,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/1694406880991.png,files-root,黎江-乳腺肿瘤中心-副研究员-中山大学孙逸仙纪念医院.png,1454375,159b33e2f9e81652654f9c3738d40ecad5eec0bb1dd2fb49841608ce02a20be2,913,862,200,200,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/1694406880991.png
常瑞明,健康体检中心,副主任医师,副高,https://www.gzsys.org.cn/node/14716,node,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/doctor/11997.jpg,doctor-subdir,常瑞明-健康体检中心-副主任医师-中山大学孙逸仙纪念医院.jpg,323464,ef84c630a561675bb2eab1868d7bbd7c099f44a0bcceda50bcd41a5b90ec690c,768,1024,200,200,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/doctor/11997.jpg
马剑达,风湿免疫科,副主任医师,副高,https://www.gzsys.org.cn/doctor/31850,doctor,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/%E9%A9%AC%E5%89%91%E8%BE%BE.jpg,files-root,马剑达-风湿免疫科-副主任医师-中山大学孙逸仙纪念医院.jpg,1953463,7cd5dc63d4f60b2bca3543cbc9844ab64b01b1c19641811971d6ef84c66b5d0e,2731,3740,200,200,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/%E9%A9%AC%E5%89%91%E8%BE%BE.jpg
黄泽坚,肝胆外科,主治医师,其他,https://www.gzsys.org.cn/doctor/15361,doctor,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/doctor/12377.JPG,doctor-subdir,黄泽坚-肝胆外科-主治医师-中山大学孙逸仙纪念医院.jpg,2668268,7dcce92abe4788f6ead53998745cd48ab888127b4845d5e49471bb691daa8ff4,2148,3223,200,200,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/doctor/12377.JPG
曾志芬,全科医学科一科,主治医师,其他,https://www.gzsys.org.cn/doctor/15413,doctor,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/doctor/14316.jpg,doctor-subdir,曾志芬-全科医学科一科-主治医师-中山大学孙逸仙纪念医院.jpg,2133181,ca3ce66587a77d31aeaca1c8a0f8b9ed19c6e0b03a826011883ebf1162feea48,2013,2863,200,200,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/doctor/14316.jpg
李卓,肿瘤内科,主治医师,其他,https://www.gzsys.org.cn/doctor/29823,doctor,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/%E6%9D%8E%E5%8D%93-%E8%82%BF%E7%98%A4%E7%A7%91_0.jpg,files-root,李卓-肿瘤内科-主治医师-中山大学孙逸仙纪念医院.jpg,1502794,0ce5b817b7e355845c29cbc8de8999dbf6894ea8c00b6012bef6486360aaa544,1639,2314,200,200,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/%E6%9D%8E%E5%8D%93-%E8%82%BF%E7%98%A4%E7%A7%91_0.jpg
