序号,医院,姓名,科室_分类页,科室_列表卡片,职称_关键词,职称身份原文,重点优先级,重点关注范围,重点疾病标签,擅长诊疗方向摘录,亮眼经历线索,列表简介,详情正文摘录,来源类型,来源链接,采集入口,采集方式,采集日期,详情页状态,已建画像,异常提示,复核状态
1,中山大学孙逸仙纪念医院,宋尔卫,乳腺外科,乳腺外科,主任医师、研究员、教授,"教授, 主任医师, 研究员",高,肿瘤、免疫/风湿/感染,肿瘤、癌、乳腺癌、免疫,,乳腺外科教授、主任医师，博士生导师 第十三届、十四届全国人大代表 中国科学院院士 中山大学医学部主任 主要成就： 多年来坚持临床一线工作，是国内首批开展乳腺癌根治性保乳手术的外科医生之一， 其主编的《乳腺癌保乳治疗》等论著为乳癌保乳治疗在全国推广提供了规范性的指引。 研究成果 共计发表SCI论文176篇，包括作为通讯作者在Nature(2篇)、Cell (3篇)、Cancer Cell (3篇)、Nature Immunology(2篇)、Nature Cell Biology、Nature Cancer、Science Translational Medicine等发表的多篇论著。 研究成果被Science杂志评为2003年度全球十大科技进展，两次入选全国高校十大科技进展，并以第一完成人获国家自然科学二等奖，国家级教学成果奖二等奖，全国创新争先奖、何梁何利科学与技术创新奖、谈家桢生命科学成就奖、广东省科学技术突出贡献奖、...,,乳腺外科教授、主任医师，博士生导师 第十三届、十四届全国人大代表 中国科学院院士 中山大学医学部主任 主要成就： 多年来坚持临床一线工作，是国内首批开展乳腺癌根治性保乳手术的外科医生之一， 其主编的《乳腺癌保乳治疗》等论著为乳癌保乳治疗在全国推广提供了规范性的指引。 在此基础上他 结合临床进行应用基础和转化研究，尤其对肿瘤微环境和免疫治疗开展系统、深入的研究，取得了系列原创性学术成果，并提出肿瘤生态学说、肿瘤干细胞拟态学说及效应免疫细胞布控的新概念，奠定了肿瘤生态免疫治疗的理论基础 。 研究成果 共计发表SCI论文176篇，包括作为通讯作者在Nature(2篇)、Cell (3篇)、Cancer Cell (3篇)、Nature Immunology(2篇)、Nature Cell Biology、Nature Cancer、Science Translational Medicine等发表的多篇论著。 研究成果被Science杂志评为2003年度全球十大科技进展，两次入选全国高校十大科技进展，并以第一完成人获国家自然科学二等奖，国家级教学成果奖二等奖，全国创新争先奖、何梁何利科学与技术创新奖、谈家桢生命科学成就奖、广东省科学技术突出贡献奖、全国五一劳动奖章、世界科学院医学科学奖等。 鉴于其在肿瘤免疫及肿瘤微环境研究领域的国际影响力，Nature Reviews Drug Discovery，Trends in Cancer及Trends in Immunology等国际顶尖期刊多次邀请其撰写专题综述； Springer出版社特邀其编写肿瘤非编码RNA调控及肿瘤生态学专著。,医院官网,https://www.gzsys.org.cn/node/14894,https://www.gzsys.org.cn/doctor/592/search,官网默认 All 静态分页+.card-4-0 医生卡片+严格详情 DOM 抽取,2026-08-13,200,否,,待人工复核
2,中山大学孙逸仙纪念医院,陈样新,心血管内科,心血管内科,主任医师、教授,"教授, 主任医师",高,慢性病,心力衰竭,,教授，主任医师，博士生导师，中山大学孙逸仙纪念医院院长、党委副书记，中山大学中山医学院内科学系主任。 国家重点研发计划首席科学家，教育部新世纪优秀人才，广东省杰出青年医学人才。 国家心血管病专家委员会兼副秘书长，国家心律失常介入质控专家委员会委员，中国医师协会心律学专业委员会常务委员，中华医学会心血管病分会委员，中国医师协会心血管内科医师分会委员，美国心律学会委员（FHRS），中国卒中学会心血管病分会副主任委员，广东省医学会心血管病学分会候任主任委员，广东省精准医学应用学会副会长，《中华心血管病杂志》编委，《中国介入心脏病学杂志》编委。 是国内心脏植入器械（起搏器、ICD、CCM）的主要带教术者，率先在广东省内开展微创经导管二尖瓣钳夹术，率先在国内常规开展三尖瓣钳夹术、三尖瓣异位瓣膜植入术，同时协助多省数十家医院开展经导管瓣膜病手术。,,教授，主任医师，博士生导师，中山大学孙逸仙纪念医院院长、党委副书记，中山大学中山医学院内科学系主任。 国家重点研发计划首席科学家，教育部新世纪优秀人才，广东省杰出青年医学人才。 国家心血管病专家委员会兼副秘书长，国家心律失常介入质控专家委员会委员，中国医师协会心律学专业委员会常务委员，中华医学会心血管病分会委员，中国医师协会心血管内科医师分会委员，美国心律学会委员（FHRS），中国卒中学会心血管病分会副主任委员，广东省医学会心血管病学分会候任主任委员，广东省精准医学应用学会副会长，《中华心血管病杂志》编委，《中国介入心脏病学杂志》编委。 是国内心脏植入器械（起搏器、ICD、CCM）的主要带教术者，率先在广东省内开展微创经导管二尖瓣钳夹术，率先在国内常规开展三尖瓣钳夹术、三尖瓣异位瓣膜植入术，同时协助多省数十家医院开展经导管瓣膜病手术。 获广东省科技成果推广奖、广东省医学科技奖一等奖，主持1项国家重点研发计划，7项国家自然科学基金（含重点项目、专项），及多项省市级重点项目，从事心力衰竭、心律失常、心脏瓣膜病的临床和研究工作。,医院官网,https://www.gzsys.org.cn/node/14820,https://www.gzsys.org.cn/doctor/592/search,官网默认 All 静态分页+.card-4-0 医生卡片+严格详情 DOM 抽取,2026-08-13,200,否,,待人工复核
3,中山大学孙逸仙纪念医院,姚和瑞,乳腺内科、肿瘤内科,乳腺内科,主任医师、教授,"教授, 主任医师",高,肿瘤,肿瘤、癌、靶向、肺癌、肠癌、乳腺癌,,教授/主任医师； 中山大学孙逸仙纪念医院副院长，广东省抗癌协会肿瘤转移专业委员会副主任委员（候任主任委员）； 广东省胸部肿瘤防治研究会乳腺癌专业委员会副主任委员； 广东省中医药学会乳腺病专业委员会副主任委员；,,教授/主任医师； 中山大学孙逸仙纪念医院副院长，广东省抗癌协会肿瘤转移专业委员会副主任委员（候任主任委员）； 广东省胸部肿瘤防治研究会乳腺癌专业委员会副主任委员； 广东省中医药学会乳腺病专业委员会副主任委员； 广东省保健协会乳腺保健分会副主任委员； 广东省健康管理学会生育力保护专业委员会副主任委员； 广东省医学会肿瘤内科学分会常务委员； 广东省医学会肿瘤学分会常务委员等。 承担等国家自然科学基金五项，包括重点支持项目一项。 获国家自然科学奖二等奖（第三完成人）、教育部及广东省自然科学奖一等奖（均为第二完成人）。 主办广东省乳腺癌ASCO会后会及广东省肿瘤转移大会。 从事乳腺癌、肺癌、大肠癌等恶性肿瘤的内科治疗工作二十余年，对恶性肿瘤的规范化综合治疗有较深认识，擅长恶性肿瘤的分子靶向治疗。,医院官网,https://www.gzsys.org.cn/node/14897,https://www.gzsys.org.cn/doctor/592/search,官网默认 All 静态分页+.card-4-0 医生卡片+严格详情 DOM 抽取,2026-08-13,200,否,,待人工复核
4,中山大学孙逸仙纪念医院,唐亚梅,神经科,神经科,主任医师、研究员、教授,"教授, 主任医师, 研究员",中,,,,唐亚梅，主任医师、教授、研究员、博士生导师。 现任中山大学孙逸仙纪念医院副院长、脑科学中心及神经科学科带头人； 担任中国神经科学学会理事、中华医学会神经病学分会委员、广东省医学会神经病学分会副主任委员、广东省医师协会神经内科医师分会副主任委员、广东省卒中学会副会长。 曾获首届中国十大杰出青年神经内科医师、教育部新世纪优秀人才、第七届树兰医学青年奖、广东省科技进步一等奖（第一完成人）；,,唐亚梅，主任医师、教授、研究员、博士生导师。 现任中山大学孙逸仙纪念医院副院长、脑科学中心及神经科学科带头人； 担任中国神经科学学会理事、中华医学会神经病学分会委员、广东省医学会神经病学分会副主任委员、广东省医师协会神经内科医师分会副主任委员、广东省卒中学会副会长。 2019年获国家杰出青年科学基金，2016年获国家优秀青年科学基金。 曾获首届中国十大杰出青年神经内科医师、教育部新世纪优秀人才、第七届树兰医学青年奖、广东省科技进步一等奖（第一完成人）； 先后主持国家自然科学基金9项（含重点项目2项、国际(地区)合作与交流项目），并任科技创新2030-“脑科学与类脑研究”重大项目骨干、国家重点研发计划子课题负责人； 以最后通讯在JAMA、Nature Neuroscience、Nature Human Behaviour、Journal of Clinical Oncology、Science Translational Medicine、Neuron、Neuro-Oncology、Brain 等杂志发表SCI论文100余篇，获Nature Reviews Neuroscience亮点推荐，获邀在国际卒中大会、美国科学年会等进行报告； 授权专利12项； 牵头制定国内首部《放射性脑损伤诊治中国专家共识》，主编专著3项。,医院官网,https://www.gzsys.org.cn/node/14700,https://www.gzsys.org.cn/doctor/592/search,官网默认 All 静态分页+.card-4-0 医生卡片+严格详情 DOM 抽取,2026-08-13,200,否,,待人工复核
5,中山大学孙逸仙纪念医院,陈穗俊,耳鼻喉科,耳鼻喉科,主任医师、教授,"教授, 主任医师",高,术后恢复/康复,康复,,广东省杰出青年医学人才， 广州实力中青年医生， 中山大学校级督导。 广东省医学会耳鼻咽喉学分会常委； 广东省医学会耳鼻咽喉学分会耳科学组组长； 广东省医师协会耳鼻咽喉科医师分会常委；,,现任中山大学孙逸仙纪念医院副院长。 广东省杰出青年医学人才， 广州实力中青年医生， 中山大学校级督导。 广东省医学会耳鼻咽喉学分会常委； 广东省医学会耳鼻咽喉学分会耳科学组组长； 广东省医师协会耳鼻咽喉科医师分会常委； 广东省妇幼保健协会儿童听力保健专业委员会副主任委员； 广东省临床医学学会临床规范化培训与管理专委会副主任委员； 广东省精准医学应用学会听觉与前庭障碍分会副主任委员； 广东省康复医学会听力及言语康复分会常务理事、听力康复专业委员会副主任委员； 中国优生科学协会听觉医学分会常委； 中国中西医结合学会医学美容专业委员会耳整形分会常委； 广东省残疾人康复协会听力残疾康复专业委员会常委； 广东省医学教育协会医学模拟教育专业委员会常委； 广东省临床医学学会—耳内镜专业委员会顾问； 广东省健康管理学会耳鼻咽喉头颈病学专业委员会副秘书长； 泛亚面部整形美容外科学会中国区委员； 国际听力前庭内科医师联合会会员； 广东省青年联合会委员； 广州市 3D 打印技术产业联盟理事； 《中华耳鼻咽喉头颈外科杂志》通讯编委； 《中华耳科学》杂志编委。 主要专业研究方向：耳整形外科、侧颅底外科及耳显微外科。 在先天性中、外耳畸形的综合治疗、各种侧颅底手术、各种听觉植入手术及耳内窥镜手术方面达国内先进水平。 获省、部、校级课题十余项，在国内外核心期刊发表专业论文数十篇（9 篇 SCI）。 获中山大学校级教学成果奖二等奖。,医院官网,https://www.gzsys.org.cn/node/15288,https://www.gzsys.org.cn/doctor/592/search,官网默认 All 静态分页+.card-4-0 医生卡片+严格详情 DOM 抽取,2026-08-13,200,否,,待人工复核
6,中山大学孙逸仙纪念医院,黄海,泌尿外科,泌尿外科,主任医师、教授,"教授, 主任医师",高,肿瘤,肿瘤、癌,前列腺增生、前列腺癌、前列腺炎、尿失禁、神经源性膀胱及各类膀胱炎等下尿路疾病的诊治。,博士生导师，主任医师，中山大学孙逸仙纪念医院副院长，中华医学会泌尿外科分会尿控学组副组长。 2012年获得中华医学会临床技能大赛二等奖，2013年在中华医学会资助下先后在比利时鲁文大学泌尿外科中心、奥地利萨尔斯堡大学泌尿外科、芬兰坦佩雷大学泌尿外科中心学习。 2015年1月~2016年1月在国家留学基金委资助下，于美国德克萨斯医学中心生物技术学院进行博士后学习与研究，主要从事肿瘤自噬、炎-癌转化、肿瘤微环境在前列腺癌CRPC发病中机制的研究。 已主持3项国家自然科学基金，9项省部级科研基金，参与30余项国家重大计划、十二五、十三五计划项目、省部级项目。,,博士生导师，主任医师，中山大学孙逸仙纪念医院副院长，中华医学会泌尿外科分会尿控学组副组长。 熟悉泌尿系统肿瘤、结石、前列腺增生、前列腺炎、前列腺癌、尿失禁、神经源性膀胱及各类膀胱炎等疾病的诊治。 熟练掌握泌尿外科微创手术，比如腹腔镜手术、经皮肾镜、经尿道电切手术、输尿管镜技术。 2012年获得中华医学会临床技能大赛二等奖，2013年在中华医学会资助下先后在比利时鲁文大学泌尿外科中心、奥地利萨尔斯堡大学泌尿外科、芬兰坦佩雷大学泌尿外科中心学习。 2015年1月~2016年1月在国家留学基金委资助下，于美国德克萨斯医学中心生物技术学院进行博士后学习与研究，主要从事肿瘤自噬、炎-癌转化、肿瘤微环境在前列腺癌CRPC发病中机制的研究。 已主持3项国家自然科学基金，9项省部级科研基金，参与30余项国家重大计划、十二五、十三五计划项目、省部级项目。 目前在研研究经费4000万元。 以第一、共同第一作者或通讯、共同通讯作者发表SCI论文16篇，其中IF>5.0以上4篇，JCR分区一区1篇，二区3篇; 中华系列20余篇，其他参与文章50余篇。 主编专著1本，参编人卫本科教材2本，参编其他论著3本。 特长：擅长前列腺增生、前列腺癌、前列腺炎、尿失禁、神经源性膀胱及各类膀胱炎等下尿路疾病的诊治。 熟悉输尿管结石、肾结石、精索静脉曲张、膀胱癌、肾癌等泌尿系统常见疾病诊治。 熟练掌握泌尿外科微创手术，比如腹腔镜手术、经皮肾镜、经尿道电切手术、输尿管镜技术。 在“蓝丝带”中心培训获得TVT等相关尿失禁手术资格，在美国奥斯丁尿控中心培训获得骶神经刺激器手术资格。,医院官网,https://www.gzsys.org.cn/node/15263,https://www.gzsys.org.cn/doctor/592/search,官网默认 All 静态分页+.card-4-0 医生卡片+严格详情 DOM 抽取,2026-08-13,200,否,,待人工复核
7,中山大学孙逸仙纪念医院,严励,内分泌内科,内分泌内科,主任医师、教授,"教授, 主任医师",高,慢性病、疑难重症,糖尿病、代谢、多学科、高危,,教授、主任医师、博士生导师、中山大学名医。 现任中山大学孙逸仙纪念医院内分泌内科主任。 组建了多学科临床防治和转化医学研究团队，开展对高危足的筛查和干预； 建立了系统的血管病变评估（无创和有创）和治疗体系（药物、介入治疗），足溃疡规范治疗体系（多学科合作为基础的分阶段个体化管理）。,,"教授、主任医师、博士生导师、中山大学名医。 现任中山大学孙逸仙纪念医院内分泌内科主任。 长期工作在临床、教学、科研工作一线，在诊治内分泌系统疾病上具有丰富经验和独特见解。 提出“预防为主、分层综合管理、全程跟踪”的糖尿病足防治理念。 组建了多学科临床防治和转化医学研究团队，开展对高危足的筛查和干预； 建立了系统的血管病变评估（无创和有创）和治疗体系（药物、介入治疗），足溃疡规范治疗体系（多学科合作为基础的分阶段个体化管理）。 开展糖尿病足临床、基础及转化医学系列研究。 近年主持国家“十五”和“十一五”科技攻关课题分课题三项, 国家自然科学基金三项，国家重点研发计划（分课题）1项，卫生部临床学科重点项目一项, 教育部和省市科委科研课题十项，发表论著50多篇。 社会兼职：中华医学会内分泌学分会副主任委员,肥胖学组组长； 中国老年保健医学研究会老年内分泌与代谢病分会副主任委员； 广东省医师协会内分泌科医师分会主任委员； 广东省医学会糖尿病学分会常委； 广东省健康管理学会代谢与内分泌学分会副主委； 内科学第8版、第9版编委； 多家专业杂志期刊编委。",医院官网,https://www.gzsys.org.cn/node/15315,https://www.gzsys.org.cn/doctor/592/search,官网默认 All 静态分页+.card-4-0 医生卡片+严格详情 DOM 抽取,2026-08-13,200,否,,待人工复核
8,中山大学孙逸仙纪念医院,沈君,放射科影像专科,放射科影像专科,主任医师、教授,"教授, 主任医师",高,,,,"教授、主任医师，医学博士，博士生导师、博士后合作导师。 现任放射科主任，放射科及介入科党支部书记。 现任中华医学会放射学分会神经学组委员、中国医师协会放射医师分会心血管影像专业委员会副主任委员、中华医学会心心血管病学分会心血管病影像学组委员、中国医学影像技术研究会委员与理事、广东省医学会放射学分会副主任委员、广东省医师协会放射科医师分会副主任委员、广东省辐射防护协会医学辐射防护专业委员会副主任委员、广东省放射医学诊断质控中心副组长。 以第一/通讯（含共同）作者在Cell、Nat Commun、Adv Sci、Adv Funct Mater, ASC Nano、Small、Biomaterials、J ImmuoTher Cancer、Clin Cancer Res、Radiology、Int J Cancer、J Mater Chem等国际权威期刊发表论文78篇。",,"教授、主任医师，医学博士，博士生导师、博士后合作导师。 现任放射科主任，放射科及介入科党支部书记。 从事放射影像学诊断工作25年，擅长全身各系统疾病的影像学诊断。 现任中华医学会放射学分会神经学组委员、中国医师协会放射医师分会心血管影像专业委员会副主任委员、中华医学会心心血管病学分会心血管病影像学组委员、中国医学影像技术研究会委员与理事、广东省医学会放射学分会副主任委员、广东省医师协会放射科医师分会副主任委员、广东省辐射防护协会医学辐射防护专业委员会副主任委员、广东省放射医学诊断质控中心副组长。 全国高校放射诊断与治疗专业国家卫计委研究生规划教材《分子影像学》副主编、《神经放射诊断学》编委。 《Artificial Intelligence in Medical Imaging》主编、《中国化学快报》、《磁共振成像杂志》、《中华临床与解剖杂志》、《影像诊断与介入放射学杂志》等编委。 以第一/通讯（含共同）作者在Cell、Nat Commun、Adv Sci、Adv Funct Mater, ASC Nano、Small、Biomaterials、J ImmuoTher Cancer、Clin Cancer Res、Radiology、Int J Cancer、J Mater Chem等国际权威期刊发表论文78篇。 申请专利10项，授权发明专利2项，授权实用新型专利2项。",医院官网,https://www.gzsys.org.cn/node/14697,https://www.gzsys.org.cn/doctor/592/search,官网默认 All 静态分页+.card-4-0 医生卡片+严格详情 DOM 抽取,2026-08-13,200,否,,待人工复核
9,中山大学孙逸仙纪念医院,詹俊,消化内科,消化内科,主任医师、教授,"教授, 主任医师",高,术后恢复/康复,康复,,詹俊，内科副主任 ，消化肝病专科主任，内科医师培训基地主任，三级教授 、二级主任医师。 现任广东省医学会肝病学分会副主任委员、药肝学组组长，广东省医师协会消化医师分会常委，广东省医学会心身疾病分会常委，广东省委干部保健专家。 已在国内相关的医学杂志发表论文80余篇，SCI 9篇。 获中国医师协会2016年“住院医师心中好老师”国家级荣誉称号；,,詹俊，内科副主任 ，消化肝病专科主任，内科医师培训基地主任，三级教授 、二级主任医师。 现任广东省医学会肝病学分会副主任委员、药肝学组组长，广东省医师协会消化医师分会常委，广东省医学会心身疾病分会常委，广东省委干部保健专家。 具有丰富的临床经验，是我院2003年SARS抢救工作的主要参与者之一，救治近百位患者中，仅一例不成功，康复者无一例有股骨头坏死等严重后遗症。 已在国内相关的医学杂志发表论文80余篇，SCI 9篇。 参编专著5部； 已承担省科委课题四项； 多次承担国家级临床药物试验。 每年完成各级临床医师继续教育及培训工作多项； 获中国医师协会2016年“住院医师心中好老师”国家级荣誉称号；,医院官网,https://www.gzsys.org.cn/doctor/14811,https://www.gzsys.org.cn/doctor/592/search,官网默认 All 静态分页+.card-4-0 医生卡片+严格详情 DOM 抽取,2026-08-13,200,否,,待人工复核
10,中山大学孙逸仙纪念医院,刘宜敏,肿瘤科放疗专科,肿瘤放疗科,主任医师,主任医师,高,肿瘤,肿瘤、癌、放疗、鼻咽癌、乳腺癌,,主任医师，硕士生导师，肿瘤科副主任，肿瘤科放疗专科主任； 擅长鼻咽癌、宫颈癌、乳腺癌、口腔癌精准放疗及放、化、热综合治疗，在放射增敏方面有较深入研究。,,主任医师，硕士生导师，肿瘤科副主任，肿瘤科放疗专科主任； 政治面貌：中国共产党党员； 从事医教研工作30余年。 擅长鼻咽癌、宫颈癌、乳腺癌、口腔癌精准放疗及放、化、热综合治疗，在放射增敏方面有较深入研究。,医院官网,https://www.gzsys.org.cn/node/14861,https://www.gzsys.org.cn/doctor/592/search,官网默认 All 静态分页+.card-4-0 医生卡片+严格详情 DOM 抽取,2026-08-13,200,否,,待人工复核
