姓名,来源链接,状态,失败三态,照片链接,照片文件,字节数,SHA-256,宽,高,错误证据
医学教育,https://www.sysucc.org.cn/taxonomy/term/267,不适用,,,,,,,,来源非医生详情页，照片不适用
张玉晶,https://www.sysucc.org.cn/node/1664,实采,,https://www.sysucc.org.cn/sites/cc.prod.sysucloud2.sysu.edu.cn/files/styles/media_2_3_400_600/public/2023-03/zhangyujing-flk-202303.jpg?itok=qKl-dvbf,01_试点医院/中山大学肿瘤防治中心/照片/张玉晶-未标注-未标注-中山大学肿瘤防治中心.jpg,187622,d535a3de0a295263257412edd98e598cbd6963b693c7df4c1598a8c5e5537145,400,600,
丘惠娟,https://www.sysucc.org.cn/node/3768,实采,,https://www.sysucc.org.cn/sites/cc.prod.sysucloud2.sysu.edu.cn/files/styles/media_2_3_400_600/public/2023-04/qiuhuijuan-zyk-202304.jpg?itok=StUSWZpM,01_试点医院/中山大学肿瘤防治中心/照片/丘惠娟-中医科-副主任医师-中山大学肿瘤防治中心.jpg,188222,714dfe170f00245033f9210f89e971819e35a983b7391d802f7fdf3434edf115,400,600,
张蓓,https://www.sysucc.org.cn/node/3773,实采,,https://www.sysucc.org.cn/sites/cc.prod.sysucloud2.sysu.edu.cn/files/styles/media_2_3_400_600/public/2023-03/zhangbei-zhzyk-202303.jpg?itok=pjLX1l1m,01_试点医院/中山大学肿瘤防治中心/照片/张蓓-中医科-主任医师-中山大学肿瘤防治中心.jpg,162778,d31a996e2d5d53095c2200ef8ae992ec0501244d1b598d81d2a5f3cffcc78ceb,400,600,
戎煜明,https://www.sysucc.org.cn/node/3776,实采,,https://www.sysucc.org.cn/sites/cc.prod.sysucloud2.sysu.edu.cn/files/styles/media_2_3_400_600/public/2023-04/rongliming-zyk-202304.jpg?itok=o7AixnT0,01_试点医院/中山大学肿瘤防治中心/照片/戎煜明-中医科-副主任医师-中山大学肿瘤防治中心.jpg,207149,8c1e5d495e66c0be3618895e8312875f286c7eacec0b1eba64b1530388dc4252,400,600,
柯斌,https://www.sysucc.org.cn/node/3777,实采,,https://www.sysucc.org.cn/sites/cc.prod.sysucloud2.sysu.edu.cn/files/styles/media_2_3_400_600/public/2023-04/kebin-zyk-202304.jpg?itok=4M5749SP,01_试点医院/中山大学肿瘤防治中心/照片/柯斌-中医科-主任医师-中山大学肿瘤防治中心.jpg,205360,4722a5937cd3c9c5a3dda1cb4af9c9ed09e2e622869e7a57af625c35a385d6fb,400,600,
欧阳华强,https://www.sysucc.org.cn/node/6681,实采,,https://www.sysucc.org.cn/sites/cc.prod.sysucloud2.sysu.edu.cn/files/styles/media_2_3_400_600/public/2023-12/%E6%AC%A7%E9%98%B3%E5%8D%8E%E5%BC%BA..png?itok=35OEukLh,01_试点医院/中山大学肿瘤防治中心/照片/欧阳华强-中医科-副主任医师-中山大学肿瘤防治中心.png,233372,d7af0dddb9e6305db58f35481f7b634222ed33d1720b5ba1a0de1548f7ffbc4d,400,600,
范腾,https://www.sysucc.org.cn/node/8022,实采,,https://www.sysucc.org.cn/sites/cc.prod.sysucloud2.sysu.edu.cn/files/styles/media_2_3_400_600/public/2024-04/%E8%8C%83%E8%85%BEV2.png?itok=bogfpJYa,01_试点医院/中山大学肿瘤防治中心/照片/范腾-中医科-副主任医师-中山大学肿瘤防治中心.png,219160,98f7f25bdec482ec4210fedfa521cb52bdea92af46c75cf45472ee5b2572b08f,400,600,
阚钧,https://www.sysucc.org.cn/node/6488,实采,,https://www.sysucc.org.cn/sites/cc.prod.sysucloud2.sysu.edu.cn/files/styles/media_2_3_400_600/public/2023-07/3.png?itok=5Cu2aOiG,01_试点医院/中山大学肿瘤防治中心/照片/阚钧-中医科-副主任医师-中山大学肿瘤防治中心.png,177244,e5eee3ce361e089b07027cc039f9433129205b34fc52a7435e0c0fb39ff4b47f,400,600,
陈平,https://www.sysucc.org.cn/node/3778,实采,,https://www.sysucc.org.cn/sites/cc.prod.sysucloud2.sysu.edu.cn/files/styles/media_2_3_400_600/public/2026-06/%E9%99%88%E5%B9%B3.png?itok=vVF40yPS,01_试点医院/中山大学肿瘤防治中心/照片/陈平-中医科-副主任医师-中山大学肿瘤防治中心.png,292419,b7075a237beb4262a3c58e3a1bb87ce8c5bde780ffbc05dcbeb45d97d3b1c6dc,400,600,
陈徐贤,https://www.sysucc.org.cn/node/3774,实采,,https://www.sysucc.org.cn/sites/cc.prod.sysucloud2.sysu.edu.cn/files/styles/media_2_3_400_600/public/2023-04/chenxuxian-zyk-202304.jpg?itok=zeVeyMIM,01_试点医院/中山大学肿瘤防治中心/照片/陈徐贤-中医科-副主任医师-中山大学肿瘤防治中心.jpg,184717,3a551e8968757e6e2a19c233380710573cfa80aa01d9bbdc009a0a86caa85573,400,600,
