姓名,科室,职称层级,主职称,来源链接,页面模板,详情HTTP,照片引用属性,引用类型,派生样式,照片链接,照片HTTP,文件名,字节,SHA-256,魔数,宽,高,大图判定
夏忠军,血液肿瘤科,副高,副主任医师,https://www.sysucc.org.cn/node/3795,body.page-node-type-doctor > .title-4-0 .item-media img,200,src,派生图,media_2_3_400_600,https://www.sysucc.org.cn/sites/cc.prod.sysucloud2.sysu.edu.cn/files/styles/media_2_3_400_600/public/2023-04/xiazhongjun-xyzlk-202304.jpg?itok=a1jWIC9q,200,夏忠军-血液肿瘤科-副主任医师-中山大学肿瘤防治中心.jpg,182399,c1eb82d91d0e2f04c3fd122dbacdb89ae433952cce2ff200a88ce0a49e7fb829,FFD8FFE000104A4649460001,400,600,未命中
李力人,结直肠科,正高,主任医师,https://www.sysucc.org.cn/node/3678,body.page-node-type-doctor > .title-4-0 .item-media img,200,src,派生图,media_2_3_400_600,https://www.sysucc.org.cn/sites/cc.prod.sysucloud2.sysu.edu.cn/files/styles/media_2_3_400_600/public/2023-03/liliren-jzck-202303.jpg?itok=QCbgPT4_,200,李力人-结直肠科-主任医师-中山大学肿瘤防治中心.jpg,184053,0e1c45a2d519c3dd26021f75dc3916cb72d916ad34cfa1d3c2e00823f21fc582,FFD8FFE000104A4649460001,400,600,未命中
吴锡文,临床营养科,副高,副主任医师,https://www.sysucc.org.cn/node/12740,body.page-node-type-doctor > .title-4-0 .item-media img,200,src,派生图,media_2_3_400_600,https://www.sysucc.org.cn/sites/cc.prod.sysucloud2.sysu.edu.cn/files/styles/media_2_3_400_600/public/2026-05/%E5%90%B4%E9%94%A1%E6%96%87.jpg?itok=i2dpTSNg,200,吴锡文-临床营养科-副主任医师-中山大学肿瘤防治中心.jpg,222682,d70b9799fcdb36458b48837e547bacf56774c5432055b1c7c565b3297b61fbc7,FFD8FFE000104A4649460001,400,600,>200KB
张玉晶,未标注,其他,未标注,https://www.sysucc.org.cn/node/1664,body.page-node-type-doctor > .title-4-0 .item-media img,200,src,派生图,media_2_3_400_600,https://www.sysucc.org.cn/sites/cc.prod.sysucloud2.sysu.edu.cn/files/styles/media_2_3_400_600/public/2023-03/zhangyujing-flk-202303.jpg?itok=qKl-dvbf,200,张玉晶-未标注-未标注-中山大学肿瘤防治中心.jpg,187622,d535a3de0a295263257412edd98e598cbd6963b693c7df4c1598a8c5e5537145,FFD8FFE000104A4649460001,400,600,未命中
张翼鷟,儿童肿瘤科,正高,主任医师,https://www.sysucc.org.cn/node/3800,body.page-node-type-doctor > .title-4-0 .item-media img,200,src,派生图,media_2_3_400_600,https://www.sysucc.org.cn/sites/cc.prod.sysucloud2.sysu.edu.cn/files/styles/media_2_3_400_600/public/2023-03/zhangyizhuo-etzlk-202303.jpg?itok=6w-up3rS,200,张翼鷟-儿童肿瘤科-主任医师-中山大学肿瘤防治中心.jpg,208499,e0678a83043c6d89f2110554562713370b331e69f602fadd870aabbfacc48e24,FFD8FFE000104A4649460001,400,600,>200KB
张伟光,核医学科,副高,副主任技师,https://www.sysucc.org.cn/node/3892,body.page-node-type-doctor > .title-4-0 .item-media img,200,src,派生图,media_2_3_400_600,https://www.sysucc.org.cn/sites/cc.prod.sysucloud2.sysu.edu.cn/files/styles/media_2_3_400_600/public/import_images/upload/users/74/20210715/%E5%85%89%E8%80%81%E5%B8%88.webp_68437.jpg?itok=5vTcwxJj,200,张伟光-核医学科-副主任技师-中山大学肿瘤防治中心.jpg,119296,edcd869971132121384168562c3d4c7cefcaa5530805f2e9234490e88ff1f6d9,FFD8FFE000104A4649460001,400,600,未命中
刘方杰,放疗科,副高,副主任医师,https://www.sysucc.org.cn/node/8257,body.page-node-type-doctor > .title-4-0 .item-media img,200,src,派生图,media_2_3_400_600,https://www.sysucc.org.cn/sites/cc.prod.sysucloud2.sysu.edu.cn/files/styles/media_2_3_400_600/public/2024-06/%E5%88%98%E6%96%B9%E6%9D%B0.JPG?itok=y-c78e3H,200,刘方杰-放疗科-副主任医师-中山大学肿瘤防治中心.jpg,196322,1923931437abc2735b77f93e127d6fa45876a481df185fd409c574dc9e9359dc,FFD8FFE000104A4649460001,400,600,未命中
何霞,检验科,副高,副主任技师,https://www.sysucc.org.cn/node/13431,body.page-node-type-doctor > .title-4-0 .item-media img,200,src,派生图,media_2_3_400_600,https://www.sysucc.org.cn/sites/cc.prod.sysucloud2.sysu.edu.cn/files/styles/media_2_3_400_600/public/2026-07/%E4%BD%95%E9%9C%9E-%E7%85%A7%E7%89%87.jpg?itok=7vxedyIq,200,何霞-检验科-副主任技师-中山大学肿瘤防治中心.jpg,105021,2bc3f13c5e7129785f81d8d9063cc475e594da6066efea5604ba80a880d72993,FFD8FFE000104A4649460001,400,600,未命中
刘卓炜,泌尿外科,正高,一级主任医师,https://www.sysucc.org.cn/node/3720,body.page-node-type-doctor > .title-4-0 .item-media img,200,src,派生图,media_2_3_400_600,https://www.sysucc.org.cn/sites/cc.prod.sysucloud2.sysu.edu.cn/files/styles/media_2_3_400_600/public/2023-03/liuzhuowei-mnwk-202303.jpg?itok=o_PncJq1,200,刘卓炜-泌尿外科-一级主任医师-中山大学肿瘤防治中心.jpg,188412,8ea9c7ae22c01c2e8ec059e044b8581ab69995cd4daf3c5a314c39a1f8014c29,FFD8FFE000104A4649460001,400,600,未命中
夏建川,生物治疗中心,正高,教授,https://www.sysucc.org.cn/node/3781,body.page-node-type-doctor > .title-4-0 .item-media img,200,src,派生图,media_2_3_400_600,https://www.sysucc.org.cn/sites/cc.prod.sysucloud2.sysu.edu.cn/files/styles/media_2_3_400_600/public/2023-03/xiajianchuan-swzlzx-202303.jpg?itok=YiziUGXZ,200,夏建川-生物治疗中心-教授-中山大学肿瘤防治中心.jpg,172012,c1e9383171fb11bb0d3f28859da42a5a741f09a126e74aaac57fddf749b091bb,FFD8FFE000104A4649460001,400,600,未命中
