姓名,来源链接,状态,失败三态,照片链接,照片文件,字节数,SHA-256,宽,高,来源批次,错误证据
郭宇,https://www.fahsysu.org.cn/node/620,实采,,https://www.fahsysu.org.cn/sites/1h.prod.sysucloud1.sysu.edu.cn/files/styles/focal_point_480/public/2023-07/%E7%89%B9%E9%9C%80%E5%8C%BB%E7%96%97%E4%B8%AD%E5%BF%83%EF%BC%88%E6%99%AE%E9%80%9A%E5%A4%96%E7%A7%91%EF%BC%89%20%20%E9%83%AD%E5%AE%87%20%E6%AD%A3%E9%AB%98.jpg?itok=bOTm8n47,01_试点医院/中山大学附属第一医院/照片/郭宇-普通外科-主任医师-中山大学附属第一医院.jpg,138120,8f6ca8200e8c29c8fe4d2b91843db4fe53dfe5015563db341a803d5dfd9391c1,480,480,TRIAL_REUSE,
詹文华,https://www.fahsysu.org.cn/node/619,实采,,https://www.fahsysu.org.cn/sites/1h.prod.sysucloud1.sysu.edu.cn/files/styles/focal_point_480/public/2023-06/%E8%A9%B9%E6%96%87%E5%8D%8E_0.jpg?itok=o6X0iXsI,01_试点医院/中山大学附属第一医院/照片/詹文华-普通外科-主任医师-中山大学附属第一医院.jpg,222327,44b799f844d861a524a6cf65e146229468e482a2c316127e85ad524ffd3b2865,480,480,FULL_FETCH,
陈昆,https://www.fahsysu.org.cn/node/628,实采,,https://www.fahsysu.org.cn/sites/1h.prod.sysucloud1.sysu.edu.cn/files/styles/focal_point_480/public/050336.jpg?itok=iEOQvbHw,01_试点医院/中山大学附属第一医院/照片/陈昆-神经外科-主任医师-中山大学附属第一医院.jpg,228003,20d3be34791aaae72bc893ace22a18d6f8c6f38c7692d33e0a2f8d13ea654d1f,480,480,TRIAL_REUSE,
郭少雷,https://www.fahsysu.org.cn/node/641,实采,,https://www.fahsysu.org.cn/sites/1h.prod.sysucloud1.sysu.edu.cn/files/styles/focal_point_480/public/2025-04/%E7%A5%9E%E7%BB%8F%E5%A4%96%E7%A7%91_%E9%83%AD%E5%B0%91%E9%9B%B7.jpg?itok=r_p8SZ3i,01_试点医院/中山大学附属第一医院/照片/郭少雷-神经外科-主任医师-中山大学附属第一医院.jpg,116904,388fbe17f9ddd84072149e74784a349b08e6b21e9e85b867e399efa7b8bb985d,480,480,FULL_FETCH,
黄正松,https://www.fahsysu.org.cn/node/632,实采,,https://www.fahsysu.org.cn/sites/1h.prod.sysucloud1.sysu.edu.cn/files/styles/focal_point_480/public/%E9%BB%84%E6%AD%A3%E6%9D%BE.jpg?itok=pFsjE5ZZ,01_试点医院/中山大学附属第一医院/照片/黄正松-神经外科-主任医师-中山大学附属第一医院.jpg,167042,55ce7a98ae5bebfac6097bc33c80fb166cbe9ea3d24149b22842cc1a1108b25a,480,480,FULL_FETCH,
黄权,https://www.fahsysu.org.cn/node/631,实采,,https://www.fahsysu.org.cn/sites/1h.prod.sysucloud1.sysu.edu.cn/files/styles/focal_point_480/public/052458.jpg?itok=JXc_hjbb,01_试点医院/中山大学附属第一医院/照片/黄权-神经外科-主任医师-中山大学附属第一医院.jpg,158218,f3619e6eaf17b8c8fae0056203b1d34d65005a5ac01f5afa91f3a1ffb0e2bd26,480,480,FULL_FETCH,
何东升,https://www.fahsysu.org.cn/node/630,实采,,https://www.fahsysu.org.cn/sites/1h.prod.sysucloud1.sysu.edu.cn/files/styles/focal_point_480/public/2024-07/%E7%A5%9E%E7%BB%8F%E5%A4%96%E7%A7%91%E4%BD%95%E4%B8%9C%E5%8D%87%E6%AD%A3%E9%AB%98%20%E7%99%BD%E5%BA%95.jpg?itok=aDEsY-iN,01_试点医院/中山大学附属第一医院/照片/何东升-神经外科-主任医师-中山大学附属第一医院.jpg,133038,3385398175572947a523e497efba7bbc7356307ac146e2cf4a29d1706e8193f1,480,480,FULL_FETCH,
刘金龙,https://www.fahsysu.org.cn/node/634,实采,,https://www.fahsysu.org.cn/sites/1h.prod.sysucloud1.sysu.edu.cn/files/styles/focal_point_480/public/051033.jpg?itok=VSeK67VA,01_试点医院/中山大学附属第一医院/照片/刘金龙-神经外科-主任医师-中山大学附属第一医院.jpg,211143,333628d0ae16a296b40270fc8d36d6729446aaf8392859f80fc84232dfefaf0c,480,480,FULL_FETCH,
梁丰,https://www.fahsysu.org.cn/node/25607,实采,,https://www.fahsysu.org.cn/sites/1h.prod.sysucloud1.sysu.edu.cn/files/styles/focal_point_480/public/2026-03/%E7%A5%9E%E7%BB%8F%E5%A4%96%E7%A7%91%E6%A2%81%E4%B8%B0%E6%95%99%E6%8E%88%28%E5%8E%8B%E7%BC%A9%29.jpg?itok=FTSzVFQf,01_试点医院/中山大学附属第一医院/照片/梁丰-神经外科-主任医师-中山大学附属第一医院.jpg,149120,09d0718c53f767e5dd3b3c9f4cb52f08d7879cd6f42cda92bca0e4d9ce032c3a,480,480,FULL_FETCH,
林佳平,https://www.fahsysu.org.cn/node/633,实采,,https://www.fahsysu.org.cn/sites/1h.prod.sysucloud1.sysu.edu.cn/files/styles/focal_point_480/public/050903.jpg?itok=9eywVoLn,01_试点医院/中山大学附属第一医院/照片/林佳平-神经外科-主任医师-中山大学附属第一医院.jpg,227218,1a3ce38837963575873de2cd410e3e8b19f82d5a6793a610c3c32db9aac83b70,480,480,FULL_FETCH,
