record_type,name,department,primary_title,title_level,source_link,detail_id,detail_status,detail_probe_utc,detail_attempts,outcome,failure_state,focal_point_480_reference_count,media_candidate_count,detection_feature,excluded_resource_urls,photo_url,itok,path_kind,filename,bytes,sha256,extension,width,height,photo_status,photo_final_url
success,郭宇,普通外科,主任医师,正高,https://www.fahsysu.org.cn/node/620,620,200,2026-08-18T12:28:31Z,"[{""attempt"":1,""utc"":""2026-08-18T12:28:31Z"",""status"":200,""content_type"":""text/html"",""final_url"":""https://www.fahsysu.org.cn/node/620"",""error"":""""}]",success,,1,1,page references exactly one focal_point_480 URL with one itok,[],https://www.fahsysu.org.cn/sites/1h.prod.sysucloud1.sysu.edu.cn/files/styles/focal_point_480/public/2023-07/%E7%89%B9%E9%9C%80%E5%8C%BB%E7%96%97%E4%B8%AD%E5%BF%83%EF%BC%88%E6%99%AE%E9%80%9A%E5%A4%96%E7%A7%91%EF%BC%89%20%20%E9%83%AD%E5%AE%87%20%E6%AD%A3%E9%AB%98.jpg?itok=bOTm8n47,bOTm8n47,focal_point_480,郭宇-普通外科-主任医师-中山大学附属第一医院.jpg,138120,8f6ca8200e8c29c8fe4d2b91843db4fe53dfe5015563db341a803d5dfd9391c1,jpg,480,480,200,https://www.fahsysu.org.cn/sites/1h.prod.sysucloud1.sysu.edu.cn/files/styles/focal_point_480/public/2023-07/%E7%89%B9%E9%9C%80%E5%8C%BB%E7%96%97%E4%B8%AD%E5%BF%83%EF%BC%88%E6%99%AE%E9%80%9A%E5%A4%96%E7%A7%91%EF%BC%89%20%20%E9%83%AD%E5%AE%87%20%E6%AD%A3%E9%AB%98.jpg?itok=bOTm8n47
success,陈昆,神经外科,主任医师,正高,https://www.fahsysu.org.cn/node/628,628,200,2026-08-18T12:28:31Z,"[{""attempt"":1,""utc"":""2026-08-18T12:28:31Z"",""status"":200,""content_type"":""text/html"",""final_url"":""https://www.fahsysu.org.cn/node/628"",""error"":""""}]",success,,1,1,page references exactly one focal_point_480 URL with one itok,[],https://www.fahsysu.org.cn/sites/1h.prod.sysucloud1.sysu.edu.cn/files/styles/focal_point_480/public/050336.jpg?itok=iEOQvbHw,iEOQvbHw,focal_point_480,陈昆-神经外科-主任医师-中山大学附属第一医院.jpg,228003,20d3be34791aaae72bc893ace22a18d6f8c6f38c7692d33e0a2f8d13ea654d1f,jpg,480,480,200,https://www.fahsysu.org.cn/sites/1h.prod.sysucloud1.sysu.edu.cn/files/styles/focal_point_480/public/050336.jpg?itok=iEOQvbHw
success,陈蕾,烧伤与创面修复科,主任医师,正高,https://www.fahsysu.org.cn/node/666,666,200,2026-08-18T12:28:31Z,"[{""attempt"":1,""utc"":""2026-08-18T12:28:31Z"",""status"":200,""content_type"":""text/html"",""final_url"":""https://www.fahsysu.org.cn/node/666"",""error"":""""}]",success,,1,1,page references exactly one focal_point_480 URL with one itok,[],https://www.fahsysu.org.cn/sites/1h.prod.sysucloud1.sysu.edu.cn/files/styles/focal_point_480/public/2024-09/%E7%83%A7%E4%BC%A4%E4%B8%8E%E5%88%9B%E9%9D%A2%E5%A4%96%E7%A7%91_%E9%99%88%E8%95%BE_%E6%AD%A3%E9%AB%98_%E5%8E%8B%E7%BC%A9%E7%89%88.jpg?itok=dZ3rDTWU,dZ3rDTWU,focal_point_480,陈蕾-烧伤与创面修复科-主任医师-中山大学附属第一医院.jpg,155594,95bc0bf15134c3e6a3c2fca13b985a543ea7dbeffde2f9f34f6bf7a68330ef41,jpg,480,480,200,https://www.fahsysu.org.cn/sites/1h.prod.sysucloud1.sysu.edu.cn/files/styles/focal_point_480/public/2024-09/%E7%83%A7%E4%BC%A4%E4%B8%8E%E5%88%9B%E9%9D%A2%E5%A4%96%E7%A7%91_%E9%99%88%E8%95%BE_%E6%AD%A3%E9%AB%98_%E5%8E%8B%E7%BC%A9%E7%89%88.jpg?itok=dZ3rDTWU
success,陈炜,泌尿外科,主任医师,正高,https://www.fahsysu.org.cn/node/671,671,200,2026-08-18T12:28:32Z,"[{""attempt"":1,""utc"":""2026-08-18T12:28:32Z"",""status"":200,""content_type"":""text/html"",""final_url"":""https://www.fahsysu.org.cn/node/671"",""error"":""""}]",success,,1,1,page references exactly one focal_point_480 URL with one itok,[],https://www.fahsysu.org.cn/sites/1h.prod.sysucloud1.sysu.edu.cn/files/styles/focal_point_480/public/2023-06/%E9%99%88%E7%82%9C-%E7%99%BD%E5%A4%A7%E8%A4%82.jpg?itok=Ss1scQ85,Ss1scQ85,focal_point_480,陈炜-泌尿外科-主任医师-中山大学附属第一医院.jpg,156169,6fcbb20198ae056cef4610f894284a741eaba6d65684661003160aec29c71dcc,jpg,480,480,200,https://www.fahsysu.org.cn/sites/1h.prod.sysucloud1.sysu.edu.cn/files/styles/focal_point_480/public/2023-06/%E9%99%88%E7%82%9C-%E7%99%BD%E5%A4%A7%E8%A4%82.jpg?itok=Ss1scQ85
success,高勇,男科,主任医师,正高,https://www.fahsysu.org.cn/node/608,608,200,2026-08-18T12:28:32Z,"[{""attempt"":1,""utc"":""2026-08-18T12:28:32Z"",""status"":200,""content_type"":""text/html"",""final_url"":""https://www.fahsysu.org.cn/node/608"",""error"":""""}]",success,,1,1,page references exactly one focal_point_480 URL with one itok,[],https://www.fahsysu.org.cn/sites/1h.prod.sysucloud1.sysu.edu.cn/files/styles/focal_point_480/public/2024-08/%E9%AB%98%E5%8B%87%E8%A5%BF%E8%A3%85%E8%AF%81%E4%BB%B6%E7%85%A7-%E7%99%BD%E5%BA%95.jpg?itok=wNTLuzu8,wNTLuzu8,focal_point_480,高勇-男科-主任医师-中山大学附属第一医院.jpg,147348,110f2579902d3458ae024a8e6f9a991da7366bd548b0cbc94ab29ab3c0efe5ef,jpg,480,480,200,https://www.fahsysu.org.cn/sites/1h.prod.sysucloud1.sysu.edu.cn/files/styles/focal_point_480/public/2024-08/%E9%AB%98%E5%8B%87%E8%A5%BF%E8%A3%85%E8%AF%81%E4%BB%B6%E7%85%A7-%E7%99%BD%E5%BA%95.jpg?itok=wNTLuzu8
success,陈华东,小儿外科,副主任医师,副高,https://www.fahsysu.org.cn/node/35591,35591,200,2026-08-18T12:28:33Z,"[{""attempt"":1,""utc"":""2026-08-18T12:28:33Z"",""status"":200,""content_type"":""text/html"",""final_url"":""https://www.fahsysu.org.cn/node/35591"",""error"":""""}]",success,,1,1,page references exactly one focal_point_480 URL with one itok,[],https://www.fahsysu.org.cn/sites/1h.prod.sysucloud1.sysu.edu.cn/files/styles/focal_point_480/public/2025-04/%E5%B0%8F%E5%84%BF%E5%A4%96%E7%A7%91_%E9%99%88%E5%8D%8E%E4%B8%9C_%E5%89%AF%E9%AB%98.jpg?itok=d6Jyu392,d6Jyu392,focal_point_480,陈华东-小儿外科-副主任医师-中山大学附属第一医院.jpg,173253,86c9052b38279485a4a1be3cc8b094c8c01cbd7acd03d66ec97e5327a32739cf,jpg,480,480,200,https://www.fahsysu.org.cn/sites/1h.prod.sysucloud1.sysu.edu.cn/files/styles/focal_point_480/public/2025-04/%E5%B0%8F%E5%84%BF%E5%A4%96%E7%A7%91_%E9%99%88%E5%8D%8E%E4%B8%9C_%E5%89%AF%E9%AB%98.jpg?itok=d6Jyu392
success,程钢,整形外科,副主任医师,副高,https://www.fahsysu.org.cn/node/697,697,200,2026-08-18T12:28:33Z,"[{""attempt"":1,""utc"":""2026-08-18T12:28:33Z"",""status"":200,""content_type"":""text/html"",""final_url"":""https://www.fahsysu.org.cn/node/697"",""error"":""""}]",success,,1,1,page references exactly one focal_point_480 URL with one itok,[],https://www.fahsysu.org.cn/sites/1h.prod.sysucloud1.sysu.edu.cn/files/styles/focal_point_480/public/120310.jpg?itok=w_N9F_Il,w_N9F_Il,focal_point_480,程钢-整形外科-副主任医师-中山大学附属第一医院.jpg,154419,d007338ba3464aa43715e2decd461a9e23efe4e62656d6b158867f2bccf59427,jpg,480,480,200,https://www.fahsysu.org.cn/sites/1h.prod.sysucloud1.sysu.edu.cn/files/styles/focal_point_480/public/120310.jpg?itok=w_N9F_Il
success,雷艺炎,胸外科,副主任医师,副高,https://www.fahsysu.org.cn/node/708,708,200,2026-08-18T12:28:34Z,"[{""attempt"":1,""utc"":""2026-08-18T12:28:34Z"",""status"":200,""content_type"":""text/html"",""final_url"":""https://www.fahsysu.org.cn/node/708"",""error"":""""}]",success,,1,1,page references exactly one focal_point_480 URL with one itok,[],https://www.fahsysu.org.cn/sites/1h.prod.sysucloud1.sysu.edu.cn/files/styles/focal_point_480/public/092816.jpg_.png?itok=9Tgdq8iX,9Tgdq8iX,focal_point_480,雷艺炎-胸外科-副主任医师-中山大学附属第一医院.png,195696,4dfdcfb3d07cf27510fabe2cee1e431cbfa45c89f63e3975949987239c9c25be,png,480,480,200,https://www.fahsysu.org.cn/sites/1h.prod.sysucloud1.sysu.edu.cn/files/styles/focal_point_480/public/092816.jpg_.png?itok=9Tgdq8iX
success,汪睿,血管外科,副主任医师,副高,https://www.fahsysu.org.cn/node/38171,38171,200,2026-08-18T12:28:34Z,"[{""attempt"":1,""utc"":""2026-08-18T12:28:34Z"",""status"":200,""content_type"":""text/html"",""final_url"":""https://www.fahsysu.org.cn/node/38171"",""error"":""""}]",success,,1,1,page references exactly one focal_point_480 URL with one itok,[],https://www.fahsysu.org.cn/sites/1h.prod.sysucloud1.sysu.edu.cn/files/styles/focal_point_480/public/2026-03/%E8%A1%80%E7%AE%A1%E5%A4%96%E7%A7%91_%E6%B1%AA%E7%9D%BF.png?itok=eMFgyMQO,eMFgyMQO,focal_point_480,汪睿-血管外科-副主任医师-中山大学附属第一医院.png,240886,a8322ce000192e6cef84ad80bfb37f1c3101e74c529ef3499ad525dd23dc7e0e,png,480,480,200,https://www.fahsysu.org.cn/sites/1h.prod.sysucloud1.sysu.edu.cn/files/styles/focal_point_480/public/2026-03/%E8%A1%80%E7%AE%A1%E5%A4%96%E7%A7%91_%E6%B1%AA%E7%9D%BF.png?itok=eMFgyMQO
success,林维浩,甲状腺外科,副主任医师,副高,https://www.fahsysu.org.cn/node/726,726,200,2026-08-18T12:28:35Z,"[{""attempt"":1,""utc"":""2026-08-18T12:28:35Z"",""status"":200,""content_type"":""text/html"",""final_url"":""https://www.fahsysu.org.cn/node/726"",""error"":""""}]",success,,1,1,page references exactly one focal_point_480 URL with one itok,[],https://www.fahsysu.org.cn/sites/1h.prod.sysucloud1.sysu.edu.cn/files/styles/focal_point_480/public/115210.jpg?itok=-VxB9nzJ,-VxB9nzJ,focal_point_480,林维浩-甲状腺外科-副主任医师-中山大学附属第一医院.jpg,179857,eece333184d87678e10422ff4a34e2025875d85e9c5bffb06bf56e057d71ad96,jpg,480,480,200,https://www.fahsysu.org.cn/sites/1h.prod.sysucloud1.sysu.edu.cn/files/styles/focal_point_480/public/115210.jpg?itok=-VxB9nzJ
