姓名,来源链接,状态,失败三态,照片链接,照片文件,字节数,SHA-256,宽,高,错误证据
内科,https://www.zssy.com.cn/node/6008,失败,无照片容器,,,,,,,无照片容器
外科,https://www.zssy.com.cn/node/14062,失败,无照片容器,,,,,,,无照片容器
李名安,https://www.zssy.com.cn/node/15372,实采,,https://www.zssy.com.cn/sites/zssy.prod.sysucloud1.sysu.edu.cn/files/%E6%9D%8E%E5%90%8D%E5%AE%89.jpg,01_试点医院/中山大学附属第三医院/照片/李名安-介入科-副主任医师-中山大学附属第三医院.jpg,762255,60b88cda2d1276f0aae049ca5d9ee144bb782c63abfb77b50ec7d842e4352339,2022,2172,
吴春,https://www.zssy.com.cn/node/14218,实采,,https://www.zssy.com.cn/sites/zssy.prod.sysucloud1.sysu.edu.cn/files/2017092716543556019517.png,01_试点医院/中山大学附属第三医院/照片/吴春-介入科-副主任医师-中山大学附属第三医院.jpg,99023,4cc044985ca700e3b4417561082bdfae59e354d613c4ce569ad098224543d037,364,450,
张炎,https://www.zssy.com.cn/node/11266,实采,,https://www.zssy.com.cn/sites/zssy.prod.sysucloud1.sysu.edu.cn/files/2014031122491698609594.jpg,01_试点医院/中山大学附属第三医院/照片/张炎-不育与性医学科-主任医师-中山大学附属第三医院.jpg,129963,7141704879cda58dbac5bd2df50ef6e8d344fcde557ad354751b08b395304fa5,521,694,
齐涛,https://www.zssy.com.cn/node/28381,实采,,https://www.zssy.com.cn/sites/zssy.prod.sysucloud1.sysu.edu.cn/files/%E9%BD%90%E6%B6%9B.png,01_试点医院/中山大学附属第三医院/照片/齐涛-不育与性医学科-副主任医师-中山大学附属第三医院.png,408710,7858d3f366ff645eeb1f979a74eb3f2e6191eb607213b98ef7b595caa538eeb2,650,948,
精神,https://www.zssy.com.cn/node/14071,失败,无照片容器,,,,,,,无照片容器
中医科,https://www.zssy.com.cn/node/14072,失败,无照片容器,,,,,,,无照片容器
张昆,https://www.zssy.com.cn/node/20373,实采,,https://www.zssy.com.cn/sites/zssy.prod.sysucloud1.sysu.edu.cn/files/11_3.jpg,01_试点医院/中山大学附属第三医院/照片/张昆-中医科-副主任医师-中山大学附属第三医院.jpg,179247,323508cc721d20a6fa91db7cccadd00c3f190746325864f75ad26a9364b2d420,390,567,
张炯善,https://www.zssy.com.cn/node/23368,实采,,https://www.zssy.com.cn/sites/zssy.prod.sysucloud1.sysu.edu.cn/files/24.jpg,01_试点医院/中山大学附属第三医院/照片/张炯善-中医科-副主任医师-中山大学附属第三医院.jpg,172896,d8013c54d28882b3558ccf2e8acc824e270832747eb361afac4a13f21d4ef5f8,390,567,
戴敏,https://www.zssy.com.cn/node/11292,实采,,https://www.zssy.com.cn/sites/zssy.prod.sysucloud1.sysu.edu.cn/files/29.jpg,01_试点医院/中山大学附属第三医院/照片/戴敏-中医科-主任医师-中山大学附属第三医院.jpg,174915,2f890180d8a776b8746f9064c3972d9144d68a06b36fbce87167a1110954214b,390,567,
招柏明,https://www.zssy.com.cn/node/28422,实采,,https://www.zssy.com.cn/sites/zssy.prod.sysucloud1.sysu.edu.cn/files/30%20%E6%8B%9B%E6%9F%8F%E6%98%8E.jpg,01_试点医院/中山大学附属第三医院/照片/招柏明-中医科-副主任医师-中山大学附属第三医院.jpg,174058,c0cb48952e5a1c92ee4d2d9989077fe5cb459f0bbf7958812c2ffed7fec8fd04,390,567,
李永伟,https://www.zssy.com.cn/node/11289,实采,,https://www.zssy.com.cn/sites/zssy.prod.sysucloud1.sysu.edu.cn/files/32.jpg,01_试点医院/中山大学附属第三医院/照片/李永伟-中医科-副主任医师-中山大学附属第三医院.jpg,182250,fe8dfef2f09881b7c23c9ab13f8844377a57ba8c4fab71ed07bee90c90e34487,390,567,
李跃,https://www.zssy.com.cn/node/28419,实采,,https://www.zssy.com.cn/sites/zssy.prod.sysucloud1.sysu.edu.cn/files/36%E6%9D%8E%E8%B7%83.jpg,01_试点医院/中山大学附属第三医院/照片/李跃-中医科-副主任医师-中山大学附属第三医院.jpg,191452,8446a34b0c6fad072a22e2f5e9f8e8fba5862cacec5bf52881806d4785a0a125,390,567,
杨宏志,https://www.zssy.com.cn/node/11072,实采,,https://www.zssy.com.cn/sites/zssy.prod.sysucloud1.sysu.edu.cn/files/6_0.jpg,01_试点医院/中山大学附属第三医院/照片/杨宏志-中医科-主任医师-中山大学附属第三医院.jpg,176186,dfc1801f7a9c6c6ef38509a380f595ebb738bfb1689f2e4f9a108ee4911fd3db,390,567,
杨跃武,https://www.zssy.com.cn/node/11291,实采,,https://www.zssy.com.cn/sites/zssy.prod.sysucloud1.sysu.edu.cn/files/5_1.jpg,01_试点医院/中山大学附属第三医院/照片/杨跃武-中医科-副主任医师-中山大学附属第三医院.jpg,176015,51c517599a1a9c6c03ba1f8e113349d5df735b65936a61b89b74121721dd5cfa,390,567,
王凤林,https://www.zssy.com.cn/node/20369,实采,,https://www.zssy.com.cn/sites/zssy.prod.sysucloud1.sysu.edu.cn/files/21.jpg,01_试点医院/中山大学附属第三医院/照片/王凤林-中医科-副主任医师-中山大学附属第三医院.jpg,175801,c425a8d65d16ffd2c4c52944cb9de9db82a0f5a8415cdd9d52ce7735287d8d31,390,567,
王拥泽,https://www.zssy.com.cn/node/11312,实采,,https://www.zssy.com.cn/sites/zssy.prod.sysucloud1.sysu.edu.cn/files/25.jpg,01_试点医院/中山大学附属第三医院/照片/王拥泽-中医科-副主任医师-中山大学附属第三医院.jpg,183189,aa8ef504f2e5e4593b3bdd13d231ff04611c3a6cb6c92e843b29f27d18fe0a51,390,567,
谢和平,https://www.zssy.com.cn/node/11297,实采,,https://www.zssy.com.cn/sites/zssy.prod.sysucloud1.sysu.edu.cn/files/3.jpg,01_试点医院/中山大学附属第三医院/照片/谢和平-中医科-副主任医师-中山大学附属第三医院.jpg,179765,2aaf5147a17f8dbba29772a1e0db822e3a819331eeb51066572363e618935b80,390,567,
邹增城,https://www.zssy.com.cn/node/28420,实采,,https://www.zssy.com.cn/sites/zssy.prod.sysucloud1.sysu.edu.cn/files/34%20%E9%82%B9%E5%A2%9E%E5%9F%8E.jpg,01_试点医院/中山大学附属第三医院/照片/邹增城-中医科-副主任医师-中山大学附属第三医院.jpg,175708,5141b222c9d2ef88e9a69ba383ab9fdb8a8ecaa313abe8d722318ade5819a212,390,567,
陈燕,https://www.zssy.com.cn/node/20372,实采,,https://www.zssy.com.cn/sites/zssy.prod.sysucloud1.sysu.edu.cn/files/27.jpg,01_试点医院/中山大学附属第三医院/照片/陈燕-中医科-副主任医师-中山大学附属第三医院.jpg,172865,a24552fc128dd0fab069a17766cd9c4be46da8ce84358d10f15c9b7bb1d3efd2,390,567,
陈鸿杰,https://www.zssy.com.cn/node/28421,实采,,https://www.zssy.com.cn/sites/zssy.prod.sysucloud1.sysu.edu.cn/files/15%20%E9%99%88%E9%B8%BF%E6%9D%B0.jpg,01_试点医院/中山大学附属第三医院/照片/陈鸿杰-中医科-副主任医师-中山大学附属第三医院.jpg,170225,4426347c51bc6c8f16e766b7a78016e673b2efde9b8da45ebbb4cc20ddfb158d,390,567,
卞华伟,https://www.zssy.com.cn/node/15400,实采,,https://www.zssy.com.cn/sites/zssy.prod.sysucloud1.sysu.edu.cn/files/%E6%97%A0%E6%A0%87%E9%A2%98.png,01_试点医院/中山大学附属第三医院/照片/卞华伟-临床营养科-副主任医师-中山大学附属第三医院.png,347003,378a07eaf660d00633698e1d4772c8cae81a0110bf81cff293868351a9fb94bf,325,466,
吴玲玲,https://www.zssy.com.cn/node/14151,实采,,https://www.zssy.com.cn/sites/zssy.prod.sysucloud1.sysu.edu.cn/files/f428bd0cdf91c5f705f7880f664a018.png,01_试点医院/中山大学附属第三医院/照片/吴玲玲-产科-主任医师-中山大学附属第三医院.png,1792350,63480558e9a2e05e5925a53370a72a90abfcc6965daa4b68cbeb92ed684d8244,2480,1949,
周水生,https://www.zssy.com.cn/node/14148,实采,,https://www.zssy.com.cn/sites/zssy.prod.sysucloud1.sysu.edu.cn/files/6f53dfb34f950b13c7004f7902ba51e.png,01_试点医院/中山大学附属第三医院/照片/周水生-产科-副主任医师-中山大学附属第三医院.png,964465,b91f1f0aeb6b6a6a5259e81a7c6fce77cb62449571029b1b6ec2b0c2296d7ad3,1558,1238,
周瑾,https://www.zssy.com.cn/node/28849,实采,,https://www.zssy.com.cn/sites/zssy.prod.sysucloud1.sysu.edu.cn/files/%E5%91%A8%E7%91%BE.png,01_试点医院/中山大学附属第三医院/照片/周瑾-产科-副主任医师-中山大学附属第三医院.png,588042,e50e8aa53a408cd9a025a65fa75ed6f66da8a4e5b52078fabe2fb7b827016bad,874,695,
