姓名,科室,职称层级,主职称,来源链接,详情HTTP,照片链接,照片HTTP,文件名,字节,SHA-256,魔数,宽,高,大图判定
张晓红,感染性疾病科,正高,主任医师,https://www.zssy.com.cn/node/11100,200,https://www.zssy.com.cn/sites/zssy.prod.sysucloud1.sysu.edu.cn/files/2014021909275728200283.jpg,200,张晓红-感染性疾病科-主任医师-中山大学附属第三医院.jpg,189270,35249fdb9c9a2ee3d48fa4e899837607d36b44822175b3253461413c828c7fbd,FFD8FFE000104A4649460001,500,702,未命中
张炎,不育与性医学科,正高,主任医师,https://www.zssy.com.cn/node/11266,200,https://www.zssy.com.cn/sites/zssy.prod.sysucloud1.sysu.edu.cn/files/2014031122491698609594.jpg,200,张炎-不育与性医学科-主任医师-中山大学附属第三医院.jpg,129963,7141704879cda58dbac5bd2df50ef6e8d344fcde557ad354751b08b395304fa5,FFD8FFE000104A4649460001,521,694,未命中
吴玲玲,产科,正高,主任医师,https://www.zssy.com.cn/node/14151,200,https://www.zssy.com.cn/sites/zssy.prod.sysucloud1.sysu.edu.cn/files/f428bd0cdf91c5f705f7880f664a018.png,200,吴玲玲-产科-主任医师-中山大学附属第三医院.png,1792350,63480558e9a2e05e5925a53370a72a90abfcc6965daa4b68cbeb92ed684d8244,89504E470D0A1A0A0000000D,2480,1949,>200KB、宽>800px
李名安,介入科,副高,副主任医师,https://www.zssy.com.cn/node/15372,200,https://www.zssy.com.cn/sites/zssy.prod.sysucloud1.sysu.edu.cn/files/%E6%9D%8E%E5%90%8D%E5%AE%89.jpg,200,李名安-介入科-副主任医师-中山大学附属第三医院.jpg,762255,60b88cda2d1276f0aae049ca5d9ee144bb782c63abfb77b50ec7d842e4352339,FFD8FFE000104A4649460001,2022,2172,>200KB、宽>800px
唐新意,儿科,副高,副主任医师,https://www.zssy.com.cn/node/11202,200,https://www.zssy.com.cn/sites/zssy.prod.sysucloud1.sysu.edu.cn/files/2019031312012796557340.jpg,200,唐新意-儿科-副主任医师-中山大学附属第三医院.jpg,122750,e60bb5b46393650db6e19fe9a30b176d3ae7f4e462a585814a9a443b3e73c40e,FFD8FFE000104A4649460001,390,567,未命中
巴俊慧,内科ICU,中级,主治医师,https://www.zssy.com.cn/node/15335,200,https://www.zssy.com.cn/sites/zssy.prod.sysucloud1.sysu.edu.cn/files/%E5%B7%B4%E5%B7%B4%E8%AF%81%E4%BB%B6%E7%85%A7.jpg,200,巴俊慧-内科ICU-主治医师-中山大学附属第三医院.jpg,169165,9a76d854133d1483952b45ac5338b518ee0715c6ebc855981de00064dd4638a9,FFD8FFE100F8457869660000,851,1179,宽>800px
杨婷,核医学科,中级,主治医师,https://www.zssy.com.cn/node/29795,200,https://www.zssy.com.cn/sites/zssy.prod.sysucloud1.sysu.edu.cn/files/%E6%9D%A8%E5%A9%B71.png,200,杨婷-核医学科-主治医师-中山大学附属第三医院.png,1256240,eb2b3a074a9da970f205e6a9c750e789a6e857c454879a30fdf118ab75bd6c87,89504E470D0A1A0A0000000D,1280,1642,>200KB、宽>800px
周攀,脊柱侧弯中心,初级,医师,https://www.zssy.com.cn/node/29985,200,https://www.zssy.com.cn/sites/zssy.prod.sysucloud1.sysu.edu.cn/files/1_18.jpg,200,周攀-脊柱侧弯中心-医师-中山大学附属第三医院.jpg,362675,b576d1ce4a9fd253e69de069986b433158aa572797b89778906d5cf50024a17b,FFD8FFE000104A4649460001,1879,2334,>200KB、宽>800px
黄晓飞,脑血管外科,初级,医师,https://www.zssy.com.cn/node/23590,200,https://www.zssy.com.cn/sites/zssy.prod.sysucloud1.sysu.edu.cn/files/%E5%9B%BE%E7%89%872_4.png,200,黄晓飞-脑血管外科-医师-中山大学附属第三医院.png,88362,ee91b257b0f14039d4e6fbbb313416465a944cc83f95c4ace37ef4309a87898c,89504E470D0A1A0A0000000D,295,441,未命中
李舣婷,全科医学科,初级,住院医师,https://www.zssy.com.cn/node/15243,200,https://www.zssy.com.cn/sites/zssy.prod.sysucloud1.sysu.edu.cn/files/%E5%BE%AE%E4%BF%A1%E5%9B%BE%E7%89%87_20210827182004.jpg,200,李舣婷-全科医学科-住院医师-中山大学附属第三医院.jpg,80574,2167fb32b99ecfc1f292b9c1240952ca706f6377a934c3c24d48b52047d014d7,FFD8FFE000104A4649460001,1080,1571,宽>800px
