姓名,科室,职称层级,主职称,来源链接,页面模板,详情HTTP,照片引用属性,引用类型,派生样式,照片链接,照片HTTP,文件名,字节,SHA-256,魔数,宽,高,大小分布,大图判定
丁立,感染病防治中心,正高,主任医师,https://www.sysu5.cn/medical-service/department-expert/doctor/10285,body.page-node-type-doctor .field.field-featured-media.field-item img,200,src,派生图,watermark,https://www.sysu5.cn/sites/default/files/styles/watermark/public/2026-01/%E4%B8%81%E7%AB%8B20260114.jpg?itok=05NNMaX8,200,丁立-感染病防治中心-主任医师-中山大学附属第五医院.jpg,337311,0dce45a0cc4a0f362ebd62f4d7fe0b29b2c43981a068f8364316ba6eca3f64cc,FFD8FFE000104A4649460001,800,1173,200KiB-1MiB,>200KiB
王莉,产科,正高,主任医师,https://www.sysu5.cn/medical-service/department-expert/doctor/9108,body.page-node-type-doctor .field.field-featured-media.field-item img,200,src,派生图,watermark,https://www.sysu5.cn/sites/default/files/styles/watermark/public/2024-07/1612726913074176486.jpg?itok=XaiKihUC,200,王莉-产科-主任医师-中山大学附属第五医院.jpg,91058,325c685b5ce081eb403c2e98ab1b845f23bb3d5251a6881ee9647e98e664b11e,FFD8FFE000104A4649460001,390,538,<200KiB,未命中
何欢欢,分子影像中心,正高,研究员,https://www.sysu5.cn/medical-service/department-expert/doctor/10860,body.page-node-type-doctor .field.field-featured-media.field-item img,200,src,派生图,watermark,https://www.sysu5.cn/sites/default/files/styles/watermark/public/2024-07/1532281060787269620.png?itok=d7SsoPuq,200,何欢欢-分子影像中心-研究员-中山大学附属第五医院.png,139452,4d04102ad969a66c7a98545c98b4718f1001890bf51843c37f618d090c177619,89504E470D0A1A0A0000000D,358,441,<200KiB,未命中
韩宗萍,临床营养科,副高,副主任医师,https://www.sysu5.cn/medical-service/department-expert/doctor/10837,body.page-node-type-doctor .field.field-featured-media.field-item img,200,src,派生图,watermark,https://www.sysu5.cn/sites/default/files/styles/watermark/public/2024-11/20240723170705207.jpg?itok=t8sBWUQb,200,韩宗萍-临床营养科-副主任医师-中山大学附属第五医院.jpg,327433,d88fa95e914fd179b077f382f566e1c5d25a0b15a9b0df16f738327276ab7e8b,FFD8FFE000104A4649460001,1181,1656,200KiB-1MiB,>200KiB
孙一,口腔科,副高,副主任医师,https://www.sysu5.cn/medical-service/department-expert/doctor/12229,body.page-node-type-doctor .field.field-featured-media.field-item img,200,src,派生图,watermark,https://www.sysu5.cn/sites/default/files/styles/watermark/public/2025-04/20250410162834341.jpg?itok=9Xhx2D7i,200,孙一-口腔科-副主任医师-中山大学附属第五医院.jpg,1109955,f4465894450ce933dd084255637206e47862434cac34d819927d0a7fcc8e063b,FFD8FFE000104A4649460001,1906,2668,1-5MiB,>200KiB
林子玲,康复医学科,副高,副主任医师,https://www.sysu5.cn/medical-service/department-expert/doctor/10767,body.page-node-type-doctor .field.field-featured-media.field-item img,200,src,派生图,watermark,https://www.sysu5.cn/sites/default/files/styles/watermark/public/2024-07/1595378134940594203.jpg?itok=gqJkBoGL,200,林子玲-康复医学科-副主任医师-中山大学附属第五医院.jpg,74834,71eddf34ed89eed8dd632721d7061a8ac8251a16bb0f475f8ad70e26f7bbd088,FFD8FFE000104A4649460001,390,567,<200KiB,未命中
张玉龙,中医科,其他,医师,https://www.sysu5.cn/medical-service/department-expert/doctor/10710,body.page-node-type-doctor .field.field-featured-media.field-item img,200,src,派生图,watermark,https://www.sysu5.cn/sites/default/files/styles/watermark/public/2024-07/20231227153436028.jpg?itok=1QiSP_cz,200,张玉龙-中医科-医师-中山大学附属第五医院.jpg,386158,e530a3bed5244e4cbdbe9dde37d8221aa39e1bc073d902ff3bc0e305f562bbd1,FFD8FFE000104A4649460001,896,1228,200KiB-1MiB,>200KiB
徐晓露,乳腺肿瘤内科,其他,医师,https://www.sysu5.cn/medical-service/department-expert/doctor/14096,body.page-node-type-doctor .field.field-featured-media.field-item img,200,src,派生图,watermark,https://www.sysu5.cn/sites/default/files/styles/watermark/public/2026-07/%E5%BE%90%E6%99%93%E9%9C%B2%EF%BC%88185284%EF%BC%8920260708.jpg?itok=Qo_g9Y4Z,200,徐晓露-乳腺肿瘤内科-医师-中山大学附属第五医院.jpg,591199,898784303439634a2270c6494bf738400ef5b459633ec31dc75e0f1491b880bc,FFD8FFE000104A4649460001,1000,1500,200KiB-1MiB,>200KiB
余圆圆,创面修复与烧伤外科,其他,主治医师,https://www.sysu5.cn/medical-service/department-expert/doctor/10904,body.page-node-type-doctor .field.field-featured-media.field-item img,200,src,派生图,watermark,https://www.sysu5.cn/sites/default/files/styles/watermark/public/2024-07/20240521151603060.png?itok=Qwzp8mrZ,200,余圆圆-创面修复与烧伤外科-主治医师-中山大学附属第五医院.png,323758,6f75f49372bf191dfa3c04d93843445f7fb1a75695fccc1402103541b675f442,89504E470D0A1A0A0000000D,424,591,200KiB-1MiB,>200KiB
刘天民,心血管内科,其他,主治医师,https://www.sysu5.cn/medical-service/department-expert/doctor/2241,body.page-node-type-doctor .field.field-featured-media.field-item img,200,src,派生图,watermark,https://www.sysu5.cn/sites/default/files/styles/watermark/public/2024-07/1594578235279441829.jpg?itok=C85Egj3W,200,刘天民-心血管内科-主治医师-中山大学附属第五医院.jpg,189690,e609d34849e2364e0609ba126d739f3e96c966867597329a0b66be6ea46613bb,FFD8FFE000104A4649460001,593,756,<200KiB,未命中
