详情ID,姓名,来源链接,状态,失败分类,照片引用数,照片链接,照片文件,声明格式,实际格式,字节数,SHA-256,宽,高,来源批次,错误证据
555,何龙文,https://www.smukqyy.cn/prods/343/555,实采,,1,https://www.smukqyy.cn/Uploads/Upload/2022-08-18/62fdb8797c6aa.jpg,01_试点医院/南方医科大学口腔医院(海珠广场院区)/照片/何龙文-口腔正畸科-主治医师-南方医科大学口腔医院(海珠广场院区).jpg,jpg,jpg,1028744,92269f9be96873fec245b1e925edc08ad0aea7376e93a597fd844d68d624ebc9,1191,1730,TRIAL_REUSE,
160,谢跃强,https://www.smukqyy.cn/prods/343/160,实采,,1,https://www.smukqyy.cn/Uploads/Upload/2022-07-08/62c796eda536e.jpg,01_试点医院/南方医科大学口腔医院(海珠广场院区)/照片/谢跃强-口腔正畸科-主治医师-南方医科大学口腔医院(海珠广场院区).jpg,jpg,jpg,644371,12c27486a5151b309b8cff2e98d629a13be47f29cb9f25b3a6fa209b98b3be79,850,1268,FULL_FETCH,
276,赵转浓,https://www.smukqyy.cn/prods/343/276,实采,,1,https://www.smukqyy.cn/Uploads/Upload/2021-04-21/607f840ab8f70.jpg,01_试点医院/南方医科大学口腔医院(海珠广场院区)/照片/赵转浓-口腔正畸科-主治医师-南方医科大学口腔医院(海珠广场院区).jpg,jpg,jpg,499317,ae268590ff2ce294f8ff649792f4f0d7960f833090cdc9c9f8abfe0af3c0a105,1071,1600,FULL_FETCH,
483,张灿,https://www.smukqyy.cn/prods/341/483,实采,,1,https://www.smukqyy.cn/Uploads/Upload/2021-09-14/614051b9ca8b9.jpg,01_试点医院/南方医科大学口腔医院(海珠广场院区)/照片/张灿-口腔种植修复科-主治医师-南方医科大学口腔医院(海珠广场院区).jpg,jpg,jpg,213620,52705787166a11b7549145dd474d0c61d23466e3a55886ee301580f69eea8cc0,593,884,FULL_FETCH,
36,管东华,https://www.smukqyy.cn/prods/341/36,实采,,1,https://www.smukqyy.cn/Uploads/Upload/2024-07-19/6699c33ac6fdc.png,01_试点医院/南方医科大学口腔医院(海珠广场院区)/照片/管东华-口腔种植修复科-主任医师-南方医科大学口腔医院(海珠广场院区).png,png,png,88568,4c068d8acb174336f9c832b922f9586b7f47efc4e9cef626a4947f61a89bc390,257,312,TRIAL_REUSE,
634,杨立清,https://www.smukqyy.cn/prods/431/634,实采,,1,https://www.smukqyy.cn/Uploads/Upload//2025-01-06/173614998696101.jpg,01_试点医院/南方医科大学口腔医院(海珠广场院区)/照片/杨立清-口腔预防科-主治医师-南方医科大学口腔医院(海珠广场院区).jpg,jpg,jpg,445155,9c6b7eb32ed39f859b4821d4b73b18104b0b3edb851f2e658a22f50e3717a5d9,1500,2250,FULL_FETCH,
606,毛丹,https://www.smukqyy.cn/prods/431/606,实采,,1,https://www.smukqyy.cn/Uploads/Upload/2024-08-21/66c54d07ec6fd.png,01_试点医院/南方医科大学口腔医院(海珠广场院区)/照片/毛丹-口腔预防科-主治医师-南方医科大学口腔医院(海珠广场院区).jpg,png,jpg,279849,955fab78eab0a8c84127e1a226b4c660b552e4541d6c3c2ac8bf5b78962f1566,666,985,FULL_FETCH,
357,何子华,https://www.smukqyy.cn/prods/384/357,实采,,1,https://www.smukqyy.cn/Uploads/Upload/2019-11-14/5dccb521a243c.png,01_试点医院/南方医科大学口腔医院(海珠广场院区)/照片/何子华-口腔颌面外科-主治医师-南方医科大学口腔医院(海珠广场院区).png,png,png,686554,a34b9af03a73d70ed5a1ba6d983d6dcf2c6bb35e9932c258673867f3603c6c47,620,923,FULL_FETCH,
317,刘显文,https://www.smukqyy.cn/prods/384/317,实采,,1,https://www.smukqyy.cn/Uploads/Upload//2024-10-09/172846162730100.png,01_试点医院/南方医科大学口腔医院(海珠广场院区)/照片/刘显文-口腔颌面外科-主任医师-南方医科大学口腔医院(海珠广场院区).jpg,png,jpg,116954,44b51543ff388212b697aafd0ec4bcdcb72a9a9e7ece6812e93cb917b3105f3f,1280,1920,FULL_FETCH,
312,刘舒畅,https://www.smukqyy.cn/prods/384/312,实采,,1,https://www.smukqyy.cn/Uploads/Upload/2018-09-10/5b95de0d6e72a.png,01_试点医院/南方医科大学口腔医院(海珠广场院区)/照片/刘舒畅-口腔颌面外科-主治医师-南方医科大学口腔医院(海珠广场院区).png,png,png,450049,9549b84b78a40cef2c926ebfb913fcf7f431ae97f7686b31e20ba58691b75068,495,742,FULL_FETCH,
