姓名,科室,职称层级,主职称,来源链接,详情HTTP,照片容器,照片链接,照片HTTP,声明Content-Type,声明格式,实际魔数格式,声明/实际一致,文件名,字节,SHA-256,魔数,宽,高,唯一颜色下界,大图判定
管东华,口腔种植修复科,正高,主任医师,https://www.smukqyy.cn/prods/341/36,200,img.content_img src,https://www.smukqyy.cn/Uploads/Upload/2024-07-19/6699c33ac6fdc.png,200,image/png,png,png,是,管东华-口腔种植修复科-主任医师-南方医科大学口腔医院(海珠广场院区).png,88568,4c068d8acb174336f9c832b922f9586b7f47efc4e9cef626a4947f61a89bc390,89504E470D0A1A0A0000000D,257,312,3,未命中
陈欢,牙体牙髓病科一室,副高,副主任医师,https://www.smukqyy.cn/prods/342/373,200,img.content_img src,https://www.smukqyy.cn/Uploads/Upload//2026-04-09/177572048531460.jpg,200,image/jpeg,jpg,png,否,陈欢-牙体牙髓病科一室-副主任医师-南方医科大学口腔医院(海珠广场院区).png,444539,59b1eb5935128c8f66a9b49c829fd0262c33cf915f60ae6091ebaa0ac152d0ae,89504E470D0A1A0A0000000D,960,1390,3,>200KB、宽>800px
何龙文,口腔正畸科,中级,主治医师,https://www.smukqyy.cn/prods/343/555,200,img.content_img src,https://www.smukqyy.cn/Uploads/Upload/2022-08-18/62fdb8797c6aa.jpg,200,image/jpeg,jpg,jpg,是,何龙文-口腔正畸科-主治医师-南方医科大学口腔医院(海珠广场院区).jpg,1028744,92269f9be96873fec245b1e925edc08ad0aea7376e93a597fd844d68d624ebc9,FFD8FFE10F8D457869660000,1191,1730,3,>200KB、宽>800px
叶晓平,口腔颌面外科,初级,医师,https://www.smukqyy.cn/prods/384/632,200,img.content_img src,https://www.smukqyy.cn/Uploads/Upload//2025-01-03/173587601925582.jpg,200,image/jpeg,jpg,jpg,是,叶晓平-口腔颌面外科-医师-南方医科大学口腔医院(海珠广场院区).jpg,602552,74b45d3480c36d28d9d122002cffd2536207f6dfe825517c9a7ed17b26c8ae83,FFD8FFE000104A4649460001,2192,2644,3,>200KB、宽>800px
熊华翠,儿童口腔科,副高,副主任医师,https://www.smukqyy.cn/prods/385/641,200,img.content_img src,https://www.smukqyy.cn/Uploads/Upload//2025-04-22/174531719793431.jpg,200,image/jpeg,jpg,jpg,是,熊华翠-儿童口腔科-副主任医师-南方医科大学口腔医院(海珠广场院区).jpg,522338,7f94dbd0146c84f81d72f722650c7d7c5eb37f8897dd56410712a60ca7a89e8a,FFD8FFE000104A4649460001,780,1134,3,>200KB
孟文霞,牙周黏膜病科,正高,主任医师,https://www.smukqyy.cn/prods/386/135,200,img.content_img src,https://www.smukqyy.cn/Uploads/Upload/product0686234001434443704.jpg,200,image/jpeg,jpg,jpg,是,孟文霞-牙周黏膜病科-主任医师-南方医科大学口腔医院(海珠广场院区).jpg,71298,7abc21086c1fcd473b3c07ca5804d1472a83856334d724fb502677cfc9dd9508,FFD8FFE000104A4649460001,500,750,3,未命中
曹恒隆,口腔预防科,初级,住院医师,https://www.smukqyy.cn/prods/431/690,200,img.content_img src,https://www.smukqyy.cn/Uploads/Upload//2025-11-28/176432358774135.jpg,200,image/jpeg,jpg,jpg,是,曹恒隆-口腔预防科-住院医师-南方医科大学口腔医院(海珠广场院区).jpg,73918,dff448f56df96ad0cbcae42884f0d9488cf83db85399f4b10029bb2bfe05c075,FFD8FFE000104A4649460001,1280,1392,3,宽>800px
张彩美,牙体牙髓病科二室,中级,主治医师,https://www.smukqyy.cn/prods/434/157,200,img.content_img src,https://www.smukqyy.cn/Uploads/Upload/2018-07-09/5b4317fa3c9a2.JPG,200,application/octet-stream,unknown,jpg,否,张彩美-牙体牙髓病科二室-主治医师-南方医科大学口腔医院(海珠广场院区).jpg,114582,d702ae5049a79f0372e864d1dae9d0a13c68ec9f64c36769a378f0491666ae8c,FFD8FFE000104A4649460001,300,450,3,未命中
唐凤翔,舒适化治疗中心,中级,主治医师,https://www.smukqyy.cn/prods/504/532,200,img.content_img src,https://www.smukqyy.cn/Uploads/Upload/2021-11-02/6180c7563e11c.jpg,200,image/jpeg,jpg,jpg,是,唐凤翔-舒适化治疗中心-主治医师-南方医科大学口腔医院(海珠广场院区).jpg,331927,ef2884e2155aad7d66c26380049d8e03e47b95d539c3bce68033d9e67c824e42,FFD8FFE11390457869660000,591,880,3,>200KB
梁慧珉,口腔种植修复科,初级,医师,https://www.smukqyy.cn/prods/341/523,200,img.content_img src,https://www.smukqyy.cn/Uploads/Upload//2025-09-12/175764026032115.png,200,image/png,png,png,是,梁慧珉-口腔种植修复科-医师-南方医科大学口腔医院(海珠广场院区).png,1913884,3198b5a5da9b5734a74cfdb9879b77faee21188b9a9b1e4b1254c90417735261,89504E470D0A1A0A0000000D,1446,1994,3,>200KB、宽>800px
