序号,医院,姓名,科室_分类页,科室_列表卡片,职称_关键词,职称身份原文,重点优先级,重点关注范围,重点疾病标签,擅长诊疗方向摘录,亮眼经历线索,列表简介,详情正文摘录,来源类型,来源链接,采集入口,采集方式,采集日期,详情页状态,已建画像,异常提示,复核状态
1,南方医科大学口腔医院(海珠广场院区),谢跃强,口腔正畸科,,主治医师、医师、硕士,主治医师、医师、硕士,高,,,"儿童错合畸形早期治疗，青少年颜面部管理（如嘴凸，地包天，牙不齐,口呼吸面容等），侧貌美学矫治技术，如无托槽隐形矫治，舌侧矫治技术。",你当前所在的位置： 海珠广场院区/ 口腔正畸科 /详细 海珠广场院区 口腔种植修复科 牙体牙髓病科一室 牙体牙髓病科二室 口腔正畸科 儿童口腔科 口腔颌面外科 牙周黏膜病科 口腔预防科 舒适化治疗中心 口腔正畸科 医师信息 谢跃强 主治医师，正畸学硕士 科室：口腔正畸科 正畸学硕士，主治医师，中华口腔正畸专业委员会会员，广东省正畸专业委员会会员，隐适美中国区讲师，时代天使认证讲师，3M Incognito黄金舌侧讲师，其中隐形病例荣获全国中青年正畸医师病例大赛50强。,谢跃强 主治医师，...,"你当前所在的位置： 海珠广场院区/ 口腔正畸科 /详细 海珠广场院区 口腔种植修复科 牙体牙髓病科一室 牙体牙髓病科二室 口腔正畸科 儿童口腔科 口腔颌面外科 牙周黏膜病科 口腔预防科 舒适化治疗中心 口腔正畸科 医师信息 谢跃强 主治医师，正畸学硕士 科室：口腔正畸科 正畸学硕士，主治医师，中华口腔正畸专业委员会会员，广东省正畸专业委员会会员，隐适美中国区讲师，时代天使认证讲师，3M Incognito黄金舌侧讲师，其中隐形病例荣获全国中青年正畸医师病例大赛50强。从事正畸专业10余年，熟练掌握各种常见错合（牙不齐，嘴凸，哨牙，龅牙，地包天，埋伏牙牵引等）矫治技术，如金属牙套，隐形牙套，舌侧矫治等，对儿童青少年早期矫治，成年骨性代偿矫治，口呼吸面容改善，颜面部美学矫治尤其隐形矫治器具有丰富的临床经验；推崇“舒适、高效、美观”矫治思想，秉承“视患者如朋友，让患者能满意”服务理念； 擅长：儿童错合畸形早期治疗，青少年颜面部管理（如嘴凸，地包天，牙不齐,口呼吸面容等），侧貌美学矫治技术，如无托槽隐形矫治，舌侧矫治技术。",医院官网,https://www.smukqyy.cn/prods/343/160,https://www.smukqyy.cn/section/343,医院官网通用模板：列表页自动发现+详情页文本抽取,2026-08-11,200,否,科室原文含正文，已清洗,待人工复核
2,南方医科大学口腔医院(海珠广场院区),张彩美,牙体牙髓病科二室,,主治医师、医师、硕士,主治医师、医师、硕士,高,疑难重症,疑难,,你当前所在的位置： 海珠广场院区/ 牙体牙髓病科二室 /详细 海珠广场院区 口腔种植修复科 牙体牙髓病科一室 牙体牙髓病科二室 口腔正畸科 儿童口腔科 口腔颌面外科 牙周黏膜病科 口腔预防科 舒适化治疗中心 牙体牙髓病科二室 医师信息 张彩美 主治医师，硕士 科室：牙体牙髓病科二室 硕士研究生，擅长龋病微创无痛修复术、显微根管治疗术、显微根尖外科手术、嵌体全冠修复术等牙体牙髓专科治疗，具有牙体牙髓专科疑难疾病诊治能力。,张彩美 主治医师，...,你当前所在的位置： 海珠广场院区/ 牙体牙髓病科二室 /详细 海珠广场院区 口腔种植修复科 牙体牙髓病科一室 牙体牙髓病科二室 口腔正畸科 儿童口腔科 口腔颌面外科 牙周黏膜病科 口腔预防科 舒适化治疗中心 牙体牙髓病科二室 医师信息 张彩美 主治医师，硕士 科室：牙体牙髓病科二室 硕士研究生，擅长龋病微创无痛修复术、显微根管治疗术、显微根尖外科手术、嵌体全冠修复术等牙体牙髓专科治疗，具有牙体牙髓专科疑难疾病诊治能力。,医院官网,https://www.smukqyy.cn/prods/434/157,https://www.smukqyy.cn/section/434,医院官网通用模板：列表页自动发现+详情页文本抽取,2026-08-11,200,否,科室原文含正文，已清洗,待人工复核
3,南方医科大学口腔医院(海珠广场院区),谢成婕,牙周黏膜病科,,主任医师、博士、副主任,主任医师、博士、副主任,高,疑难重症,多学科,,谢成婕 博士，主任... 谢成婕 博士，主任... 孟文霞 牙周黏膜科... 廖阳阳 副主任医师... 谢成婕 博士，主任... 谢成婕 博士，主任... 孟文霞 牙周黏膜科... 廖阳阳 副主任医师... 主任医师、博士、副主任 你当前所在的位置： 海珠广场院区/ 牙周黏膜病科 /详细 海珠广场院区 口腔种植修复科 牙体牙髓病科一室 牙体牙髓病科二室 口腔正畸科 儿童口腔科 口腔颌面外科 牙周黏膜病科 口腔预防科 舒适化治疗中心 牙周黏膜病科 专家信息 谢成婕 博士，主任医师，海珠广场院区牙周病科副主任 科室：牙周黏膜病科 中华口腔医学会牙周专委会委员，中华医学会激光医学分会青委，广东省牙周专委会常委，广东省精准医学应用医学牙周分会常委，广东省医学会人文医学委员会委员，《口腔疾病防治》编委，《南方医科大学学报》特邀编委。,谢成婕 博士，主任... 谢成婕 博士，主任... 孟文霞 牙周黏膜科... 廖阳阳 副主任医师...,你当前所在的位置： 海珠广场院区/ 牙周黏膜病科 /详细 海珠广场院区 口腔种植修复科 牙体牙髓病科一室 牙体牙髓病科二室 口腔正畸科 儿童口腔科 口腔颌面外科 牙周黏膜病科 口腔预防科 舒适化治疗中心 牙周黏膜病科 专家信息 谢成婕 博士，主任医师，海珠广场院区牙周病科副主任 科室：牙周黏膜病科 中华口腔医学会牙周专委会委员，中华医学会激光医学分会青委，广东省牙周专委会常委，广东省精准医学应用医学牙周分会常委，广东省医学会人文医学委员会委员，《口腔疾病防治》编委，《南方医科大学学报》特邀编委。 擅长重度牙周炎多学科系统治疗，擅长各类牙周手术治疗。,医院官网,https://www.smukqyy.cn/prods/386/115,https://www.smukqyy.cn/section/386,医院官网通用模板：列表页自动发现+详情页文本抽取,2026-08-11,200,否,科室原文含正文，已清洗,待人工复核
4,南方医科大学口腔医院(海珠广场院区),谢远雯,儿童口腔科,,主治医师、医师、医学硕士、硕士,主治医师、医师、医学硕士、硕士,中,,,,主治医师，口腔临床医学硕士，2013年毕业于中山大学，2021年获评医院”好医生“，中华口腔医学会会员，儿童口腔专委会会员，镇静镇痛专委会会员。,谢远雯 主治医师，...,主治医师，口腔临床医学硕士，2013年毕业于中山大学，2021年获评医院”好医生“，中华口腔医学会会员，儿童口腔专委会会员，镇静镇痛专委会会员。工作细致认真，对小患者循循善诱。,医院官网,https://www.smukqyy.cn/prods/385/316,https://www.smukqyy.cn/section/385,医院官网通用模板：列表页自动发现+详情页文本抽取,2026-08-11,200,否,,待人工复核
5,南方医科大学口腔医院(海珠广场院区),丁婧文,口腔种植修复科,,主治医师、医师、硕士,主治医师、医师、硕士,中,,,,中华口腔医学会会员，ITI(国际口腔种植学会）会员。,丁婧文 主治医师，...,你当前所在的位置： 海珠广场院区/ 口腔种植修复科 /详细 海珠广场院区 口腔种植修复科 牙体牙髓病科一室 牙体牙髓病科二室 口腔正畸科 儿童口腔科 口腔颌面外科 牙周黏膜病科 口腔预防科 舒适化治疗中心 口腔种植修复科 医师信息 丁婧文 主治医师，硕士 科室：口腔种植修复科 擅长口腔美学问题评估及设计重建，微创无痛种植牙，上颌窦提升术，GBR/植骨术，前牙个性化美容修复，二氧化锆全瓷冠和中老年活动牙等修复，及各类型无痛微创拔牙术，并熟练掌握显微内科治疗术、补牙、牙周系统治疗等。治疗中，提倡口腔无痛及微创诊疗，并兼行口腔功能与美观兼顾的原则，为患者提供个性化治疗方案。 中华口腔医学会会员，ITI(国际口腔种植学会）会员。参与翻译《口腔种植并发症-病因，预防和治疗》一书。多次受邀参加国内外牙齿美容修复与口腔种植学术交流，同步国际先进的口腔医疗理念。,医院官网,https://www.smukqyy.cn/prods/341/186,https://www.smukqyy.cn/section/341,医院官网通用模板：列表页自动发现+详情页文本抽取,2026-08-11,200,否,,待人工复核
6,南方医科大学口腔医院(海珠广场院区),谢立本,口腔种植修复科,,副主任医师、博士,副主任医师、博士,中,,,,谢立本 副主任医师... 谢立本 副主任医师... 副主任医师、博士 你当前所在的位置： 海珠广场院区/ 口腔种植修复科 /详细 海珠广场院区 口腔种植修复科 牙体牙髓病科一室 牙体牙髓病科二室 口腔正畸科 儿童口腔科 口腔颌面外科 牙周黏膜病科 口腔预防科 舒适化治疗中心 口腔种植修复科 专家信息 谢立本 副主任医师，博士 科室：口腔种植修复科 毕业于北京大学口腔医学院口腔修复学专业。,谢立本 副主任医师...,你当前所在的位置： 海珠广场院区/ 口腔种植修复科 /详细 海珠广场院区 口腔种植修复科 牙体牙髓病科一室 牙体牙髓病科二室 口腔正畸科 儿童口腔科 口腔颌面外科 牙周黏膜病科 口腔预防科 舒适化治疗中心 口腔种植修复科 专家信息 谢立本 副主任医师，博士 科室：口腔种植修复科 毕业于北京大学口腔医学院口腔修复学专业。 临床工作十余年，有丰富的诊疗经验，并多次赴国外研修和培训，尤其擅长种植修复，牙体缺损及牙列缺损的固定义齿修复（包括各种牙冠及固定桥，粘接修复、前牙美容修复）、活动义齿修复（包括全口义齿、附着体义齿等）。在功能性咬合重建方面有较深入研究。 广东省口腔修复学会青年委员，《口腔疾病防治》编辑，审稿专家。,医院官网,https://www.smukqyy.cn/prods/341/112,https://www.smukqyy.cn/section/341,医院官网通用模板：列表页自动发现+详情页文本抽取,2026-08-11,200,否,科室原文含正文，已清洗,待人工复核
7,南方医科大学口腔医院(海珠广场院区),李剑波,口腔预防科,,副主任医师、博士,副主任医师、博士,中,,,,李剑波 副主任医师... 李剑波 副主任医师... 李剑波 副主任医师... 李剑波 副主任医师... 副主任医师、博士 你当前所在的位置： 海珠广场院区/ 口腔预防科 /详细 海珠广场院区 口腔种植修复科 牙体牙髓病科一室 牙体牙髓病科二室 口腔正畸科 儿童口腔科 口腔颌面外科 牙周黏膜病科 口腔预防科 舒适化治疗中心 口腔预防科 专家信息 李剑波 副主任医师 科室：口腔预防科 博士，副主任医师，中华口腔医学会口腔预防医学专业委员会青年委员，广东省口腔医学会口腔预防医学专业委员会委员，广东省预防医学会流行病学专业委员会委员。,李剑波 副主任医师... 李剑波 副主任医师...,你当前所在的位置： 海珠广场院区/ 口腔预防科 /详细 海珠广场院区 口腔种植修复科 牙体牙髓病科一室 牙体牙髓病科二室 口腔正畸科 儿童口腔科 口腔颌面外科 牙周黏膜病科 口腔预防科 舒适化治疗中心 口腔预防科 专家信息 李剑波 副主任医师 科室：口腔预防科 博士，副主任医师，中华口腔医学会口腔预防医学专业委员会青年委员，广东省口腔医学会口腔预防医学专业委员会委员，广东省预防医学会流行病学专业委员会委员。长期专注于儿童口腔疾病综合干预防治，口腔流行病学调查。 专业特长：成人及 14 岁以下儿童龋病、牙体牙髓病、根尖周病、前牙外伤等疾病的治疗；儿童重度早期龋的舒适化（全麻）治疗。,医院官网,https://www.smukqyy.cn/prods/431/470,https://www.smukqyy.cn/section/431,医院官网通用模板：列表页自动发现+详情页文本抽取,2026-08-11,200,否,科室原文含正文，已清洗,待人工复核
8,南方医科大学口腔医院(海珠广场院区),郑俊发,口腔颌面外科,,主任医师,主任医师,中,,,,主任医师 你当前所在的位置： 海珠广场院区/ 口腔颌面外科 /详细 海珠广场院区 口腔种植修复科 牙体牙髓病科一室 牙体牙髓病科二室 口腔正畸科 儿童口腔科 口腔颌面外科 牙周黏膜病科 口腔预防科 舒适化治疗中心 口腔颌面外科 专家信息 郑俊发 海珠广场院区党总支委员会书记，主任医师 科室：口腔颌面外科 1991年中山医科大学口腔系毕业。 广东口腔急诊专委会委员，广东整形美容专委会委员，广东省口腔医学会第一届牙及牙槽外科专业委员会常务委员。,郑俊发 海珠广场院...,你当前所在的位置： 海珠广场院区/ 口腔颌面外科 /详细 海珠广场院区 口腔种植修复科 牙体牙髓病科一室 牙体牙髓病科二室 口腔正畸科 儿童口腔科 口腔颌面外科 牙周黏膜病科 口腔预防科 舒适化治疗中心 口腔颌面外科 专家信息 郑俊发 海珠广场院区党总支委员会书记，主任医师 科室：口腔颌面外科 1991年中山医科大学口腔系毕业。 擅长口腔颌面外科常见病诊断治疗、牙齿缺失微创即刻或延期种植修复。 广东口腔急诊专委会委员，广东整形美容专委会委员，广东省口腔医学会第一届牙及牙槽外科专业委员会常务委员。,医院官网,https://www.smukqyy.cn/prods/384/24,https://www.smukqyy.cn/section/384,医院官网通用模板：列表页自动发现+详情页文本抽取,2026-08-11,200,否,科室原文含正文，已清洗；通用模板低置信度,待人工复核
9,南方医科大学口腔医院(海珠广场院区),李枚璘,牙体牙髓病科一室,,主治医师、医师、硕士,主治医师、医师、硕士,中,,,,在国内外学术期刊发表多篇专业论文。,李枚璘 主治医师，...,你当前所在的位置： 海珠广场院区/ 牙体牙髓病科一室 /详细 海珠广场院区 口腔种植修复科 牙体牙髓病科一室 牙体牙髓病科二室 口腔正畸科 儿童口腔科 口腔颌面外科 牙周黏膜病科 口腔预防科 舒适化治疗中心 牙体牙髓病科一室 医师信息 李枚璘 主治医师，硕士 科室：牙体牙髓病科一室 毕业于中山大学光华口腔医学院，有多年的口腔临床工作经验，主要研究方向为牙体牙髓病的诊断及治疗。对显微根管治疗，龋病的微创治疗，牙周疾病的系统诊疗有丰富的临床经验。在国内外学术期刊发表多篇专业论文。,医院官网,https://www.smukqyy.cn/prods/342/272,https://www.smukqyy.cn/section/342,医院官网通用模板：列表页自动发现+详情页文本抽取,2026-08-11,200,否,科室原文含正文，已清洗,待人工复核
10,南方医科大学口腔医院(海珠广场院区),唐凤翔,舒适化治疗中心,,主治医师、医师,主治医师、医师,中,,,,,唐凤翔 主治医师... 姚林川 主治医师... 雷蕾 主治医师... 夏璇 主治医师... 唐凤翔 主治医师...,你当前所在的位置： 海珠广场院区/ 舒适化治疗中心 /详细 海珠广场院区 口腔种植修复科 牙体牙髓病科一室 牙体牙髓病科二室 口腔正畸科 儿童口腔科 口腔颌面外科 牙周黏膜病科 口腔预防科 舒适化治疗中心 舒适化治疗中心 医师信息 唐凤翔 主治医师 科室：舒适化治疗中心 麻醉科医师，本科学士，从事临床麻醉诊疗工作6年余，曾在中山大学附属第一医院麻醉科规培学习，有一定的临床麻醉经验。 擅长全身麻醉、静脉复合麻醉、神经阻滞麻醉，熟悉困难气道插管、中心静脉穿刺置管术等技术。,医院官网,https://www.smukqyy.cn/prods/504/532,https://www.smukqyy.cn/section/504,医院官网通用模板：列表页自动发现+详情页文本抽取,2026-08-11,200,否,科室原文含正文，已清洗,待人工复核
