详情ID,姓名,来源链接,状态,失败分类,照片引用数,照片链接,照片文件,声明格式,实际格式,字节数,SHA-256,宽,高,来源批次,错误证据
5566,文海泉,https://www.gdskin.com/ShowNews.ASPX?ID=5566,失败留空,占位图,1,,,,,,,,,FULL_FETCH,"{""detection_feature"":""页面引用命中占位门禁：explicit_chinese_placeholder_filename"",""excluded_resource_examples"":[{""feature"":""raw_reference='../uploadimg/占位.png'; marker=explicit_chinese_placeholder_filename"",""reason"":""占位图"",""url"":""https://www.gdskin.com/uploadimg/占位.png""}],""observed_utc"":""2026-08-19T12:55:30Z"",""photo_reference_count"":1,""resource_urls"":[""https://www.gdskin.com/uploadimg/占位.png""],""template_signature"":""unique body img src resolving under /uploadimg/""}"
3847,杨斌,https://www.gdskin.com/ShowNews.ASPX?ID=3847,实采,,1,https://www.gdskin.com/uploadimg/杨斌2021.jpg,01_试点医院/南方医科大学皮肤病医院/照片/杨斌-未标注-主任医师-南方医科大学皮肤病医院.jpg,jpg,jpg,731906,87216049d9ba63d03595964aa3ad347ac1b77ac9aad9276539fcb1e45a311461,800,1200,TRIAL_REUSE,
3848,陈永锋,https://www.gdskin.com/ShowNews.ASPX?ID=3848,实采,,1,https://www.gdskin.com/uploadimg/陈永锋2021.jpg,01_试点医院/南方医科大学皮肤病医院/照片/陈永锋-未标注-主任医师-南方医科大学皮肤病医院.jpg,jpg,jpg,677742,ebd5c8945e87e9ba70a5cec096989542a9ee216bf6fbb04363fe051840044d73,800,1200,FULL_FETCH,
3829,顾有守,https://www.gdskin.com/ShowNews.ASPX?ID=3829,实采,,1,https://www.gdskin.com/uploadimg/广东省皮肤病医院顾有守.jpg,01_试点医院/南方医科大学皮肤病医院/照片/顾有守-未标注-主任医师-南方医科大学皮肤病医院.jpg,jpg,jpg,24320,28ab8844986935af70cc86ae2749994561576c643eaaee7a3f4805e9edf57668,156,185,TRIAL_REUSE,
5591,张佳林,https://www.gdskin.com/ShowNews.ASPX?ID=5591,失败留空,照片资源不可达,1,,,,,,,,,FULL_FETCH,"{""container_html_snippet"":""<img src=\""../system_dntb/../uploadimg/张佳林&nbsp; &nbsp;.jpg\"" align=\""\"" width=\""400\"" =\""\"" alt=\""\"">"",""detection_feature"":""strict single-img page-referenced resource failed two official urllib GET attempts"",""excluded_resource_examples"":[{""feature"":""raw_reference='../system_dntb/../uploadimg/张佳林\\xa0 \\xa0.jpg'; transport_url=https://www.gdskin.com/uploadimg/%E5%BC%A0%E4%BD%B3%E6%9E%97%C2%A0%20%C2%A0.jpg"",""reason"":""页面引用与传输留证"",""url"":""https://www.gdskin.com/uploadimg/张佳林   .jpg""}],""normalized_photo_url"":""https://www.gdskin.com/uploadimg/张佳林   .jpg"",""observed_utc"":""2026-08-19T12:56:11Z"",""page_raw_reference"":""../system_dntb/../uploadimg/张佳林   .jpg"",""photo_reference_count"":1,""resource_urls"":[""https://www.gdskin.com/uploadimg/张佳林   .jpg""],""template_signature"":""unique body img src resolving under /uploadimg/"",""transport_url"":""https://www.gdskin.com/uploadimg/%E5%BC%A0%E4%BD%B3%E6%9E%97%C2%A0%20%C2%A0.jpg""}"
5586,李里,https://www.gdskin.com/ShowNews.ASPX?ID=5586,实采,,1,https://www.gdskin.com/uploadimg/李里.jpg,01_试点医院/南方医科大学皮肤病医院/照片/李里-中医皮肤科-主治医师-南方医科大学皮肤病医院.jpg,jpg,jpg,695945,6676e322b41ba2ca187e1b8141e6a42803d43c1fe594d892538566423c19cade,800,1200,FULL_FETCH,
6198,林志淼,https://www.gdskin.com/ShowNews.ASPX?ID=6198,失败留空,无照片容器,0,,,,,,,,,FULL_FETCH,"{""detection_feature"":""HTTP 200 detail contains no same-site /uploadimg/ img reference; WebResource and filing/site decoration images remain excluded"",""excluded_resource_examples"":[{""feature"":""not a same-site /uploadimg/ page reference"",""reason"":""站架或装饰图排除"",""url"":""/WebResource.axd?d=i1jrqrQ5Kgeceqa-4r2Prip3erkO_WPURaIAym9bE6uJ1sr6AKQU-zo6EcPaa66hH789hLxp5yc2rXy2QGScC-lyZXSK9tlKQ3zYUcDzpi41&t=638259654740000000""},{""feature"":""not a same-site /uploadimg/ page reference"",""reason"":""站架或装饰图排除"",""url"":""../system_dntb/../uploadpicture/微信图片_20220815105858.jpg""},{""feature"":""not a same-site /uploadimg/ page reference"",""reason"":""站架或装饰图排除"",""url"":""images/备案图标.png""}],""observed_utc"":""2026-08-19T12:56:23Z"",""photo_reference_count"":0,""resource_urls"":[""/WebResource.axd?d=i1jrqrQ5Kgeceqa-4r2Prip3erkO_WPURaIAym9bE6uJ1sr6AKQU-zo6EcPaa66hH789hLxp5yc2rXy2QGScC-lyZXSK9tlKQ3zYUcDzpi41&t=638259654740000000"",""../system_dntb/../uploadpicture/微信图片_20220815105858.jpg"",""images/备案图标.png""],""template_signature"":""unique body img src resolving under /uploadimg/""}"
6199,王朋,https://www.gdskin.com/ShowNews.ASPX?ID=6199,失败留空,无照片容器,0,,,,,,,,,FULL_FETCH,"{""detection_feature"":""HTTP 200 detail contains no same-site /uploadimg/ img reference; WebResource and filing/site decoration images remain excluded"",""excluded_resource_examples"":[{""feature"":""not a same-site /uploadimg/ page reference"",""reason"":""站架或装饰图排除"",""url"":""/WebResource.axd?d=i1jrqrQ5Kgeceqa-4r2Prip3erkO_WPURaIAym9bE6uJ1sr6AKQU-zo6EcPaa66hH789hLxp5yc2rXy2QGScC-lyZXSK9tlKQ3zYUcDzpi41&t=638259654740000000""},{""feature"":""not a same-site /uploadimg/ page reference"",""reason"":""站架或装饰图排除"",""url"":""../uploadpicture/王朋20250226.jpg""},{""feature"":""not a same-site /uploadimg/ page reference"",""reason"":""站架或装饰图排除"",""url"":""images/备案图标.png""}],""observed_utc"":""2026-08-19T12:56:25Z"",""photo_reference_count"":0,""resource_urls"":[""/WebResource.axd?d=i1jrqrQ5Kgeceqa-4r2Prip3erkO_WPURaIAym9bE6uJ1sr6AKQU-zo6EcPaa66hH789hLxp5yc2rXy2QGScC-lyZXSK9tlKQ3zYUcDzpi41&t=638259654740000000"",""../uploadpicture/王朋20250226.jpg"",""images/备案图标.png""],""template_signature"":""unique body img src resolving under /uploadimg/""}"
5578,张晓辉,https://www.gdskin.com/ShowNews.ASPX?ID=5578,实采,,1,https://www.gdskin.com/uploadimg/张晓辉.jpg,01_试点医院/南方医科大学皮肤病医院/照片/张晓辉-性病科-主治医师-南方医科大学皮肤病医院.jpg,jpg,jpg,648655,692d194362d31b12f8e210476772360d6588b4bda8e81a2eb054a760dbfb2f7c,800,1200,FULL_FETCH,
5600,李畅畅,https://www.gdskin.com/ShowNews.ASPX?ID=5600,失败留空,占位图,1,,,,,,,,,FULL_FETCH,"{""detection_feature"":""页面引用命中占位门禁：explicit_chinese_placeholder_filename"",""excluded_resource_examples"":[{""feature"":""raw_reference='../system_dntb/../uploadimg/占位.png'; marker=explicit_chinese_placeholder_filename"",""reason"":""占位图"",""url"":""https://www.gdskin.com/uploadimg/占位.png""}],""observed_utc"":""2026-08-19T12:56:31Z"",""photo_reference_count"":1,""resource_urls"":[""https://www.gdskin.com/uploadimg/占位.png""],""template_signature"":""unique body img src resolving under /uploadimg/""}"
