姓名,科室,职称层级,主职称,来源链接,详情HTTP,照片容器,照片链接,照片HTTP,声明Content-Type,声明格式,实际魔数格式,声明/实际一致,文件名,字节,SHA-256,魔数,宽,高,唯一颜色下界,大图判定,分类入口ID
顾有守,未标注,正高,主任医师,https://www.gdskin.com/ShowNews.ASPX?ID=3829,200,unique body img src under /uploadimg/,https://www.gdskin.com/uploadimg/广东省皮肤病医院顾有守.jpg,200,image/jpeg,jpg,jpg,是,顾有守-未标注-主任医师-南方医科大学皮肤病医院.jpg,24320,28ab8844986935af70cc86ae2749994561576c643eaaee7a3f4805e9edf57668,FFD8FFE000104A4649460001,156,185,3,未命中,901
杨斌,未标注,正高,主任医师,https://www.gdskin.com/ShowNews.ASPX?ID=3847,200,unique body img src under /uploadimg/,https://www.gdskin.com/uploadimg/杨斌2021.jpg,200,image/jpeg,jpg,jpg,是,杨斌-未标注-主任医师-南方医科大学皮肤病医院.jpg,731906,87216049d9ba63d03595964aa3ad347ac1b77ac9aad9276539fcb1e45a311461,FFD8FFE1206C457869660000,800,1200,3,>200KB,902
吉苏云,皮肤内科,副高,副主任医师,https://www.gdskin.com/ShowNews.ASPX?ID=4846,200,unique body img src under /uploadimg/,https://www.gdskin.com/uploadimg/吉苏云.jpg,200,image/jpeg,jpg,jpg,是,吉苏云-皮肤内科-副主任医师-南方医科大学皮肤病医院.jpg,526479,e2b74bec18c43d923b984881dc7a8dd3772a2066f7754c3d93717002d481c1ca,FFD8FFE11D7A457869660000,800,1200,3,>200KB,906
谷梅,皮肤内科,正高,主任医师,https://www.gdskin.com/ShowNews.ASPX?ID=3849,200,unique body img src under /uploadimg/,https://www.gdskin.com/uploadimg/谷梅2021.jpg,200,image/jpeg,jpg,jpg,是,谷梅-皮肤内科-主任医师-南方医科大学皮肤病医院.jpg,2489392,fea29092ec4c1ab235917837b8ad991476998722cee1a8c95f1cf78baf403d8f,FFD8FFE11412457869660000,1879,2819,3,>200KB、宽>800px,906
王柳苑,性病科,中级,主治医师,https://www.gdskin.com/ShowNews.ASPX?ID=5580,200,unique body img src under /uploadimg/,https://www.gdskin.com/uploadimg/王柳苑.jpg,200,image/jpeg,jpg,jpg,是,王柳苑-性病科-主治医师-南方医科大学皮肤病医院.jpg,680685,c6b1de349d140ef6b97960a1342d49cc9570c961d3f869543d3a1f18abfd5213,FFD8FFE12125457869660000,800,1200,3,>200KB,910
鲜华,整形美容外科,副高,副主任医师,https://www.gdskin.com/ShowNews.ASPX?ID=4287,200,unique body img src under /uploadimg/,https://www.gdskin.com/uploadimg/鲜华.jpg,200,image/jpeg,jpg,jpg,是,鲜华-整形美容外科-副主任医师-南方医科大学皮肤病医院.jpg,533486,f8471531bcb0c7abd68acdb5e7acee79a58e17a6770e1be9bc682362147e7e16,FFD8FFE11E58457869660000,800,1200,3,>200KB,913
杜美毅,中医皮肤科,初级,医师,https://www.gdskin.com/ShowNews.ASPX?ID=5596,200,unique body img src under /uploadimg/,https://www.gdskin.com/uploadimg/杜美毅.jpg,200,image/jpeg,jpg,jpg,是,杜美毅-中医皮肤科-医师-南方医科大学皮肤病医院.jpg,602980,1e5ca9ee46183ff98dd29495e8b33b3e1b802c022d6f11ef2aff0be0f5c19d9e,FFD8FFE11FAE457869660000,800,1112,3,>200KB,915
严婷婷,激光美肤中心,中级,主治医师,https://www.gdskin.com/ShowNews.ASPX?ID=5599,200,unique body img src under /uploadimg/,https://www.gdskin.com/uploadimg/严婷婷.jpg,200,image/jpeg,jpg,jpg,是,严婷婷-激光美肤中心-主治医师-南方医科大学皮肤病医院.jpg,522389,8e82ed6a0f9d49c7272e1bc79823a1e0a724c746e6a971fcbaf045ef485a6f82,FFD8FFE11FCC457869660000,800,1200,3,>200KB,917
何仁亮,皮肤外科,正高,主任医师,https://www.gdskin.com/ShowNews.ASPX?ID=3854,200,unique body img src under /uploadimg/,https://www.gdskin.com/uploadimg/何仁亮.jpg,200,image/jpeg,jpg,jpg,是,何仁亮-皮肤外科-主任医师-南方医科大学皮肤病医院.jpg,524595,4f02999f07f998ee915708597dee3fbf98152c88e585fe48bbb72be77e0301fd,FFD8FFE12125457869660000,800,1200,3,>200KB,921
钟泽敏,儿童皮肤科,中级,主治医师,https://www.gdskin.com/ShowNews.ASPX?ID=5576,200,unique body img src under /uploadimg/,https://www.gdskin.com/uploadimg/钟泽敏.jpg,200,image/jpeg,jpg,jpg,是,钟泽敏-儿童皮肤科-主治医师-南方医科大学皮肤病医院.jpg,522118,1a7c3faba1025d1d92005d187e32cd7aa2a8ef34a1c535dc8df00665dc9754a0,FFD8FFE11DA6457869660000,800,1200,3,>200KB,922
