序号,医院,姓名,科室_分类页,科室_列表卡片,职称_关键词,职称身份原文,重点优先级,重点关注范围,重点疾病标签,擅长诊疗方向摘录,亮眼经历线索,列表简介,详情正文摘录,来源类型,来源链接,采集入口,采集方式,采集日期,详情页状态,已建画像,异常提示,复核状态
1,南方医科大学皮肤病医院,杨立刚,外阴皮肤病/性病科,外阴皮肤病/性病科,主任医师、医师,主任医师、美容皮肤科主诊医师,高,免疫/风湿/感染,感染,性传播疾病、感染及过敏性皮肤病、面部皮炎,南方医科大学皮肤病医院 外阴皮肤病/性病科 杨立刚 主任医师 杨立刚 主任医师 主任医师、美容皮肤科主诊医师 性传播疾病、感染及过敏性皮肤病、面部皮炎 本科及研究生分别毕业于中山医科大学六年制临床医学专业及英国伦敦大学学院（UCL），并曾在美国华盛顿大学接受培训。 参与起草编写2018卫生部行业标准“梅毒诊断”及多个性病诊疗指南，主编专业培训教材一部，在国际国内期刊发表论文多篇。 现任广东省性病诊疗质量控制中心主任，国际IUSTI亚太区执委、美国北卡罗莱大学客座教授，中国医师协会皮肤性病学分会性病学专业委员会委员，广东省皮肤性病学分会性病学组首席专家，省医师协会皮肤性病学分会性病学组副组长，“Sexual Health”（澳大利亚）等杂志编委。,杨立刚 主任医师,本科及研究生分别毕业于中山医科大学六年制临床医学专业及英国伦敦大学学院（UCL），并曾在美国华盛顿大学接受培训。从事皮肤性病临床及科研30余年，擅长性病、荨麻疹、湿疹、面部皮炎等疾病的诊治。参与起草编写2018卫生部行业标准“梅毒诊断”及多个性病诊疗指南，主编专业培训教材一部，在国际国内期刊发表论文多篇。现任广东省性病诊疗质量控制中心主任，国际IUSTI亚太区执委、美国北卡罗莱大学客座教授，中国医师协会皮肤性病学分会性病学专业委员会委员，广东省皮肤性病学分会性病学组首席专家，省医师协会皮肤性病学分会性病学组副组长，“Sexual Health”（澳大利亚）等杂志编委。,医院官网,https://www.gdskin.com/ShowNews.ASPX?ID=3852,https://www.gdskin.com/Showclass.aspx?id=910,医院官网 ASP.NET 专家团队：GridView 列表+详情页结构化抽取,2026-08-11,200,否,,待人工复核
2,南方医科大学皮肤病医院,何仁亮,皮肤外科,皮肤外科,主任医师、医师、硕士,主任医师、硕士研究生导师、美容皮肤科主诊医师,高,肿瘤、术后恢复/康复,肿瘤、癌、康复、创面、烧伤,皮肤瘢痕与创面、皮肤肿瘤、皮肤血管,南方医科大学皮肤病医院 皮肤外科 何仁亮 主任医师 何仁亮 主任医师 主任医师、硕士研究生导师、美容皮肤科主诊医师 皮肤瘢痕与创面、皮肤肿瘤、皮肤血管 从事皮肤科临床30余年，擅长皮肤病外科治疗。 任中华医学会医学美学与美容学分会创面与瘢痕学组委员、中国医师协会皮肤外科学组委员、广东省麻风皮肤病防治协会皮肤外科与康复美容专业委员会主任委员、广东省中西医结合学会烧伤专业委员会副主任委员，广州抗癌协会皮肤肿瘤专业委员会副主任委员等，担任《中国烧伤创疡杂志》常务编委。 荣获“岭南名医”及“羊城好医生”称号。,何仁亮 主任医师,从事皮肤科临床30余年，擅长皮肤病外科治疗。任中华医学会医学美学与美容学分会创面与瘢痕学组委员、中国医师协会皮肤外科学组委员、广东省麻风皮肤病防治协会皮肤外科与康复美容专业委员会主任委员、广东省中西医结合学会烧伤专业委员会副主任委员，广州抗癌协会皮肤肿瘤专业委员会副主任委员等，担任《中国烧伤创疡杂志》常务编委。荣获“岭南名医”及“羊城好医生”称号。主持省市课题5项。,医院官网,https://www.gdskin.com/ShowNews.ASPX?ID=3854,https://www.gdskin.com/Showclass.aspx?id=921,医院官网 ASP.NET 专家团队：GridView 列表+详情页结构化抽取,2026-08-11,200,否,,待人工复核
3,南方医科大学皮肤病医院,杨斌,知名专家,知名专家,主任医师、医师、博士生导师、院长,主任医师、博士生导师、国务院特殊津贴专家、现任南方医科大学皮肤病医院院长、美容皮肤科主诊医师,高,免疫/风湿/感染,免疫,免疫性皮肤病、损容性皮肤病,南方医科大学皮肤病医院 知名专家 杨斌 院长/主任医师/博士研究生导师/国务院特殊津贴专家 杨斌 院长/主任医师/博士研究生导师/国务院特殊津贴专家 主任医师、博士生导师、国务院特殊津贴专家、现任南方医科大学皮肤病医院院长、美容皮肤科主诊医师 免疫性皮肤病、损容性皮肤病 中南大学湘雅医学院博士毕业，从事皮肤性病专业医教研多年，医学理论扎实，擅长免疫性皮肤病、损容性皮肤病诊治，并在医疗美容方面积累丰富临床经验。 以第一作者或通讯作者发表学术论文120余篇，SCI收录80余篇，先后获得广东省科学技术进步奖二、三等奖。 曾荣获“全国先进工作者”、“全国优秀中青年医师”、“第二届广东医师奖”、“广东省优秀院长”等称号。 现任中国医师协会皮肤科医师分会副会长、中华医学会皮肤性病分会委员、中国整形美容协会皮肤美容分会副主委、广东省医学会皮肤性病学分会主任委员、广东省预防医学会理事会副会长、广东省医师协会皮肤科医师分会副主委、广东省整形...,杨斌 院长/主任医师/博士研究生导师/国务院特殊津贴专家,中南大学湘雅医学院博士毕业，从事皮肤性病专业医教研多年，医学理论扎实，擅长免疫性皮肤病、损容性皮肤病诊治，并在医疗美容方面积累丰富临床经验。近5年来主持完成国家、省部级及国际合作项目13项。以第一作者或通讯作者发表学术论文120余篇，SCI收录80余篇，先后获得广东省科学技术进步奖二、三等奖。曾荣获“全国先进工作者”、“全国优秀中青年医师”、“第二届广东医师奖”、“广东省优秀院长”等称号。现任中国医师协会皮肤科医师分会副会长、中华医学会皮肤性病分会委员、中国整形美容协会皮肤美容分会副主委、广东省医学会皮肤性病学分会主任委员、广东省预防医学会理事会副会长、广东省医师协会皮肤科医师分会副主委、广东省整形美容协会副会长、国家及广东省食药局化妆品咨询专家委员会委员等。,医院官网,https://www.gdskin.com/ShowNews.ASPX?ID=3847,https://www.gdskin.com/Showclass.aspx?id=902,医院官网 ASP.NET 专家团队：GridView 列表+详情页结构化抽取,2026-08-11,200,否,,待人工复核
4,南方医科大学皮肤病医院,陈永锋,知名专家,知名专家,主任医师、医师、博士,主任医师、博士研究生导师、美容皮肤科主诊医师,高,肿瘤、免疫/风湿/感染、疑难重症,肿瘤、免疫、疑难、重症,银屑病、结缔组织病、自身免疫性大疱病、皮肤肿瘤等重症疑难皮肤病,南方医科大学皮肤病医院 知名专家 陈永锋 主任医师/博士研究生导师 陈永锋 主任医师/博士研究生导师 主任医师、博士研究生导师、美容皮肤科主诊医师 银屑病、结缔组织病、自身免疫性大疱病、皮肤肿瘤等重症疑难皮肤病 从事皮肤性病临床、科研、防治等工作30余年 ，擅长包括银屑病等红斑鳞屑性皮肤病、免疫性皮肤病、疑难皮肤性病的诊疗，特别是免疫性皮肤病、结缔组织病、银屑病、皮肤肿瘤等疾病的诊治。 现任广东省医学会皮肤性病学分会常委、广东省医师协会皮肤科医师分会常委、广东省预防医学会皮肤性病防治专业委员会主委、广东省中西医结合学会皮肤性病专业委员会副主委、广东省医师协会第一届皮肤性病科管理专业委员会副主任委员、中华医学会皮肤性病学分会治疗组委员、中国中西医结合学会皮肤科分会性病学组副组长、广东省麻风防治协会副理事长、《皮肤性病诊疗学杂志》常务副主编等学术兼职，在皮肤性病专业领域具有较大的学术影响力。,陈永锋 主任医师/博士研究生导师,从事皮肤性病临床、科研、防治等工作30余年 ，擅长包括银屑病等红斑鳞屑性皮肤病、免疫性皮肤病、疑难皮肤性病的诊疗，特别是免疫性皮肤病、结缔组织病、银屑病、皮肤肿瘤等疾病的诊治。现任广东省医学会皮肤性病学分会常委、广东省医师协会皮肤科医师分会常委、广东省预防医学会皮肤性病防治专业委员会主委、广东省中西医结合学会皮肤性病专业委员会副主委、广东省医师协会第一届皮肤性病科管理专业委员会副主任委员、中华医学会皮肤性病学分会治疗组委员、中国中西医结合学会皮肤科分会性病学组副组长、广东省麻风防治协会副理事长、《皮肤性病诊疗学杂志》常务副主编等学术兼职，在皮肤性病专业领域具有较大的学术影响力。,医院官网,https://www.gdskin.com/ShowNews.ASPX?ID=3848,https://www.gdskin.com/Showclass.aspx?id=902,医院官网 ASP.NET 专家团队：GridView 列表+详情页结构化抽取,2026-08-11,200,否,,待人工复核
5,南方医科大学皮肤病医院,顾有守,首席专家,首席专家,主任医师、教授、首席专家,全国知名皮肤病学教授、医院首席专家、主任医师,高,疑难重症,疑难、重症、复杂,疑难及重症皮肤病,南方医科大学皮肤病医院 首席专家 首席专家 顾有守 首席专家 顾有守 全国知名皮肤病学教授、医院首席专家、主任医师 疑难及重症皮肤病 1960年毕业于上海第一医学院，先后在中国医科科学院皮肤病研究所及我院从事皮肤性病临床、教学和科研工作，在长期临床工作中，积累了丰富的实践经验，擅长皮肤科疑难杂症的处理，尤其精于复杂皮肤病的治疗。,首席专家 顾有守,1960年毕业于上海第一医学院，先后在中国医科科学院皮肤病研究所及我院从事皮肤性病临床、教学和科研工作，在长期临床工作中，积累了丰富的实践经验，擅长皮肤科疑难杂症的处理，尤其精于复杂皮肤病的治疗。八十年代即为协和医科大学硕士研究生导师，曾经和现任《中华皮肤科杂志》、《国际皮肤性病学杂志》、《临床皮肤科杂志》、《中国麻风皮肤病杂志》、《皮肤性病诊疗学杂志》和《皮肤病与性病》等杂志的编委、特约编委或顾问。,医院官网,https://www.gdskin.com/ShowNews.ASPX?ID=3829,https://www.gdskin.com/Showclass.aspx?id=901,医院官网 ASP.NET 专家团队：GridView 列表+详情页结构化抽取,2026-08-11,200,否,,待人工复核
6,南方医科大学皮肤病医院,曲永彬,中医皮肤科,中医皮肤科,主任医师、医师、医学硕士,主任医师、医学硕士 、美容中医科主诊医师,中,,,银屑病、痤疮、黄褐斑,南方医科大学皮肤病医院 中医皮肤科 曲永彬 主任医师 曲永彬 主任医师 主任医师、医学硕士 、美容中医科主诊医师 银屑病、痤疮、黄褐斑 毕业于广州中医药大学，从事中医皮肤病科临床、教学、科研工作20年，对中医、中西医结合治疗银屑病、白癜风、痤疮、黄褐斑、光线性皮肤病及面部激素依赖性皮炎等顽固性皮肤病有丰富的经验，对针灸治疗皮肤病亦有研究。 主持省市级课题3项，发表学术论文10余篇。 任广东省针灸学会皮肤病专业委员会副主任委员 ，广东省中医药学会皮肤病专业委员会委员，广东省医学会皮肤性病学分会治疗学组成员。,曲永彬 主任医师,毕业于广州中医药大学，从事中医皮肤病科临床、教学、科研工作20年，对中医、中西医结合治疗银屑病、白癜风、痤疮、黄褐斑、光线性皮肤病及面部激素依赖性皮炎等顽固性皮肤病有丰富的经验，对针灸治疗皮肤病亦有研究。主持省市级课题3项，发表学术论文10余篇。任广东省针灸学会皮肤病专业委员会副主任委员 ，广东省中医药学会皮肤病专业委员会委员，广东省医学会皮肤性病学分会治疗学组成员。,医院官网,https://www.gdskin.com/ShowNews.ASPX?ID=4324,https://www.gdskin.com/Showclass.aspx?id=915,医院官网 ASP.NET 专家团队：GridView 列表+详情页结构化抽取,2026-08-11,200,否,,待人工复核
7,南方医科大学皮肤病医院,裴小平,儿童皮肤科,儿童皮肤科,副主任医师、医师、医学硕士,副主任医师、医学硕士、美容皮肤科主诊医师,中,,,儿童皮肤病、遗传性皮肤病、特应性皮炎,南方医科大学皮肤病医院 儿童皮肤科 裴小平 副主任医师 医学硕士 裴小平 副主任医师 医学硕士 副主任医师、医学硕士、美容皮肤科主诊医师 儿童皮肤病、遗传性皮肤病、特应性皮炎 毕业于安徽医科大学皮肤性病学专业，长期从事皮肤性病临床诊疗工作，曾在北京儿童医院进修儿童皮肤科等医院进修学习。 曾荣获“羊城好医生”等称号。 现任中国医师协会皮肤性病分会儿童学组委员、广东省医学会皮肤性病分会儿童学组委员等学术职务。,裴小平 副主任医师 医学硕士,毕业于安徽医科大学皮肤性病学专业，长期从事皮肤性病临床诊疗工作，曾在北京儿童医院进修儿童皮肤科等医院进修学习。曾荣获“羊城好医生”等称号。现任中国医师协会皮肤性病分会儿童学组委员、广东省医学会皮肤性病分会儿童学组委员等学术职务。,医院官网,https://www.gdskin.com/ShowNews.ASPX?ID=5002,https://www.gdskin.com/ShowClass.aspx?id=922,医院官网 ASP.NET 专家团队：GridView 列表+详情页结构化抽取,2026-08-11,200,否,,待人工复核
8,南方医科大学皮肤病医院,鲜华,整形美容外科,整形美容外科,副主任医师、医师、医学博士,副主任医师、医学博士、美容外科主诊医师,中,,,毛发相关性皮肤病、皮肤瘢痕、脂肪加/减精雕塑形,南方医科大学皮肤病医院 整形美容外科 鲜华 副主任医师 鲜华 副主任医师 副主任医师、医学博士、美容外科主诊医师 毛发相关性皮肤病、皮肤瘢痕、脂肪加/减精雕塑形 毕业于南方医科大学，从事整形美容外科临床和研究工作近20年。 现任中国整形美容协会毛发医学分会委员、中国医师协会美容与整形医师分会毛发移植专业委员会委员、中国中西医结合学会医学美容专业委员会瘢痕整形美容专家委员会常委、广东省医学会整形外科分会委员、广东省医学会医学美容学分会委员等。,鲜华 副主任医师,毕业于南方医科大学，从事整形美容外科临床和研究工作近20年。现任中国整形美容协会毛发医学分会委员、中国医师协会美容与整形医师分会毛发移植专业委员会委员、中国中西医结合学会医学美容专业委员会瘢痕整形美容专家委员会常委、广东省医学会整形外科分会委员、广东省医学会医学美容学分会委员等。,医院官网,https://www.gdskin.com/ShowNews.ASPX?ID=4287,https://www.gdskin.com/Showclass.aspx?id=913,医院官网 ASP.NET 专家团队：GridView 列表+详情页结构化抽取,2026-08-11,200,否,,待人工复核
9,南方医科大学皮肤病医院,刘振锋,激光美肤中心,激光美肤中心,主任医师、医师、医学博士、硕士,主任医师 医学博士 硕士研究生导师 美容皮肤科主诊医师,中,,,痤疮、色素性疾病、血管性疾病、皮肤激光美容、面部年轻化,南方医科大学皮肤病医院 激光美肤中心 刘振锋 主任医师 医学博士 硕士研究生导师 刘振锋 主任医师 医学博士 硕士研究生导师 主任医师 医学博士 硕士研究生导师 美容皮肤科主诊医师 痤疮、色素性疾病、血管性疾病、皮肤激光美容、面部年轻化 国家重点学科第四军医大学西京皮肤医院博士毕业。 主持全军科研基金面上项目1项，广东省医学科学技术研究基金1项，参与国家自然科学基金重大国际（地区）合作研究项目1项。 以第一作者发表SCI论文多篇，国内核心期刊10余篇。,刘振锋 主任医师 医学博士 硕士研究生导师,国家重点学科第四军医大学西京皮肤医院博士毕业。从事皮肤病临床诊疗工作10余年，专业方向为皮肤激光美容及面部年轻化。擅长皮肤激光美容、面部年轻化、痤疮、色素性疾病的诊治；在痤疮、黄褐斑、血管性疾病等损容性皮肤病方面有较为丰富的经验。主持全军科研基金面上项目1项，广东省医学科学技术研究基金1项，参与国家自然科学基金重大国际（地区）合作研究项目1项。以第一作者发表SCI论文多篇，国内核心期刊10余篇。,医院官网,https://www.gdskin.com/ShowNews.ASPX?ID=5000,https://www.gdskin.com/Showclass.aspx?id=917,医院官网 ASP.NET 专家团队：GridView 列表+详情页结构化抽取,2026-08-11,200,否,,待人工复核
10,南方医科大学皮肤病医院,谷梅,皮肤内科,皮肤内科,主任医师、医师、医学硕士,主任医师、医学硕士、美容皮肤科主诊医师,中,,,过敏性皮肤病、痤疮及疤痕,南方医科大学皮肤病医院 皮肤内科 谷梅 主任医师 谷梅 主任医师 主任医师、医学硕士、美容皮肤科主诊医师 过敏性皮肤病、痤疮及疤痕 从事皮肤性病临床、教学、科研工作30多年，曾在复旦大学华山医院、北京大学第一医院进修学习，擅长特应性皮炎、湿疹、荨麻疹、面部皮炎等过敏性皮肤病、痤疮及疤痕、脱发、白癜风等疾病的诊治。 曾获广东省“岭南名医”、“羊城好医生”等称号。,谷梅 主任医师,从事皮肤性病临床、教学、科研工作30多年，曾在复旦大学华山医院、北京大学第一医院进修学习，擅长特应性皮炎、湿疹、荨麻疹、面部皮炎等过敏性皮肤病、痤疮及疤痕、脱发、白癜风等疾病的诊治。曾获广东省“岭南名医”、“羊城好医生”等称号。,医院官网,https://www.gdskin.com/ShowNews.ASPX?ID=3849,https://www.gdskin.com/Showclass.aspx?id=906,医院官网 ASP.NET 专家团队：GridView 列表+详情页结构化抽取,2026-08-11,200,否,,待人工复核
