详情ID,姓名,来源链接,状态,失败分类,照片引用数,照片链接,照片文件,声明格式,实际格式,字节数,SHA-256,宽,高,来源批次,错误证据
282,黄艺洪,http://www.ny5y.cn/yisheng_xq.php?id=282,实采,,1,http://www.ny5y.cn/ueditor/php/upload/image/20221014/1665708290560747.png,01_试点医院/南方医科大学第五附属医院/照片/黄艺洪-未标注-主任医师-南方医科大学第五附属医院.png,png,png,189404,09dd5d58449660d19854fbef225a600bacc8af2e267aeddd5f299286e67dfd32,413,582,TRIAL_REUSE,
534,司昌荣,http://www.ny5y.cn/yisheng_xq.php?id=534,实采,,1,http://www.ny5y.cn/ueditor/php/upload/image/20240708/1720438871119662.png,01_试点医院/南方医科大学第五附属医院/照片/司昌荣-中医科-主任中医师-南方医科大学第五附属医院.png,png,png,737680,c6b46767b70b9b260b8535af5194a360667f55fc7421fa86f3c91ed3739ce52f,738,1024,TRIAL_REUSE,
320,安得辉,http://www.ny5y.cn/yisheng_xq.php?id=320,实采,,1,http://www.ny5y.cn/ueditor/php/upload/image/20240709/1720515914781586.png,01_试点医院/南方医科大学第五附属医院/照片/安得辉-中医科-主治中医师-南方医科大学第五附属医院.png,png,png,2282621,cdd64d7abea4f6008d7812249a02f1922b5ede8aed37b8329372201984f1a1b9,935,1361,TRIAL_REUSE,
309,庾美玲,http://www.ny5y.cn/yisheng_xq.php?id=309,实采,,1,http://www.ny5y.cn/ueditor/php/upload/image/20240709/1720516024104993.png,01_试点医院/南方医科大学第五附属医院/照片/庾美玲-中医科-副主任中医师-南方医科大学第五附属医院.png,png,png,750021,69e525583a06c58289657b85f6f5edc4ce987fe3d7da5fe22f75dc6fa96258cc,760,1024,FULL_FETCH,
311,钟燕华,http://www.ny5y.cn/yisheng_xq.php?id=311,实采,,1,http://www.ny5y.cn/ueditor/php/upload/image/20240709/1720514767350752.png,01_试点医院/南方医科大学第五附属医院/照片/钟燕华-中医科-副主任中医师-南方医科大学第五附属医院.png,png,png,173684,08cb3be1ce49539df3e776a32528377a6c16006ed03ab1deedf977b72659e9cf,413,579,FULL_FETCH,
554,阮丽君,http://www.ny5y.cn/yisheng_xq.php?id=554,实采,,1,http://www.ny5y.cn/ueditor/php/upload/image/20260506/1778038522140064.jpg,01_试点医院/南方医科大学第五附属医院/照片/阮丽君-中医科-副主任医师-南方医科大学第五附属医院.jpg,jpg,jpg,92141,735346357bee9b22c89dad53759a2cc6ed05dfb2216813a2ade769707592bdec,280,391,FULL_FETCH,
565,周姗,http://www.ny5y.cn/yisheng_xq.php?id=565,实采,,1,http://www.ny5y.cn/ueditor/php/upload/image/20260528/1779932414137710.png,01_试点医院/南方医科大学第五附属医院/照片/周姗-中心实验室-副研究员-南方医科大学第五附属医院.png,png,png,1252401,209fe11bad6f7cc26b6e657618e001d523c2750d3e9594cf100d03c69416625f,2666,4000,TRIAL_REUSE,
564,宋小萍,http://www.ny5y.cn/yisheng_xq.php?id=564,实采,,1,http://www.ny5y.cn/ueditor/php/upload/image/20260528/1779931831834816.png,01_试点医院/南方医科大学第五附属医院/照片/宋小萍-中心实验室-副研究员-南方医科大学第五附属医院.png,png,png,151530,1f576690cbe2cae9dd2206b1cb6d4b426669978d1736e0e6410c9e4346f017f0,417,583,FULL_FETCH,
261,郭丽冬,http://www.ny5y.cn/yisheng_xq.php?id=261,实采,,1,http://www.ny5y.cn/ueditor/php/upload/image/20221013/1665644960466120.png,01_试点医院/南方医科大学第五附属医院/照片/郭丽冬-临床营养科-副主任医师-南方医科大学第五附属医院.png,png,png,131036,15f99ae5b4fab5a3feaf2c948d029cfcce78523cd2626984b7b289c036ae83d8,413,579,TRIAL_REUSE,
46,何玉兰,http://www.ny5y.cn/yisheng_xq.php?id=46,实采,,1,http://www.ny5y.cn/ueditor/php/upload/image/20221013/1665626786743330.png,01_试点医院/南方医科大学第五附属医院/照片/何玉兰-产科-副主任医师-南方医科大学第五附属医院.png,png,png,132074,c3badc682f7aa6d031d552b566b2318ea9f8fe55b97389c78b39c9fa0cb8aef8,413,579,FULL_FETCH,
