姓名,科室,职称层级,主职称,来源链接,详情HTTP,照片容器,照片链接,照片HTTP,声明Content-Type,声明格式,实际魔数格式,声明/实际一致,文件名,字节,SHA-256,魔数,宽,高,唯一颜色下界,大图判定
黄艺洪,未标注,正高,主任医师,http://www.ny5y.cn/yisheng_xq.php?id=282,200,div.yisheng_xq_bug_left inline background-image,http://www.ny5y.cn/ueditor/php/upload/image/20221014/1665708290560747.png,200,image/png,png,png,是,黄艺洪-未标注-主任医师-南方医科大学第五附属医院.png,189404,09dd5d58449660d19854fbef225a600bacc8af2e267aeddd5f299286e67dfd32,89504E470D0A1A0A0000000D,413,582,3,未命中
司昌荣,中医科,正高,主任中医师,http://www.ny5y.cn/yisheng_xq.php?id=534,200,div.yisheng_xq_bug_left inline background-image,http://www.ny5y.cn/ueditor/php/upload/image/20240708/1720438871119662.png,200,image/png,png,png,是,司昌荣-中医科-主任中医师-南方医科大学第五附属医院.png,737680,c6b46767b70b9b260b8535af5194a360667f55fc7421fa86f3c91ed3739ce52f,89504E470D0A1A0A0000000D,738,1024,3,>200KB
安得辉,中医科,中级,主治中医师,http://www.ny5y.cn/yisheng_xq.php?id=320,200,div.yisheng_xq_bug_left inline background-image,http://www.ny5y.cn/ueditor/php/upload/image/20240709/1720515914781586.png,200,image/png,png,png,是,安得辉-中医科-主治中医师-南方医科大学第五附属医院.png,2282621,cdd64d7abea4f6008d7812249a02f1922b5ede8aed37b8329372201984f1a1b9,89504E470D0A1A0A0000000D,935,1361,3,>200KB、宽>800px
周姗,中心实验室,副高,副研究员,http://www.ny5y.cn/yisheng_xq.php?id=565,200,div.yisheng_xq_bug_left inline background-image,http://www.ny5y.cn/ueditor/php/upload/image/20260528/1779932414137710.png,200,image/png,png,png,是,周姗-中心实验室-副研究员-南方医科大学第五附属医院.png,1252401,209fe11bad6f7cc26b6e657618e001d523c2750d3e9594cf100d03c69416625f,89504E470D0A1A0A0000000D,2666,4000,3,>200KB、宽>800px
郭丽冬,临床营养科,副高,副主任医师,http://www.ny5y.cn/yisheng_xq.php?id=261,200,div.yisheng_xq_bug_left inline background-image,http://www.ny5y.cn/ueditor/php/upload/image/20221013/1665644960466120.png,200,image/png,png,png,是,郭丽冬-临床营养科-副主任医师-南方医科大学第五附属医院.png,131036,15f99ae5b4fab5a3feaf2c948d029cfcce78523cd2626984b7b289c036ae83d8,89504E470D0A1A0A0000000D,413,579,3,未命中
王波涛,介入血管外科,副高,副主任技师,http://www.ny5y.cn/yisheng_xq.php?id=332,200,div.yisheng_xq_bug_left inline background-image,http://www.ny5y.cn/ueditor/php/upload/image/20250807/1754529229745740.jpg,200,image/jpeg,jpg,jpg,是,王波涛-介入血管外科-副主任技师-南方医科大学第五附属医院.jpg,132784,8e3b35e6ea5879bbf95e2cb3131377c2217d89cda55bc9a10746eff9c4c4f3fe,FFD8FFE000104A4649460001,900,1350,3,宽>800px
沈玉才,儿童重症医学科,正高,主任医师,http://www.ny5y.cn/yisheng_xq.php?id=40,200,div.yisheng_xq_bug_left inline background-image,http://www.ny5y.cn/ueditor/php/upload/image/20221012/1665568725899149.png,200,image/png,png,png,是,沈玉才-儿童重症医学科-主任医师-南方医科大学第五附属医院.png,206664,55ac91f09b246a6b6d7125e6ce22f8d792d58990728b8bb4d7f2ecec95c79817,89504E470D0A1A0A0000000D,413,579,3,>200KB
吴智勇,精神心理科,中级,主治医师,http://www.ny5y.cn/yisheng_xq.php?id=419,200,div.yisheng_xq_bug_left inline background-image,http://www.ny5y.cn/ueditor/php/upload/image/20221013/1665630004218214.png,200,image/png,png,png,是,吴智勇-精神心理科-主治医师-南方医科大学第五附属医院.png,155326,5713431ca164465c8bb369aa0c9ef4d74d4f669ad58f0050380e134dd70916e5,89504E470D0A1A0A0000000D,413,579,3,未命中
许桂璇,精神心理科,中级,主治医师,http://www.ny5y.cn/yisheng_xq.php?id=418,200,div.yisheng_xq_bug_left inline background-image,http://www.ny5y.cn/ueditor/php/upload/image/20221014/1665718037585576.png,200,image/png,png,png,是,许桂璇-精神心理科-主治医师-南方医科大学第五附属医院.png,111273,7c3fc546bc87bbd41961b49f4672d15f2fb8fbbfd5c7602143128c59b56a587e,89504E470D0A1A0A0000000D,413,579,3,未命中
杨柳,超声诊断科,副高,副主任医师,http://www.ny5y.cn/yisheng_xq.php?id=558,200,div.yisheng_xq_bug_left inline background-image,http://www.ny5y.cn/ueditor/php/upload/image/20260507/1778115130809040.jpg,200,image/jpeg,jpg,jpg,是,杨柳-超声诊断科-副主任医师-南方医科大学第五附属医院.jpg,193711,e1fa82afeaf5b6e68c0dfc35199c6b9134eb81bf604b6f95cfe6eb2867ec34d0,FFD8FFE100E8457869660000,1269,1392,3,宽>800px
