序号,医院,姓名,科室_分类页,科室_列表卡片,职称_关键词,职称身份原文,重点优先级,重点关注范围,重点疾病标签,擅长诊疗方向摘录,亮眼经历线索,列表简介,详情正文摘录,来源类型,来源链接,采集入口,采集方式,采集日期,详情页状态,已建画像,异常提示,复核状态
1,南方医科大学第五附属医院,黄艺洪,,,主任医师、医学硕士,主任医师、医学硕士、岭南名医,高,疑难重症,疑难、罕见,擅长：颅内血肿穿刺引流、侧脑室穿刺引流、运动和认知障碍、脑血管病及疑难罕见疾病、眩晕症尤其耳石症定位、复位等。,岭南名医 现任广东省医学会眩晕学组第一届副组长、广东省医学会脑血管病分会、省医师协会神经内科分会委员、广东省基层药学会认知障碍专委会副主委、广东省中西医结合卒中分会常委、广东省抗衰老以及神经调控专业委员会常委、广东省眩晕管理学会常委，主持区、市、省级立项多项，参与科技部“973”项目1项，连续3次获“广州市青年岗位能手”称号、2020、2021年度中国卒中学会“中风120英雄”，2021年“广州市基层优秀科普工作者”，从化区高层次人才。,黄艺洪,现任广东省医学会眩晕学组第一届副组长、广东省医学会脑血管病分会、省医师协会神经内科分会委员、广东省基层药学会认知障碍专委会副主委、广东省中西医结合卒中分会常委、广东省抗衰老以及神经调控专业委员会常委、广东省眩晕管理学会常委，主持区、市、省级立项多项，参与科技部“973”项目1项，连续3次获“广州市青年岗位能手”称号、2020、2021年度中国卒中学会“中风120英雄”，2021年“广州市基层优秀科普工作者”，从化区高层次人才。,医院官网,http://www.ny5y.cn/yisheng_xq.php?id=282,http://www.ny5y.cn/zhuanjia_lingnan.php?id=162,医院官网专家栏目：指定入口普查+医生详情 DOM 结构化抽取,2026-08-12,200,否,科室需人工复核,待人工复核
2,南方医科大学第五附属医院,司昌荣,中医科,,医师,主任中医师、岭南名医,高,慢性病,高血压、冠心病、心力衰竭、慢性,心血管内科、呼吸内科疾病的中西医治疗,岭南名医 医学硕士、岭南名医，2009年毕业于黑龙江中医药大学中西医结合临床专业，工作至今。 参与黑龙江省中医药管理局课题3项，发表学术论文多篇。,· 司昌荣,医学硕士、岭南名医，2009年毕业于黑龙江中医药大学中西医结合临床专业，工作至今。擅长心血管内科、呼吸内科疾病的中西医治疗，包括冠心病、高血压、心力衰竭、心律失常、心肌病、肺炎、慢性支气管炎、支气管哮喘、支气管扩张症、失眠等疾病，对颈椎病、头痛、中风的针灸治疗也颇有专长。参与黑龙江省中医药管理局课题3项，发表学术论文多篇。,医院官网,http://www.ny5y.cn/yisheng_xq.php?id=534,http://www.ny5y.cn/zhuanjia_mingyi.php?id=100,医院官网专家栏目：指定入口普查+医生详情 DOM 结构化抽取,2026-08-12,200,否,,待人工复核
3,南方医科大学第五附属医院,许志松,儿童重症医学科,,副主任医师,副主任医师、岭南名医,高,疑难重症,重症、急危重,擅长急危重症儿童救治与监护。,岭南名医 副主任医师、岭南名医，从事儿科临床工作10余年，曾在广州市妇女儿童医疗中心进修，发表学术论文多篇。 擅长急危重症儿童救治与监护。,· 许志松,副主任医师、岭南名医，从事儿科临床工作10余年，曾在广州市妇女儿童医疗中心进修，发表学术论文多篇。擅长急危重症儿童救治与监护。,医院官网,http://www.ny5y.cn/yisheng_xq.php?id=41,http://www.ny5y.cn/zhuanjia_mingyi.php?id=100,医院官网专家栏目：指定入口普查+医生详情 DOM 结构化抽取,2026-08-12,200,否,,待人工复核
4,南方医科大学第五附属医院,尹凯,全科,,教授、博士生导师、医学博士,三级教授、医学博士、博士生导师、岭南名医,高,慢性病、术后恢复/康复,糖尿病、冠心病、动脉粥样硬化、康复,2型糖尿病、肥胖、冠心病等的诊断、治疗、随访及康复指导，同时开展相关临床与基础研究。,岭南名医 医学博士，教授，博士生导师，博士后合作导师，留美博士后（公派）。 目前担任海峡两岸医药卫生交流协会全科医学分会委员、中国老年保健协会家庭医师分会委员、中国病理生理学会动脉粥样硬化委员会胆固醇逆向转运专家组委员、中国病理生理学会受体专业委员会青年委员、中国生物化学与分子生物学会脂质与脂蛋白专业委员会青年委员会常务委员、湖南省心理卫生协会医患沟通专业委员会副主任委员、中国高等医学教育学会临床医学教育研究会诊断学分会委员兼青年委员会常务副主任委员、《中国动脉硬化杂志》编委、《Circulation Research》、 《AGE AND AGEING》杂志审稿人等学术职务。 主持国家自然科学基金5项，广西自然科学基金重点项目、湖南省自然科学基金等省部级项目多项，获湖南省自然科学二等奖，湖南省教学成果 二 、 三 等 奖 等 。 在 Trends Endocrinol Metab、Arteriosclerosis Thrombos...,· 尹凯,医学博士，教授，博士生导师，博士后合作导师，留美博士后（公派）。目前担任海峡两岸医药卫生交流协会全科医学分会委员、中国老年保健协会家庭医师分会委员、中国病理生理学会动脉粥样硬化委员会胆固醇逆向转运专家组委员、中国病理生理学会受体专业委员会青年委员、中国生物化学与分子生物学会脂质与脂蛋白专业委员会青年委员会常务委员、湖南省心理卫生协会医患沟通专业委员会副主任委员、中国高等医学教育学会临床医学教育研究会诊断学分会委员兼青年委员会常务副主任委员、《中国动脉硬化杂志》编委、《Circulation Research》、 《AGE AND AGEING》杂志审稿人等学术职务。承担《内科学》、《诊断学》、《临床技能实训》本科教学、临床医学（全科医学方向）专业型研究生培养工作。主持国家自然科学基金5项，广西自然科学基金重点项目、湖南省自然科学基金等省部级项目多项，获湖南省自然科学二等奖，湖南省教学成果 二 、 三 等 奖 等 。在 Trends Endocrinol Metab、Arteriosclerosis Thrombosis and Vascular Biology （ATVB）、J. Biol. Chem（JBC）、J Lipid research、Obesity Review等国际知名杂志发表 SCI 收录论著、综述和应邀述评 50 余篇。主编《临床基本技能学》、《诊断学》国家规划教材多部、获得医疗器械相关的国家发明专利授权3项。指导大学生互联网+创新创业大赛金奖2项（第一指导教师）。曾获得广西卫生健康委员会第三批广西医学高层次骨干人才，湖南省121人才工程人才，广西卫生健康委员会重点学科（心血管内科）后备学科带头人，桂林医学院优秀学科带头人等称号。,医院官网,http://www.ny5y.cn/yisheng_xq.php?id=520,http://www.ny5y.cn/zhuanjia_mingyi.php?id=100,医院官网专家栏目：指定入口普查+医生详情 DOM 结构化抽取,2026-08-12,200,否,,待人工复核
5,南方医科大学第五附属医院,王敏聪,关节外科,,副主任医师,副主任医师,高,慢性病、术后恢复/康复,慢性、疼痛,骨与关节慢性疼痛、股骨头坏死、老年性髋部骨折、四肢骨折等疾病的阶梯治疗及手术治疗；微创关节镜手术治疗：肩周炎、肩袖损伤、肩盂唇损伤；前后交叉韧带重建、半月板修复、关节软骨损伤，跟痛症及髋、踝、肘疾病的关节镜下治疗等。,曾在解放军总医院（301医院）、北医三院、 上海六院， 佛山中医院学习及进修，系统学习关节置换及运动医学技术。 现任 广东省医师学会运动医学分会青年 委员、广东省医院协会运动医学专委会 委员、 广东省医学会骨科学会关节镜与运动学组委员、 广东省中西医结合学会微创外科委员会 委员、 广州市医学会运动医学分会 常委、 广州市医学会关节外科分会常委 。 近年参与国家自然科学基金、广东省自然科学基金各1项； 近5年以第一作者或通讯作者发表SCI论文6篇。,· 王敏聪,副主任 医师，医学硕士，关节与运动医学方向。 曾在解放军总医院（301医院）、北医三院、 上海六院， 佛山中医院学习及进修，系统学习关节置换及运动医学技术。现任 广东省医师学会运动医学分会青年 委员、广东省医院协会运动医学专委会 委员、 广东省医学会骨科学会关节镜与运动学组委员、 广东省中西医结合学会微创外科委员会 委员、 广州市医学会运动医学分会 常委、 广州市医学会关节外科分会常委 。 近年参与国家自然科学基金、广东省自然科学基金各1项；主持广东省医学基金项目1项、广东省中医药管理局基金1项；近5年以第一作者或通讯作者发表SCI论文6篇。,医院官网,http://www.ny5y.cn/yisheng_xq.php?id=458,http://www.ny5y.cn/zhuanjia_mingyi.php?id=100,医院官网专家栏目：指定入口普查+医生详情 DOM 结构化抽取,2026-08-12,200,否,,待人工复核
6,南方医科大学第五附属医院,李志强,口腔科,,副主任医师、医学硕士,副主任医师、医学硕士、岭南名医,高,肿瘤,肿瘤,擅长口腔颌面部良恶性肿瘤手术治疗、颌骨囊性病变、涎腺疾病、唇腭裂综合序列治疗、牙颌面畸形的正颌手术，以及颌面部创伤、颌骨骨髓炎等方面诊治。,岭南名医 2002年毕业于中山大学口腔医学院，一直在南方医科大学口腔医院（广东省口腔医院）工作，积累了丰富的临床经验， 现任广东省口腔医学会口腔颌面外科专业委员会委员、广东省医学会颌面头颈外科学分会委员、广东省医学会口腔急诊专业委员会委员。,· 李志强,南方医科大学第五附属医院口腔医学中心副主任。 2002年毕业于中山大学口腔医学院，一直在南方医科大学口腔医院（广东省口腔医院）工作，积累了丰富的临床经验， 现任广东省口腔医学会口腔颌面外科专业委员会委员、广东省医学会颌面头颈外科学分会委员、广东省医学会口腔急诊专业委员会委员。,医院官网,http://www.ny5y.cn/yisheng_xq.php?id=337,http://www.ny5y.cn/zhuanjia_mingyi.php?id=100,医院官网专家栏目：指定入口普查+医生详情 DOM 结构化抽取,2026-08-12,200,否,,待人工复核
7,南方医科大学第五附属医院,肖芬球,妇科,,副主任医师,副主任医师,高,肿瘤、生殖疾病,肿瘤、生殖、不孕,擅长对不孕不育症、反复流产及生殖内分泌等妇科疾病的治疗；对产前诊断和生殖科学有较深研究；在妇科肿瘤、腔镜微创手术方面有丰富的临床经验。,曾在广东省妇幼医院产前诊疗及遗传咨询门诊进修。 任 广东省健康管理学会会员。,· 肖芬球,汕头大学医学院临床医疗毕业，从事妇产科临床医疗工作 20余年。曾在广东省妇幼医院产前诊疗及遗传咨询门诊进修。 任 广东省健康管理学会会员。,医院官网,http://www.ny5y.cn/yisheng_xq.php?id=241,http://www.ny5y.cn/zhuanjia_mingyi.php?id=100,医院官网专家栏目：指定入口普查+医生详情 DOM 结构化抽取,2026-08-12,200,否,,待人工复核
8,南方医科大学第五附属医院,梁健华,影像诊断科,,副主任医师,副主任医师、岭南名医,高,疑难重症,疑难,擅长X光、CT、MR影像诊断，尤其对胸部疑难病、少见病的影像诊断具有丰富的临床经验。,岭南名医 副主任医师、毕业于广州医科大学，从事放射工作（X光、CT、MR）15年， 曾在广州医科大学附属第一医院、南方医院进修学习。 现任广东省胸部疾病学会胸部影像专委会委员、广东省肝脏病学会影像专业委会委员、广州市医学放射学分会委员。 近几年主持及参与广东省医学科研基金项目 2 项，主持院长基金 1 项，发表文章 10 多篇。,· 梁健华,副主任医师、毕业于广州医科大学，从事放射工作（X光、CT、MR）15年， 曾在广州医科大学附属第一医院、南方医院进修学习。现任广东省胸部疾病学会胸部影像专委会委员、广东省肝脏病学会影像专业委会委员、广州市医学放射学分会委员。近几年主持及参与广东省医学科研基金项目 2 项，主持院长基金 1 项，发表文章 10 多篇。,医院官网,http://www.ny5y.cn/yisheng_xq.php?id=307,http://www.ny5y.cn/zhuanjia_mingyi.php?id=100,医院官网专家栏目：指定入口普查+医生详情 DOM 结构化抽取,2026-08-12,200,否,,待人工复核
9,南方医科大学第五附属医院,罗扬,泌尿外科,,副主任医师,副主任医师,高,慢性病、肿瘤、生殖疾病,慢性、肿瘤、生殖,泌尿系结石、泌尿系肿瘤、肾上腺肿瘤、上尿路狭窄重建、前列腺增生的微创手术治疗，以及慢性前列腺炎及女性下尿路症状（如：尿频、尿急、尿痛、血尿）等的综合诊治。,副主任医师，毕业于南方医科大学。 现任广东省泌尿生殖协会激光医学分会委员兼秘书，广东省医院协会泌尿外科专业委员会委员及青年委员，广东省泌尿生殖协会泌尿肿瘤学分会委员，广东省基层医药学会微创泌尿肿瘤学专业委员会委员，广东省精准医学应用学会泌尿肿瘤分会委员。 主要参与国家自然科学基金2项，主持广东省自然科学基金面上项目1项，院长基金1项。 以第一作者或通讯作者发表SCI论文10篇，获国家级发明专利授权1项。,· 罗扬,副主任医师，毕业于南方医科大学。现任广东省泌尿生殖协会激光医学分会委员兼秘书，广东省医院协会泌尿外科专业委员会委员及青年委员，广东省泌尿生殖协会泌尿肿瘤学分会委员，广东省基层医药学会微创泌尿肿瘤学专业委员会委员，广东省精准医学应用学会泌尿肿瘤分会委员。主要参与国家自然科学基金2项，主持广东省自然科学基金面上项目1项，院长基金1项。以第一作者或通讯作者发表SCI论文10篇，获国家级发明专利授权1项。,医院官网,http://www.ny5y.cn/yisheng_xq.php?id=432,http://www.ny5y.cn/zhuanjia_mingyi.php?id=100,医院官网专家栏目：指定入口普查+医生详情 DOM 结构化抽取,2026-08-12,200,否,,待人工复核
10,南方医科大学第五附属医院,王宏波,神经内科,,副主任医师,副主任医师、岭南名医,高,肿瘤、疑难重症,瘤、急危重,擅长急危重症患者的处置、脑血管病微创及介入手术治疗，颅内血肿穿刺引流，侧脑室穿刺引流，全脑血管造影，颅内动脉溶栓取栓，支架植入血管成形，动脉瘤弹簧圈栓塞各类手术。,岭南名医 副主任医师、岭南名医，在国家及省级核心期刊发表各类临床科研论文10余篇。 擅长急危重症患者的处置、脑血管病微创及介入手术治疗，颅内血肿穿刺引流，侧脑室穿刺引流，全脑血管造影，颅内动脉溶栓取栓，支架植入血管成形，动脉瘤弹簧圈栓塞各类手术。,· 王宏波,副主任医师、岭南名医，在国家及省级核心期刊发表各类临床科研论文10余篇。主持省级科研课题1项，市级科研课题2项。擅长急危重症患者的处置、脑血管病微创及介入手术治疗，颅内血肿穿刺引流，侧脑室穿刺引流，全脑血管造影，颅内动脉溶栓取栓，支架植入血管成形，动脉瘤弹簧圈栓塞各类手术。,医院官网,http://www.ny5y.cn/yisheng_xq.php?id=285,http://www.ny5y.cn/zhuanjia_mingyi.php?id=100,医院官网专家栏目：指定入口普查+医生详情 DOM 结构化抽取,2026-08-12,200,否,,待人工复核
