hospital,name,department,title,source_link,detail_id,detail_http_status,raw_photo_reference,photo_url,result,failure_state,decision_feature,filename,declared_content_type,actual_extension,bytes,sha256,width,height,retry_count,observed_utc
广东省妇幼保健院,贾杰,未标注,主任医师,https://www.e3861.com/keshizhuanjia/zhuanjiajieshao/35069.html,35069,200,https://wx.e3861.com/sfyAdmin/Images/Default/doct.png,,failed,占位图,详情照片位命中显式 default/placeholder 门禁；页面共享 /uploads/ 图为预约二维码，按 known-SHA 排除,,,,,,,,,2026-08-19T15:06:36.657232Z
广东省妇幼保健院,袁超,麻醉科（番禺院区）,主治医师,https://www.e3861.com/keshizhuanjia/zhuanjiajieshao/33030.html,33030,200,https://wx.e3861.com/sfyAdmin/Images/Default/doct.png,,failed,占位图,详情照片位命中显式 default/placeholder 门禁；页面共享 /uploads/ 图为预约二维码，按 known-SHA 排除,,,,,,,,,2026-08-19T15:06:37.501219Z
广东省妇幼保健院,秦克旺,甲状腺外科（番禺院区）,主任医师,https://www.e3861.com/keshizhuanjia/zhuanjiajieshao/32456.html,32456,200,https://wx.e3861.com/sfyAdmin/Images/Default/doct.png,,failed,占位图,详情照片位命中显式 default/placeholder 门禁；页面共享 /uploads/ 图为预约二维码，按 known-SHA 排除,,,,,,,,,2026-08-19T15:06:38.516315Z
广东省妇幼保健院,陈佳,未标注,主任医师,https://www.e3861.com/keshizhuanjia/zhuanjiajieshao/35073.html,35073,200,https://wx.e3861.com/sfyAdmin/Images/Default/doct.png,,failed,占位图,详情照片位命中显式 default/placeholder 门禁；页面共享 /uploads/ 图为预约二维码，按 known-SHA 排除,,,,,,,,,2026-08-19T15:06:39.515812Z
广东省妇幼保健院,胡克,未标注,主任医师,https://www.e3861.com/keshizhuanjia/zhuanjiajieshao/35075.html,35075,200,https://wx.e3861.com/sfyAdmin/Images/Default/doct.png,,failed,占位图,详情照片位命中显式 default/placeholder 门禁；页面共享 /uploads/ 图为预约二维码，按 known-SHA 排除,,,,,,,,,2026-08-19T15:06:40.510353Z
广东省第二人民医院,杨莲娣,产科,主治医师,https://gd2h.com/site/detail/41951.html,41951,200,/static//seygw//resources/upload/2024/05/28/default_ys.gif,,failed,占位图,详情照片位命中显式 default/placeholder 门禁,,,,,,,,,2026-08-19T15:06:42.179873Z
广东省第二人民医院,陈鹏程,关节骨一科,主治医师,https://gd2h.com/site/detail/adb0d1a824b14c5db57e38e0e10ab27f.html,adb0d1a824b14c5db57e38e0e10ab27f,200,http://www.gd2h.com/system/profile/upload/2024/10/19/bc6b6e0a-9d42-4cc9-8a63-406963832c04.jpg,https://www.gd2h.com/system/profile/upload/2024/10/19/bc6b6e0a-9d42-4cc9-8a63-406963832c04.jpg,failed,照片资源不可达,double_404,,,,,,,,1,2026-08-19T15:06:42.579627Z
广东省第二人民医院,廖耀华,儿科,主治医师,https://gd2h.com/site/detail/42020.html,42020,200,/static//seygw//resources/upload/2024/05/28/6353983839070312502861929.jpg,https://gd2h.com/static//seygw//resources/upload/2024/05/28/6353983839070312502861929.jpg,failed,照片资源不可达,double_404,,,,,,,,1,2026-08-19T15:06:45.648135Z
广东省第二人民医院,陈抒扬,风湿免疫科,主治医师,https://gd2h.com/site/detail/42048.html,42048,200,/static//seygw//resources/upload/2024/05/28/default_ys.gif,,failed,占位图,详情照片位命中显式 default/placeholder 门禁,,,,,,,,,2026-08-19T15:06:48.697500Z
广东省第二人民医院,刘婷,内分泌科,未标注,https://gd2h.com/site/detail/42109.html,42109,200,/static//seygw//resources/upload/2024/05/28/default_ys.gif,,failed,占位图,详情照片位命中显式 default/placeholder 门禁,,,,,,,,,2026-08-19T15:06:49.682446Z
广州中医药大学第一附属医院,王超,肾病一科（慢性肾衰,副主任中医师,https://www.gztcm.com.cn/sanneike/kszj/1he5a53bbro2q.shtml,1he5a53bbro2q,200,,,failed,无照片容器,详情页无符合既有医院白名单的本人职业照引用,,,,,,,,,2026-08-19T15:06:52.013201Z
广东药科大学附属第一医院,臧晶,眼科,主任医师,https://www.gy120.net/articleshow.asp?articleid=587,587,200,files/20260514205657708.JPG,https://www.gy120.net/files/20260514205657708.JPG,failed,照片资源不可达,bounded_transfer_failure,,,,,,,,1,2026-08-19T15:07:29.641669Z
