序号,医院,姓名,科室_分类页,科室_列表卡片,职称_关键词,职称身份原文,重点优先级,重点关注范围,重点疾病标签,擅长诊疗方向摘录,亮眼经历线索,列表简介,详情正文摘录,来源类型,来源链接,照片链接,照片文件,采集入口,采集方式,采集日期,详情页状态,已建画像,异常提示,复核状态
1,广东省人民医院,林展翼,心血管内科,心血管内科,主任医师、副院长,副院长 主任医师,高,慢性病,高血压,心内科专业各病种的临床诊治解，特别是高血压病的诊断、鉴别诊断、治疗、顽固性高血压病诊治方面,参与多项高血压病大规模临床研究，还参与国家有关高血压防治及老年疾病方面多项指南的制定，主持多项的国际和国内高血压方面的学术会议。 学术任职：中华医学会老年医学分会常委，广东省医学会老年医学分会副主委，广东省医学会心血管分会委员； 广东省医师协会理事。,,从事心血管内科临床工作二十余年，熟悉心内科专业各病种的临床诊治解，特别是高血压病的诊断、鉴别诊断、治疗、顽固性高血压病诊治方面。 参与多项高血压病大规模临床研究，还参与国家有关高血压防治及老年疾病方面多项指南的制定，主持多项的国际和国内高血压方面的学术会议。 参与编写《当代心脏病学新进展》等多部专著。 已经获得国家人事部留学人员科技活动择优资助项目、广东省医学科研基金、广东省科技厅科技计划课题和自然科学基金等资助，继续进行小口径组织工程人造血管的研究工作。 目前在读硕士生4名，培养方向为小口径组织工程人造血管的研究。 学术任职：中华医学会老年医学分会常委，广东省医学会老年医学分会副主委，广东省医学会心血管分会委员； 广东省医师协会理事。,医院官网,https://www.gdghospital.org.cn/Expertlistt/info_itemid_25506_subjectid_79.html,https://www.gdghospital.org.cn/uploadfiles//Upload/Expert/2019530171193.jpg,01_试点医院/广东省人民医院/照片/林展翼-心血管内科-主任医师-广东省人民医院.jpg,https://www.gdghospital.org.cn/DepartmentSearch/list.html,官网科室树+严格 itemid/subjectid 医生详情 DOM+同域本人职业照,2026-08-14,200,否,,待人工复核
2,广东省人民医院,庄建,心外科,心外科,主任医师,主任医师,高,疑难重症,重症、复杂,疾病：重症复杂先天性心脏病的外科治疗和研究,医学博士、博士生导师 国务院特殊津贴专家、心外科首席专家，广东省心血管病中心主任。 中华医学会胸心血管外科学分会第九届主委、中国医师协会心血管外科分会副会长，国家千百万人才工程“有突出贡献中青年专家”。 主持建立了适合我国国情的先心病外科治疗指南。 在国内率先开展多项新术式应用于复杂先天性心脏病外科治疗，率先建立省级先天性心脏病防治网络，率先开展先天性心脏病产前产后一体化诊疗模式临床应用，率先开展产时胎儿心脏病外科治疗和胎儿先天性心脏病宫内介入治疗，率先将虚拟现实和混合现实技术应用于先天性心脏病辅助诊疗。,,医学博士、博士生导师 国务院特殊津贴专家、心外科首席专家，广东省心血管病中心主任。 中华医学会胸心血管外科学分会第九届主委、中国医师协会心血管外科分会副会长，国家千百万人才工程“有突出贡献中青年专家”。 主持建立了适合我国国情的先心病外科治疗指南。 长期从事复杂重症先心病防诊治，带领的先心外科团队步入国际先进行列。 长期从事心脏外科临床、科研和教学工作，重点开展重症复杂先天性心脏病的外科治疗研究、先天性心脏病系统防治研究和先天性心脏病辅助诊疗和评价系统建立的研究。 在国内率先开展多项新术式应用于复杂先天性心脏病外科治疗，率先建立省级先天性心脏病防治网络，率先开展先天性心脏病产前产后一体化诊疗模式临床应用，率先开展产时胎儿心脏病外科治疗和胎儿先天性心脏病宫内介入治疗，率先将虚拟现实和混合现实技术应用于先天性心脏病辅助诊疗。 负责完成国家“十一五”科技支撑计划项目《提高新生儿及小婴儿复杂先天性心脏病外科疗效的临床研究》和国家“十二五”科技支撑计划项目《复杂先心病防治网络建设和优化治疗策略研究》，推动我国复杂先天性心脏病防治水平的提高。 在学术期刊发表论文200余篇，有多项研究成果获奖。 先后获得国家卫生健康委员会和国家有突出贡献中青年专家、广东省“五一”劳动奖章和全国“五一”劳动奖章、广东省“丁颖科技奖”。 擅长疾病：重症复杂先天性心脏病的外科治疗和研究。,医院官网,https://www.gdghospital.org.cn/Expertlistt/info_itemid_33825_subjectid_80.html,https://www.gdghospital.org.cn/uploadfiles//Upload/Expert/201729118326.jpg,01_试点医院/广东省人民医院/照片/庄建-心外科-主任医师-广东省人民医院.jpg,https://www.gdghospital.org.cn/DepartmentSearch/list.html,官网科室树+严格 itemid/subjectid 医生详情 DOM+同域本人职业照,2026-08-14,200,否,,待人工复核
3,广东省人民医院,王树水,心儿科,心儿科,主任医师,主任医师,高,疑难重症,疑难、罕见,室间隔缺损、房间隔缺损、动脉导管未闭、肺动脉瓣狭窄等先天性心脏病介入治疗,中共党员 医学博士、博士生导师。 广东省心血管病研究所党总支书记、广东省心血管病中心副主任、广东省儿童心脏中心副主任、心儿科主任。 现兼任广东省医师协会儿童心血管医师分会主任委员、中国医院协会罕见病专委会常务委员、广东省医学会罕见病分会常务委员、广东省介入性心脏病学会常务理事等。 在小儿心脏病超声诊断、疑难小儿心血管疾病的诊治亦方面有较深研究。,,中共党员 医学博士、博士生导师。 广东省心血管病研究所党总支书记、广东省心血管病中心副主任、广东省儿童心脏中心副主任、心儿科主任。 1993年本科毕业于山东医科大学，后在广东省心血管研究所获得医学硕士、博士学位。 现兼任广东省医师协会儿童心血管医师分会主任委员、中国医院协会罕见病专委会常务委员、广东省医学会罕见病分会常务委员、广东省介入性心脏病学会常务理事等。 从事小儿心血管病诊治工作30余年，擅长室间隔缺损、房间隔缺损、动脉导管未闭、肺动脉瓣狭窄等先天性心脏病介入治疗。 在小儿心脏病超声诊断、疑难小儿心血管疾病的诊治亦方面有较深研究。 是卫生部首批先心病介入治疗培训导师及国家医学考试中心先心病介入治疗资质考试面试考官。 主持承担国家自然科学基金、广东省自然科学基金、广东省及广州市科技计划项目等课题7项，获得国家科技发明二等奖、广东省科技进步一等奖、二等奖等奖励6项。 以第一及通讯作者在国际心脏病学杂志、欧洲儿科杂志、日本儿科杂志、罕见病杂志、欧洲超声医学杂志、美国超声医学杂志等SCI期刊及国内核心期刊等发表临床型研究论文60余篇。 特约专家,医院官网,https://www.gdghospital.org.cn/Expertlistt/info_itemid_32859_subjectid_81.html,https://www.gdghospital.org.cn/uploadfiles/2022/01/20220105102415611.jpg?546L5qCR5rC0LW5ldy5qcGc=,01_试点医院/广东省人民医院/照片/王树水-心儿科-主任医师-广东省人民医院.jpg,https://www.gdghospital.org.cn/DepartmentSearch/list.html,官网科室树+严格 itemid/subjectid 医生详情 DOM+同域本人职业照,2026-08-14,200,否,,待人工复核
4,广东省人民医院,潘微,心脏母胎医学科,心脏母胎医学科,主任医师,主任医师,高,疑难重症,疑难、重症、复杂,于重症、复杂先心病的超声诊断及围术期处理,中共党员 医学博士、博士生导师、心脏母胎医学科主任 1992年7月毕业于吉林大学儿科医学专业获学士学位。 2008年于美国宾夕法尼亚大学附属费城儿童医院心脏中心进修学习。 承担华南地区胎儿及儿童先心病的终端诊断工作，完成了大量疑难病例的会诊。 副主编论著四部，主译一部，发表专业论文40余篇。,,中共党员 医学博士、博士生导师、心脏母胎医学科主任 1992年7月毕业于吉林大学儿科医学专业获学士学位。 2000年和2011年先后毕业于广东省心血管病研究所心儿科、心外科获得医学硕士、医学博士学位。 2008年于美国宾夕法尼亚大学附属费城儿童医院心脏中心进修学习。 从事儿科心血管专业近30年，熟练掌握儿科心血管疾病的临床诊断及内科治疗、介入治疗技术。 尤其擅长于重症、复杂先心病的超声诊断及围术期处理。 近二十年以胎儿心脏病的产前诊断、咨询及生后优化治疗为主要研究方向，积累了丰富的临床经验。 承担华南地区胎儿及儿童先心病的终端诊断工作，完成了大量疑难病例的会诊。 作为主要参与者，2015年完成我国第一例胎儿心脏病产时手术、2016年完成我国第一例胎儿宫内介入术、至今已完成7例，均获成功。 副主编论著四部，主译一部，发表专业论文40余篇。 参与制定“中国胎儿心脏超声检查技术规范”、制定了“广东省胎儿心脏超声操作规范和临床咨询技术指南”。 完成广东省科技项目3项，承担国家“十三五”重大课题分课题一项。 两次获得“广东省人民医院新技术奖”。 作为主要参与者获广东省科技进步一等奖一次、获第十一届宋庆龄儿科医学奖一次。 系国家卫健委首批先心病介入治疗培训导师； 兼任中国胎儿心脏病防治委员会副主任委员、广东省优生优育协会先心病专业委员会副主任委员、 广东省预防医学会出生缺陷防治委员会副主任委员、中华医学会儿科分会胎儿心脏病协作组组长，广东省超声医学分会常委等学术职务。 专家,医院官网,https://www.gdghospital.org.cn/Expertlistt/info_itemid_24417_subjectid_118.html,https://www.gdghospital.org.cn/uploadfiles/2021/08/20210818150722162.jpg?5r2Y5b6uLW5ldC5qcGc=,01_试点医院/广东省人民医院/照片/潘微-心脏母胎医学科-主任医师-广东省人民医院.jpg,https://www.gdghospital.org.cn/DepartmentSearch/list.html,官网科室树+严格 itemid/subjectid 医生详情 DOM+同域本人职业照,2026-08-14,200,否,,待人工复核
5,广东省人民医院,冯颖青,广东省心血管病中心,广东省心血管病中心,主任医师,主任医师,高,慢性病、术后恢复/康复,高血压、糖尿病、代谢、术后,,广东省人民医院广东省心血管病中心副主任，高血压病研究室主任，心内科主任医师，博士生导师。 目前担任中国医师协会高血压分会常委、广东省医学会高血压分会主任委员、广东省医学会心血管分会常委、中国高血压联盟副主席、粤港澳大湾区高血压联盟主席，2020 年作为中国唯一获奖者被世界高血压联盟授予“人群心血管危险因素控制杰出贡献奖”。 主要致力于高血压、2 型糖尿病与心血管代谢性疾病的临床研究，研究成果于 Eur Heart J、Lancet Reg Health West Pac等杂志发表通讯作者（含共同）SCI 科研论文 200 余篇。 作为项目或课题负责人承担“十三五”国家重点研发计划“我国社区高血压综合管理适宜技术研究及示范推广”及多项重点专项和省市级重大专项科研项目，两次获广东省科技进步成果奖二等奖。,,广东省人民医院广东省心血管病中心副主任，高血压病研究室主任，心内科主任医师，博士生导师。 目前担任中国医师协会高血压分会常委、广东省医学会高血压分会主任委员、广东省医学会心血管分会常委、中国高血压联盟副主席、粤港澳大湾区高血压联盟主席，2020 年作为中国唯一获奖者被世界高血压联盟授予“人群心血管危险因素控制杰出贡献奖”。 主要致力于高血压、2 型糖尿病与心血管代谢性疾病的临床研究，研究成果于 Eur Heart J、Lancet Reg Health West Pac等杂志发表通讯作者（含共同）SCI 科研论文 200 余篇。 作为项目或课题负责人承担“十三五”国家重点研发计划“我国社区高血压综合管理适宜技术研究及示范推广”及多项重点专项和省市级重大专项科研项目，两次获广东省科技进步成果奖二等奖。 带领团队在国际上首次通过多中心随机对照研究证实我国老年高血压患者强化降压(收缩压:110~<130 mmHg)与标准降压治疗(130~<150mm Hg)相比可使主要心血管复合事件风险降低26%。 在国内率先将移动互联网及穿戴设备技术用于高血压防治管理，通过该技术的推广应用，大大提高了基层高血压防治效果，形成了一套具有自主知识产权的应对高血压管理的解决方案。 相关成果《高血压综合防治体系关键技术的创建及应用》获得广东省科学技术奖科技进步二等奖。 牵头了全国范围的随机对照研究“血压正常高值合并 2 型糖尿病人群降压干预研究Intervention for High-norMal Blood Pressure in Type 2 Diabetes：A Randomized Controlled Trial（IMPACT）”。 项目预计覆盖全国400家医院和社区，并且后续将进行长达4.5年的随访，以此来探究与常规血压管理相比，强化血压管理是否能够有效的降低复合心血管事件的发生风险。 项目的开展，促进了高血压、心血管疾病防控关口前移，并规范了基层医疗机构人员的心血管代谢性疾病诊疗规范。 带领团队于2023年1月7日成功完成华南地区首例经皮肾动脉交感神经消融术（RDN），实现了高血压治疗从“单纯药物治疗”到“微创介入治疗”的医学科技提升。 手术采用目前国际上临床证据、最先进的新一代Symplicity Spyral肾动脉多极射频消融导管进行，并获得圆满成功。 目前，在广东省人民医院已建立成熟的RDN手术团队，建立了系统的术前患者筛选、评估、术中测量、围术期管理以及术后随访体系，为药物控制不佳的高血压患者提供个体化的精准治疗方案，开辟高血压治疗全新道路。,医院官网,https://www.gdghospital.org.cn/Expertlistt/info_itemid_25495_subjectid_84.html,https://www.gdghospital.org.cn/uploadfiles/2021/08/20210830160917040.jpg?5Yav6aKW6Z2SLW5ldC5qcGc=,01_试点医院/广东省人民医院/照片/冯颖青-广东省心血管病中心-主任医师-广东省人民医院.jpg,https://www.gdghospital.org.cn/DepartmentSearch/list.html,官网科室树+严格 itemid/subjectid 医生详情 DOM+同域本人职业照,2026-08-14,200,否,,待人工复核
6,广东省人民医院,余学清,肾内科,肾内科,主任医师,主任医师,中,,,,"肾内科学科带头人 学 习经历 ：1984 年毕业于中山医学院医学系，并先后获得硕士和博士学位。 1996年和2002年先后赴澳大利亚和美国进修学习。 国内主要学术兼职 ：国务院学位委员会学科评议组成员，《中华肾脏病学会》主任委员，《中华肾脏病杂志》总编辑，《Chronic Disease and Translational Medicine》副主编。 国际主要学术兼职 ：《国际腹膜透析协会》候任主席、《亚太肾脏病学会》常务理事、《亚洲肾脏病联盟》主席、《美国肾脏病杂志》编委,《Nephrology》主题编委。",,"肾内科学科带头人 学 习经历 ：1984 年毕业于中山医学院医学系，并先后获得硕士和博士学位。 1996年和2002年先后赴澳大利亚和美国进修学习。 国内主要学术兼职 ：国务院学位委员会学科评议组成员，《中华肾脏病学会》主任委员，《中华肾脏病杂志》总编辑，《Chronic Disease and Translational Medicine》副主编。 国际主要学术兼职 ：《国际腹膜透析协会》候任主席、《亚太肾脏病学会》常务理事、《亚洲肾脏病联盟》主席、《美国肾脏病杂志》编委,《Nephrology》主题编委。 主要科研业绩 ：至今共承担各级科研基金44项，包括：国家重点研发计划-精准医学专项、国家自然科学基金重点项目、科技部国际合作计划项目、“十二五”科技支撑计划课题组长、973项目课题组长、教育部创新团队项目等； 发表科研论文443篇，其中SCI收入181篇，第一和通讯作者91篇，包括Nature Genetics, Nature Communications, Cell Metabolism, Science Translational Medicine等。 出版学术专著17部，其中主编8部。 主要荣誉 ：教育部“长江学者”特聘教授、国家杰出青年基金获得者、国家“百千万工程”有突出贡献的中青年专家，教育部跨世纪优秀人才、卫生部有突出贡献中青年专家、广东省特聘教授-珠江学者, 广东省南粤百杰人才等。 荣获国家科技进步二等奖1项，教育部科技进步一等奖1项，广东省科技进步一等奖1项，教育部自然科学二等奖1项。 建设了国际领先水平的腹膜透析中心，病人及技术存活率均居世界先进水平，被誉为“广州模式”； 国际著名期刊《柳叶刀》称之为“中国肾脏学发展的引擎”，在《柳叶刀》向全世界介绍“如何建设成功的腹膜透析中心：中国经验”。",医院官网,https://www.gdghospital.org.cn/Expertlistt/info_itemid_24650_subjectid_15.html,https://www.gdghospital.org.cn/uploadfiles/2024/05/20240521163521258.jpg?5L2Z5a2m5riFLTIwMTguanBn,01_试点医院/广东省人民医院/照片/余学清-肾内科-主任医师-广东省人民医院.jpg,https://www.gdghospital.org.cn/DepartmentSearch/list.html,官网科室树+严格 itemid/subjectid 医生详情 DOM+同域本人职业照,2026-08-14,200,否,,待人工复核
7,广东省人民医院,杜欣,血液内科,血液内科,主任医师,主任医师,高,慢性病、肿瘤,慢性、肿瘤、癌、瘤、淋巴瘤、白血病,贫血、急慢性白血病、骨髓增生异常综合征、骨髓增殖性肿瘤、淋巴瘤、多发性骨髓瘤、造血干细胞移植及移植物抗宿主病诊治,医学博士、主任医师、教授、博士研究生导师 大内科主任、大内科党总支书记、 血液内科学科带头人 专业特长 ：从事血液病专业30余年，擅长贫血、急慢性白血病、骨髓增生异常综合征、骨髓增殖性肿瘤、淋巴瘤、多发性骨髓瘤、造血干细胞移植及移植物抗宿主病诊治； 尤其对髓系恶性肿瘤的精准诊断和综合个体化治疗具有丰富的经验和较高的造诣。 社会任职 ：中华医学会肿瘤学分会淋巴血液学会委员、中华医学会血液学分会红学组委员、中华老年医学会血液学分会白血病组副组长、中国抗癌协会血液肿瘤专业委员会常委暨MDS/MPN工作组副组长、髓系肿瘤学组副组长，广东省肿瘤防治联盟第一届血液肿瘤分会主任委员、广东省药学会血液科用药专家委员会主任委员、广东省中西医结合学会血液病专业委员会主任委员、广东省精准应用学会精准血液病分会主任委员、广东省医学会血液学分会副主任委员、广东省医学会细胞治疗学分会副主任委员、广东省干细胞临床研究专家委员会专家组成员,,医学博士、主任医师、教授、博士研究生导师 大内科主任、大内科党总支书记、 血液内科学科带头人 专业特长 ：从事血液病专业30余年，擅长贫血、急慢性白血病、骨髓增生异常综合征、骨髓增殖性肿瘤、淋巴瘤、多发性骨髓瘤、造血干细胞移植及移植物抗宿主病诊治； 尤其对髓系恶性肿瘤的精准诊断和综合个体化治疗具有丰富的经验和较高的造诣。 社会任职 ：中华医学会肿瘤学分会淋巴血液学会委员、中华医学会血液学分会红学组委员、中华老年医学会血液学分会白血病组副组长、中国抗癌协会血液肿瘤专业委员会常委暨MDS/MPN工作组副组长、髓系肿瘤学组副组长，广东省肿瘤防治联盟第一届血液肿瘤分会主任委员、广东省药学会血液科用药专家委员会主任委员、广东省中西医结合学会血液病专业委员会主任委员、广东省精准应用学会精准血液病分会主任委员、广东省医学会血液学分会副主任委员、广东省医学会细胞治疗学分会副主任委员、广东省干细胞临床研究专家委员会专家组成员,医院官网,https://www.gdghospital.org.cn/Expertlistt/info_itemid_23948_subjectid_16.html,https://www.gdghospital.org.cn/uploadfiles//Upload/Expert/2019114828256.jpg,01_试点医院/广东省人民医院/照片/杜欣-血液内科-主任医师-广东省人民医院.jpg,https://www.gdghospital.org.cn/DepartmentSearch/list.html,官网科室树+严格 itemid/subjectid 医生详情 DOM+同域本人职业照,2026-08-14,200,否,,待人工复核
8,广东省人民医院,沙卫红,消化内科,消化内科,主任医师、科主任,主任医师 科主任,高,,,消化性溃疡、胃食管返流病，功能性消化不良及脂肪肝、肝硬化、胆石症、胰腺炎、炎症性肠病等疾病的诊治及其内镜下的诊断与治疗,教授，消化内科、伟伦内窥镜室行政主任，内科教研室主任、医学博士、博士生导师，消化内科学科带头人。 现任中华医学会消化內镜分会委员，中国医师协会消化医师分会委员，中国医师协会内镜及消化内镜分会委员，广东省医师协会消化科医师分会主任委员，广东省医学会消化病学分会副主任委员，广东省医师协会常务理事。 1992年毕业于中山医科大学全英班并相继获得硕士和博士学位，曾在美国德州大学医学部（UTMB）从事博士后工作，并到日本等地进修学习消化內镜，为学科发展和人才培养搭建了较好的国际交流平台。 从事消化专业临床和科研工作20余年，洞悉国内外研究动向，在本专业领域具有极深的造诣并积累了丰富的临床经验，是国内外知名的专家与学者，近年来获广东省科技进步奖及国家和广东省自然科学基金项目多项，主译和参编专著6本，发表SCI及核心杂志论文100余篇。,,教授，消化内科、伟伦内窥镜室行政主任，内科教研室主任、医学博士、博士生导师，消化内科学科带头人。 现任中华医学会消化內镜分会委员，中国医师协会消化医师分会委员，中国医师协会内镜及消化内镜分会委员，广东省医师协会消化科医师分会主任委员，广东省医学会消化病学分会副主任委员，广东省医师协会常务理事。 1992年毕业于中山医科大学全英班并相继获得硕士和博士学位，曾在美国德州大学医学部（UTMB）从事博士后工作，并到日本等地进修学习消化內镜，为学科发展和人才培养搭建了较好的国际交流平台。 从事消化专业临床和科研工作20余年，洞悉国内外研究动向，在本专业领域具有极深的造诣并积累了丰富的临床经验，是国内外知名的专家与学者，近年来获广东省科技进步奖及国家和广东省自然科学基金项目多项，主译和参编专著6本，发表SCI及核心杂志论文100余篇。 擅长消化性溃疡、胃食管返流病，功能性消化不良及脂肪肝、肝硬化、胆石症、胰腺炎、炎症性肠病等疾病的诊治及其内镜下的诊断与治疗。,医院官网,https://www.gdghospital.org.cn/Expertlistt/info_itemid_24663_subjectid_17.html,https://www.gdghospital.org.cn/uploadfiles/2021/08/20210830163008485.jpg?5rKZ5Y2r57qiLW5ldC5qcGc=,01_试点医院/广东省人民医院/照片/沙卫红-消化内科-主任医师-广东省人民医院.jpg,https://www.gdghospital.org.cn/DepartmentSearch/list.html,官网科室树+严格 itemid/subjectid 医生详情 DOM+同域本人职业照,2026-08-14,200,否,,待人工复核
9,广东省人民医院,陈仁,感染科,感染科,主任医师、科主任,主任医师 科主任,高,肿瘤、免疫/风湿/感染、疑难重症,肝癌、免疫、感染、重症,病毒性肝炎、肝硬化、肝癌、肝功能衰竭、脂肪肝、自身免疫肝病、不明原因肝功能异常、胆道疾病、黄疸、发热查因、腹水查因等疾病的诊断和治疗,医学博士、研究生导师、教授、主任医师。 2001年于中南大学湘雅医学院获硕士学位，2004获中南大学湘雅医学院内科学博士学位，2011-2012在美国UTAH肝病中心从事抗病毒药物筛选、生物免疫抗病毒的研究。 主持TOLL样受体介导Hh致肝细胞线粒体蛋白释放谱变化的分子机理、快速诊断早期肝癌血清蛋白质组标准模式图谱的建立应用，肝癌的蛋白质组学研究、生物免疫治疗清除肝细胞中乙肝病毒cccDNA的分子机理、骨髓间充质干细胞联合免疫增强剂治疗中后期肝癌的观察研究等9项广东省自然科学基金及科技项目，主持多项国际及国内多中心临床试验，在J Gen Virol、PLoS One、Oncology Research等SCI收录杂志和中华系列中文核心期刊杂志发表论文50余篇，参编著作2部。 社会任职： 现为美国病毒学会会员、广东省预防医学会感染病专业委员会副主任、广东省医学会感染病学分会常委、广东省肝脏病学会肝炎专业委员会常委、广东省肝脏...,,医学博士、研究生导师、教授、主任医师。 2001年于中南大学湘雅医学院获硕士学位，2004获中南大学湘雅医学院内科学博士学位，2011-2012在美国UTAH肝病中心从事抗病毒药物筛选、生物免疫抗病毒的研究。 从事临床、教学和科研工作25年，具有较高的专业理论水平，具有丰富的临床经验和较高水平的诊治能力。 主持国家自然科学资金资助项目：TOLL样受体介导Hh致肝细胞线粒体蛋白释放谱变化的分子机理，作为第二研究者参与两项自然科学资金资助项目； 主持TOLL样受体介导Hh致肝细胞线粒体蛋白释放谱变化的分子机理、快速诊断早期肝癌血清蛋白质组标准模式图谱的建立应用，肝癌的蛋白质组学研究、生物免疫治疗清除肝细胞中乙肝病毒cccDNA的分子机理、骨髓间充质干细胞联合免疫增强剂治疗中后期肝癌的观察研究等9项广东省自然科学基金及科技项目，主持多项国际及国内多中心临床试验，在J Gen Virol、PLoS One、Oncology Research等SCI收录杂志和中华系列中文核心期刊杂志发表论文50余篇，参编著作2部。 专业特长 ： 1、擅长病毒性肝炎、肝硬化、肝癌、肝功能衰竭、脂肪肝、自身免疫肝病、不明原因肝功能异常、胆道疾病、黄疸、发热查因、腹水查因等疾病的诊断和治疗。 2、特别是乙型肝炎及丙型肝炎的抗病毒治疗有独到的见解和心得，尤其是生物免疫联合治疗根除乙肝病毒、治疗肝硬化、肝癌治疗有较深的研究，丰富的临床经验。 社会任职： 现为美国病毒学会会员、广东省预防医学会感染病专业委员会副主任、广东省医学会感染病学分会常委、广东省肝脏病学会肝炎专业委员会常委、广东省肝脏病学会重症医学专业委员会常委、国家自然科学资金项目审专家、广东省自然科学资金项目审专家、广东省科技项目审专家、浙江省自然科学资金项目审专家、江西省自然科学资金项目审专家、广东省委保健局专家。,医院官网,https://www.gdghospital.org.cn/Expertlistt/info_itemid_24748_subjectid_18.html,https://www.gdghospital.org.cn/uploadfiles/2021/08/20210830165000517.jpg?6ZmI5LuBLW5ldC5qcGc=,01_试点医院/广东省人民医院/照片/陈仁-感染科-主任医师-广东省人民医院.jpg,https://www.gdghospital.org.cn/DepartmentSearch/list.html,官网科室树+严格 itemid/subjectid 医生详情 DOM+同域本人职业照,2026-08-14,200,否,,待人工复核
10,广东省人民医院,高兴林,呼吸与危重症医学科,呼吸与危重症医学科,主任医师,主任医师,高,慢性病、肿瘤、免疫/风湿/感染、疑难重症,慢性、肿瘤、感染、疑难、危重,慢性咳嗽、哮喘、感染、肿瘤的诊治,"教授，德国医学博士，博士生导师 呼吸科与危重症医学科原主任，现广东省老年医学研究所副所长，老年呼吸一科主任，中华医学会呼吸病学分会委员，广东省医师协会呼吸科医师分会主任委员，对呼吸科疑难少见病的诊治有丰富的经验, 擅长慢性咳嗽、哮喘、感染、肿瘤的诊治。 曾2次留学德国。 以第一及通讯作者发表SCI及核心期刊论文60多篇，《中华老年医学杂志》副总编辑，《中华结核和呼吸杂志》通信编委。",,"教授，德国医学博士，博士生导师 呼吸科与危重症医学科原主任，现广东省老年医学研究所副所长，老年呼吸一科主任，中华医学会呼吸病学分会委员，广东省医师协会呼吸科医师分会主任委员，对呼吸科疑难少见病的诊治有丰富的经验, 擅长慢性咳嗽、哮喘、感染、肿瘤的诊治。 曾2次留学德国。 以第一及通讯作者发表SCI及核心期刊论文60多篇，《中华老年医学杂志》副总编辑，《中华结核和呼吸杂志》通信编委。 广东省抗击新冠临床救治组副组长。",医院官网,https://www.gdghospital.org.cn/Expertlistt/info_itemid_33972_subjectid_19.html,https://www.gdghospital.org.cn/uploadfiles/2022/01/20220110101845981.jpg?6auY5YW05p6XLW5ldy5qcGc=,01_试点医院/广东省人民医院/照片/高兴林-呼吸与危重症医学科-主任医师-广东省人民医院.jpg,https://www.gdghospital.org.cn/DepartmentSearch/list.html,官网科室树+严格 itemid/subjectid 医生详情 DOM+同域本人职业照,2026-08-14,200,否,,待人工复核
