序号,医院,姓名,科室_分类页,科室_列表卡片,职称_关键词,职称身份原文,重点优先级,重点关注范围,重点疾病标签,擅长诊疗方向摘录,亮眼经历线索,列表简介,详情正文摘录,来源类型,来源链接,照片链接,照片文件,采集入口,采集方式,采集日期,详情页状态,已建画像,异常提示,复核状态
1,广东省妇幼保健院,李文萍,乳腺科（番禺院区、越秀院区）,,主任医师,主任医师,高,肿瘤,肿瘤、癌、乳腺癌,,主诊组组长 医学博士 硕士生导师 荣誉： 胡润 · 平安中国好医生 第九届羊城好医生暨第七届南粤好医生。 社会任职： 广东医学会妇幼保健分会乳腺病学组常务委员 广州市番禺肿瘤学会专家委员 广东省女医师协会乳腺病分会专家委员 中国肿瘤防治联盟乳腺癌委员会委员 广州市抗癌协会乳腺癌专业委员会,,主诊组组长 医学博士 硕士生导师 荣誉： 胡润 · 平安中国好医生 第九届羊城好医生暨第七届南粤好医生。 社会任职： 广东医学会妇幼保健分会乳腺病学组常务委员 广州市番禺肿瘤学会专家委员 广东省女医师协会乳腺病分会专家委员 中国肿瘤防治联盟乳腺癌委员会委员 广州市抗癌协会乳腺癌专业委员会,医院官网,https://www.e3861.com/keshizhuanjia/zhuanjiajieshao/32441.html,https://wx.e3861.com/sfyAdmin/Images/Doctor/f5b379df-5903-4c8d-80fa-d80866a7e850-280.png,01_试点医院/广东省妇幼保健院/照片/李文萍-乳腺科-主任医师-广东省妇幼保健院.png,https://www.e3861.com/keshizhuanjia/zhuanjiajieshao,官网 111 页服务端目录+严格数字 ID 详情 DOM+官方子域本人职业照,2026-08-14,200,否,,待人工复核
2,广东省妇幼保健院,范保维,妇科（番禺院区）,,主任医师,主任医师,高,生殖疾病、免疫/风湿/感染,不孕、月经、免疫,,主任医师，教授，南粤好医生、湖润好医生。 全国内镜专业考评委员会专家，国家科技评审专家库专家，广东省科技评审专家库专家、广东省健康教育专家委员会专家，中华医学会医疗事故鉴定专家，中国医学装备协会专家数据库专家。,,主任医师，教授，南粤好医生、湖润好医生。全国内镜专业考评委员会专家，国家科技评审专家库专家，广东省科技评审专家库专家、广东省健康教育专家委员会专家，中华医学会医疗事故鉴定专家，中国医学装备协会专家数据库专家。为首批获得内镜四级手术资格的专家。 专业专长： 内分泌与月经失调、不孕、复发性流产，免疫性流产，子宫脱垂、尿失禁。腹腔镜、宫腔镜技术、阴道缩紧术。,医院官网,https://www.e3861.com/keshizhuanjia/zhuanjiajieshao/32507.html,https://wx.e3861.com/sfyAdmin/Images/Doctor/5663f017-754e-46b2-9c4a-6fea6fba319e-280.png,01_试点医院/广东省妇幼保健院/照片/范保维-妇科-主任医师-广东省妇幼保健院.png,https://www.e3861.com/keshizhuanjia/zhuanjiajieshao,官网 111 页服务端目录+严格数字 ID 详情 DOM+官方子域本人职业照,2026-08-14,200,否,,待人工复核
3,广东省妇幼保健院,和秀魁,妇科（番禺院区、天河院区）,,主任医师,主任医师,高,慢性病、肿瘤、生殖疾病、免疫/风湿/感染、术后恢复/康复,慢性、肿瘤、生殖、卵巢、妇科内分泌、多囊、月经、免疫、功能障碍,,医学博士，广东省妇幼保健院主任医师，广州医科大学教授、硕士生导师、广东省妇幼保健院住院医师规范化培训妇产科专业基地教学主任。 现为广东省生殖免疫与内分泌专科联盟常任理事，广东省基层医药学会生殖调控专业委员会副主委，广东省保健协会妇女保健分会委员，广东省基层医药学会生殖妇科专委会常委，中西医结合妇产与妇幼保健分会委员，中国整形美容协会女性生殖整复分会生殖保健专业学组成员，广东省免疫学会生殖免疫学专业协会委员，广东省女医师协会妇科专业委员会、中医妇科委员会委员； 从事妇产科临床、科研、教学工作28年，曾在北京协和医院妇科内分泌进修。 为妇科内分泌专科及精确医学的骨干，主持并参与多项省级课题，并在核心期刊发表多篇论文。,,医学博士，广东省妇幼保健院主任医师，广州医科大学教授、硕士生导师、广东省妇幼保健院住院医师规范化培训妇产科专业基地教学主任。 研究方向为妇科内分泌，小儿与青少年妇科、生殖内分泌、中西医结合妇科、普通妇科。 现为广东省生殖免疫与内分泌专科联盟常任理事，广东省基层医药学会生殖调控专业委员会副主委，广东省保健协会妇女保健分会委员，广东省基层医药学会生殖妇科专委会常委，中西医结合妇产与妇幼保健分会委员，中国整形美容协会女性生殖整复分会生殖保健专业学组成员，广东省免疫学会生殖免疫学专业协会委员，广东省女医师协会妇科专业委员会、中医妇科委员会委员；广东省科技厅科技咨询专家库专家，国家级妇科内镜培训基地指导教师。 从事妇产科临床、科研、教学工作28年，曾在北京协和医院妇科内分泌进修。擅长于女性一生各期的妇科内分泌疾病诊治，如青春发育异常、各类月经紊乱疾病、痛经、经前期综合症、早发性卵巢功能障碍、高催乳素血症、高雄激素血症、多囊卵巢综合征、更年期及绝经相关问题、子宫内膜增生、女性不育症等；小儿与青少年妇科如性发育异常、闭经、先天性生殖道畸形、婴幼儿及青春期女性生殖道炎症、青春期月经不调等，中西医结合妇科及普通妇科如慢性妇科炎症、子宫内膜异位症、妇科肿瘤等有丰富的临床经验、熟练的妇产科手术技能。为妇科内分泌专科及精确医学的骨干，主持并参与多项省级课题，并在核心期刊发表多篇论文。多次荣获“岭南名医”称号。,医院官网,https://www.e3861.com/keshizhuanjia/zhuanjiajieshao/32514.html,https://wx.e3861.com/sfyAdmin/Images/Doctor/ea66d3c1-7739-4cd0-b7a0-43a69107d0c7-280.png,01_试点医院/广东省妇幼保健院/照片/和秀魁-妇科-主任医师-广东省妇幼保健院.png,https://www.e3861.com/keshizhuanjia/zhuanjiajieshao,官网 111 页服务端目录+严格数字 ID 详情 DOM+官方子域本人职业照,2026-08-14,200,否,,待人工复核
4,广东省妇幼保健院,陈炳豪,小儿骨科、小儿外科（番禺院区、天河院区）,,主治医师,主治医师,普通,,,,,,,医院官网,https://www.e3861.com/keshizhuanjia/zhuanjiajieshao/32686.html,https://wx.e3861.com/sfyAdmin/Images/Doctor/0532d852-4598-4f3a-86b3-802e7105f779-280.jpg,01_试点医院/广东省妇幼保健院/照片/陈炳豪-小儿骨科-主治医师-广东省妇幼保健院.jpg,https://www.e3861.com/keshizhuanjia/zhuanjiajieshao,官网 111 页服务端目录+严格数字 ID 详情 DOM+官方子域本人职业照,2026-08-14,200,否,详情正文为空或未识别,待人工复核
5,广东省妇幼保健院,胡春玲,内科（番禺院区、越秀院区）,,主任医师,主任医师,高,慢性病、疑难重症,糖尿病、危重,,医学硕士、主任医师、教授。 担任广东省医学会危重病医学学分会委员，广东省医学会急诊医学会委员，广东省医疗技术事故鉴定专家。 擅长领域： 内科危重病诊治、妊娠合并糖尿病病、妊娠合并甲状腺功能亢进、妊娠合并甲状腺功能减退、妊娠合并肾脏疾病、妊娠合并心脏疾病的诊治。 科研成果： 参加出版内科专著2部，在国内外发表医学论文20多篇。,,医学硕士、主任医师、教授。担任广东省医学会危重病医学学分会委员，广东省医学会急诊医学会委员，广东省医疗技术事故鉴定专家。 擅长领域： 内科危重病诊治、妊娠合并糖尿病病、妊娠合并甲状腺功能亢进、妊娠合并甲状腺功能减退、妊娠合并肾脏疾病、妊娠合并心脏疾病的诊治。内分泌、肾脏疾病。 科研成果： 参加出版内科专著2部，在国内外发表医学论文20多篇。主持和主要参与国家和省级卫生科研课题6项，主要从事内科常见病、妊娠合并内科疾病的诊治研究。,医院官网,https://www.e3861.com/keshizhuanjia/zhuanjiajieshao/32478.html,https://wx.e3861.com/sfyAdmin/Images/Doctor/ccc2d01a-15f4-42fa-8cd1-71488a420ede-280.jpg,01_试点医院/广东省妇幼保健院/照片/胡春玲-内科-主任医师-广东省妇幼保健院.png,https://www.e3861.com/keshizhuanjia/zhuanjiajieshao,官网 111 页服务端目录+严格数字 ID 详情 DOM+官方子域本人职业照,2026-08-14,200,否,,待人工复核
6,广东省妇幼保健院,陈凤媚,中医科（番禺院区）,,主任中医师,主任中医师,高,生殖疾病、免疫/风湿/感染,胚胎、月经、感染,,"中医科学术带头人，任广东省中西医结合学会儿科专业委员会常务委员、广东省中医药学会儿科分会委员、妇幼健康研究会中医药发展专业委员会常务委员 擅长领域： 从事中医科工作40年, 擅长妇女儿童常见疾病的中医治疗和妇幼健康的中医调理。 科研成果 已发表专业论文60余篇，参与科研课题9项，主持科研课题2项，主编著作1本，副主编1本。",,"个人简介： 毕业于广州中医药大学。中医科学术带头人，任广东省中西医结合学会儿科专业委员会常务委员、广东省中医药学会儿科分会委员、妇幼健康研究会中医药发展专业委员会常务委员 擅长领域： 从事中医科工作40年, 擅长妇女儿童常见疾病的中医治疗和妇幼健康的中医调理。运用“四季脾旺不受邪”、小儿“脾常不足，肝常有余”的学术思想指导临床，以中药为主、中西医结合治疗小儿反复呼吸道感染、感冒、咳嗽、哮喘等呼吸道疾病、厌食、消化不良、睡眠障碍、手足口病、小儿多动症及抽动症、儿童性早熟等儿科疾病。擅长妇科月经病和产后病的治疗，根据月经周期的阴阳消长规律，在临床上开展“调周助孕法”，运用中药结合艾灸、腹针等方法以调理月经周期、改善孕前妇女体质，提高受孕几率和胚胎质量。根据产后“多虚多瘀”的中医理论，擅长中医特色治疗产后身痛、缺乳等。开展成人、儿童体质辨识，根据不同体质制定饮食指导。 科研成果 已发表专业论文60余篇，参与科研课题9项，主持科研课题2项，主编著作1本，副主编1本。",医院官网,https://www.e3861.com/keshizhuanjia/zhuanjiajieshao/32439.html,https://wx.e3861.com/sfyAdmin/Images/Doctor/1d81e6e0-56ec-4693-aa26-500baa678d64-280.png,01_试点医院/广东省妇幼保健院/照片/陈凤媚-中医科-主任中医师-广东省妇幼保健院.png,https://www.e3861.com/keshizhuanjia/zhuanjiajieshao,官网 111 页服务端目录+严格数字 ID 详情 DOM+官方子域本人职业照,2026-08-14,200,否,,待人工复核
7,广东省妇幼保健院,伍苑宾,普通儿科（番禺院区）,,主治医师,主治医师,高,免疫/风湿/感染,风湿、红斑狼疮,,社会任职：广州市医师协会儿科医师分会委员 科研成果：参与多项广东省自然科学基金、广东省医学科研项目。,,社会任职：广州市医师协会儿科医师分会委员 科研成果：参与多项广东省自然科学基金、广东省医学科研项目。 擅长领域：儿童风湿性疾病，如幼年特发性关节炎、川崎病、过敏性紫癜、系统性红斑狼疮、儿童皮肌炎、硬皮病、ANCA相关性血管炎、多发性大动脉炎、结节性多动脉炎、坏死性淋巴结炎、自身炎症性疾病等，以及儿童常见病。,医院官网,https://www.e3861.com/keshizhuanjia/zhuanjiajieshao/32614.html,https://wx.e3861.com/sfyAdmin/Images/Doctor/fbaac087-66ae-461f-b8ad-3a7bd9e0ce93-280.jpg,01_试点医院/广东省妇幼保健院/照片/伍苑宾-普通儿科-主治医师-广东省妇幼保健院.jpg,https://www.e3861.com/keshizhuanjia/zhuanjiajieshao,官网 111 页服务端目录+严格数字 ID 详情 DOM+官方子域本人职业照,2026-08-14,200,否,,待人工复核
8,广东省妇幼保健院,柴成伟,小儿普外科、小儿肿瘤外科、小儿黄疸外科、小儿便秘外科、小儿疝微创（番禺院区、越秀院区）,,主任医师,主任医师,高,肿瘤,肿瘤、瘤,,小儿普外科主任，主任医师，医学博士，博士研究生导师，博士后合作导师 特长： 长期从事小儿外科临床、基础研究及教学工作，有扎实的理论基础和丰富的临床经验。 成果： 主持多项省市级课题，以第一作者或通讯作者在国内外专业期刊发表论文近 20 篇，获得专利一项，知识产权保护两项。 获首届 “ 金奖杯 ” 全国小儿外科中青年医师手术技能大赛三等奖； 获第一、二届广东省小儿外科中青年医师手术视频大赛优胜奖。,,小儿普外科主任，主任医师，医学博士，博士研究生导师，博士后合作导师 特长： 长期从事小儿外科临床、基础研究及教学工作，有扎实的理论基础和丰富的临床经验。对小儿胃肠肝胆疾病及小儿实体肿瘤等有丰富的临床经验，能熟练开展小儿普外科各级手术，尤其擅长小儿微创手术，对便秘、黄疸、先天性巨结肠、先天性直肠肛门畸形、胆总管囊肿、胆道闭锁、先天性肥厚性幽门狭窄、肠重复畸形、梅克尔憩室、肠旋转不良、肠梗阻、腹股沟斜疝、鞘膜积液及小儿实体瘤等均有较深造诣。 成果： 主持多项省市级课题，以第一作者或通讯作者在国内外专业期刊发表论文近 20 篇，获得专利一项，知识产权保护两项。第二届广东省实力中青年医生；获首届 “ 金奖杯 ” 全国小儿外科中青年医师手术技能大赛三等奖；获第一、二届广东省小儿外科中青年医师手术视频大赛优胜奖。 社会任职： 广东省医学会医学鉴定专家库成员 广东省健康管理学会小儿外科分会常务委员 广东省医疗行业协会儿科管理分会常务委员 广东省妇幼保健协会妇幼外科专业委员会普通外科学组副组长 广州市医学会医疗鉴定专家库成员 广州市医师协会普外微创专业分会委员 广州市青年医师协会委员 广州市越秀区青年联合会第六届委员会委员,医院官网,https://www.e3861.com/keshizhuanjia/zhuanjiajieshao/32448.html,https://wx.e3861.com/sfyAdmin/Images/Doctor/dc00ee52-b31e-4684-a692-354b7301af10-280.jpg,01_试点医院/广东省妇幼保健院/照片/柴成伟-小儿普外科-主任医师-广东省妇幼保健院.jpg,https://www.e3861.com/keshizhuanjia/zhuanjiajieshao,官网 111 页服务端目录+严格数字 ID 详情 DOM+官方子域本人职业照,2026-08-14,200,否,,待人工复核
9,广东省妇幼保健院,王春艳,妇科（清远院区）,,主治医师,主治医师,高,肿瘤、生殖疾病、术后恢复/康复,瘤、卵巢、功能障碍,,,,从事妇产科工作10余年，擅长子宫肌瘤、卵巢囊肿、宫外孕、黄体破裂、子宫内膜息肉等妇科常见病的诊疗，在多年的临床实践中，对女性压力性尿失禁、性功能障碍、子宫阴道脱垂等盆底功能障碍性疾病积累了丰富的经验。,医院官网,https://www.e3861.com/keshizhuanjia/zhuanjiajieshao/32749.html,https://wx.e3861.com/sfyAdmin/Images/Doctor/d4ea40ab-c37a-4f68-a65e-82db43c3e49d-280.jpg,01_试点医院/广东省妇幼保健院/照片/王春艳-妇科-主治医师-广东省妇幼保健院.jpg,https://www.e3861.com/keshizhuanjia/zhuanjiajieshao,官网 111 页服务端目录+严格数字 ID 详情 DOM+官方子域本人职业照,2026-08-14,200,否,,待人工复核
10,广东省妇幼保健院,杨洋,儿科、新生儿科（清远院区）,,主治医师,主治医师,普通,,,,,,,医院官网,https://www.e3861.com/keshizhuanjia/zhuanjiajieshao/34810.html,https://wx.e3861.com/sfyAdmin/Images/Doctor/e60eb84d-ddb2-4e6d-a85a-c514b7265049-280.png,01_试点医院/广东省妇幼保健院/照片/杨洋-儿科-主治医师-广东省妇幼保健院.png,https://www.e3861.com/keshizhuanjia/zhuanjiajieshao,官网 111 页服务端目录+严格数字 ID 详情 DOM+官方子域本人职业照,2026-08-14,200,否,详情正文为空或未识别,待人工复核
