姓名,来源链接,状态,失败分类,照片链接,照片文件,实际格式,字节数,SHA-256,宽,高,来源批次,错误证据
刘军,https://www.gdzy5413.com/main/doctor/specialist.aspx?typeid=1571,实采,,https://www.gdzy5413.com/UploadFiles/image/2021-12/20211230050745634.jpg,01_试点医院/广东省第二中医院/照片/刘军-未标注-主任中医师-广东省第二中医院.jpg,jpg,35450,a64b0a30c00ac9890c8e017b070bd24129c77796be5f152e2a8decfaab53b263,515,653,FULL_FETCH,
李爱华,https://www.gdzy5413.com/main/doctor/specialist.aspx?typeid=549,实采,,https://www.gdzy5413.com/UploadFiles/image/2014-1/20140114033628502.jpg,01_试点医院/广东省第二中医院/照片/李爱华-未标注-主任中医师-广东省第二中医院.jpg,jpg,50728,403b75dcc0be4b0e5e1831bbac4677b5483dd5831a54527a91bf74cb5135bb5d,342,369,FULL_FETCH,
杨思华,https://www.gdzy5413.com/main/doctor/specialist.aspx?typeid=484,实采,,https://www.gdzy5413.com/UploadFiles/image/2014-1/20140114030309241.jpg,01_试点医院/广东省第二中医院/照片/杨思华-未标注-主任中医师-广东省第二中医院.jpg,jpg,50241,e629829e8747a7e63e138a4cd11c1e3dced7eed9745c4e2787524958b43efb10,342,369,FULL_FETCH,
汪何,https://www.gdzy5413.com/main/doctor/specialist.aspx?typeid=574,实采,,https://www.gdzy5413.com/UploadFiles/image/2014-1/20140114023050152.jpg,01_试点医院/广东省第二中医院/照片/汪何-未标注-主任中医师-广东省第二中医院.jpg,jpg,52750,3c533df36a6a67176a9c5e14bb0879a81b296a97b3301ed824d0eedffb9e596e,342,369,FULL_FETCH,
王清海,https://www.gdzy5413.com/main/doctor/specialist.aspx?typeid=499,实采,,https://www.gdzy5413.com/UploadFiles/image/2014-1/20140114022638956.jpg,01_试点医院/广东省第二中医院/照片/王清海-未标注-主任中医师-广东省第二中医院.jpg,jpg,54440,9107de46bd0cb2f45be7fd48b444f05f36deecac4652ec4205bde01d8f88e3d2,342,369,FULL_FETCH,
许学猛,https://www.gdzy5413.com/main/doctor/specialist.aspx?typeid=669,实采,,https://www.gdzy5413.com/UploadFiles/image/2014-3/20140310031845726.jpg,01_试点医院/广东省第二中医院/照片/许学猛-未标注-主任中医师-广东省第二中医院.jpg,jpg,52293,a09b87317c3dd02909a8dd6debfd520e6286add2a09c2b34e1ee995d61c63183,342,369,FULL_FETCH,
邱健行,https://www.gdzy5413.com/main/doctor/specialist.aspx?typeid=160,实采,,https://www.gdzy5413.com/UploadFiles/image/2014-1/20140114123204615.jpg,01_试点医院/广东省第二中医院/照片/邱健行-未标注-主任中医师-广东省第二中医院.jpg,jpg,56064,30766754d260e73ce481f169fc27b6dff9efa235b2684b588bb2874b3bf17fcb,342,369,FULL_FETCH,
黄琳,https://www.gdzy5413.com/main/doctor/specialist.aspx?typeid=659,实采,,https://www.gdzy5413.com/UploadFiles/image/2014-1/20140128021224553.jpg,01_试点医院/广东省第二中医院/照片/黄琳-未标注-主任中医师-广东省第二中医院.jpg,jpg,55642,8b96985c388c8649d8328b96addbdcebfbb58f4586cb2f9a8097a08a09cd83bb,342,369,FULL_FETCH,
付亚斐,https://www.gdzy5413.com/main/ks/templet2/ksdoctorinfo.aspx?bid=65&typeid=63&cid=65&ksid=63&id=370,失败,无照片容器,,,,,,,,FULL_FETCH,"{""detail_http"":200,""detection_feature"":""ksdoctorinfo 本人照片容器存在，但 src/background 为空或仅为 /UploadFiles/image/"",""excluded_resources"":[{""reason"":""照片引用为空目录且无文件名"",""url"":""https://www.gdzy5413.com/UploadFiles/image/""}],""observed_utc"":""2026-08-18T18:09:00Z"",""photo_reference_count"":0,""resource_urls"":[""https://www.gdzy5413.com/UploadFiles/image/""],""template_signature"":""资料卡 div[style*='width: 120px'] > img[width='120px'][height='155px']""}"
李雪真,https://www.gdzy5413.com/main/ks/templet2/ksdoctorinfo.aspx?bid=65&typeid=63&cid=65&ksid=63&id=155,失败,占位图,,,,,,,,FULL_FETCH,"{""detail_http"":200,""detection_feature"":""照片响应内容判定为占位图：known-placeholder-sha256:636b19e12d195b9da003dbbed0c68c0004864d6d86e990f8b606aa069b67b5a9；1622 bytes；86×126"",""excluded_resources"":[],""observed_utc"":""2026-08-18T18:09:00Z"",""photo_reference_count"":1,""resource_urls"":[""https://www.gdzy5413.com/UploadFiles/image/upload/633822288958636250.jpg""],""template_signature"":""资料卡 div[style*='width: 120px'] > img[width='120px'][height='155px']""}"
