序号,医院,姓名,科室_分类页,科室_列表卡片,职称_关键词,职称身份原文,重点优先级,重点关注范围,重点疾病标签,擅长诊疗方向摘录,亮眼经历线索,列表简介,详情正文摘录,来源类型,来源链接,照片链接,照片文件,采集入口,采集方式,采集日期,详情页状态,已建画像,异常提示,复核状态
1,广东省第二人民医院,孙鸿涛,创面再生与修复外科（琶洲院区）,创面再生与修复外科（琶洲院区）,主任医师,主任医师,高,慢性病、免疫/风湿/感染、术后恢复/康复、疑难重症,糖尿病、慢性、感染、术后、创面、难治、复杂,,孙鸿涛：创面再生与修复外科负责人，主任医师，骨科学博士，骨伤科博士后，硕士研究生导师、博士研究生导师，原骨科主任、关节骨科主任。 社会及学术任职：现任国家卫生健康委医疗应急工作专家组骨科专家，国家紧急医学救援队（广东）副队长，世界卫生组织（WHO）应急医疗队（中国广东）副队长，广东省医学会创伤骨科分会副主委、广东省医师协会骨科分会常委。,,孙鸿涛：创面再生与修复外科负责人，主任医师，骨科学博士，骨伤科博士后，硕士研究生导师、博士研究生导师，原骨科主任、关节骨科主任。 专业特长：从事大骨科（创伤、关节、运动医学、脊柱）和创面修复临床工作三十余年，擅长四肢关节周围骨折及骨盆复杂骨折的手术治疗，在髋膝肩肘踝等关节运动损伤疾病的保守治疗、小切口微创手术、关节置换术等治疗方面积累了丰富的临床经验，善于运用中西医结合等综合治疗方法，多手段、多途径治疗术后切口感染、假体周围感染等复杂难治性疾病，取得不错的临床疗效。在骨性关节炎、颈肩腰腿痛的诊断和治疗方面具备丰富的临床经验，同时，在急性和慢性骨髓炎、糖尿病足、压疮、痛风石等疾病的中西医结合诊治上积累了丰富经验。 社会及学术任职：现任国家卫生健康委医疗应急工作专家组骨科专家，国家紧急医学救援队（广东）副队长，世界卫生组织（WHO）应急医疗队（中国广东）副队长，广东省医学会创伤骨科分会副主委、广东省医师协会骨科分会常委。中国矫形外科杂志、中华创伤骨科杂志审稿专家，通讯编委。,医院官网,https://gd2h.com/site/detail/58bae13ecbe94511bc6001e843846746.html,https://gd2h.com/static/seygw//resources/upload/2026/02/12/43fd73dc-5225-4276-9b89-3ee142f90fef.png,01_试点医院/广东省第二人民医院/照片/孙鸿涛-创面再生与修复外科-主任医师-广东省第二人民医院.png,https://gd2h.com/site/column/107_1_20.html,官网同页两院区三栏目静态目录+大小写敏感数字/hash ID+详情 DOM+本人职业照,2026-08-14,200,否,,待人工复核
2,广东省第二人民医院,欧湘红,生殖医学中心（琶洲院区）,生殖医学中心（琶洲院区）,主任医师,主任医师,高,生殖疾病、疑难重症,生殖、不孕、辅助生殖、疑难,从事妇产科及辅助生殖技术22年。擅长疑难不孕症患者诊治。,个人介绍 欧湘红 中心总负责人 主任医师 教授 生殖内分泌博士，博士后，博士生导师，广东省杰出青年医学人才。,,个人介绍 欧湘红 中心总负责人 主任医师 教授 生殖内分泌博士，博士后，博士生导师，广东省杰出青年医学人才。 从事妇产科及辅助生殖技术,医院官网,https://gd2h.com/site/detail/41956.html,https://gd2h.com/static//seygw//resources/upload/2024/05/28/638368547172410000.jpg,01_试点医院/广东省第二人民医院/照片/欧湘红-生殖医学中心-主任医师-广东省第二人民医院.jpg,https://gd2h.com/site/column/107_1_20.html,官网同页两院区三栏目静态目录+大小写敏感数字/hash ID+详情 DOM+本人职业照,2026-08-14,200,否,,待人工复核
3,广东省第二人民医院,江桂华,影像科（琶洲院区）,影像科（琶洲院区）,主任医师,主任医师,高,肿瘤,肿瘤、癌,头颈部CT、MR诊断,"个人介绍 影像科主任及放射规陪基地主任,主任医师，博士，博士研究生导师。 现任中华医学会放射学分会神经学组委员，国家卫健委脑卒中防治工程委员会神经影像专业委员会委员，广东省医学会放射学分会常委兼MR学组组长，广东省医院协会医学影像中心管理专业委员会副主任委员，广东省健康管理学分放射专业委员会副主任委员，广东省转化医学学会医学影像学分会副主任委员，广东省医师协会放射委员会常委，广东省抗癌协会肿瘤影像专业委员会常委，中国老年医学放射学分会委员，中国研究型医院放射学专业委员会委员； 国家自然科学基金评审专家，以及广东省、江西省、河北省、福建省等多个省份的省科技厅专家库专家，经常参与各项科技项目评审活动； 目前发表SCI论文40余篇，主持国家自然基金面上项目2项，主持及主要参与省部级科研立项近20项；",,"个人介绍 影像科主任及放射规陪基地主任,主任医师，博士，博士研究生导师。 从事放射诊断工作25年，主攻方向中枢神经系统磁共振成像，擅长全身CT、MR诊断。现任中华医学会放射学分会神经学组委员，国家卫健委脑卒中防治工程委员会神经影像专业委员会委员，广东省医学会放射学分会常委兼MR学组组长，广东省医院协会医学影像中心管理专业委员会副主任委员，广东省健康管理学分放射专业委员会副主任委员，广东省转化医学学会医学影像学分会副主任委员，广东省医师协会放射委员会常委，广东省抗癌协会肿瘤影像专业委员会常委，中国老年医学放射学分会委员，中国研究型医院放射学专业委员会委员；国家自然科学基金评审专家，以及广东省、江西省、河北省、福建省等多个省份的省科技厅专家库专家，经常参与各项科技项目评审活动；同时也担任中华神经医学杂志及中国医学物理学杂志等多个杂志的编委。 目前发表SCI论文40余篇，主持国家自然基金面上项目2项，主持及主要参与省部级科研立项近20项；分别于2016年和2018年获广东省科技进步奖二等奖和三等奖各1项；主译外文书籍2部，参与编写多部影像书刊。",医院官网,https://gd2h.com/site/detail/42420.html,https://gd2h.com/static//seygw//resources/upload/2024/05/28/6353931619939546756322121.jpg,01_试点医院/广东省第二人民医院/照片/江桂华-影像科-主任医师-广东省第二人民医院.jpg,https://gd2h.com/site/column/107_1_20.html,官网同页两院区三栏目静态目录+大小写敏感数字/hash ID+详情 DOM+本人职业照,2026-08-14,200,否,,待人工复核
4,广东省第二人民医院,王文林,胸壁外科（民航院区）,胸壁外科（民航院区）,主任医师,主任医师,高,疑难重症,复杂,设计了Wang手术、Wung手术、Wenlin手术、Willine手术、Tesla手术等多种手术方式，其中Wang手术被中国国家卫生健康委颁发的《手术操作分类代码国家临床版》3.0收录并编码，成为国家官方认可的治疗漏斗胸的新术式。提出了干净手术、Bleedingless手术、创可贴手术、数字材料等新概念，提出了治疗胸廓畸形的Wenlin法则，设计了各种畸形手术通用的Wang技术。,2002-2004年在中山大学第一附属医院完成博士后工作，后于原广州军区总医院心胸外科工作，2009年转业到广东省第二人民医院任心胸外科主任。 王文林院长于2008年率先提出胸壁外科概念，经过10年不懈努力，于2018年5月9日创建了全球第一家独立的胸壁外科； 在十余年的临床工作中，完成各类胸壁外科手术超过10000台，手术数量全球第一，拥有各项国家专利87项，所在科室是全国公认的胸壁外科手术中心。,,王文林 中国胸壁外科创始人，广东省第二人民医院民航院区、胸壁外科研究院院长。1985年考入第三军医大学，1990年毕业获学士学位；2000年毕业于第一军医大学获博士学位；2002-2004年在中山大学第一附属医院完成博士后工作，后于原广州军区总医院心胸外科工作，2009年转业到广东省第二人民医院任心胸外科主任。 王文林院长于2008年率先提出胸壁外科概念，经过10年不懈努力，于2018年5月9日创建了全球第一家独立的胸壁外科；2023年2月9日，创建全球首家胸壁外科专科医院，广东省第二人民医院胸壁外科研究院。 在十余年的临床工作中，完成各类胸壁外科手术超过10000台，手术数量全球第一，拥有各项国家专利87项，所在科室是全国公认的胸壁外科手术中心。先后命名了沟状胸、鞍状胸、扁鸡胸、侧胸壁凹陷畸形、Wenlin胸等多种胸廓畸形，设计了Wang手术、Wung手术、Wenlin手术、Willine手术、Tesla手术等多种手术方式，其中Wang手术被中国国家卫生健康委颁发的《手术操作分类代码国家临床版》3.0收录并编码，成为国家官方认可的治疗漏斗胸的新术式。提出了干净手术、Bleedingless手术、创可贴手术、数字材料等新概念，提出了治疗胸廓畸形的Wenlin法则，设计了各种畸形手术通用的Wang技术。构建了一整套胸壁外科理论体系，使胸壁外科最终从传统胸外科中脱离出来，成为一个独立的新临床专业。 在长期临床工作中，始终以病人为中心，以手术为中心，填补了国内大量技术空白，创造了多项世界纪录。完成了全球第一台双肺移植合并复杂胸廓畸形的同期手术、全球第一台窒息性胸廓发育不良合并先天性心脏病的同期手术、全球第一台直背综合征的胸壁重建手术、全球第一台继发性胸廓凹陷畸形与脓胸的同期手术、全球第一台MatrixRIB腔镜下的肋骨固定手术。完成了全球年龄最大的漏斗胸手术（74岁）、年龄最大的鸡胸手术（59岁）、年龄最大的窒息性胸廓发育不良手术（36岁）、年龄最小的漏斗胸Wang手术（1月龄）；完成了全球数量最多的窒息性胸廓发育不良手术（57台）、Wenlin胸手术（58台）、鸡胸手术（559台）、桶状胸手术（103台）、肋弓畸形手术（133台）、继发性胸廓畸形手术（59台），以及数量最多的胸廓畸形手术失败后的再次手术（359台），其中在窒息性胸廓发育不良、直背综合征、桶状胸、肋弓畸形、鞍状胸、扁鸡胸和继发性畸形等特殊畸形的手术中，拥有多项独创的自主产权技术，是全球范围内唯一能开展直背综合征、桶状胸、肋弓畸形、鞍状胸手术的医生。 在完成本院工作的同时，积极推广胸壁外科理念和技术，先后在全国400余家医院协助开展胸壁外科手术，在各级学术会议上传授手术经验，为中国胸壁外科事业的发展做出了突出的贡献，是公认的中国胸壁外科领军人物。,医院官网,https://gd2h.com/site/detail/407dff4f33b34d958fe238f3ebbf957a.html,https://gd2h.com/static/seygw//resources/upload/2026/07/08/bf845914-c74c-4128-9920-3635b82d3666.png,01_试点医院/广东省第二人民医院/照片/王文林-胸壁外科-主任医师-广东省第二人民医院.png,https://gd2h.com/site/column/107_1_20.html,官网同页两院区三栏目静态目录+大小写敏感数字/hash ID+详情 DOM+本人职业照,2026-08-14,200,否,,待人工复核
5,广东省第二人民医院,颜剑豪,影像科（民航院区）,影像科（民航院区）,主任医师,主任医师,高,肿瘤、疑难重症,肿瘤、癌、瘤、化疗、鼻咽癌、肺癌、复杂,擅长早期肺癌筛查与肺结节良恶性精准鉴别，以及头颈部肿瘤、血管病变及复杂炎症的影像诊断与分期。,颜剑豪，广东省第二人民医院民航院区影像科负责人，主任医师，博士研究生，同时担任南方医科大学、暨南大学、广东医科大学、广东工业大学硕士研究生导师，兼任暨南大学等授课教授。 从事医学影像诊断工作20余年，在胸部及头颈疾病影像诊断方面均拥有深厚造诣与领先优势，尤其擅长早期肺癌筛查与肺结节良恶性精准鉴别，以及头颈部肿瘤、血管病变及复杂炎症的影像诊断与分期。 能通过对磨玻璃及实性结节的精细化判读，清晰区分不典型腺瘤样增生（AAH）、原位癌（AIS）、微浸润腺癌（MIA）与浸润性腺癌（IAC），为患者提供是否手术或随访的精准决策依据，累计完成肺结节专病评估逾10000例。 尤其擅长鼻咽癌、喉癌、腮腺肿瘤、颈部淋巴结病变及颅内肿瘤的早期检出、精准分期和疗效评估，并能对头颈部血管斑块性质、动脉夹层、血管炎等进行精准诊断，为临床制定手术及放化疗方案提供关键影像“路线图”。,,颜剑豪，广东省第二人民医院民航院区影像科负责人，主任医师，博士研究生，同时担任南方医科大学、暨南大学、广东医科大学、广东工业大学硕士研究生导师，兼任暨南大学等授课教授。 从事医学影像诊断工作20余年，在胸部及头颈疾病影像诊断方面均拥有深厚造诣与领先优势，尤其擅长早期肺癌筛查与肺结节良恶性精准鉴别，以及头颈部肿瘤、血管病变及复杂炎症的影像诊断与分期。 在肺结节诊疗领域，长期致力于早期肺癌的低剂量CT筛查，精通人工智能辅助诊断与影像组学分析。能通过对磨玻璃及实性结节的精细化判读，清晰区分不典型腺瘤样增生（AAH）、原位癌（AIS）、微浸润腺癌（MIA）与浸润性腺癌（IAC），为患者提供是否手术或随访的精准决策依据，累计完成肺结节专病评估逾10000例。 在头颈影像领域，依托联影uMR 790等超高端磁共振设备，精通头颈部高分辨率磁共振成像（MRI）、血管壁成像及功能磁共振技术。尤其擅长鼻咽癌、喉癌、腮腺肿瘤、颈部淋巴结病变及颅内肿瘤的早期检出、精准分期和疗效评估，并能对头颈部血管斑块性质、动脉夹层、血管炎等进行精准诊断，为临床制定手术及放化疗方案提供关键影像“路线图”。 现任广东省基层医药学会放射委员会副主任委员、广东省医学会放射学会头颈五官学组委员、广东省医药质量管理协会放射诊断委员会常务委员、广东省临床医学会放射诊断分会常务委员、广东省中西医结合学会放射学分会委员、广东省医学会肝脏病学分会常务委员等重要职务。担任《Frontiers in Oncology》及《广东医学》杂志审稿专家。 主持广东省科技计划项目4项，广东省科研基金资助立项4项，参与国家自然基金及广东省自然基金项目各3项，发表SCI文章20余篇，国家级论著30余篇。参与撰写书籍4部。主攻方向为肺结节及早期肺癌、头颈部肿瘤与血管疾病的影像诊断，研究方向为人工智能、分子影像学与功能成像，擅长全身CT、MRI诊断 作为一名九三学社社员，始终秉持“医者仁心”的职业信念。因其精湛医术和高尚医德，深受患者信赖与好评，并评为广东省卫健委首批“广东省杰出青年医学人才”，荣获2021年度“羊城好医生”“白云区劳动模范”及“2019年全国住院医师规范化培训优秀带教老师”等荣誉称号。作为广州市医疗事故鉴定专家，积极参与公共医疗事务，定期组织参与基层医疗机构影像技术帮扶与肺癌早筛科普活动，致力于提升区域早期肺癌防治水平。,医院官网,https://gd2h.com/site/detail/35e8a6767c504c408d2e8e3749bb49a5.html,https://gd2h.com/static/seygw//resources/upload/2026/07/08/25621cb1-35c4-4834-ac25-c8512e08d717.png,01_试点医院/广东省第二人民医院/照片/颜剑豪-影像科-主任医师-广东省第二人民医院.png,https://gd2h.com/site/column/107_1_20.html,官网同页两院区三栏目静态目录+大小写敏感数字/hash ID+详情 DOM+本人职业照,2026-08-14,200,否,,待人工复核
6,广东省第二人民医院,沈靖南,骨肿瘤科（琶洲院区）,骨肿瘤科（琶洲院区）,主任医师,主任医师,高,肿瘤、免疫/风湿/感染,肿瘤、放疗、化疗、靶向、免疫,,,,擅长： （ 1 ）骨肿瘤的术前穿刺活检诊断； 2 ）各种恶性骨与软组织肿瘤的保肢手术、儿童骨肿瘤的保肢术和延长技术、骶骨、骨盆和脊柱肿瘤切除重建等高难度大手术； 3 ）骨骼畸形的矫正术；大块骨关节缺损的修复重建术；骨病和骨髓炎的处理。 4 ）恶性骨与软组织肿瘤辅助化疗、术中放疗、靶向免疫生物治疗等。,医院官网,https://gd2h.com/site/detail/c351add072994d449bf61e699afdf7ab.html,https://gd2h.com/static/seygw//resources/upload/2024/12/30/6e5125d7-9609-490e-97b3-73640cf691db.png,01_试点医院/广东省第二人民医院/照片/沈靖南-骨肿瘤科-主任医师-广东省第二人民医院.png,https://gd2h.com/site/column/107_1_20.html,官网同页两院区三栏目静态目录+大小写敏感数字/hash ID+详情 DOM+本人职业照,2026-08-14,200,否,,待人工复核
7,广东省第二人民医院,孟丽丽,产科（琶洲院区）,产科（琶洲院区）,副主任医师,副主任医师,高,慢性病、生殖疾病、免疫/风湿/感染、术后恢复/康复,糖尿病、辅助生殖、免疫、术后,擅长辅助生殖技术后孕产妇诊疗、早产/宫颈机能不全、复发性流产、妊娠合并免疫异常、妊娠期糖尿病。,个人介绍 孟丽丽，副主任医师，硕士生导师，产科学科带头人。 以第一作者或者共同第一作者发表SCI论文9篇，其中多篇为临床研究，并完成省级课题3项。,,个人介绍 孟丽丽，副主任医师，硕士生导师，产科学科带头人。博士毕业于中山大学，曾于瑞典卡罗林斯卡医学院流行病学与生物统计学访学。擅长辅助生殖技术后孕期诊疗、早产/宫颈机能不全、复发性流产、妊娠合并免疫性疾病的诊治。以第一作者或者共同第一作者发表SCI论文9篇，其中多篇为临床研究，并完成省级课题3项。曾获得广东经济科教频道举办的第二届“我最喜爱的岭南大医生”以及“广州市实力中青年医生”称号。,医院官网,https://gd2h.com/site/detail/41940.html,https://gd2h.com/static//seygw//resources/upload/2024/05/28/638201060786333359.jpg,01_试点医院/广东省第二人民医院/照片/孟丽丽-产科-副主任医师-广东省第二人民医院.jpg,https://gd2h.com/site/column/107_1_20.html,官网同页两院区三栏目静态目录+大小写敏感数字/hash ID+详情 DOM+本人职业照,2026-08-14,200,否,,待人工复核
8,广东省第二人民医院,孙大炜,创伤骨科（琶洲院区）,创伤骨科（琶洲院区）,副主任医师,副主任医师,高,慢性病、肿瘤、免疫/风湿/感染、术后恢复/康复、疑难重症,慢性、肿瘤、感染、康复、创面、复杂,肢体复杂骨折、骨盆髋臼骨折、肩、髋关节置换、严重多发伤围手术期抢救与综合治疗。,毕业于南方医科大学，2019-2020年英国皇家利物浦大学医院（The Royal Liverpool and Broadgreen Hospital）高级访问学者，从事创伤骨科、显微外科临床与基础研究近20年，擅长肢体复杂骨折、骨盆髋臼骨折、肩、髋关节置换、严重多发伤围手术期抢救与综合治疗。 主持省市级科研课题3项，发表论文20余篇，SCI论文近10篇。 现担任广东省医师协会创伤骨科分会常委，广东省医学会修复重建外科常委，广东省康复医学会第四届理事会常务理事，广东省康复医学会手功能康复分会副会长，广东省康复医学会康复辅具分会副会长，广东省医学会手外科学分会腕关节镜学组副组长。,,个人介绍 科室负责人，骨外科学博士，硕士研究生导师。毕业于南方医科大学，2019-2020年英国皇家利物浦大学医院（The Royal Liverpool and Broadgreen Hospital）高级访问学者，从事创伤骨科、显微外科临床与基础研究近20年，擅长肢体复杂骨折、骨盆髋臼骨折、肩、髋关节置换、严重多发伤围手术期抢救与综合治疗。目前每年完成创伤骨科三、四级手术200余例，手术范围覆盖了四肢骨折（包括老龄骨折和小儿骨折）、创伤畸形愈合、慢性骨感染、四肢骨折并发症、和骨肿瘤等，注重围手术期骨科康复治疗，复杂肢体骨折和创面的初期处理和确定性手术处理。主持省市级科研课题3项，发表论文20余篇，SCI论文近10篇。现担任广东省医师协会创伤骨科分会常委，广东省医学会修复重建外科常委，广东省康复医学会第四届理事会常务理事，广东省康复医学会手功能康复分会副会长，广东省康复医学会康复辅具分会副会长，广东省医学会手外科学分会腕关节镜学组副组长。,医院官网,https://gd2h.com/site/detail/41964.html,https://gd2h.com/static//seygw//resources/upload/2024/05/28/638200838129302109.jpg,01_试点医院/广东省第二人民医院/照片/孙大炜-创伤骨科-副主任医师-广东省第二人民医院.jpg,https://gd2h.com/site/column/107_1_20.html,官网同页两院区三栏目静态目录+大小写敏感数字/hash ID+详情 DOM+本人职业照,2026-08-14,200,否,,待人工复核
9,广东省第二人民医院,许长鹏,关节骨一科（琶洲院区）,关节骨一科（琶洲院区）,副主任医师,副主任医师,高,免疫/风湿/感染、术后恢复/康复,感染、术后、康复,医学博士，科室主任 开设“保膝特色门诊”，带领团队开发“非常6+2”保膝运动处方进行膝关节炎保守治疗且效果显著。擅长膝骨关节炎的保膝微创治疗。在人工智能AI虚拟手术规划、3D打印辅助以及手术机器人辅助关节置换精准治疗方面积累了丰富的经验。肩、髋、膝、踝关节运动损伤的关节镜微创治疗及快速康复有较深造诣。赴中国人民解放军总医院（301医院）进修学习人工智能辅助微创关节置换及关节镜技术。熟练掌握DAA微创全髋置换和HTO、UKA等保膝治疗手术，实现关节置换术后不限制体位的快速正常活动。多次主办人工智能辅助微创髋膝关节置换培训学习班。,广东省第二人民医院关节骨科科室主任，医学博士，南方医科大学、暨南大学、广东医科大学、广东工业大学硕士研究生导师，暨南大学博士后联合培养合作导师，第七届羊城青年好医生，WHO国际应急医疗队成员。 学术任职：中国老年医学学会骨与关节分会委员，中华预防医学会关节病预防与运动医学专委会委员，中国医师协会骨科医师分会青年委员，广东省医学会关节外科学分会常务委员，广东省医学会运动医学分会委员，中国医药教育协会骨科专业委员会广东省骨科分会委员，广东省生物医学工程学会骨科远程医学分会委员。 科研方面：国家自然科学基金委员会及广东省自然科学基金委员会同行评审专家。 主持国家自然科学基金项目2项，广东省自然科学基金2项，广州市科技计划基金项目3项，广东省第二人民医院院级科研项目3项，参与国家科技部“十四五”重点研发项目1项。,,广东省第二人民医院关节骨科科室主任，医学博士，南方医科大学、暨南大学、广东医科大学、广东工业大学硕士研究生导师，暨南大学博士后联合培养合作导师，第七届羊城青年好医生，WHO国际应急医疗队成员。 学术任职：中国老年医学学会骨与关节分会委员，中华预防医学会关节病预防与运动医学专委会委员，中国医师协会骨科医师分会青年委员，广东省医学会关节外科学分会常务委员，广东省医学会运动医学分会委员，中国医药教育协会骨科专业委员会广东省骨科分会委员，广东省生物医学工程学会骨科远程医学分会委员。 科研方面：国家自然科学基金委员会及广东省自然科学基金委员会同行评审专家。主要针对骨感染相关分子机制及骨缺损修复材料研发研究，在炎症抑制成骨分化以及骨修复材料研究领域积累了一定原创性成果。主持国家自然科学基金项目2项，广东省自然科学基金2项，广州市科技计划基金项目3项，广东省第二人民医院院级科研项目3项，参与国家科技部“十四五”重点研发项目1项。发表SCI论文30余篇，申请专利5项。,医院官网,https://gd2h.com/site/detail/41978.html,https://gd2h.com/static/seygw//resources/upload/2025/08/22/4107b436-1b78-4b87-a4b1-827445791289.png,01_试点医院/广东省第二人民医院/照片/许长鹏-关节骨一科-副主任医师-广东省第二人民医院.png,https://gd2h.com/site/column/107_1_20.html,官网同页两院区三栏目静态目录+大小写敏感数字/hash ID+详情 DOM+本人职业照,2026-08-14,200,否,,待人工复核
10,广东省第二人民医院,林周胜,关节骨二科（琶洲院区）,关节骨二科（琶洲院区）,主任医师,主任医师,高,免疫/风湿/感染,类风湿,关节疾病、运动损伤的临床诊治，人工关节置换与关节镜下微创手术。对肩周炎、肩袖损伤、肩脱位、膝关节前后交叉韧带断裂、半月板撕裂、侧副韧带损伤、股骨头坏死、骨关节炎、类风湿性关节炎、踝关节扭伤、网球肘等疾病具有丰富的临床诊疗经验。针对全身各关节疾病开展保守与手术治疗，开展人工髋、膝、肩、肘等关节置换手术、前后交叉韧带断裂关节镜下重建手术、半月板损伤关节镜下成型/缝合术、肩袖损伤关节镜下修补术、肘踝关节疾病关节镜下微创手术。针对对四肢骨折脱位、颈肩腰腿痛等疾病开展保守与手术治疗。,个人介绍 林周胜，关节二科负责人，兼任广东省第二人民医院东莞医院副院长，主任医师，医学博士，硕士研究生导师，第七届羊城好医生。 德国哥廷根大学教学医院BrüderKrankenhaus St. Josef Parderborn 访问学者， 曾在北京大学运动医学研究所进修学习。 担任学术职务主要有：广东省中西医结合学会骨科微创专业委员会常务委员，广东省医学会创伤骨科学分会肩肘损伤学组成员兼秘书，中国医师协会创伤外科医师分会老年创伤专业委员会委员，中国医疗保健国际交流促进会骨质疏松分会委员等。,,个人介绍 林周胜，关节二科负责人，兼任广东省第二人民医院东莞医院副院长，主任医师，医学博士，硕士研究生导师，第七届羊城好医生。德国哥廷根大学教学医院BrüderKrankenhaus St. Josef Parderborn 访问学者， 曾在北京大学运动医学研究所进修学习。 专业擅长：关节疾病、运动损伤的临床诊治，人工关节置换与关节镜下微创手术。对肩周炎、肩袖损伤、肩脱位、膝关节前后交叉韧带断裂、半月板撕裂、侧副韧带损伤、股骨头坏死、骨关节炎、类风湿性关节炎、踝关节扭伤、网球肘等疾病具有丰富的临床诊疗经验。针对全身各关节疾病开展保守与手术治疗，开展人工髋、膝、肩、肘等关节置换手术、前后交叉韧带断裂关节镜下重建手术、半月板损伤关节镜下成型/缝合术、肩袖损伤关节镜下修补术、肘踝关节疾病关节镜下微创手术。针对对四肢骨折脱位、颈肩腰腿痛等疾病开展保守与手术治疗。 担任学术职务主要有：广东省中西医结合学会骨科微创专业委员会常务委员，广东省医学会创伤骨科学分会肩肘损伤学组成员兼秘书，中国医师协会创伤外科医师分会老年创伤专业委员会委员，中国医疗保健国际交流促进会骨质疏松分会委员等。,医院官网,https://gd2h.com/site/detail/41981.html,https://gd2h.com/static//seygw//resources/upload/2024/05/28/638472184372646485.jpg,01_试点医院/广东省第二人民医院/照片/林周胜-关节骨二科-主任医师-广东省第二人民医院.jpg,https://gd2h.com/site/column/107_1_20.html,官网同页两院区三栏目静态目录+大小写敏感数字/hash ID+详情 DOM+本人职业照,2026-08-14,200,否,,待人工复核
