序号,医院,姓名,科室_分类页,科室_列表卡片,职称_关键词,职称身份原文,重点优先级,重点关注范围,重点疾病标签,擅长诊疗方向摘录,亮眼经历线索,列表简介,详情正文摘录,来源类型,来源链接,照片链接,照片文件,采集入口,采集方式,采集日期,详情页状态,已建画像,异常提示,复核状态
1,广东药科大学附属第一医院,周万兴,心内一科（健康管理中心）,心内一科,主任医师、教授、硕士生导师,教授、主任医师、硕士生导师,高,慢性病、免疫/风湿/感染、术后恢复/康复,高血压、心力衰竭、心衰、代谢、风湿、康复,从事医疗工作40年，1990年起积极主持开展多项心脏导管检查和治疗，尤其在心律失常射频消融、心脏起搏器安装、风湿性心脏病、先天性心脏病心律失常等方面颇有建树，是广州市较早开展二尖瓣狭窄导管治疗的专家之一，擅长顽固性高血压、心衰诊治。,官网目录标注：首席专家；个人介绍：1979.8~1984.7广东医学院（原湛江医学院）医疗系读本科 1984.8~1989.11广州铁路中心医院心内科住院医师 1989.12~1995.12广州铁路中心医院心内科主治医师 1996.1~2003.7广州铁路中心医院心内科副主任医师 1997.9~2001.7中山医科大学攻读内科硕士研究生 2003.8~2004.12广州铁路中心医院心内科主任医师 2005.1~至今 广东药学院附属第一医院心内科主任医师、教授 2013年6月至2018年7月担任医院党委书记职务 社会任职：世界中医药学会联合会代谢病专业委员会常务理事 中国医师协会中西医结合医师分会心血管病学专家委员会常委及高血压血管病专家委员会委员 中国老年医学学会中医药分会常委 中国大湾区心律学专业委员会常委 广东省中西医结合学会代谢病专业委员会主任委员 广东省健康管理学会心血管专家委员会副主任委员 广东省中西医结合学会心血管病专业委员会副主任委...,,个人介绍：1979.8~1984.7广东医学院（原湛江医学院）医疗系读本科 1984.8~1989.11广州铁路中心医院心内科住院医师 1989.12~1995.12广州铁路中心医院心内科主治医师 1996.1~2003.7广州铁路中心医院心内科副主任医师 1997.9~2001.7中山医科大学攻读内科硕士研究生 2003.8~2004.12广州铁路中心医院心内科主任医师 2005.1~至今 广东药学院附属第一医院心内科主任医师、教授 2013年6月至2018年7月担任医院党委书记职务 社会任职：世界中医药学会联合会代谢病专业委员会常务理事 中国医师协会中西医结合医师分会心血管病学专家委员会常委及高血压血管病专家委员会委员 中国老年医学学会中医药分会常委 中国大湾区心律学专业委员会常委 广东省中西医结合学会代谢病专业委员会主任委员 广东省健康管理学会心血管专家委员会副主任委员 广东省中西医结合学会心血管病专业委员会副主任委员 广东省康复医学会心血管分会副会长 广东省药学会心血管联盟副主任委员 广东省行业协会心血管病管理分会副主任委员 广东省医师协会心血管病分会常委 《广东医学》《广东药科大学学报》编委 《中山大学学报》《实用医学》杂志审稿专家 主要论著：主持或参与多项国际和国内多中心、省自然科学基金、省卫生厅、铁道部、广铁集团研究课题，发表论文 100 多篇。 科研与获奖：1990年起积极主持开展多项心脏介入检查和治疗，填补广州铁路集团医疗系统和医院技术空白10余项 获得广铁集团科技进步二等奖1项和医院科技进步一、二、三等奖（共9项） 主要研究方向是高血压病、心室重构与心力衰竭机制与诊治 主持多项省、部级和厅、局级科研课题 作为主要研究者参与国家十五攻关、“863”课题和国际多中心协作研究，发表论文70余篇 荣获2014年“天晴杯”广东医院优秀管理干部称号 荣获2017胡润•平安中国好医生 2017 年起连续获评岭南名医 第六届羊城好医生,医院官网,https://www.gy120.net/articleshow.asp?articleid=75,https://www.gy120.net/files/20180104110230278.jpg,01_试点医院/广东药科大学附属第一医院/照片/周万兴-心内一科-主任医师-广东药科大学附属第一医院.jpg,https://www.gy120.net/zhuanjia.asp,官网旧版 ASP 静态目录+GB18030 解码+数字 ArticleID+详情 DOM+本人职业照,2026-08-15,200,否,,待人工复核
2,广东药科大学附属第一医院,曾智桓,心内二科（健康管理中心）,心内二科,主任医师、教授,教授、主任医师,高,慢性病、疑难重症,高血压、冠心病、心衰、疑难、急危重,拥有心脏电生理、起搏器植入、冠心病介入资质，擅长冠心病介入手术、各种心律失常导管射频消融术、心脏起搏器植入术、先天性心脏病介入封堵术。掌握心血管内科各种急危重症疾病及疑难疾病的救治，临床经验丰富，擅长心律失常、冠心病、心衰、高血压等疾病诊治。,官网目录标注：科室负责人；个人介绍：先后在德国波鸿、韩国首尔峨山医院、北京安贞医院、霍英东心脏中心进修学习； 2015年卫生部选派至德国吕纳堡医院学习。 社会任职：中国中药协会心血管药物研究专业委员会常务委员 中国临床心电学会委员 广东省介入性心脏病学会起搏电生理分会常务委员 广东省胸部疾病学会心脏健康工程专业委员会常务委员 广东省中西医结合学会心律失常专业委员会常务委员 广东省社区卫生学会慢病管理委员会常务委员 广东省医学会起搏与电生理学会委员 广东省医师协会心脏起搏与电生理分会委员 广东省心血管健康管理委员会委员 主要论著：《中国病理生理杂志》 《南方医科大学学报》 《临床心血管病杂志》 《广东医学》 科研与获奖：第一完成人承担省级科研课题2项，厅局级科研课题5项，与北京大学、阜外心血管病医院、广东省人民医院开展横向科研课题3项。 发表专业论文20余篇，其中SCI论文5篇。,,个人介绍：先后在德国波鸿、韩国首尔峨山医院、北京安贞医院、霍英东心脏中心进修学习；2015年卫生部选派至德国吕纳堡医院学习。一直从事心血管临床专业工作，开展各种心脏介入手术。 社会任职：中国中药协会心血管药物研究专业委员会常务委员 中国临床心电学会委员 广东省介入性心脏病学会起搏电生理分会常务委员 广东省胸部疾病学会心脏健康工程专业委员会常务委员 广东省中西医结合学会心律失常专业委员会常务委员 广东省社区卫生学会慢病管理委员会常务委员 广东省医学会起搏与电生理学会委员 广东省医师协会心脏起搏与电生理分会委员 广东省心血管健康管理委员会委员 主要论著：《中国病理生理杂志》 《南方医科大学学报》 《临床心血管病杂志》 《广东医学》 科研与获奖：第一完成人承担省级科研课题2项，厅局级科研课题5项，与北京大学、阜外心血管病医院、广东省人民医院开展横向科研课题3项。发表专业论文20余篇，其中SCI论文5篇。2018年获“广东省医师奖；2016年第一完成人获“广东药科大学附属第一医院科技进步一等奖”；多次获得“优秀党务工作者”、“优秀共产党员”、“科技先进工作者”等称号。,医院官网,https://www.gy120.net/articleshow.asp?articleid=139,https://www.gy120.net/files/20180104120656967.JPG,01_试点医院/广东药科大学附属第一医院/照片/曾智桓-心内二科-主任医师-广东药科大学附属第一医院.jpg,https://www.gy120.net/zhuanjia.asp,官网旧版 ASP 静态目录+GB18030 解码+数字 ArticleID+详情 DOM+本人职业照,2026-08-15,200,否,,待人工复核
3,广东药科大学附属第一医院,叶美莲,血液内科,血液内科,主任医师、教授,教授、主任医师,高,慢性病,高血压、糖尿病,各类贫血、出血等血液病，糖尿病、高血压病诊治,,,,医院官网,https://www.gy120.net/articleshow.asp?articleid=115,https://www.gy120.net/files/20180104124306593.jpg,01_试点医院/广东药科大学附属第一医院/照片/叶美莲-血液内科-主任医师-广东药科大学附属第一医院.jpg,https://www.gy120.net/zhuanjia.asp,官网旧版 ASP 静态目录+GB18030 解码+数字 ArticleID+详情 DOM+本人职业照,2026-08-15,200,否,,待人工复核
4,广东药科大学附属第一医院,袁伟锋,呼吸与危重症医学科（健康管理中心）,呼吸与危重症医学科,主任医师、医学博士,主任医师、医学博士,高,慢性病、免疫/风湿/感染、术后恢复/康复、疑难重症,慢性、感染、康复、危重,呼吸系统感染性疾病，气道慢性炎症,官网目录标注：科室负责人；社会任职：广州市医学会呼吸病学分会委员 广东省病理生理学会呼吸专业委员会委员 广东省医师协会呼吸分会结核防治组成员 广东省康复医学会呼吸康复分会理事 广东省预防医学会呼吸病预防与控制专业委员会青年委员 科研与获奖：自工作以来以第一作者或通讯作者发表论著 10篇，主持市厅级科研项目3项，参与国家级及省部级项目10项，获 医疗成果奖二等奖 一项。,,个人介绍：2000年09月-2005年07月，天津医科大学临床医学专业就读，获得学士学位。2005年09月-2008年06月，南方医科大学内科学（呼吸病学）专业就读，获得硕士学位。2008年09月-2011年06月，南方医科大学内科学（呼吸病学）专业就读，获得博士学位。2011年7月至2020年8月就职于中国人民解放军南部战区总医院，2020年8月至2024年6月就职于广州医科大学附属市八医院，2024年6月起就职于广东药科大学附属第一医院。 社会任职：广州市医学会呼吸病学分会委员 广东省病理生理学会呼吸专业委员会委员 广东省医师协会呼吸分会结核防治组成员 广东省康复医学会呼吸康复分会理事 广东省预防医学会呼吸病预防与控制专业委员会青年委员 科研与获奖：自工作以来以第一作者或通讯作者发表论著 10篇，主持市厅级科研项目3项，参与国家级及省部级项目10项，获 医疗成果奖二等奖 一项。 2022年被中共广州市卫健委党组选树为“守护健康”共产党员岗位标兵。,医院官网,https://www.gy120.net/articleshow.asp?articleid=40,https://www.gy120.net/files/20240830083641469.jpg,01_试点医院/广东药科大学附属第一医院/照片/袁伟锋-呼吸与危重症医学科-主任医师-广东药科大学附属第一医院.jpg,https://www.gy120.net/zhuanjia.asp,官网旧版 ASP 静态目录+GB18030 解码+数字 ArticleID+详情 DOM+本人职业照,2026-08-15,200,否,,待人工复核
5,广东药科大学附属第一医院,吕路,肾内科（健康管理中心）,肾内科,主任医师、教授,教授、主任医师,高,慢性病、免疫/风湿/感染,糖尿病、免疫、感染,诊治肾小球肾炎、肾病综合征、糖尿病肾病、狼疮性肾炎、尿路感染、肾功能衰竭、透析并发症等疾病。,官网目录标注：科室负责人；2002年7月至2006年2月 任主治医师 2006年3月至2012年12月 任副主任医师 2013年1月至现在 任主任医师 社会任职：广东省医学会肾脏病分会委员 广东省中西医结合学会免疫性肾病专委会副主任委员 广东省医疗行业协会肾内科管理分会常委 广东省健康管理学会肾脏病专委会常委 广东中医药学会肾脏临床病理专委会常委 广东省器官医学和移植技术学会中西医结合肾病专委会常委 广东省医学会血液净化分会委员 广东省医师协会肾脏病分会委员 广东省医院协会血液净化中心管理专业委员会委员 广东省医学会医疗事故技术鉴定专家 广州市医学会医疗事故技术鉴定专家 岭南名医 羊城好医生 主要论著：发表学术论文 20 余篇，参加编写《腹膜透析治疗学》、《临床医师典》等专著 科研与获奖：主持或参与广东省自然科学基金、广东省科技计划项目、广东省医学科学技术研究基金等省（厅）级课题 5 项，主持广东药科大学课题 4 项。,,个人介绍：1994年8月至2002年6月 任住院医师。 2002年7月至2006年2月 任主治医师 2006年3月至2012年12月 任副主任医师 2013年1月至现在 任主任医师 社会任职：广东省医学会肾脏病分会委员 广东省中西医结合学会免疫性肾病专委会副主任委员 广东省医疗行业协会肾内科管理分会常委 广东省健康管理学会肾脏病专委会常委 广东中医药学会肾脏临床病理专委会常委 广东省器官医学和移植技术学会中西医结合肾病专委会常委 广东省医学会血液净化分会委员 广东省医师协会肾脏病分会委员 广东省医院协会血液净化中心管理专业委员会委员 广东省医学会医疗事故技术鉴定专家 广州市医学会医疗事故技术鉴定专家 岭南名医 羊城好医生 主要论著：发表学术论文 20 余篇，参加编写《腹膜透析治疗学》、《临床医师典》等专著 科研与获奖：主持或参与广东省自然科学基金、广东省科技计划项目、广东省医学科学技术研究基金等省（厅）级课题 5 项，主持广东药科大学课题 4 项。,医院官网,https://www.gy120.net/articleshow.asp?articleid=209,https://www.gy120.net/files/20180104120031498.JPG,01_试点医院/广东药科大学附属第一医院/照片/吕路-肾内科-主任医师-广东药科大学附属第一医院.jpg,https://www.gy120.net/zhuanjia.asp,官网旧版 ASP 静态目录+GB18030 解码+数字 ArticleID+详情 DOM+本人职业照,2026-08-15,200,否,,待人工复核
6,广东药科大学附属第一医院,叶健华,内分泌科（共和门诊）,内分泌科,主任医师、教授、硕士生导师,教授、主任医师、硕士生导师,高,慢性病,高血压、糖尿病、慢性、代谢,糖尿病及其急慢性并发症，代谢综合症，甲状腺疾病，内分泌性高血压，妇科及妊娠相关性内分泌代谢性疾病，垂体，肾上腺，骨质疏松，钙磷代谢异常及其他内分泌代谢疾病。,官网目录标注：科室负责人；1996.4＿1997.4中山医附二及附一院内分泌科进修。 1996.1＿2000.12内分泌科主治医师 2000..12＿2007.11内分泌科主任医师 2007.11＿2014..9门诊内科主任医师 2014.10＿至今内分泌科科主任 社会任职：广东省医师协会内分泌分会常委 广东省医学会内分泌分会委员、 广东省医学会 糖尿病分会委员 广东省药学会内分泌代谢病分会委员 广东省及广州市医师协会内分泌代谢分会常委 广东省中西医结合学会肥胖与体重管理专业委员会常委 广东省社区卫生学会慢病管理委员会内分泌专委会常委 广东省预防医学会内分泌专委会委员。 科研与获奖：作为第一负责人分别承担广州市科委，广铁集团公司及省卫生厅的科研课题的研究。 研究成果撰写多篇论文发表在国家及省部级的专业期刊上。,,个人介绍：1982.09＿1987.07上海铁道医学院医疗系本科学习。毕业后一直在广铁中心医院即广东药学院附一院工作。 1996.4＿1997.4中山医附二及附一院内分泌科进修。 1996.1＿2000.12内分泌科主治医师 2000..12＿2007.11内分泌科主任医师 2007.11＿2014..9门诊内科主任医师 2014.10＿至今内分泌科科主任 社会任职：广东省医师协会内分泌分会常委 广东省医学会内分泌分会委员、 广东省医学会 糖尿病分会委员 广东省药学会内分泌代谢病分会委员 广东省及广州市医师协会内分泌代谢分会常委 广东省中西医结合学会肥胖与体重管理专业委员会常委 广东省社区卫生学会慢病管理委员会内分泌专委会常委 广东省预防医学会内分泌专委会委员。 科研与获奖：作为第一负责人分别承担广州市科委，广铁集团公司及省卫生厅的科研课题的研究。研究成果撰写多篇论文发表在国家及省部级的专业期刊上。作为分中心 PI 进行多项多中心横向研究项目。,医院官网,https://www.gy120.net/articleshow.asp?articleid=53,https://www.gy120.net/files/20180104114120442.JPG,01_试点医院/广东药科大学附属第一医院/照片/叶健华-内分泌科-主任医师-广东药科大学附属第一医院.jpg,https://www.gy120.net/zhuanjia.asp,官网旧版 ASP 静态目录+GB18030 解码+数字 ArticleID+详情 DOM+本人职业照,2026-08-15,200,否,,待人工复核
7,广东药科大学附属第一医院,何兴祥,消化内科（健康管理中心）,消化内科,主任医师、教授、博士,二级教授、主任医师、博士研究生导师,高,肿瘤、疑难重症,肿瘤、重症,食道、胃、肠、胰、肝脏疾病的诊断与治疗，尤其是消化系肿瘤的早期诊断与脂肪肝的个体化诊疗。,官网目录标注：首席专家；2013年6月至2018年7月担任医院副院长职务 2018年8月起担任医院党委书记职务 社会任职：《2017年度、2018年度、2019年度、2020年度、 2021年度、2022年度岭南名医》 ，《第六届羊城好医生》 广州地区消化疾病医疗质量控制中心专家委员会副主任委员 广东省微生态治疗工程技术研究中心主任 广东省生物医学大数据库建设单位主任 2017年被中华粪菌库授予“菌群移植领域进步的重要贡献者” 中国老年学和老年医学学会老年病学分会消化病专家委员会——全国副主任委员 中国人体健康科技促进会肠道微生态与肠菌移植专业委员会——全国副主任委员 中国医药生物技术协会慢病管理分会——全国副主任委员 中国医师协会内镜医师分会内镜诊疗质量管理与控制专业委员会——全国常务委员 中国中西医结合学会消化内镜专业委员会内镜质控专家委员会——全国委员 广东省医学会第二十届理事会——常务理事 广东省肝脏病学会——副理事长 广东省肝脏病学会脂...,,"个人介绍：1983年以来一直工作在临床第一线，1993年开始主要从事消化系统疾病的诊断与治疗工作。从事消化系统疾病的诊断与治疗工作多年，尤擅于消化系肿瘤的诊断与治疗、急性重症胰腺炎的诊断与综合治疗、脂肪肝的诊断与个体化治疗。 2013年6月至2018年7月担任医院副院长职务 2018年8月起担任医院党委书记职务 社会任职：《2017年度、2018年度、2019年度、2020年度、 2021年度、2022年度岭南名医》 ，《第六届羊城好医生》 广州地区消化疾病医疗质量控制中心专家委员会副主任委员 广东省微生态治疗工程技术研究中心主任 广东省生物医学大数据库建设单位主任 2017年被中华粪菌库授予“菌群移植领域进步的重要贡献者” 中国老年学和老年医学学会老年病学分会消化病专家委员会——全国副主任委员 中国人体健康科技促进会肠道微生态与肠菌移植专业委员会——全国副主任委员 中国医药生物技术协会慢病管理分会——全国副主任委员 中国医师协会内镜医师分会内镜诊疗质量管理与控制专业委员会——全国常务委员 中国中西医结合学会消化内镜专业委员会内镜质控专家委员会——全国委员 广东省医学会第二十届理事会——常务理事 广东省肝脏病学会——副理事长 广东省肝脏病学会脂肪肝专业委员会——第二届至第四届主任委员 广东省中西医结合学会整合肝肠病学专业委员会——主任委员 主要论著：1、陈其奎，何兴祥，朱兆华主编.《消化疾病诊断学》.第1版.北京:人民卫生出版社,2006 2、何兴祥、文卓夫、陈垦主编.《循证消化病学》.第1版. 北京: 清华大学出版社,2008 3.Xing-Xiang He, Jun Yang , Yuan-Wei Ding, Wei Liu,Qing-Yan Shen, Harry Hua-Xiang Xia. Increased Epithelial and Serum Expression of Macrophage Migration Inhibitory Factor in Gastric Cancer: Potential Role of MIF in Gastric Carcinogenesis.GUT， 2006；55（6）：797-802（SCI收录，2013年IF 13.319） 4.Xing-Xiang He, Ken Chen, Jun Yang, Xiao-Yu Li, Huo-Ye Gan, Cheng-Yong Liu, Thomas R Coleman,Yousef Al-Abed. Macrophage Migration Inhibitory Factor Promotes Colorectal Cancer. Mol Med 2009, 15(1-2):1-10（SCI收录，发表当年IF 5.02） 科研与获奖：2014年4月以第一完成人获得广东省人民政府---广东省科学技术奖励二等奖（MIF与胃肠肿瘤的基础与临床研究，粤府[20141783号，项目编号：B14-0-2-06-R01]）。 2012年12月被国家人社部、卫生部与中管局联合授予“全国卫生系统先进工作者”。 2018年“天晴杯”医院优秀管理干部",医院官网,https://www.gy120.net/articleshow.asp?articleid=156,https://www.gy120.net/files/20180122104317435.jpg,01_试点医院/广东药科大学附属第一医院/照片/何兴祥-消化内科-主任医师-广东药科大学附属第一医院.jpg,https://www.gy120.net/zhuanjia.asp,官网旧版 ASP 静态目录+GB18030 解码+数字 ArticleID+详情 DOM+本人职业照,2026-08-15,200,否,,待人工复核
8,广东药科大学附属第一医院,肖文豪,风湿免疫科（健康管理中心）,风湿免疫科,副主任医师,副主任医师,高,免疫/风湿/感染,风湿、免疫、红斑狼疮、类风湿、强直性脊柱炎,从事风湿免疫科临床工作20余年，擅长诊治类风湿关节炎，系统性红斑狼疮，干燥综合症，脊柱关节病，炎性肌病，痛风性关节炎，血管炎等多种风湿性疾病。,官网目录标注：首席专家、科室负责人；擅长类风湿性关节炎、系统性红斑狼疮、强直性脊柱炎等多种风湿免疫疾病的诊治，并担任多项学术职务，通过不断的研究与实践，为风湿免疫病患者提供了专业、精准的医疗服务。,,个人介绍：1990年毕业于上海铁道医学院临床医学专业，从事风湿性疾病诊治30余年，在风湿领域有着深厚的学术造诣和丰富的临床经验。擅长类风湿性关节炎、系统性红斑狼疮、强直性脊柱炎等多种风湿免疫疾病的诊治，并担任多项学术职务，通过不断的研究与实践，为风湿免疫病患者提供了专业、精准的医疗服务。,医院官网,https://www.gy120.net/articleshow.asp?articleid=257,https://www.gy120.net/files/20240830165913114.jpg,01_试点医院/广东药科大学附属第一医院/照片/肖文豪-风湿免疫科-副主任医师-广东药科大学附属第一医院.jpg,https://www.gy120.net/zhuanjia.asp,官网旧版 ASP 静态目录+GB18030 解码+数字 ArticleID+详情 DOM+本人职业照,2026-08-15,200,否,,待人工复核
9,广东药科大学附属第一医院,孙慧琳,肥胖专病治疗组（健康管理中心）,肥胖专病治疗组,主任医师、教授、硕士生导师、医学博士,主任医师、教授、医学博士、硕士生导师,高,慢性病,糖尿病、代谢,擅长糖尿病、痛风、甲状腺疾病,个人介绍：从医20余年 社会任职：广东省医师协会健康促进工作委员会常委 广东省中西医结合学会代谢病专业委员会委员 广东省糖尿病协会青年委员 广东省自然科学基金 广东省财政厅评审专家 科研与获奖：主持省自然科学基金等代谢性疾病研究课题7项，在国家级刊物发表代谢性疾病研究论文10余篇,,个人介绍：从医20余年 社会任职：广东省医师协会健康促进工作委员会常委 广东省中西医结合学会代谢病专业委员会委员 广东省糖尿病协会青年委员 广东省自然科学基金 广东省财政厅评审专家 科研与获奖：主持省自然科学基金等代谢性疾病研究课题7项，在国家级刊物发表代谢性疾病研究论文10余篇,医院官网,https://www.gy120.net/articleshow.asp?articleid=230,https://www.gy120.net/files/20180104113746126.JPG,01_试点医院/广东药科大学附属第一医院/照片/孙慧琳-肥胖专病治疗组-主任医师-广东药科大学附属第一医院.jpg,https://www.gy120.net/zhuanjia.asp,官网旧版 ASP 静态目录+GB18030 解码+数字 ArticleID+详情 DOM+本人职业照,2026-08-15,200,否,,待人工复核
10,广东药科大学附属第一医院,区奕猛,普外一科（肝胆外科）,普外一科（肝胆外科）,主任医师、教授、硕士生导师,教授、主任医师、硕士生导师,高,慢性病、肿瘤、术后恢复/康复、疑难重症,慢性、肿瘤、肝癌、康复、伤口、疑难、难治,擅长重大疑难的肝胆胰脾、胃肠肿瘤、乳腺、甲状腺诊断与手术治疗，尤其精于重大疑难的肝胆脾胰、胃肠肿瘤、甲状腺肿瘤腔镜治疗。,官网目录标注：首席专家；个人介绍：1987年毕业于上海铁道学院医学系本科 长期从事普通外科工作，在不断提高、完善传统的开腹肝胆脾胰高疑难手术的基础上，不断创新，开展新技术，独立完成了高难度的腹腔镜下肝癌切除术、腔镜下脾切除 + 贲门周围血管离断术、腔镜下胃肠道恶性肿瘤根治和腹腔镜下胰十二指肠切除术等手术。 社会任职：广东省医学会肝胆外科分会委员 广东省医学会微创外科学分会委员 广州市医师协会外科分会副主任委员 广东省医师协会外科医师分会常委 广东省医师协会肝胆外科医师分会常委 广东省医疗行业协会门静脉高压症管理委员会副主任委员 广东省健康管理学会压疮慢性伤口康复专业委员会副主任委员 岭南现代临床外科编委 主要论著：胰头十二指肠切除术胰瘘、胆瘘的相关因素 （肝胆胰外科杂志 1999） 电视监视下液电碎石术治疗肝内胆管残余结石 （中华肝胆外科杂志 1999） 高龄胰头十二指肠切除术12例 （广东医学 2000） 胰头十二指肠切除术残胰的处理方法 （肝...,,个人介绍：1987年毕业于上海铁道学院医学系本科 长期从事普通外科工作，在不断提高、完善传统的开腹肝胆脾胰高疑难手术的基础上，不断创新，开展新技术，独立完成了高难度的腹腔镜下肝癌切除术、腔镜下脾切除 + 贲门周围血管离断术、腔镜下胃肠道恶性肿瘤根治和腹腔镜下胰十二指肠切除术等手术。 社会任职：广东省医学会肝胆外科分会委员 广东省医学会微创外科学分会委员 广州市医师协会外科分会副主任委员 广东省医师协会外科医师分会常委 广东省医师协会肝胆外科医师分会常委 广东省医疗行业协会门静脉高压症管理委员会副主任委员 广东省健康管理学会压疮慢性伤口康复专业委员会副主任委员 岭南现代临床外科编委 主要论著：胰头十二指肠切除术胰瘘、胆瘘的相关因素 （肝胆胰外科杂志 1999） 电视监视下液电碎石术治疗肝内胆管残余结石 （中华肝胆外科杂志 1999） 高龄胰头十二指肠切除术12例 （广东医学 2000） 胰头十二指肠切除术残胰的处理方法 （肝胆外科杂志 2002） 科研与获奖：《液电碎石治疗肝内胆管难治性结石的安全性及临床应用研究》获得广州铁路集团科学技术进步二等奖。 主持和参与多项课题，发表文献 20 篇,医院官网,https://www.gy120.net/articleshow.asp?articleid=7,https://www.gy120.net/files/20190917091728518.JPG,01_试点医院/广东药科大学附属第一医院/照片/区奕猛-普外一科（肝胆外科）-主任医师-广东药科大学附属第一医院.jpg,https://www.gy120.net/zhuanjia.asp,官网旧版 ASP 静态目录+GB18030 解码+数字 ArticleID+详情 DOM+本人职业照,2026-08-15,200,否,,待人工复核
