序号,医院,姓名,科室_分类页,科室_列表卡片,职称_关键词,职称身份原文,重点优先级,重点关注范围,重点疾病标签,擅长诊疗方向摘录,亮眼经历线索,列表简介,详情正文摘录,来源类型,来源链接,照片链接,照片文件,采集入口,采集方式,采集日期,详情页状态,已建画像,异常提示,复核状态
1,广州中医药大学第一附属医院,周岱翰,,,主任医师、教授、博士生导师、科主任,男，1941年5月生，广东汕头人，中国农工党党员；著名中医肿瘤学家，第三届国医大师，中国中医科学院学部委员，广东省名中医，广东省医学领军人才，广州中医药大学首席教授，主任医师，博士生导师，全国老中医药专家学术经验继承工作指导老师。 曾创建并担任该院首任肿瘤科主任，1982年在大学开设中医肿瘤学课堂授课，曾兼任中华中医药学会肿瘤分会创会会长及第二届会长。,普通,,,晚期、难治癌症等疑难重疾，提出“带瘤生存”，更新治癌理念，奠定岭南中医肿瘤学术流派理论体系,官网名医荟萃收录；著名中医肿瘤学家，第三届国医大师，中国中医科学院学部委员，广东省名中医，广东省医学领军人才，广州中医药大学首席教授，主任医师，博士生导师，全国老中医药专家学术经验继承工作指导老师。 曾创建并担任该院首任肿瘤科主任，1982年在大学开设中医肿瘤学课堂授课，曾兼任中华中医药学会肿瘤分会创会会长及第二届会长。 擅长治疗晚期、难治癌症等疑难重疾，提出“带瘤生存”，更新治癌理念，奠定岭南中医肿瘤学术流派理论体系。 创制“鹤蟾片”(获“1986年卫生部中医药重大科技成果乙等奖”)、“清金得生片”等制剂，代表性著作有《肿瘤治验集要》《中医肿瘤食疗学》《临床中医肿瘤学》等10部，主编《中医肿瘤学》并纳入全国高等中医院校专业课程，2010年获“教育部科学技术成果一等奖”、“广东省科学技术奖励二等奖”，2017获评“南粤楷模”称号，2019年获“全国中医药杰出贡献奖”。,,著名中医肿瘤学家，第三届国医大师，中国中医科学院学部委员，广东省名中医，广东省医学领军人才，广州中医药大学首席教授，主任医师，博士生导师，全国老中医药专家学术经验继承工作指导老师。 现为广州中医药大学肿瘤研究所所长，深圳市中医肿瘤医学中心主任，广东中医药研究促进会会长，《中医肿瘤学杂志》主编。 曾创建并担任该院首任肿瘤科主任，1982年在大学开设中医肿瘤学课堂授课，曾兼任中华中医药学会肿瘤分会创会会长及第二届会长。 擅长治疗晚期、难治癌症等疑难重疾，提出“带瘤生存”，更新治癌理念，奠定岭南中医肿瘤学术流派理论体系。 创制“鹤蟾片”(获“1986年卫生部中医药重大科技成果乙等奖”)、“清金得生片”等制剂，代表性著作有《肿瘤治验集要》《中医肿瘤食疗学》《临床中医肿瘤学》等10部，主编《中医肿瘤学》并纳入全国高等中医院校专业课程，2010年获“教育部科学技术成果一等奖”、“广东省科学技术奖励二等奖”，2017获评“南粤楷模”称号，2019年获“全国中医药杰出贡献奖”。,医院官网,https://www.gztcm.com.cn/myzl/myhc/1hbac0vetmul9.shtml,https://www.gztcm.com.cn/myzl/myhc/resource/db1b1f03c8a65bba4c377050e7cf0239.jpg,01_试点医院/广州中医药大学第一附属医院/照片/周岱翰-未标注-主任医师-广州中医药大学第一附属医院.jpg,https://www.gztcm.com.cn/ksjs/ + https://www.gztcm.com.cn/myzl/myhc/,官网9类70科室树+名医荟萃+CMS详情ID去重+UTF-8详情DOM+本人职业照,2026-08-15,200,否,名医荟萃详情未标当前科室,待人工复核
2,广州中医药大学第一附属医院,晏显妮,肌病科,肌病科,主治医师、教授、硕士,硕士研究生，主治医师；晏显妮，硕士研究生，主治医师。 师从国医大师学术继承人刘小斌教授和陈瑞芳教授，目前已发表核心期刊论文10篇，参与编写书籍2部。,高,慢性病、疑难重症,慢性、重症,擅长中西医结合治疗重症肌无力，运动神经元病，肝硬化，慢性胃肠疾病以及亚健康疾病的膏方调理。,师从国医大师学术继承人刘小斌教授和陈瑞芳教授，目前已发表核心期刊论文10篇，参与编写书籍2部。,擅长中西医结合治疗重症肌无力，运动神经元病，肝硬化，慢性胃肠疾病以及亚健康疾病的膏方调理。,晏显妮，硕士研究生，主治医师。 师从国医大师学术继承人刘小斌教授和陈瑞芳教授，目前已发表核心期刊论文10篇，参与编写书籍2部。 擅长中西医结合治疗重症肌无力，运动神经元病，肝硬化，慢性胃肠疾病以及亚健康疾病的膏方调理。,医院官网,https://www.gztcm.com.cn/jibingke/kszj/1hk61vq9rnq7f.shtml,https://www.gztcm.com.cn/jibingke/kszj/resource/2e0869c8e7b4132e17e5347720e374a5.jpg,01_试点医院/广州中医药大学第一附属医院/照片/晏显妮-肌病科-主治医师-广州中医药大学第一附属医院.jpg,https://www.gztcm.com.cn/ksjs/ + https://www.gztcm.com.cn/myzl/myhc/,官网9类70科室树+名医荟萃+CMS详情ID去重+UTF-8详情DOM+本人职业照,2026-08-15,200,否,,待人工复核
3,广州中医药大学第一附属医院,罗立杰,胃肠外科、结直肠外科,胃肠外科、结直肠外科,主治医师、医师、医学硕士、副主任,主治医师，医学硕士；【学术任职】 中国抗癌协会委员、中国医师协会腹腔镜外科专委会委员、广东省医学会微创外科专委会委员、广东省基层医药学会中西医结合胃肠外科专委会副主任委员、广东省中西医结合胃肠外科专业委员会秘书长、广东省中医药学会微创胃肠外科专业委员会秘书秘书长、广东省临床医学学会胃肠专业委员会委员、广东省医师协会临床精准医学工作委员会委员、广东省保健协会肠道保健分会常务委员、广州抗癌协会大肠癌专委会委员,高,慢性病、肿瘤,代谢、肿瘤、癌、瘤、胃癌、肠癌,擅长结肠癌、直肠癌、胃癌、胃肠道间质瘤及其他腹腔肿瘤腹腔镜微创外科治疗。擅长代谢外科、减重外科的微创外科治疗。擅长腹股沟疝、腹壁切口疝、食管裂孔疝、返流性食管炎、造口旁疝的微创外科治疗。擅长胃肠急症外科如肠梗阻、消化道穿孔、消化道出血、急性阑尾炎等的中西医结合微创外科治疗。,【学术任职】 中国抗癌协会委员、中国医师协会腹腔镜外科专委会委员、广东省医学会微创外科专委会委员、广东省基层医药学会中西医结合胃肠外科专委会副主任委员、广东省中西医结合胃肠外科专业委员会秘书长、广东省中医药学会微创胃肠外科专业委员会秘书秘书长、广东省临床医学学会胃肠专业委员会委员、广东省医师协会临床精准医学工作委员会委员、广东省保健协会肠道保健分会常务委员、广州抗癌协会大肠癌专委会委员,擅长结肠癌、直肠癌、胃癌、胃肠道间质瘤及其他腹腔肿瘤腹腔镜微创外科治疗。擅长代谢外科、减重外科的微创外科治疗。擅长腹股沟疝、腹壁切口疝、食管裂孔疝、返流性食管炎、造口旁疝的微创外科治疗。擅长胃肠急症外科如肠梗阻、消化道穿孔、消化道出血、急性阑尾炎等的中西医结合微创外科治疗。,【学术任职】 中国抗癌协会委员、中国医师协会腹腔镜外科专委会委员、广东省医学会微创外科专委会委员、广东省基层医药学会中西医结合胃肠外科专委会副主任委员、广东省中西医结合胃肠外科专业委员会秘书长、广东省中医药学会微创胃肠外科专业委员会秘书秘书长、广东省临床医学学会胃肠专业委员会委员、广东省医师协会临床精准医学工作委员会委员、广东省保健协会肠道保健分会常务委员、广州抗癌协会大肠癌专委会委员,医院官网,https://www.gztcm.com.cn/weichang/kszj/1iganpnug74ea.shtml,https://www.gztcm.com.cn/weichang/kszj/resource/bed632297a148f469eadc6b0a468cdb4.jpg,01_试点医院/广州中医药大学第一附属医院/照片/罗立杰-胃肠外科、结直肠外科-主治医师-广州中医药大学第一附属医院.jpg,https://www.gztcm.com.cn/ksjs/ + https://www.gztcm.com.cn/myzl/myhc/,官网9类70科室树+名医荟萃+CMS详情ID去重+UTF-8详情DOM+本人职业照,2026-08-15,200,否,,待人工复核
4,广州中医药大学第一附属医院,李大年,心理睡眠科,心理睡眠科,主治医师,主治医师，中级心理治疗师。,中,,,抑郁障碍、睡眠障碍、精神分裂症、焦虑症、强迫症和躯体形式障碍等的中西医结合治疗，对青少年的各类心理问题有丰富的咨询和治疗经验。,临床一线工作20年，参与国自然重大研究计划2项，主持省部级课题1项，第一作者发表多篇中科院SCI等高质量论文。 曾在北京大学附属回龙观医院进修青少年心理专项培训半年。 担任广东省中西医结合学会双心医学专业委员会常委、广东省医学会精神病学分会委员等多个学术团体任职。,抑郁障碍、睡眠障碍、精神分裂症、焦虑症、强迫症和躯体形式障碍等的中西医结合治疗，对青少年的各类心理问题有丰富的咨询和治疗经验。,临床一线工作20年，参与国自然重大研究计划2项，主持省部级课题1项，第一作者发表多篇中科院SCI等高质量论文。 曾在北京大学附属回龙观医院进修青少年心理专项培训半年。 曾获广州中医药大学“我心目中的好老师”荣誉称号。 担任广东省中西医结合学会双心医学专业委员会常委、广东省医学会精神病学分会委员等多个学术团体任职。,医院官网,https://www.gztcm.com.cn/xlsmk/kszj/1iedbslhl39d0.shtml,https://www.gztcm.com.cn/xlsmk/kszj/resource/fc0aff990f6958455b75afa1c42f5646.jpg,01_试点医院/广州中医药大学第一附属医院/照片/李大年-心理睡眠科-主治医师-广州中医药大学第一附属医院.jpg,https://www.gztcm.com.cn/ksjs/ + https://www.gztcm.com.cn/myzl/myhc/,官网9类70科室树+名医荟萃+CMS详情ID去重+UTF-8详情DOM+本人职业照,2026-08-15,200,否,,待人工复核
5,广州中医药大学第一附属医院,汪双双,肌病科,肌病科,教授、硕士,中西医结合临床硕士；汪双双，中西医结合临床硕士。 2011年7月至今就职于广州中医药大学第一附属医院脾胃病科，一直从事肌肉病方面的临床与教学工作，2010年参与制作的多媒体课件《神经系统的定位诊断》在中国教育技术协会中医药专业委员会第六届学术年会上评为优秀教学三等奖，2013年“邓铁涛教授诊治重症肌无力学术经验传承”课题获得邓铁涛基金第七批立项资助，2013年6月作为编委整理出版《国医大师邓铁涛教授医案及验方》一书。,高,疑难重症,重症,从事肌肉病方面的临床与教学工作,2011年7月至今就职于广州中医药大学第一附属医院脾胃病科，一直从事肌肉病方面的临床与教学工作，2010年参与制作的多媒体课件《神经系统的定位诊断》在中国教育技术协会中医药专业委员会第六届学术年会上评为优秀教学三等奖，2013年“邓铁涛教授诊治重症肌无力学术经验传承”课题获得邓铁涛基金第七批立项资助，2013年6月作为编委整理出版《国医大师邓铁涛教授医案及验方》一书。,从事肌肉病方面的临床与教学工作,汪双双，中西医结合临床硕士。 2011年7月至今就职于广州中医药大学第一附属医院脾胃病科，一直从事肌肉病方面的临床与教学工作，2010年参与制作的多媒体课件《神经系统的定位诊断》在中国教育技术协会中医药专业委员会第六届学术年会上评为优秀教学三等奖，2013年“邓铁涛教授诊治重症肌无力学术经验传承”课题获得邓铁涛基金第七批立项资助，2013年6月作为编委整理出版《国医大师邓铁涛教授医案及验方》一书。,医院官网,https://www.gztcm.com.cn/jibingke/kszj/1hk61tcackcqv.shtml,https://www.gztcm.com.cn/jibingke/kszj/resource/dab60de5cd1b0cd0a55a8bb1c2ca76d1.jpg,01_试点医院/广州中医药大学第一附属医院/照片/汪双双-肌病科-教授-广州中医药大学第一附属医院.jpg,https://www.gztcm.com.cn/ksjs/ + https://www.gztcm.com.cn/myzl/myhc/,官网9类70科室树+名医荟萃+CMS详情ID去重+UTF-8详情DOM+本人职业照,2026-08-15,200,否,,待人工复核
6,广州中医药大学第一附属医院,陈坚雄,肌病科,肌病科,主治医师、教授、医学博士、博士,中医学博士，中西医结合博士后出站，主治医师；陈坚雄，中医学博士，中西医结合博士后出站，主治医师。 岭南邓氏内科流派传承人，师承邱仕君教授、刘小斌教授、周福生教授，广东省第二批名中医学术继承人。,高,疑难重症,重症,重症肌无力、萎缩性胃炎、肠易激综合征、消化道溃疡、脂肪肝等。,中华中医药学会中医基础理论分会委员、中华医学会医史学分会委员、广东省中医药学会岭南医学专委会秘书，中医药非遗传承保护专委会常务委员。,重症肌无力、萎缩性胃炎、肠易激综合征、消化道溃疡、脂肪肝等。,陈坚雄，中医学博士，中西医结合博士后出站，主治医师。 岭南邓氏内科流派传承人，师承邱仕君教授、刘小斌教授、周福生教授，广东省第二批名中医学术继承人。 中华中医药学会中医基础理论分会委员、中华医学会医史学分会委员、广东省中医药学会岭南医学专委会秘书，中医药非遗传承保护专委会常务委员。 主编《国医大师邓铁涛学说探讨与临证》《周福生中医学验传薪》等10余种论著。 擅长：重症肌无力、萎缩性胃炎、肠易激综合征、消化道溃疡、脂肪肝等。,医院官网,https://www.gztcm.com.cn/jibingke/kszj/1hk61r27t215c.shtml,https://www.gztcm.com.cn/jibingke/kszj/resource/d6eb9cb887dbb0121798e21825134f78.jpg,01_试点医院/广州中医药大学第一附属医院/照片/陈坚雄-肌病科-主治医师-广州中医药大学第一附属医院.jpg,https://www.gztcm.com.cn/ksjs/ + https://www.gztcm.com.cn/myzl/myhc/,官网9类70科室树+名医荟萃+CMS详情ID去重+UTF-8详情DOM+本人职业照,2026-08-15,200,否,,待人工复核
7,广州中医药大学第一附属医院,江其龙,肌病科,肌病科,副主任医师、博士、硕士,博士，副主任医师，硕士研究生导师；江其龙，博士，副主任医师，硕士研究生导师。,高,疑难重症,重症、急危重,主要从事内科急危重症救治及重症肌无力的临床和基础研究。,江其龙，博士，副主任医师，硕士研究生导师。 广州中医药大学第一附属医院“菁英人才”，第七批全国老中医药专家学术继承人。 主要从事内科急危重症救治及重症肌无力的临床和基础研究。 主持国家自然科学基金、国家重点研发计划中医药现代化专项课题子项目、广东省中医局科研项目、广州中医药大学第一附属医院创新强院青年科研基金等多项。,主要从事内科急危重症救治及重症肌无力的临床和基础研究。,江其龙，博士，副主任医师，硕士研究生导师。 广州中医药大学第一附属医院“菁英人才”，第七批全国老中医药专家学术继承人。 主要从事内科急危重症救治及重症肌无力的临床和基础研究。 主持国家自然科学基金、国家重点研发计划中医药现代化专项课题子项目、广东省中医局科研项目、广州中医药大学第一附属医院创新强院青年科研基金等多项。 发表SCI及中文核心期刊学术论文10余篇。 获得软件著作专利登记2项，实用发明专利1项。,医院官网,https://www.gztcm.com.cn/jibingke/kszj/1hk61olqelt32.shtml,https://www.gztcm.com.cn/jibingke/kszj/resource/264e0dc2192b73a81adcb12af18fcc94.jpg,01_试点医院/广州中医药大学第一附属医院/照片/江其龙-肌病科-副主任医师-广州中医药大学第一附属医院.jpg,https://www.gztcm.com.cn/ksjs/ + https://www.gztcm.com.cn/myzl/myhc/,官网9类70科室树+名医荟萃+CMS详情ID去重+UTF-8详情DOM+本人职业照,2026-08-15,200,否,,待人工复核
8,广州中医药大学第一附属医院,邱仕君,肌病科,肌病科,教授、副主任,教授，全国老中医药专家邓铁涛教授学术继承人；邱仕君，教授，全国老中医药专家邓铁涛教授学术继承人。 广东省中医药学会药膳食疗专业委员会副主任委员。,高,慢性病、疑难重症,高血压、冠心病、重症,长期从事中医各家学说及老中医学术经验的整理研究及运用中医药治疗高血压、冠心病、重症肌无力等疾病的研究。,原广州中医药大学研究生处处长，全国中医药学位与研究生教育研究会副理事长，广东省学位与研究生教育学会第五届理事会常务理事。 广东省中医药学会药膳食疗专业委员会副主任委员。 1997 年获国家中医药管理局中医药基础研究二等奖，1998 年获广东省科委科技进步三等奖。 参加《中医近代史》研究获2002 年度广东省科技进步二等奖。,长期从事中医各家学说及老中医学术经验的整理研究及运用中医药治疗高血压、冠心病、重症肌无力等疾病的研究。,邱仕君，教授，全国老中医药专家邓铁涛教授学术继承人。 原广州中医药大学研究生处处长，全国中医药学位与研究生教育研究会副理事长，广东省学位与研究生教育学会第五届理事会常务理事。 广东省中医药学会药膳食疗专业委员会副主任委员。 长期从事中医各家学说及老中医学术经验的整理研究及运用中医药治疗高血压、冠心病、重症肌无力等疾病的研究。 先后参加《邓铁涛医学文集》、《邓铁涛学术思想研究》等书的编写。 1997 年获国家中医药管理局中医药基础研究二等奖，1998 年获广东省科委科技进步三等奖。 参加《中医近代史》研究获2002 年度广东省科技进步二等奖。,医院官网,https://www.gztcm.com.cn/jibingke/kszj/1hk61mrqsg0a6.shtml,https://www.gztcm.com.cn/jibingke/kszj/resource/8d280739e4c3f00474584b78f1f567be.jpg,01_试点医院/广州中医药大学第一附属医院/照片/邱仕君-肌病科-教授-广州中医药大学第一附属医院.jpg,https://www.gztcm.com.cn/ksjs/ + https://www.gztcm.com.cn/myzl/myhc/,官网9类70科室树+名医荟萃+CMS详情ID去重+UTF-8详情DOM+本人职业照,2026-08-15,200,否,,待人工复核
9,广州中医药大学第一附属医院,邓中光,肌病科,肌病科,教授,广东省名中医，教授；邓中光，广东省名中医，教授。 国医大师邓铁涛教授传人、广东省名中医，首批全国名老中医药专家学术经验继承工作指导老师邓铁涛教授的学术继承人，获“全国首届中医药传承高徒奖”。,高,疑难重症,疑难、重症,临床擅长辨治内科杂病，尤其对重症肌无力、皮肌炎、硬皮病、带状疱疹、顽咳、内伤发热、手足筋络病等疑难杂症经验丰富。,国医大师邓铁涛教授传人、广东省名中医，首批全国名老中医药专家学术经验继承工作指导老师邓铁涛教授的学术继承人，获“全国首届中医药传承高徒奖”。 曾参与“脾虚型重症肌无力的辨证论治与实验研究”、“邓铁涛中医诊疗经验及学术思想整理研究”、“中医五脏相关理论的继承与创新研究”等国家级、省部级课题，多次获得省部级以上科研奖励。 2010年承担国家中医药管理局“国医大师邓铁涛传承工作室建设”项目工作。 发表论文30多篇，参编医著10余部。,临床擅长辨治内科杂病，尤其对重症肌无力、皮肌炎、硬皮病、带状疱疹、顽咳、内伤发热、手足筋络病等疑难杂症经验丰富。,邓中光，广东省名中医，教授。 国医大师邓铁涛教授传人、广东省名中医，首批全国名老中医药专家学术经验继承工作指导老师邓铁涛教授的学术继承人，获“全国首届中医药传承高徒奖”。 曾参与“脾虚型重症肌无力的辨证论治与实验研究”、“邓铁涛中医诊疗经验及学术思想整理研究”、“中医五脏相关理论的继承与创新研究”等国家级、省部级课题，多次获得省部级以上科研奖励。 2010年承担国家中医药管理局“国医大师邓铁涛传承工作室建设”项目工作。 发表论文30多篇，参编医著10余部。 临床擅长辨治内科杂病，尤其对重症肌无力、皮肌炎、硬皮病、带状疱疹、顽咳、内伤发热、手足筋络病等疑难杂症经验丰富。,医院官网,https://www.gztcm.com.cn/jibingke/kszj/1hk6159tbrv2n.shtml,https://www.gztcm.com.cn/jibingke/kszj/resource/39bd93cd0eab858dcdfbba69bdee3ed7.jpg,01_试点医院/广州中医药大学第一附属医院/照片/邓中光-肌病科-教授-广州中医药大学第一附属医院.jpg,https://www.gztcm.com.cn/ksjs/ + https://www.gztcm.com.cn/myzl/myhc/,官网9类70科室树+名医荟萃+CMS详情ID去重+UTF-8详情DOM+本人职业照,2026-08-15,200,否,,待人工复核
10,广州中医药大学第一附属医院,张子敬,胃肠外科、结直肠外科,胃肠外科、结直肠外科,主治医师、医学硕士,主治医师，医学硕士,高,慢性病、肿瘤,代谢、肿瘤、癌、胃癌、肠癌,微创腹腔镜治疗结直肠癌、胃癌、甲状腺癌、腹股沟疝疾病,【学术任职】中国民族医药学会外科分会理事 广东省中医药学会外科专业委员会 委员 广东省中西医结合学会普通外科专业委员会 委员 广东省中西医结合学会普通外科微创专业委员会 青年委员 广东省健康管理学会胃肠病学专业 委员会 委员 广东省临床医学学会消化肿瘤综合治疗青年专业委员会 委员 广东省医学会减重代谢外科分会青年委员会 委员 广州市抗癌协会胃癌专业委员会 委员,微创腹腔镜治疗结直肠癌、胃癌、甲状腺癌、腹股沟疝疾病,【学术任职】中国民族医药学会外科分会理事 广东省中医药学会外科专业委员会 委员 广东省中西医结合学会普通外科专业委员会 委员 广东省中西医结合学会普通外科微创专业委员会 青年委员 广东省健康管理学会胃肠病学专业 委员会 委员 广东省临床医学学会消化肿瘤综合治疗青年专业委员会 委员 广东省医学会减重代谢外科分会青年委员会 委员 广州市抗癌协会胃癌专业委员会 委员,医院官网,https://www.gztcm.com.cn/weichang/kszj/1iganmbh5a9t8.shtml,https://www.gztcm.com.cn/weichang/kszj/resource/35861d679b082baed841185c5f2e5c2e.jpg,01_试点医院/广州中医药大学第一附属医院/照片/张子敬-胃肠外科、结直肠外科-主治医师-广州中医药大学第一附属医院.jpg,https://www.gztcm.com.cn/ksjs/ + https://www.gztcm.com.cn/myzl/myhc/,官网9类70科室树+名医荟萃+CMS详情ID去重+UTF-8详情DOM+本人职业照,2026-08-15,200,否,,待人工复核
