ID,姓名,来源链接,状态,失败分类,分类状态,API category,API keshi_ids,API image 字段原值,照片链接,照片文件,实际格式,字节数,SHA-256,宽,高,来源批次,错误证据
195,李江,https://www.gykqyy.com/list.html?category=55&id=195,实采,,FINAL,55,19,https://www.gykqyy.com/uploads/20240710/668ba01bea0b1840f1a4770078a74e74.jpg,https://www.gykqyy.com/uploads/20240710/668ba01bea0b1840f1a4770078a74e74.jpg,01_试点医院/广州医科大学附属口腔医院/照片/李江-越秀院区口腔修复科-主任医师-广州医科大学附属口腔医院.jpg,jpg,479630,e18df6c7804c42c015073d05e0fef8822e5469e36ace36ccc2ddfc1b5c1ad948,2269,2934,TRIAL_REUSE,
136,张清彬,https://www.gykqyy.com/list.html?category=55&id=136,实采,,FINAL,55,"15,30",https://www.gykqyy.com/uploads/20240710/20ba379d57fa3bd13a8229dc6894e3e1.jpg,https://www.gykqyy.com/uploads/20240710/20ba379d57fa3bd13a8229dc6894e3e1.jpg,01_试点医院/广州医科大学附属口腔医院/照片/张清彬-荔湾院区颞下颌关节科-主任医师-广州医科大学附属口腔医院.jpg,jpg,561160,fa52e14c6ac2ffed974bd22b90056adf9757d2eb999b1f421ad54be79bc92a7d,2443,3309,TRIAL_REUSE,
80,江千舟,https://www.gykqyy.com/list.html?category=55&id=80,实采,,FINAL,55,10,https://www.gykqyy.com/uploads/20240710/e7ed6ebd9d63938be385830baf1755b7.jpg,https://www.gykqyy.com/uploads/20240710/e7ed6ebd9d63938be385830baf1755b7.jpg,01_试点医院/广州医科大学附属口腔医院/照片/江千舟-荔湾院区牙体牙髓科-主任医师-广州医科大学附属口腔医院.jpg,jpg,575788,a0d9584bffefa19074d4e23bc0b2ab71c734bb6cfc8d3bb92f7865b5f5df2bd2,2473,3510,TRIAL_REUSE,
196,郭吕华,https://www.gykqyy.com/list.html?category=55&id=196,实采,,FINAL,55,19,https://www.gykqyy.com/uploads/20240710/5a52c91de206a5abb80e9ec555fbade5.jpg,https://www.gykqyy.com/uploads/20240710/5a52c91de206a5abb80e9ec555fbade5.jpg,01_试点医院/广州医科大学附属口腔医院/照片/郭吕华-越秀院区口腔修复科-主任医师-广州医科大学附属口腔医院.jpg,jpg,580308,c937a01c05b8cfadfeafd75f9f5126be56ec1e0fa5a8315a817fb5aeddd9fdc9,2629,3483,FULL_FETCH,
51,朴正国,https://www.gykqyy.com/list.html?category=55&id=51,实采,,FINAL,55,"6,17",https://www.gykqyy.com/uploads/20240724/8ab8956fe055a83048786457946f8ce5.jpg,https://www.gykqyy.com/uploads/20240724/8ab8956fe055a83048786457946f8ce5.jpg,01_试点医院/广州医科大学附属口腔医院/照片/朴正国-荔湾院区口腔颌面外科-主任医师-广州医科大学附属口腔医院.png,png,188668,b67aed236e0c35cbfe7692048f40179da2ac44fc5d470472c0b64326c6720b6b,315,422,TRIAL_REUSE,
70,吴哲,https://www.gykqyy.com/list.html?category=55&id=70,实采,,FINAL,55,"8,19",https://www.gykqyy.com/uploads/20241006/b701022e9bb49edc26e6020bee70ead6.png,https://www.gykqyy.com/uploads/20241006/b701022e9bb49edc26e6020bee70ead6.png,01_试点医院/广州医科大学附属口腔医院/照片/吴哲-荔湾院区口腔修复科-主任医师-广州医科大学附属口腔医院.png,png,437108,737c505280a8134e90364ef38b6624e7d1c7fd56cbb80cff25c8b3f5af1de3a6,800,1216,FULL_FETCH,
110,刘畅,https://www.gykqyy.com/list.html?category=55&id=110,实采,,FINAL,55,13,https://www.gykqyy.com/uploads/20241006/93906ddf0b2422cd529d330ca1be7e8a.jpg,https://www.gykqyy.com/uploads/20241006/93906ddf0b2422cd529d330ca1be7e8a.jpg,01_试点医院/广州医科大学附属口腔医院/照片/刘畅-荔湾院区口腔正畸科-主任医师-广州医科大学附属口腔医院.jpg,jpg,499274,f817cb3113f919a7d4afe73ff29b0869141600ba3359714df440d521395c8e3b,1692,2572,TRIAL_REUSE,
240,申玉芹,https://www.gykqyy.com/list.html?category=55&id=240,实采,,FINAL,55,"21,11,39",https://www.gykqyy.com/uploads/20240710/1211ddf5de26d838a830ba1f64f184eb.jpg,https://www.gykqyy.com/uploads/20240710/1211ddf5de26d838a830ba1f64f184eb.jpg,01_试点医院/广州医科大学附属口腔医院/照片/申玉芹-荔湾院区牙周病科-主任医师-广州医科大学附属口腔医院.jpg,jpg,357261,8d05dafcc6d87f36714d17497d8eb053e3038cf51ce6b8fd2a7283e357379734,2185,3035,FULL_FETCH,
210,杨雪超,https://www.gykqyy.com/list.html?category=55&id=210,实采,,FINAL,55,"20,39",https://www.gykqyy.com/uploads/20240710/593b3604d841e44b19f77afe41f689c0.jpg,https://www.gykqyy.com/uploads/20240710/593b3604d841e44b19f77afe41f689c0.jpg,01_试点医院/广州医科大学附属口腔医院/照片/杨雪超-越秀院区牙体牙髓科-主任医师-广州医科大学附属口腔医院.jpg,jpg,857347,2975fa3e78589f945f63e7346e73585edaec471d8653c4f5f8406668be29e5a9,3006,3817,FULL_FETCH,
123,王丽萍,https://www.gykqyy.com/list.html?category=55&id=123,实采,,FINAL,55,"14,23",https://www.gykqyy.com/uploads/20240710/153f296e8ee8849e6a9aa165b9227ff1.jpg,https://www.gykqyy.com/uploads/20240710/153f296e8ee8849e6a9aa165b9227ff1.jpg,01_试点医院/广州医科大学附属口腔医院/照片/王丽萍-荔湾院区口腔种植科-主任医师-广州医科大学附属口腔医院.jpg,jpg,456015,2d83cef8c616ab2ccc2c7962e242e34ad758d9e84113510dc344e327a43034c8,2322,3111,FULL_FETCH,
