id,name,department,api_keshi_ids,api_keshi,primary_title,title_level,source_link,api_url,api_category,api_image_field_value,photo_url,filename,disk_path,bytes,sha256,width,height,content_type,extension,photo_status,photo_final_url,photo_attempts
195,李江,越秀院区口腔修复科,19,越秀院区口腔修复科,主任医师,正高,https://www.gykqyy.com/list.html?category=55&id=195,https://www.gykqyy.com/api/article/getZhuanjiaList?category=55,55,https://www.gykqyy.com/uploads/20240710/668ba01bea0b1840f1a4770078a74e74.jpg,https://www.gykqyy.com/uploads/20240710/668ba01bea0b1840f1a4770078a74e74.jpg,李江-越秀院区口腔修复科-主任医师-广州医科大学附属口腔医院.jpg,work/广州医科大学附属口腔医院_photo_backfill_trial_photos/李江-越秀院区口腔修复科-主任医师-广州医科大学附属口腔医院.jpg,479630,e18df6c7804c42c015073d05e0fef8822e5469e36ace36ccc2ddfc1b5c1ad948,2269,2934,image/jpeg,jpg,200,https://www.gykqyy.com/uploads/20240710/668ba01bea0b1840f1a4770078a74e74.jpg,"[{""attempt"":1,""utc"":""2026-08-18T19:19:59Z"",""status"":200,""content_type"":""image/jpeg"",""final_url"":""https://www.gykqyy.com/uploads/20240710/668ba01bea0b1840f1a4770078a74e74.jpg"",""bytes"":479630,""error"":""""}]"
136,张清彬,荔湾院区颞下颌关节科,"15,30",越秀院区颞下颌关节科、荔湾院区颞下颌关节科,主任医师,正高,https://www.gykqyy.com/list.html?category=55&id=136,https://www.gykqyy.com/api/article/getZhuanjiaList?category=55,55,https://www.gykqyy.com/uploads/20240710/20ba379d57fa3bd13a8229dc6894e3e1.jpg,https://www.gykqyy.com/uploads/20240710/20ba379d57fa3bd13a8229dc6894e3e1.jpg,张清彬-荔湾院区颞下颌关节科-主任医师-广州医科大学附属口腔医院.jpg,work/广州医科大学附属口腔医院_photo_backfill_trial_photos/张清彬-荔湾院区颞下颌关节科-主任医师-广州医科大学附属口腔医院.jpg,561160,fa52e14c6ac2ffed974bd22b90056adf9757d2eb999b1f421ad54be79bc92a7d,2443,3309,image/jpeg,jpg,200,https://www.gykqyy.com/uploads/20240710/20ba379d57fa3bd13a8229dc6894e3e1.jpg,"[{""attempt"":1,""utc"":""2026-08-18T19:19:59Z"",""status"":200,""content_type"":""image/jpeg"",""final_url"":""https://www.gykqyy.com/uploads/20240710/20ba379d57fa3bd13a8229dc6894e3e1.jpg"",""bytes"":561160,""error"":""""}]"
80,江千舟,荔湾院区牙体牙髓科,10,荔湾院区牙体牙髓科,主任医师,正高,https://www.gykqyy.com/list.html?category=55&id=80,https://www.gykqyy.com/api/article/getZhuanjiaList?category=55,55,https://www.gykqyy.com/uploads/20240710/e7ed6ebd9d63938be385830baf1755b7.jpg,https://www.gykqyy.com/uploads/20240710/e7ed6ebd9d63938be385830baf1755b7.jpg,江千舟-荔湾院区牙体牙髓科-主任医师-广州医科大学附属口腔医院.jpg,work/广州医科大学附属口腔医院_photo_backfill_trial_photos/江千舟-荔湾院区牙体牙髓科-主任医师-广州医科大学附属口腔医院.jpg,575788,a0d9584bffefa19074d4e23bc0b2ab71c734bb6cfc8d3bb92f7865b5f5df2bd2,2473,3510,image/jpeg,jpg,200,https://www.gykqyy.com/uploads/20240710/e7ed6ebd9d63938be385830baf1755b7.jpg,"[{""attempt"":1,""utc"":""2026-08-18T19:20:00Z"",""status"":200,""content_type"":""image/jpeg"",""final_url"":""https://www.gykqyy.com/uploads/20240710/e7ed6ebd9d63938be385830baf1755b7.jpg"",""bytes"":575788,""error"":""""}]"
51,朴正国,荔湾院区口腔颌面外科,"6,17",荔湾院区口腔颌面外科、越秀院区口腔颌面外科,主任医师,正高,https://www.gykqyy.com/list.html?category=55&id=51,https://www.gykqyy.com/api/article/getZhuanjiaList?category=55,55,https://www.gykqyy.com/uploads/20240724/8ab8956fe055a83048786457946f8ce5.jpg,https://www.gykqyy.com/uploads/20240724/8ab8956fe055a83048786457946f8ce5.jpg,朴正国-荔湾院区口腔颌面外科-主任医师-广州医科大学附属口腔医院.png,work/广州医科大学附属口腔医院_photo_backfill_trial_photos/朴正国-荔湾院区口腔颌面外科-主任医师-广州医科大学附属口腔医院.png,188668,b67aed236e0c35cbfe7692048f40179da2ac44fc5d470472c0b64326c6720b6b,315,422,image/jpeg,png,200,https://www.gykqyy.com/uploads/20240724/8ab8956fe055a83048786457946f8ce5.jpg,"[{""attempt"":1,""utc"":""2026-08-18T19:20:00Z"",""status"":200,""content_type"":""image/jpeg"",""final_url"":""https://www.gykqyy.com/uploads/20240724/8ab8956fe055a83048786457946f8ce5.jpg"",""bytes"":188668,""error"":""""}]"
110,刘畅,荔湾院区口腔正畸科,13,荔湾院区口腔正畸科,主任医师,正高,https://www.gykqyy.com/list.html?category=55&id=110,https://www.gykqyy.com/api/article/getZhuanjiaList?category=55,55,https://www.gykqyy.com/uploads/20241006/93906ddf0b2422cd529d330ca1be7e8a.jpg,https://www.gykqyy.com/uploads/20241006/93906ddf0b2422cd529d330ca1be7e8a.jpg,刘畅-荔湾院区口腔正畸科-主任医师-广州医科大学附属口腔医院.jpg,work/广州医科大学附属口腔医院_photo_backfill_trial_photos/刘畅-荔湾院区口腔正畸科-主任医师-广州医科大学附属口腔医院.jpg,499274,f817cb3113f919a7d4afe73ff29b0869141600ba3359714df440d521395c8e3b,1692,2572,image/jpeg,jpg,200,https://www.gykqyy.com/uploads/20241006/93906ddf0b2422cd529d330ca1be7e8a.jpg,"[{""attempt"":1,""utc"":""2026-08-18T19:20:00Z"",""status"":200,""content_type"":""image/jpeg"",""final_url"":""https://www.gykqyy.com/uploads/20241006/93906ddf0b2422cd529d330ca1be7e8a.jpg"",""bytes"":499274,""error"":""""}]"
152,张云燕,越秀院区儿童口腔科,16,越秀院区儿童口腔科,副主任医师,副高,https://www.gykqyy.com/list.html?category=55&id=152,https://www.gykqyy.com/api/article/getZhuanjiaList?category=55,55,https://www.gykqyy.com/uploads/20240724/29a5b13779b11fa076c6f0031f905616.jpg,https://www.gykqyy.com/uploads/20240724/29a5b13779b11fa076c6f0031f905616.jpg,张云燕-越秀院区儿童口腔科-副主任医师-广州医科大学附属口腔医院.png,work/广州医科大学附属口腔医院_photo_backfill_trial_photos/张云燕-越秀院区儿童口腔科-副主任医师-广州医科大学附属口腔医院.png,1081247,47fd7198aa3a8b98703a7bc6293273e0a4acc4776ece6e01025a6850f4ab95b9,697,924,image/jpeg,png,200,https://www.gykqyy.com/uploads/20240724/29a5b13779b11fa076c6f0031f905616.jpg,"[{""attempt"":1,""utc"":""2026-08-18T19:20:01Z"",""status"":200,""content_type"":""image/jpeg"",""final_url"":""https://www.gykqyy.com/uploads/20240724/29a5b13779b11fa076c6f0031f905616.jpg"",""bytes"":1081247,""error"":""""}]"
5,杜发亮,专家门诊特诊中心,"39,37",全科口腔中心、专家门诊特诊中心,副主任医师,副高,https://www.gykqyy.com/list.html?category=55&id=5,https://www.gykqyy.com/api/article/getZhuanjiaList?category=55,55,https://www.gykqyy.com/uploads/20240710/e166fb7560d199891d941a0e882c8925.jpg,https://www.gykqyy.com/uploads/20240710/e166fb7560d199891d941a0e882c8925.jpg,杜发亮-专家门诊特诊中心-副主任医师-广州医科大学附属口腔医院.jpg,work/广州医科大学附属口腔医院_photo_backfill_trial_photos/杜发亮-专家门诊特诊中心-副主任医师-广州医科大学附属口腔医院.jpg,465186,0070688121eb59065f534bfc6d00b687a8a3e113dd11cee72e4319a54029a157,2481,3430,image/jpeg,jpg,200,https://www.gykqyy.com/uploads/20240710/e166fb7560d199891d941a0e882c8925.jpg,"[{""attempt"":1,""utc"":""2026-08-18T19:20:01Z"",""status"":200,""content_type"":""image/jpeg"",""final_url"":""https://www.gykqyy.com/uploads/20240710/e166fb7560d199891d941a0e882c8925.jpg"",""bytes"":465186,""error"":""""}]"
241,余挺,越秀院区牙周病科,21,越秀院区牙周病科,副主任医师,副高,https://www.gykqyy.com/list.html?category=55&id=241,https://www.gykqyy.com/api/article/getZhuanjiaList?category=55,55,https://www.gykqyy.com/uploads/20240710/2499360d61fd7ab79c766c2ab46bba16.jpg,https://www.gykqyy.com/uploads/20240710/2499360d61fd7ab79c766c2ab46bba16.jpg,余挺-越秀院区牙周病科-副主任医师-广州医科大学附属口腔医院.jpg,work/广州医科大学附属口腔医院_photo_backfill_trial_photos/余挺-越秀院区牙周病科-副主任医师-广州医科大学附属口腔医院.jpg,516522,900888f6dab3f91e374b18c0f8d17ff0ea574162347238e6be303d1dbac403f2,2336,3213,image/jpeg,jpg,200,https://www.gykqyy.com/uploads/20240710/2499360d61fd7ab79c766c2ab46bba16.jpg,"[{""attempt"":1,""utc"":""2026-08-18T19:20:01Z"",""status"":200,""content_type"":""image/jpeg"",""final_url"":""https://www.gykqyy.com/uploads/20240710/2499360d61fd7ab79c766c2ab46bba16.jpg"",""bytes"":516522,""error"":""""}]"
287,熊洁,荔湾院区综合急诊科,"24,27",便民口腔诊疗中心、荔湾院区综合急诊科,副主任医师,副高,https://www.gykqyy.com/list.html?category=55&id=287,https://www.gykqyy.com/api/article/getZhuanjiaList?category=55,55,https://www.gykqyy.com/uploads/20240710/a0ede84b83d0b74d17a4387157281ac2.jpg,https://www.gykqyy.com/uploads/20240710/a0ede84b83d0b74d17a4387157281ac2.jpg,熊洁-荔湾院区综合急诊科-副主任医师-广州医科大学附属口腔医院.jpg,work/广州医科大学附属口腔医院_photo_backfill_trial_photos/熊洁-荔湾院区综合急诊科-副主任医师-广州医科大学附属口腔医院.jpg,459206,d117442150125669cfd69bb6539bff146d57e8a4eca8c8e02b97a2d11c6cabfe,2192,3150,image/jpeg,jpg,200,https://www.gykqyy.com/uploads/20240710/a0ede84b83d0b74d17a4387157281ac2.jpg,"[{""attempt"":1,""utc"":""2026-08-18T19:20:02Z"",""status"":200,""content_type"":""image/jpeg"",""final_url"":""https://www.gykqyy.com/uploads/20240710/a0ede84b83d0b74d17a4387157281ac2.jpg"",""bytes"":459206,""error"":""""}]"
258,张斌,正畸与儿童口腔中心,38,正畸与儿童口腔中心,副主任医师,副高,https://www.gykqyy.com/list.html?category=55&id=258,https://www.gykqyy.com/api/article/getZhuanjiaList?category=55,55,https://www.gykqyy.com/uploads/20240710/d18943fa04bfd0aeb06e59900d829753.jpg,https://www.gykqyy.com/uploads/20240710/d18943fa04bfd0aeb06e59900d829753.jpg,张斌-正畸与儿童口腔中心-副主任医师-广州医科大学附属口腔医院.jpg,work/广州医科大学附属口腔医院_photo_backfill_trial_photos/张斌-正畸与儿童口腔中心-副主任医师-广州医科大学附属口腔医院.jpg,473078,8b95af93cb573a2f88a634470e6a2c6c148cfc2696c557ee642ca8dfa1d672f3,2386,3210,image/jpeg,jpg,200,https://www.gykqyy.com/uploads/20240710/d18943fa04bfd0aeb06e59900d829753.jpg,"[{""attempt"":1,""utc"":""2026-08-18T19:20:02Z"",""status"":200,""content_type"":""image/jpeg"",""final_url"":""https://www.gykqyy.com/uploads/20240710/d18943fa04bfd0aeb06e59900d829753.jpg"",""bytes"":473078,""error"":""""}]"
