序号,医院,姓名,科室_分类页,科室_列表卡片,职称_关键词,职称身份原文,重点优先级,重点关注范围,重点疾病标签,擅长诊疗方向摘录,亮眼经历线索,列表简介,详情正文摘录,来源类型,来源链接,采集入口,采集方式,采集日期,详情页状态,已建画像,异常提示,复核状态
1,广州医科大学附属口腔医院,李江,越秀院区口腔修复科,越秀院区口腔修复科,主任医师、教授,教授/主任医师,高,疑难重症,疑难、复杂,"口腔修复、种植领域的各种疑难杂症,包括咬合重建、美学修复、数字化修复、复杂全口义齿修复等",博士，教授，主任医师，博士研究生导师，广州医科大学附属口腔医院院长； 曾教育部公派留学德国，广东省口腔组织修复与重建工程中心负责人、广东省临床重点专科建设项目（口腔修复专业）负责人、广州市口腔修复与内科学重点学科负责人、国际牙医师学院院士(FELLOW)； 现任中华口腔医学会理事、中国医师协会口腔医师分会委员、中华口腔医学会口腔修复专委会常委、中国医院协会口腔分会常委等，广州市高层次人才杰出专家； 主持国家重点研发专项等各级各类项目22项，发表SCI文章30余篇，获国家发明专利2项。,"口腔修复、种植领域的各种疑难杂症,包括咬合重建、美学修复、数字化修复、复杂全口义齿修复等",博士，教授，主任医师，博士研究生导师，广州医科大学附属口腔医院院长；曾教育部公派留学德国，广东省口腔组织修复与重建工程中心负责人、广东省临床重点专科建设项目（口腔修复专业）负责人、广州市口腔修复与内科学重点学科负责人、国际牙医师学院院士(FELLOW)；现任中华口腔医学会理事、中国医师协会口腔医师分会委员、中华口腔医学会口腔修复专委会常委、中国医院协会口腔分会常委等，广州市高层次人才杰出专家；主持国家重点研发专项等各级各类项目22项，发表SCI文章30余篇，获国家发明专利2项。 擅长：口腔修复、种植领域的各种疑难杂症，包括咬合重建、美学修复、数字化修复、复杂全口义齿修复等。,医院官网,https://www.gykqyy.com/list.html?category=55&id=195,https://www.gykqyy.com/list.html?category=55,官网页面公开同域目录接口+官网页面公开同域详情接口,2026-08-13,200,否,,待人工复核
2,广州医科大学附属口腔医院,张清彬,荔湾院区颞下颌关节科、越秀院区颞下颌关节科,越秀院区颞下颌关节科、荔湾院区颞下颌关节科,主任医师、教授,教授/主任医师,中,,,颞下颌关节疾病的“序列治疗”，三叉神经痛及非典型面痛的“微创梯度”治疗。,博士，教授，主任医师，博士研究生导师，广州医科大学附属口腔医院党委书记； 国家卫健委技术推广服务专家、国家自然科学基金评审专家、教育部学位中心学位论文质量评审专家，中华口腔医学会全科口腔专委会常委、中华口腔医学会颞下颌关节病学及牙合学专委会常委、广东省精准医学应用学会咬合与颞下颌疾病分会首任主委、广东省医院协会口腔数字化材料专委会副主委、广东省口腔医师医学会副会长、广州市医师协会副会长等； 先后主持国家重点研发计划（子课题）、国家自然科学基金、广东省自然科学基金、广州市科技计划重点研发项目等纵向课题20余项，主编教材及专著6部； 以第一作者或通讯作者发表文章70余篇，其中SCI收录27篇，担任《Cell proliferation》《华西口腔医学杂志》《中华老年口腔医学杂志》《中华口腔医学杂志》（电子版）《口腔疾病防治》《国际口腔医学杂志》等杂志审稿专家。,颞下颌关节疾病的“序列治疗”，三叉神经痛及非典型面痛的“微创梯度”治疗。,博士，教授，主任医师，博士研究生导师，广州医科大学附属口腔医院党委书记； 曾参加中国医疗队支援非洲，博士后先后出站于首尔国立大学和解放军总医院；国家卫健委技术推广服务专家、国家自然科学基金评审专家、教育部学位中心学位论文质量评审专家，中华口腔医学会全科口腔专委会常委、中华口腔医学会颞下颌关节病学及牙合学专委会常委、广东省精准医学应用学会咬合与颞下颌疾病分会首任主委、广东省医院协会口腔数字化材料专委会副主委、广东省口腔医师医学会副会长、广州市医师协会副会长等；先后主持国家重点研发计划（子课题）、国家自然科学基金、广东省自然科学基金、广州市科技计划重点研发项目等纵向课题20余项，主编教材及专著6部；以第一作者或通讯作者发表文章70余篇，其中SCI收录27篇，担任《Cell proliferation》《华西口腔医学杂志》《中华老年口腔医学杂志》《中华口腔医学杂志》（电子版）《口腔疾病防治》《国际口腔医学杂志》等杂志审稿专家。入选广州市卫健委优秀人才和广州市高层次医学重点人才，先后荣获第二届“广东医师奖”、“广东省精准医学科技创新二等奖”、获评“首届广州最美医师”、“岭南名医录”等多项荣誉称号。 擅长： 颞下颌关节疾病的“序列治疗”，三叉神经痛及非典型面痛的“微创梯度”治疗。,医院官网,https://www.gykqyy.com/list.html?category=55&id=136,https://www.gykqyy.com/list.html?category=55,官网页面公开同域目录接口+官网页面公开同域详情接口,2026-08-13,200,否,,待人工复核
3,广州医科大学附属口腔医院,江千舟,荔湾院区牙体牙髓科,荔湾院区牙体牙髓科,主任医师、教授,教授/主任医师,高,疑难重症,疑难,牙体牙髓相关疑难疾病的诊断与治疗,博士，教授，主任医师，博士研究生导师，广医口腔名医，广州医科大学附属口腔医院副院长； 广东省临床重点专科建设项目（牙体牙髓病专业）负责人， 中华口腔医学会牙体牙髓专业委员会常委、中华口腔医学会老年口腔专业委员会常委、广东省口腔医学会口腔教育专委会副主任委员、广东省口腔医学会牙体牙髓专业委员会副主任委员、广东省女医师协会口腔分会副主任委员、广东省口腔医师协会理事； 曾赴瑞典、美国、韩国研修，主持国家自然科学基金等国家和省市级课题多项，发表百余篇专业论文(其中SCI收录论文数十篇)。 擅长：牙体牙髓相关疑难疾病的诊断与治疗。,牙体牙髓相关疑难疾病的诊断与治疗,博士，教授，主任医师，博士研究生导师，广医口腔名医，广州医科大学附属口腔医院副院长； 广东省临床重点专科建设项目（牙体牙髓病专业）负责人， 中华口腔医学会牙体牙髓专业委员会常委、中华口腔医学会老年口腔专业委员会常委、广东省口腔医学会口腔教育专委会副主任委员、广东省口腔医学会牙体牙髓专业委员会副主任委员、广东省女医师协会口腔分会副主任委员、广东省口腔医师协会理事；曾赴瑞典、美国、韩国研修，主持国家自然科学基金等国家和省市级课题多项，发表百余篇专业论文(其中SCI收录论文数十篇)。 擅长：牙体牙髓相关疑难疾病的诊断与治疗。,医院官网,https://www.gykqyy.com/list.html?category=55&id=80,https://www.gykqyy.com/list.html?category=55,官网页面公开同域目录接口+官网页面公开同域详情接口,2026-08-13,200,否,,待人工复核
4,广州医科大学附属口腔医院,朴正国,荔湾院区口腔颌面外科、越秀院区口腔颌面外科,荔湾院区口腔颌面外科、越秀院区口腔颌面外科,主任医师、教授,教授/主任医师,中,,,口腔颌面外科的先天及后天畸形(正颌外科、面部轮廓手术、颌面创伤后畸形、唇腭裂)的诊治，颌面部的医学整形及美容手术、微整形,博士，教授，主任医师，硕士研究生导师，广医口腔名医，口腔颌面外科学科主任； 广东省口腔医学会口腔颌面外科专委会副主任委员、广东省医学美容学会口腔医学会副会长、广东省整形美容协会口腔整形美容分会常委、广州市医学会医学美学与美容学分会副主任委员。,口腔颌面外科的先天及后天畸形(正颌外科、面部轮廓手术、颌面创伤后畸形、唇腭裂)的诊治，颌面部的医学整形及美容手术、微整形,博士，教授，主任医师，硕士研究生导师，广医口腔名医，口腔颌面外科学科主任；广东省口腔医学会口腔颌面外科专委会副主任委员、广东省医学美容学会口腔医学会副会长、广东省整形美容协会口腔整形美容分会常委、广州市医学会医学美学与美容学分会副主任委员。 擅长：口腔颌面外科的先天及后天畸形(正颌外科、面部轮廓手术、颌面创伤后畸形、唇腭裂)的诊治，颌面部的医学整形及美容手术、微整形。,医院官网,https://www.gykqyy.com/list.html?category=55&id=51,https://www.gykqyy.com/list.html?category=55,官网页面公开同域目录接口+官网页面公开同域详情接口,2026-08-13,200,否,,待人工复核
5,广州医科大学附属口腔医院,吴哲,荔湾院区口腔修复科、越秀院区口腔修复科,荔湾院区口腔修复科、越秀院区口腔修复科,主任医师、教授,教授/主任医师,高,疑难重症,复杂、多学科,牙齿缺损的微创修复、牙列缺损种植义齿修复，全程数字化前牙美学修复以及复杂的多学科咬合重建修复，全口牙齿缺失的生物功能性活动义齿修复(BPS),博士，教授，主任医师，硕士研究生导师，广医口腔名医，口腔修复学科主任； 美国纽约州立大学牙医学院访问学者，中 华口腔医学会口腔修复专委会常委、中华口腔医学会口腔美学专委会常委， 国家自然科学基金项目评审专家 ； 主持国家自然科学基金等多项国家及省市级科研项目； 曾获吉林省科技进步奖（第一完成人），公开发表学术论文50余篇，获得国家发明专利2项；,牙齿缺损的微创修复、牙列缺损种植义齿修复，全程数字化前牙美学修复以及复杂的多学科咬合重建修复，全口牙齿缺失的生物功能性活动义齿修复(BPS),博士，教授，主任医师，硕士研究生导师，广医口腔名医，口腔修复学科主任； 美国纽约州立大学牙医学院访问学者，中 华口腔医学会口腔修复专委会常委、中华口腔医学会口腔美学专委会常委， 国家自然科学基金项目评审专家 ；主持国家自然科学基金等多项国家及省市级科研项目；曾获吉林省科技进步奖（第一完成人），公开发表学术论文50余篇，获得国家发明专利2项；主编人民卫生出版社《生物功能性全口义齿修复常见问题与解析》《数字化美学修复实操手册 》等专著多部。 擅长：牙齿缺损的微创修复、牙列缺损种植义齿修复，全程数字化前牙美学修复以及复杂的多学科咬合重建修复，全口牙齿缺失的生物功能性活动义齿修复(BPS)。,医院官网,https://www.gykqyy.com/list.html?category=55&id=70,https://www.gykqyy.com/list.html?category=55,官网页面公开同域目录接口+官网页面公开同域详情接口,2026-08-13,200,否,,待人工复核
6,广州医科大学附属口腔医院,刘畅,荔湾院区口腔正畸科,荔湾院区口腔正畸科,主任医师、教授,教授/主任医师,中,,,儿童、青少年及成人各种错殆畸形的矫治，尤其擅长青少年的矫形治疗及成人的美学治疗,博士，教授，主任医师，博士研究生导师，广医口腔名医，口腔正畸学科主任； 四川大学华西口腔医院博士后，中华口腔医学会数字化专业委员会委员、广东省正畸专委会常委； 主持多项国家及省市级课题，先后以第一作者或通讯作者在口腔领域国际权威杂志《 Journal of Dental Research 》及其他期刊发表文章多篇； 获得多项国家专利授权。,儿童、青少年及成人各种错殆畸形的矫治，尤其擅长青少年的矫形治疗及成人的美学治疗,博士，教授，主任医师，博士研究生导师，广医口腔名医，口腔正畸学科主任；四川大学华西口腔医院博士后，中华口腔医学会数字化专业委员会委员、广东省正畸专委会常委；主持多项国家及省市级课题，先后以第一作者或通讯作者在口腔领域国际权威杂志《 Journal of Dental Research 》及其他期刊发表文章多篇；获得多项国家专利授权。 擅长：儿童、青少年及成人各种错殆畸形的矫治，尤其擅长青少年的矫形治疗及成人的美学治疗。,医院官网,https://www.gykqyy.com/list.html?category=55&id=110,https://www.gykqyy.com/list.html?category=55,官网页面公开同域目录接口+官网页面公开同域详情接口,2026-08-13,200,否,,待人工复核
7,广州医科大学附属口腔医院,申玉芹,荔湾院区牙周病科、越秀院区牙周病科、专家门诊特诊中心,荔湾院区牙周病科、越秀院区牙周病科、专家门诊特诊中心,主任医师、教授,教授/主任医师,高,疑难重症,疑难、多学科、罕见,长期从事牙周疾病的治疗与研究，对伴有全身系统病患者、牙周疑难病、少见病和罕见病的治疗有丰富经验，尤其对重度牙周病的系统治疗联合治疗综合方案的设计、前牙区美学手术治疗、牙周软硬组织再生性手术等有深入研究。擅长牙周显微外科手术、牙周可视化治疗、口腔多学科联合治疗方案的设计及协同治疗,博士，教授，主任医师，博士生导师，博士后合作导师，广医口腔名医，牙周病学科主任； 中华口腔医学会牙周病学专委会常务委员，广东省口腔医学会牙周病学专业委员会副主任委员，广东省老年保健协会口腔临床医学专委会常委等； 获评2021年度“羊城好医生”； 发表论文60余篇，其中 SCI 收录30篇；,长期从事牙周疾病的治疗与研究，对伴有全身系统病患者、牙周疑难病、少见病和罕见病的治疗有丰富经验，尤其对重度牙周病的系统治疗联合治疗综合方案的设计、前牙区美学手术治疗、牙周软硬组织再生性手术等有深入研究。擅长牙周显微外科手术、牙周可视化治疗、口腔多学科联合治疗方案的设计及协同治疗,博士，教授，主任医师，博士生导师，博士后合作导师，广医口腔名医，牙周病学科主任；中华口腔医学会牙周病学专委会常务委员，广东省口腔医学会牙周病学专业委员会副主任委员，广东省老年保健协会口腔临床医学专委会常委等；获评2021年度“羊城好医生”；主持或参与国家级项目3项、省级项目18项；发表论文60余篇，其中 SCI 收录30篇；授权国家发明专利2项，实用新型专利多项 。 擅长： 重度牙周炎患者的序列化设计及治疗；咬合不适、食物嵌塞、牙齿松动等牙周个性化治疗；牙周软硬组织再生性手术；前牙美学区牙周显微外科手术；伴有全身系统疾病的牙周疑难病、少见病和罕见病治疗；牙周与口腔多学科协同治疗；牙周病患者缺失牙种植修复治疗。,医院官网,https://www.gykqyy.com/list.html?category=55&id=240,https://www.gykqyy.com/list.html?category=55,官网页面公开同域目录接口+官网页面公开同域详情接口,2026-08-13,200,否,,待人工复核
8,广州医科大学附属口腔医院,杨雪超,越秀院区牙体牙髓科、专家门诊特诊中心,越秀院区牙体牙髓科、专家门诊特诊中心,主任医师、教授,教授/主任医师,中,,,显微根管治疗、微创根尖手术、微创牙体修复等，在国际上较早将3D打印技术应用于牙体牙髓疾病治疗中,武汉大学及荷兰Radboud University双博士学位，现兼任中华口腔医学会牙体牙髓病学专业委员会委员、老年口腔专业委员会委员、中国医药生物技术协会3D打印分会常委等。 2015年遴选为“广州市医学重点人才”； 2018年遴选为首批“广东省杰出青年医学人才”。 2018年入选“岭南名医录”及“羊城好医生”， 2022年获第五届“广州最美医师”称号，2023年获广东省科技进步二等奖。,显微根管治疗、微创根尖手术、微创牙体修复等，在国际上较早将3D打印技术应用于牙体牙髓疾病治疗中,武汉大学及荷兰Radboud University双博士学位，现兼任中华口腔医学会牙体牙髓病学专业委员会委员、老年口腔专业委员会委员、中国医药生物技术协会3D打印分会常委等。2015年遴选为“广州市医学重点人才”；2018年遴选为首批“广东省杰出青年医学人才”。2018年入选“岭南名医录”及“羊城好医生”， 2022年获第五届“广州最美医师”称号，2023年获广东省科技进步二等奖。主要研究方向为牙髓炎症机制和牙体硬组织再生，主持包括国家自然科学基金在内的多项国家、省部级科研课题，先后发表科研论文70余篇，其中SCI收录39篇，授权国家发明专利4项、实用新型专利7项。主编人卫出版社《微创牙体修复技术图解》、《‍镍钛根管预备和热牙胶根管充填技术》、《‍数字化口腔临床技术图解丛书》系列。 擅长： 显微根管治疗、微创根尖手术、微创牙体修复等，在国际上较早将3D打印及数字化导航技术应用于牙体牙髓疾病治疗中，广州市特色技术“牙髄根尖周病的数字化导航治疗技术”首席专家。,医院官网,https://www.gykqyy.com/list.html?category=55&id=210,https://www.gykqyy.com/list.html?category=55,官网页面公开同域目录接口+官网页面公开同域详情接口,2026-08-13,200,否,,待人工复核
9,广州医科大学附属口腔医院,王丽萍,荔湾院区口腔种植科、越秀院区口腔种植科,荔湾院区口腔种植科、越秀院区口腔种植科,主任医师、教授,教授/主任医师,高,疑难重症,复杂,各类牙缺失的种植、美学种植修复、数字化种植、即刻种植即刻修复、各种复杂骨增量技术、内窥镜辅助下的上颌窦提升术、种植导航、基于美学与功能的无牙颌种植修复与咬合重建等多种复杂种植修复,教授，主任医师，博士研究生导师，口腔种植学科主任； 中华口腔医学会修复专委会常委、中华口腔医学会种植专委会常委，广东省口腔医学会种植专委会副主任委员、广东省临床医学会种植专委会副主任委员、 BITC 专家组成员及终身会员； 曾获广州医师奖、 “羊城好医生”等多项奖项及荣誉称号 。,各类牙缺失的种植、美学种植修复、数字化种植、即刻种植即刻修复、各种复杂骨增量技术、内窥镜辅助下的上颌窦提升术、种植导航、基于美学与功能的无牙颌种植修复与咬合重建等多种复杂种植修复,教授，主任医师，博士研究生导师，口腔种植学科主任； 中华口腔医学会修复专委会常委、中华口腔医学会种植专委会常委，广东省口腔医学会种植专委会副主任委员、广东省临床医学会种植专委会副主任委员、 BITC 专家组成员及终身会员；主编人民卫生出版社专著《骨增量种植修复临床操作图谱》；曾获广州医师奖、 “羊城好医生”等多项奖项及荣誉称号 。 擅长：各类牙缺失的种植、美学种植修复、数字化种植、即刻种植即刻修复、各种复杂骨增量技术、内窥镜辅助下的上颌窦提升术、种植导航、基于美学与功能的无牙颌种植修复与咬合重建等多种复杂种植修复。,医院官网,https://www.gykqyy.com/list.html?category=55&id=123,https://www.gykqyy.com/list.html?category=55,官网页面公开同域目录接口+官网页面公开同域详情接口,2026-08-13,200,否,,待人工复核
10,广州医科大学附属口腔医院,曾素娟,荔湾院区儿童口腔科、专家门诊特诊中心,荔湾院区儿童口腔科、专家门诊特诊中心,主任医师,主任医师,中,,,全身麻醉下儿童口腔疾病的治疗、婴幼儿龋病的综合防治、乳牙及年轻恒牙的牙髓根尖周病诊疗、儿童牙齿外伤的诊治、儿童错颌畸形的早期矫治、乳牙及多生牙的拔除等。,博士，主任医师，硕士研究生导师，广医口腔名医，儿童口腔科学科主任； 现任中华口腔医学会儿童口腔医学专业委员会常务委员，广东省口腔医学会儿童口腔医学专业委员会副主任委员，广东省口腔医学会镇静镇痛专业委员会副主任委员，广东省口腔医学会口腔预防医学专业委员会常务委员，广东省医院协会口腔数字化材料技术管理专业委员会委员，广东省医学美容学会口腔医学会常务委员，粤港澳大湾区口腔健康联盟第二届常务委员； 2015年被评为羊城明星牙医，2017年被评为第三届羊城好医生，2018年度被收录岭南名医录，荣获2019年度“广医口腔好医生”、2023年度“广医口腔名医”等荣誉称号。,全身麻醉下儿童口腔疾病的治疗、婴幼儿龋病的综合防治、乳牙及年轻恒牙的牙髓根尖周病诊疗、儿童牙齿外伤的诊治、儿童错颌畸形的早期矫治、乳牙及多生牙的拔除等。,博士，主任医师，硕士研究生导师，广医口腔名医，儿童口腔科学科主任； 1994年毕业于中南大学湘雅口腔医学院。现任中华口腔医学会儿童口腔医学专业委员会常务委员，广东省口腔医学会儿童口腔医学专业委员会副主任委员，广东省口腔医学会镇静镇痛专业委员会副主任委员，广东省口腔医学会口腔预防医学专业委员会常务委员，广东省医院协会口腔数字化材料技术管理专业委员会委员，广东省医学美容学会口腔医学会常务委员，粤港澳大湾区口腔健康联盟第二届常务委员；《实用医学杂志》审稿专家。2015年被评为羊城明星牙医，2017年被评为第三届羊城好医生，2018年度被收录岭南名医录，荣获2019年度“广医口腔好医生”、2023年度“广医口腔名医”等荣誉称号。 擅长： 全身麻醉下儿童口腔疾病的治疗、婴幼儿龋病的综合防治、乳牙及年轻恒牙的牙髓根尖周病诊疗、儿童牙齿外伤的诊治、儿童 错颌畸形 的早期矫治、乳牙及多生牙的拔除等。,医院官网,https://www.gykqyy.com/list.html?category=55&id=31,https://www.gykqyy.com/list.html?category=55,官网页面公开同域目录接口+官网页面公开同域详情接口,2026-08-13,200,否,,待人工复核
