姓名,来源链接,状态,失败三态,照片链接,照片文件,字节数,SHA-256,魔数,宽,高,引用路径风格,错误证据
钟南山,https://www.gyfyyy.cn/cn/ks/nk/hxnk/doctor_1.html,实采,,https://www.gyfyyy.cn/Upload/202112/637750146771733237.jpg,01_试点医院/广州医科大学附属第一医院/照片/钟南山-呼吸与危重症医学科-教授-广州医科大学附属第一医院.jpg,72435,b28a3690894c9010557a38b0d022fbc7ca6c0873274dd760bb34b8764dfc2eaa,FFD8FFDB0084000101010101,325,400,Upload原图,
陈荣昌,https://www.gyfyyy.cn/cn/ks/nk/hxnk/doctor_2.html,实采,,https://www.gyfyyy.cn/Upload/202410/638658854910837852.jpg,01_试点医院/广州医科大学附属第一医院/照片/陈荣昌-呼吸与危重症医学科-主任医师-广州医科大学附属第一医院.jpg,1035654,77191b846e70a7ee039d4820710c8532ba5a2cd145c927f9e865938e7f25c841,FFD8FFE11329457869660000,325,400,Upload原图,
罗远明,https://www.gyfyyy.cn/cn/ks/nk/hxnk/doctor_3.html,实采,,https://www.gyfyyy.cn/images/doctor/LUOYUANMING.jpg,01_试点医院/广州医科大学附属第一医院/照片/罗远明-呼吸与危重症医学科-主任医师-广州医科大学附属第一医院.jpg,39231,cdf1da6d359ac778f6b55fb438d188d40c920a4b2b86d1d042f909f8b6b00a45,FFD8FFDB0084000101010101,325,400,doctor原图,
李时悦,https://www.gyfyyy.cn/cn/ks/nk/hxnk/doctor_4.html,实采,,https://www.gyfyyy.cn/images/doctor/LISHIYUE.jpg,01_试点医院/广州医科大学附属第一医院/照片/李时悦-呼吸与危重症医学科-主任医师-广州医科大学附属第一医院.jpg,90456,7b13f74616819cbba876f6e8e19a19eba07fd838616a9c2240a2f8f156646180,FFD8FFDB0084000101010101,325,400,doctor原图,
黎毅敏,https://www.gyfyyy.cn/cn/ks/nk/hxnk/doctor_5.html,实采,,https://www.gyfyyy.cn/images/doctor/LIYIMIN.jpg,01_试点医院/广州医科大学附属第一医院/照片/黎毅敏-呼吸与危重症医学科-主任医师-广州医科大学附属第一医院.jpg,86245,fbc3e1f932f1992d383a328ba0d2853baffeca73bf721d7d5e417774723193ae,FFD8FFDB0084000101010101,325,400,doctor原图,
李靖,https://www.gyfyyy.cn/cn/ks/nk/btfyk/doctor_373.html,实采,,https://www.gyfyyy.cn/images/doctor/LIJING.jpg,01_试点医院/广州医科大学附属第一医院/照片/李靖-呼吸与危重症医学科-主任医师-广州医科大学附属第一医院.jpg,41020,a1a9807489bcd1fda564470199cb0baae587a95996b168a58575a13fe128eeeb,FFD8FFDB0084000101010101,325,400,doctor原图,
郑劲平,https://www.gyfyyy.cn/cn/ks/nk/hxnk/doctor_7.html,实采,,https://www.gyfyyy.cn/images/doctor/ZHENGJINPING.jpg,01_试点医院/广州医科大学附属第一医院/照片/郑劲平-呼吸与危重症医学科-主任医师-广州医科大学附属第一医院.jpg,41504,75acc0e8f6cc680b7946cf0ab5bca5827e1c0eac5469c212f6d8c2016308881a,FFD8FFDB0084000101010101,325,400,doctor原图,
郑则广,https://www.gyfyyy.cn/cn/ks/nk/hxnk/doctor_8.html,实采,,https://www.gyfyyy.cn/images/doctor/ZHENGZEGUANG.jpg,01_试点医院/广州医科大学附属第一医院/照片/郑则广-呼吸与危重症医学科-主任医师-广州医科大学附属第一医院.jpg,38123,fc0d50d0aaeed632f99b3e7fe751deaf55fc1350d8999d2cb3290680c7bebae2,FFD8FFDB0084000101010101,325,400,doctor原图,
赖克方,https://www.gyfyyy.cn/cn/ks/nk/hxnk/doctor_9.html,实采,,https://www.gyfyyy.cn/images/doctor/LAIKEFANG.jpg,01_试点医院/广州医科大学附属第一医院/照片/赖克方-呼吸与危重症医学科-教授-广州医科大学附属第一医院.jpg,40650,a650b59bcbf78120b8ac50ac3f0a95dc504229678dfb22159721802f32f022e0,FFD8FFDB0084000101010101,325,400,doctor原图,
吴华,https://www.gyfyyy.cn/cn/ks/nk/hxnk/doctor_10.html,实采,,https://www.gyfyyy.cn/Upload/202410/638658857314121810.jpg,01_试点医院/广州医科大学附属第一医院/照片/吴华-呼吸与危重症医学科-主任医师-广州医科大学附属第一医院.jpg,1037586,b6f26957a634969a9d6e989c3d1c6a5bc6a2595bd3da273bddbd3506fbd280d9,FFD8FFE112DC457869660000,325,400,Upload原图,
