姓名,科室,职称层级,主职称,来源链接,页面模板,详情HTTP,照片引用属性,引用路径风格,照片链接,照片HTTP,文件名,字节,SHA-256,魔数,宽,高,大小分布,大图判定
钟南山,呼吸与危重症医学科,正高,教授,https://www.gyfyyy.cn/cn/ks/nk/hxnk/doctor_1.html,div.photo img,200,src,Upload原图,https://www.gyfyyy.cn/Upload/202112/637750146771733237.jpg,200,钟南山-呼吸与危重症医学科-教授-广州医科大学附属第一医院.jpg,72435,b28a3690894c9010557a38b0d022fbc7ca6c0873274dd760bb34b8764dfc2eaa,FFD8FFDB0084000101010101,325,400,<200KiB,未命中
黄铮,心血管内科,正高,主任医师,https://www.gyfyyy.cn/cn/ks/nk/xxgnk/doctor_36.html,div.photo img,200,src,doctor原图,https://www.gyfyyy.cn/images/doctor/HUANGZHENG.jpg,200,黄铮-心血管内科-主任医师-广州医科大学附属第一医院.jpg,37477,a32a9814527d458c7d1551b9543d6f7957d1559795b71130a2355eed30571286,FFD8FFDB0084000101010101,325,400,<200KiB,未命中
赖克方,呼吸与危重症医学科,正高,教授,https://www.gyfyyy.cn/cn/ks/nk/hxnk/doctor_9.html,div.photo img,200,src,doctor原图,https://www.gyfyyy.cn/images/doctor/LAIKEFANG.jpg,200,赖克方-呼吸与危重症医学科-教授-广州医科大学附属第一医院.jpg,40650,a650b59bcbf78120b8ac50ac3f0a95dc504229678dfb22159721802f32f022e0,FFD8FFDB0084000101010101,325,400,<200KiB,未命中
欧阳铭,呼吸与危重症医学科,副高,副主任医师,https://www.gyfyyy.cn/cn/ks/nk/hxnk/doctor_13.html,div.photo img,200,src,Upload原图,https://www.gyfyyy.cn/Upload/202410/638658855425722392.jpg,200,欧阳铭-呼吸与危重症医学科-副主任医师-广州医科大学附属第一医院.jpg,1031569,24ddd364315b37328df698eb61b1608eee8509e4bc6c433bdba2386d4e171224,FFD8FFE11074457869660000,325,400,200KiB-1MiB,>200KiB
梁增伟,感染内科,副高,副主任医师,https://www.gyfyyy.cn/cn/ks/nk/grnk/doctor_71.html,div.photo img,200,src,Upload原图,https://www.gyfyyy.cn/Upload/202411/638664968880753569.jpg,200,梁增伟-感染内科-副主任医师-广州医科大学附属第一医院.jpg,3547,99e69f0cb71236659d67a0b0bf2dd90d88feadb31cab90a5394d80b63a95adde,FFD8FFE000104A4649460001,100,145,<200KiB,未命中
韦兵,胸外科,副高,副主任医师,https://www.gyfyyy.cn/cn/ks/wk/xwk/doctor_109.html,div.photo img,200,src,doctor原图,https://www.gyfyyy.cn/images/doctor/WEIBING.jpg,200,韦兵-胸外科-副主任医师-广州医科大学附属第一医院.jpg,39079,b4602253cccc3784e20cf071e6128698a950c353907afeca4f70721f3e7923a9,FFD8FFDB0084000101010101,325,400,<200KiB,未命中
何颖,针灸专业组,其他,主治医师,https://www.gyfyyy.cn/cn/ks/zyk/zjzyz/doctor_287.html,div.photo img,200,src,doctor原图,https://www.gyfyyy.cn/images/doctor/HEYIN.jpg,200,何颖-针灸专业组-主治医师-广州医科大学附属第一医院.jpg,81318,20f5dbe8ce6ff9c1ee2b567c3c0ae193a17f351e07e840c1f11dd4ee0f54fad4,FFD8FFDB0084000101010101,325,400,<200KiB,未命中
黄泳璋,肾内科,其他,主治医师,https://www.gyfyyy.cn/cn/ks/nk/snk/doctor_55.html,div.photo img,200,src,doctor原图,https://www.gyfyyy.cn/images/doctor/HUANGYONGZHANG.jpg,200,黄泳璋-肾内科-主治医师-广州医科大学附属第一医院.jpg,40749,6823d1d084f986d34abc228a8493ad896ab42d87634e4b6fc8fa737c3d31a333,FFD8FFDB0084000101010101,325,400,<200KiB,未命中
林婷婷,营养科,其他,主治医师,https://www.gyfyyy.cn/cn/ks/yj/yyk/doctor_323.html,div.photo img,200,src,doctor原图,https://www.gyfyyy.cn/images/doctor/LINTINGTING.jpg,200,林婷婷-营养科-主治医师-广州医科大学附属第一医院.jpg,39484,b66256c269193a8552a2c0306ba59030862ea9a40cf2565a76f1c8297a8cf495,FFD8FFDB0084000101010101,325,400,<200KiB,未命中
孟冬梅,药学部,其他,主管药师,https://www.gyfyyy.cn/cn/ks/yj/yxb/doctor_325.html,div.photo img,200,src,Upload原图,https://www.gyfyyy.cn/Upload/202411/638672803796004099.jpg,200,孟冬梅-药学部-主管药师-广州医科大学附属第一医院.jpg,562839,88eb32848f8b9f84fd40b03819fcdb57fed6bf202780737c6e5beb96cc85fcfe,FFD8FFE10360457869660000,682,1024,200KiB-1MiB,>200KiB
