序号,医院,姓名,科室_分类页,科室_列表卡片,职称_关键词,职称身份原文,重点优先级,重点关注范围,重点疾病标签,擅长诊疗方向摘录,亮眼经历线索,列表简介,详情正文摘录,来源类型,来源链接,采集入口,采集方式,采集日期,详情页状态,已建画像,异常提示,复核状态
1,广州医科大学附属第一医院,钟南山,呼吸与危重症医学科,呼吸与危重症医学科,教授、博士生导师,中国工程院院士，教授 博士生导师,高,慢性病、疑难重症,慢性、疑难、危重,哮喘、慢性阻塞性肺病、慢性咳嗽、间质性肺炎等呼吸道疑难杂症。,钟南山，中国工程院医药卫生工程学部院士、中国工程院医药卫生工程学部副主任，著名呼吸内科专家、教授，首批国家级有突出贡献专家，呼吸内科博士研究生导师，吸烟与健康医学顾问，国际胸科学会特别会员、亚太地区执委会理事，广东省科协副主席，广州市科协主席，《中华医学杂志》编委、《中华内科杂志》编委会副主任委员、《中华结核和呼吸杂志》编委会主任委员，广州市侨联名誉副主席。 1992年被国家卫生部和人事部授予全国卫生系统模范工作者称号，荣获广东省政府通令嘉奖。 1999年被命名为广州市精神文明建设标兵，并被评为全国100名优秀医生，荣获“广东省优秀共产党员”标兵称号。 2003年，在抗击非典的斗争中，因其杰出的工作表现，于2003年4月被全国总工会授予“五一劳动奖章”称号、被广东省委省政府授予抗击非典特等功臣称号。,,钟南山，中国工程院医药卫生工程学部院士、中国工程院医药卫生工程学部副主任，著名呼吸内科专家、教授，首批国家级有突出贡献专家，呼吸内科博士研究生导师，吸烟与健康医学顾问，国际胸科学会特别会员、亚太地区执委会理事，广东省科协副主席，广州市科协主席，《中华医学杂志》编委、《中华内科杂志》编委会副主任委员、《中华结核和呼吸杂志》编委会主任委员，广州市侨联名誉副主席。中共十五大代表，中共第七届广州市委委员，第八、九、十届全国政协委员，广州市第十二届人大代表。 多次被评为广东省、广州市优秀教师、优秀党员、劳动模范，全国卫生文明先进工作者。1990年被国家卫生部授予全国卫生系统优秀留学回国人员称号。1992年被国家卫生部和人事部授予全国卫生系统模范工作者称号，荣获广东省政府通令嘉奖。1995年被评为全国先进工作者。1996年2月当选中国工程院医药卫生工程学部院士。1997年被评为广东省白求恩式先进工作者、被中共广州市委授予模范共产党员称号。1999年被命名为广州市精神文明建设标兵，并被评为全国100名优秀医生，荣获“广东省优秀共产党员”标兵称号。2003年，在抗击非典的斗争中，因其杰出的工作表现，于2003年4月被全国总工会授予“五一劳动奖章”称号、被广东省委省政府授予抗击非典特等功臣称号。2004年荣获了中国卫生领域的最高荣誉——白求恩奖章。 孩提时代 从父亲那儿承袭的品德使我诚挚一生而不失败，从母亲那儿学会无牵无挂，这些组成一篇美丽的童话。 ——歌德 20世纪30年代的中国，军阀混战，争夺地盘和政权，社会动荡，内战频仍，经济凋敝，民不聊生。继之的南京国民政府不断加强独裁专制，官僚资本迅速膨胀，人民过着异乎寻常的悲惨生活。 钟南山，就出生在这样一个年代。 和同时代的人一样，童年在钟南山的记忆里，印象最深刻的便是回响在耳边的空袭警报声、日军战机的轰隆声、无情炮弹的爆炸声和人们在炮弹声中的呼喊声……在钟南山的记忆中，他们的家就有两次被飞机轰炸过。 1937年的冬天，在南京沦陷前夕，钟南山跟随家人西迁至贵阳。在贵州的房子被日军飞机炸掉之后，钟南山一家就跻身在医院的一间临时的小房子里。当时同住在医院里的多是些教授、医生以及他们的家属，于是这些医生们的孩子就成为一起玩耍的伙伴了，尽管钟南山是其中较小的一个，但却常常表现出独立坚强和充满自信的个性。 抗战胜利后的第二年，钟南山一家乘船来到了广州，他和博学多才的父母亲一样，与书结缘了，常常沉迷在书的世界里。书，像是一个奇妙的世界，深深地吸引着钟南山。在家庭的耳濡目染中，钟南山渐渐对医学有了兴趣。父亲在美国学成回国后，从事乙型脑炎病毒的培养和分离研究，用自己的薪水买来小白鼠在自家的书房里做起了实验，而这引起了钟南山极大的兴趣，主动担任起家里的“白鼠饲养员”，也由此开始逐步了解到一些最基本的医学、医疗知识。 新中国成立后，广州解放，钟南山的心里特别激动，他觉得，总有一天，也要像千千万万的英雄一样，为这伟大的祖国做出贡献，让大家都过上好日子！在华南师范大学附中读书时，一位老师的话让钟南山十分难忘：“人不应该单纯生活在现实中，还应生活在理想中。人如果没有理想，会将很小的事情看得很大，耿耿于怀；人如果有理想，身边即使有不愉快的事情，与自己的抱负相比也会很小。”优异的成绩，善良的品性，少年时代的钟南山开始满怀激情和憧憬，要像父母亲一样，当一名治病救人的好医生！ 风雨十六年 “我决心竭尽全力除人类之病痛，助健康之完美，维护医术的圣洁和荣誉。救死扶伤，不辞艰辛，执着追求，为祖国医药卫生事业的发展和人类身心健康奋斗终生。” ——《医学生誓词》 1955年，年仅19岁的钟南山以优异成绩考入北京医学院医疗系，实现了从医理想的第一步。 和所有优秀生一样，钟南山上课特别认真，课余时间大多待在图书馆里。然而，钟南山不仅仅是个书虫，还是个活跃分子，他总是积极参加各种文体活动，喜欢和同学们打成一片，并成了名副其实的运动健将，田径、游泳、篮球、举重都是他的至爱，他常说，没有强壮的身体，没有健康的生命，就谈不上学医，更谈不上救人治病。对体育运动的酷爱，不仅为钟南山写下了一生中辉煌的一笔，也为钟南山带来了一生中最亲密的伴侣——妻子李少芬。在一位朋友家里，钟南山认识了当时国家女子篮球队队员李少芬，他们一见如故，之后在学业上互相帮助，在球场上互相...,医院官网,https://www.gyfyyy.cn/cn/ks/nk/hxnk/doctor_1.html,https://www.gyfyyy.cn/cn/ks/,官网静态科室树+同科室路径静态医生详情页,2026-08-13,200,否,,待人工复核
2,广州医科大学附属第一医院,黄铮,心血管内科,心血管内科,主任医师、教授、硕士,教授 主任医师 硕士研究生导师,高,慢性病、疑难重症,冠心病、疑难、危重,心血管常见及疑难危重疾病诊治，尤其擅长冠心病、外周血管疾病等介入诊治手术。,,,全国冠心病介入培训导师,医院官网,https://www.gyfyyy.cn/cn/ks/nk/xxgnk/doctor_36.html,https://www.gyfyyy.cn/cn/ks/,官网静态科室树+同科室路径静态医生详情页,2026-08-13,200,否,,待人工复核
3,广州医科大学附属第一医院,肖洁,肾内科,肾内科,主任医师、科主任,肾内科主任，主任医师,高,慢性病、免疫/风湿/感染,慢性、风湿、感染、红斑狼疮、类风湿,各种肾脏内科疾病包括肾小球疾病、尿路感染与急、慢性肾功能衰竭的诊治及各种风湿内科疾病包括系统性红斑狼疮、类风湿关节炎、脊柱关节病与痛风等的诊治。,,,,医院官网,https://www.gyfyyy.cn/cn/ks/nk/snk/doctor_49.html,https://www.gyfyyy.cn/cn/ks/,官网静态科室树+同科室路径静态医生详情页,2026-08-13,200,否,,待人工复核
4,广州医科大学附属第一医院,徐评议,神经内科,神经内科,主任医师、教授、博士生导师,教授 主任医师 博士生导师,高,疑难重症,疑难、罕见,中枢神经变性病、脑血管病、顽固性头痛、头晕及睡眠障碍、癫痫发作性疾病、神经肌肉遗传病等常见、疑难、罕见性疾病的诊断治疗。,,,,医院官网,https://www.gyfyyy.cn/cn/ks/nk/sjnk/doctor_57.html,https://www.gyfyyy.cn/cn/ks/,官网静态科室树+同科室路径静态医生详情页,2026-08-13,200,否,,待人工复核
5,广州医科大学附属第一医院,曾文铤,感染内科,感染内科,主任医师,主任医师,高,肿瘤、免疫/风湿/感染、疑难重症,肝癌、感染、重症、MDT,病毒性肝炎、肝硬化、脂肪肝及中晚期肝癌等多种肝病及其并发症诊治、对乙型病毒性肝炎临床治愈、重症肝炎的抢救、不明原因发热诊治有丰富的临床经验。,主任医师、医学硕士、广东省肝脏病学会常务理事、广东省中西医结合肝病学会副主任委员、广州市医学会感染病学分会副主任委员、广州市医师协会肝病医师分会副主任委员、广东省医疗行业委员会感染管理学会常委、广东省肝脏病学会肝癌MDT委员会常委。,,主任医师、医学硕士、广东省肝脏病学会常务理事、广东省中西医结合肝病学会副主任委员、广州市医学会感染病学分会副主任委员、广州市医师协会肝病医师分会副主任委员、广东省医疗行业委员会感染管理学会常委、广东省肝脏病学会肝癌MDT委员会常委。,医院官网,https://www.gyfyyy.cn/cn/ks/nk/grnk/doctor_68.html,https://www.gyfyyy.cn/cn/ks/,官网静态科室树+同科室路径静态医生详情页,2026-08-13,200,否,,待人工复核
6,广州医科大学附属第一医院,陈学清,消化内科,消化内科,主任医师、教授,教授 主任医师,高,,,主攻消化内科、消化内镜；各种消化系疾病：胃食管反流病、胆胰疾病、肠道炎症性疾病和消化内镜诊治。,,,,医院官网,https://www.gyfyyy.cn/cn/ks/nk/xhnk/doctor_74.html,https://www.gyfyyy.cn/cn/ks/,官网静态科室树+同科室路径静态医生详情页,2026-08-13,200,否,,待人工复核
7,广州医科大学附属第一医院,陈小燕,内分泌科,内分泌科,主任医师、科主任,内分泌科主任，主任医师,高,慢性病、生殖疾病,高血压、糖尿病、月经,糖尿病、甲状腺、肾上腺及垂体疾病;高血脂、高尿酸、骨质疏松、内分泌性高血压、月经异常、发育异常等的诊治。,,,,医院官网,https://www.gyfyyy.cn/cn/ks/nk/nfbk/doctor_81.html,https://www.gyfyyy.cn/cn/ks/,官网静态科室树+同科室路径静态医生详情页,2026-08-13,200,否,,待人工复核
8,广州医科大学附属第一医院,陈广原,老年病科,老年病科,主任医师,主任医师,高,慢性病,高血压、糖尿病、代谢,糖尿病及并发症，各种内分泌代谢疾病的诊治。擅长于糖尿病、甲状腺疾病【甲亢、甲减、甲状腺炎、甲状腺结节】、垂体-肾上腺疾病、继发性高血压、骨质疏松症、生长发育异常等疾病的诊治。,,,,医院官网,https://www.gyfyyy.cn/cn/ks/nk/lnbk/doctor_86.html,https://www.gyfyyy.cn/cn/ks/,官网静态科室树+同科室路径静态医生详情页,2026-08-13,200,否,,待人工复核
9,广州医科大学附属第一医院,叶慧玲,全科医学科,全科医学科,主任医师,主任医师,高,术后恢复/康复、疑难重症,康复、疑难,内科常见病及疑难疾病。擅长于心、脑血管疾病、老年人骨关节病、骨质疏松等病症的诊治，对老年养生保健及康复治疗有较高的造诣。,主任医师 全科医学硕士研究生导师 广州医科大学附属第一医院全科医学科科主任 广州医科大学附属第一医院全科医学教研室主任 广州医科大学附属第一医院全科住院医师规范化培训基地主任 社会任职： 广东省基层卫生首席专家 广东省医学会全科医学分会副主任委员 广东省医师协会全科医师分会副主任委员 广州市医学会全科医学分会主任委员,,主任医师 全科医学硕士研究生导师 广州医科大学附属第一医院全科医学科科主任 广州医科大学附属第一医院全科医学教研室主任 广州医科大学附属第一医院全科住院医师规范化培训基地主任 社会任职： 广东省基层卫生首席专家 广东省医学会全科医学分会副主任委员 广东省医师协会全科医师分会副主任委员 广州市医学会全科医学分会主任委员,医院官网,https://www.gyfyyy.cn/cn/ks/qtzk/qkyxk/doctor_87.html,https://www.gyfyyy.cn/cn/ks/,官网静态科室树+同科室路径静态医生详情页,2026-08-13,200,否,,待人工复核
10,广州医科大学附属第一医院,余金龙,临床心理科,临床心理科,副主任医师,副主任医师,中,,,精神分裂症、抑郁症、双相障碍、焦虑症、强迫症、失眠症，及儿童青少年精神疾病与心理问题的心理治疗、催眠治疗和药物治疗。,广州市精神科医师协会副主任委员。,,广州市精神科医师协会副主任委员。,医院官网,https://www.gyfyyy.cn/cn/ks/qtzk/lcxlk/doctor_90.html,https://www.gyfyyy.cn/cn/ks/,官网静态科室树+同科室路径静态医生详情页,2026-08-13,200,否,,待人工复核
