姓名,来源链接,状态,失败三态,照片链接,照片文件,字节数,SHA-256,魔数,宽,高,引用路径风格,错误证据
关国晟,https://www.gy3y.cn/ks/nkxt/xxgnk/doctor_4.html,实采,,https://www.gy3y.cn/Upload/201411/6355095587733094009570010.jpg,01_试点医院/广州医科大学附属第三医院/照片/关国晟-荔湾院区心血管内科-副主任医师-广州医科大学附属第三医院.jpg,33338,9af9bc7f88127198c0a63ff1b72cf67123667ee2206a3ff835867e027ddda7b3,FFD8FFE113B8457869660000,200,266,Upload原图,
卢雄,https://www.gy3y.cn/ks/nkxt/xxgnk/doctor_5.html,实采,,https://www.gy3y.cn/Upload/201411/6355095585558094007325262.jpg,01_试点医院/广州医科大学附属第三医院/照片/卢雄-荔湾院区心血管内科-副主任医师-广州医科大学附属第三医院.jpg,32405,f108431983362adb551cfb4d1ba84a4b79ee415cf4fca47d2a077fa59b68fb32,FFD8FFE112D9457869660000,200,266,Upload原图,
李文杰,https://www.gy3y.cn/ks/nkxt/xxgnk/doctor_6.html,失败,详情不可达,,,,,,,,,第 1 轮 HTTP 302→200@2026-08-17T11:32:40Z Content-Type text/plain；页面标题 404；第 2 轮 HTTP 302→200@2026-08-17T11:33:40Z Content-Type text/plain；页面标题 404；第 3 轮 HTTP 302→200@2026-08-17T11:34:40Z Content-Type text/plain；页面标题 404；第 4 轮 HTTP 302→200@2026-08-17T11:35:40Z Content-Type text/plain；页面标题 404；第 5 轮 HTTP 302→200@2026-08-17T11:36:40Z Content-Type text/plain；页面标题 404
黄寰,https://www.gy3y.cn/ks/nkxt/nkmz/doctor_7.html,实采,,https://www.gy3y.cn/Upload/201410/6354856247148571642123710.jpg,01_试点医院/广州医科大学附属第三医院/照片/黄寰-荔湾院区内科门诊-副主任医师-广州医科大学附属第三医院.jpg,208356,6ddb760200b62f0c82ae4fa90f3905aab811e4a6e2270133195282e26c5146e4,FFD8FFE10F3F457869660000,775,1055,Upload原图,
许耘红,https://www.gy3y.cn/ks/nkxt/xxgnk/doctor_8.html,实采,,https://www.gy3y.cn/Upload/201411/6355095629945594002498241.jpg,01_试点医院/广州医科大学附属第三医院/照片/许耘红-荔湾院区心血管内科-副主任医师-广州医科大学附属第三医院.jpg,33750,5b1c15432293ccbdb0ba965ee4c22eaf4df18319165ac2f9da2f20f2dd749dd2,FFD8FFE113D9457869660000,200,266,Upload原图,
蔡玉宇,https://www.gy3y.cn/ks/nkxt/xxgnk/doctor_9.html,失败,详情不可达,,,,,,,,,第 1 轮 HTTP 302→200@2026-08-17T11:32:40Z Content-Type text/plain；页面标题 404；第 2 轮 HTTP 302→200@2026-08-17T11:33:40Z Content-Type text/plain；页面标题 404；第 3 轮 HTTP 302→200@2026-08-17T11:34:40Z Content-Type text/plain；页面标题 404；第 4 轮 HTTP 302→200@2026-08-17T11:35:40Z Content-Type text/plain；页面标题 404；第 5 轮 HTTP 302→200@2026-08-17T11:36:40Z Content-Type text/plain；页面标题 404
许治强,https://www.gy3y.cn/ks/nkxt/sjnk/doctor_10.html,实采,,https://www.gy3y.cn/Upload/201411/6355096692500301506902433.jpg,01_试点医院/广州医科大学附属第三医院/照片/许治强-荔湾院区神经内科-主任医师-广州医科大学附属第三医院.jpg,32173,d33bffb2fc99f314f937b73e965bde23f35dfa1d45ac1bf9691de2efcd83c6b5,FFD8FFE112DB457869660000,200,266,Upload原图,
梁燕玲,https://www.gy3y.cn/ks/nkxt/sjnk/doctor_11.html,失败,详情不可达,,,,,,,,,第 1 轮 HTTP 302→200@2026-08-17T11:32:40Z Content-Type text/plain；页面标题 404；第 2 轮 HTTP 302→200@2026-08-17T11:33:40Z Content-Type text/plain；页面标题 404；第 3 轮 HTTP 302→200@2026-08-17T11:34:40Z Content-Type text/plain；页面标题 404；第 4 轮 HTTP 302→200@2026-08-17T11:35:40Z Content-Type text/plain；页面标题 404；第 5 轮 HTTP 302→200@2026-08-17T11:36:40Z Content-Type text/plain；页面标题 404
周伯荣,https://www.gy3y.cn/ks/nkxt/jsyxk/doctor_12.html,失败,详情不可达,,,,,,,,,第 1 轮 HTTP 302→200@2026-08-17T11:32:40Z Content-Type text/plain；页面标题 404；第 2 轮 HTTP 302→200@2026-08-17T11:33:40Z Content-Type text/plain；页面标题 404；第 3 轮 HTTP 302→200@2026-08-17T11:34:40Z Content-Type text/plain；页面标题 404；第 4 轮 HTTP 302→200@2026-08-17T11:35:40Z Content-Type text/plain；页面标题 404；第 5 轮 HTTP 302→200@2026-08-17T11:36:40Z Content-Type text/plain；页面标题 404
刘子凡,https://www.gy3y.cn/ks/nkxt/sjnk/doctor_13.html,失败,详情不可达,,,,,,,,,第 1 轮 HTTP 302→200@2026-08-17T11:32:40Z Content-Type text/plain；页面标题 404；第 2 轮 HTTP 302→200@2026-08-17T11:33:40Z Content-Type text/plain；页面标题 404；第 3 轮 HTTP 302→200@2026-08-17T11:34:40Z Content-Type text/plain；页面标题 404；第 4 轮 HTTP 302→200@2026-08-17T11:35:40Z Content-Type text/plain；页面标题 404；第 5 轮 HTTP 302→200@2026-08-17T11:36:40Z Content-Type text/plain；页面标题 404
