姓名,科室,职称层级,主职称,来源链接,页面模板,详情HTTP,照片引用属性,引用路径风格,照片链接,照片HTTP,文件名,字节,SHA-256,魔数,宽,高,大小分布,大图判定
许治强,荔湾院区神经内科,正高,主任医师,https://www.gy3y.cn/ks/nkxt/sjnk/doctor_10.html,div.photo img,200,src,Upload原图,https://www.gy3y.cn/Upload/201411/6355096692500301506902433.jpg,200,许治强-荔湾院区神经内科-主任医师-广州医科大学附属第三医院.jpg,32173,d33bffb2fc99f314f937b73e965bde23f35dfa1d45ac1bf9691de2efcd83c6b5,FFD8FFE112DB457869660000,200,266,<200KiB,未命中
张建瑜,荔湾院区风湿免疫科,正高,主任医师,https://www.gy3y.cn/ks/nkxt/fsmyk/doctor_32.html,div.photo img,200,src,Upload原图,https://www.gy3y.cn/Upload/202506/638850746379947612.jpg,200,张建瑜-荔湾院区风湿免疫科-主任医师-广州医科大学附属第三医院.jpg,33368,9d299885e66d86f70396ca96f07c7648154b19cea1962ef1fcddf546b9b9f229,FFD8FFE11657457869660000,200,266,<200KiB,未命中
谭湘萍,黄埔院区药学部,正高,主任药师,https://www.gy3y.cn/ks/hp/yjbm/yxb/doctor_377.html,div.photo img,200,src,Upload原图,https://www.gy3y.cn/Upload/202301/638094796783505034.png,200,谭湘萍-黄埔院区药学部-主任药师-广州医科大学附属第三医院.png,55136,cb516f8d3f847d199e90f24cd65998f07dbe6a2203e061f01d8ce36c752355d0,89504E470D0A1A0A0000000D,200,266,<200KiB,未命中
关国晟,荔湾院区心血管内科,副高,副主任医师,https://www.gy3y.cn/ks/nkxt/xxgnk/doctor_4.html,div.photo img,200,src,Upload原图,https://www.gy3y.cn/Upload/201411/6355095587733094009570010.jpg,200,关国晟-荔湾院区心血管内科-副主任医师-广州医科大学附属第三医院.jpg,33338,9af9bc7f88127198c0a63ff1b72cf67123667ee2206a3ff835867e027ddda7b3,FFD8FFE113B8457869660000,200,266,<200KiB,未命中
谭慧珍,荔湾院区消化内科,副高,副主任医师,https://www.gy3y.cn/ks/nkxt/xhnk/doctor_29.html,div.photo img,200,src,Upload原图,https://www.gy3y.cn/Upload/201411/6355104519241647794246558.jpg,200,谭慧珍-荔湾院区消化内科-副主任医师-广州医科大学附属第三医院.jpg,33186,e7c187a279626eb3a4079c933a6f07cdddd98bb0c699ef14944c3e945a035abc,FFD8FFE11407457869660000,200,266,<200KiB,未命中
黎经兰,荔湾院区中医科,副高,副主任中医师,https://www.gy3y.cn/ks/zyk/zyk1/doctor_157.html,div.photo img,200,src,Upload原图,https://www.gy3y.cn/Upload/201410/6354908621180625033762984.jpg,200,黎经兰-荔湾院区中医科-副主任中医师-广州医科大学附属第三医院.jpg,87705,d9affbc9d5f04b4c377cbdaa7256f5633f7369dea4f521e108a36fd0b67fdf49,FFD8FFE000104A4649460001,496,661,<200KiB,未命中
詹鸿,荔湾院区麻醉科,其他,未标注,https://www.gy3y.cn/ks/wkxt/mzk/doctor_78.html,div.photo img,200,src,Upload原图,https://www.gy3y.cn/Upload/202301/638094732310691276.png,200,詹鸿-荔湾院区麻醉科-未标注-广州医科大学附属第三医院.png,63913,140c08086ed5a52c35c6809c91edb3f495c7f655412ece80338885e5e1a04240,89504E470D0A1A0A0000000D,229,314,<200KiB,未命中
麦伟文,荔湾院区放射科,其他,未标注,https://www.gy3y.cn/ks/yjbm/fsk/doctor_190.html,div.photo img,200,src,Upload原图,https://www.gy3y.cn/Upload/201411/6355138800016877744774233.jpg,200,麦伟文-荔湾院区放射科-未标注-广州医科大学附属第三医院.jpg,31518,bdfb4a6b90dd46fe40ef119ace9c89afc761a0add7ee15662cb775504f1a8349,FFD8FFE11224457869660000,200,266,<200KiB,未命中
马晓燕,荔湾院区法医物证司法鉴定所,其他,医师,https://www.gy3y.cn/ks/fckyjs/fywzsfjds/doctor_271.html,div.photo img,200,src,Upload原图,https://www.gy3y.cn/Upload/201803/6365739166306561053598522.jpg,200,马晓燕-荔湾院区法医物证司法鉴定所-医师-广州医科大学附属第三医院.jpg,175149,f1e8288d5afe76c53995fbb8df9dd8a238cd9b35c2baf9d085e191af952d3d43,FFD8FFE000104A4649460001,1450,1900,<200KiB,未命中
彭天文,黄埔院区生殖医学中心,其他,医师,https://www.gy3y.cn/ks/hp/fck/szyxzx/doctor_370.html,div.photo img,200,src,Upload原图,https://www.gy3y.cn/Upload/202301/638094771812017103.png,200,彭天文-黄埔院区生殖医学中心-医师-广州医科大学附属第三医院.png,70900,0ad779d251de49199ae012f9f9a2a0a30ae7dd4247d9ca717525ce767a83505a,89504E470D0A1A0A0000000D,200,266,<200KiB,未命中
