详情ID,姓名,来源链接,状态,失败分类,照片引用数,照片链接,照片文件,声明格式,实际格式,字节数,SHA-256,宽,高,来源批次,错误证据
966,宁玉萍,https://www.gzbrain.cn/myzj/info_itemid_966.html,实采,,1,https://www.gzbrain.cn/uploadfiles/2019/06/20190610095458209.png?5a6B546J6JCNLnBuZw==,01_试点医院/广州医科大学附属脑科医院/照片/宁玉萍-神经内科-主任医师-广州医科大学附属脑科医院.png,png,png,86227,8324542d39f1d4890c4b9ec1ff3f91efdc43acb03271bc7046410d2b04f28bb7,197,266,TRIAL_REUSE,
504,黄兴兵,https://www.gzbrain.cn/myzj/info_itemid_504.html,实采,,1,https://www.gzbrain.cn/uploadfiles/2019/05/20190523111507264.png?6buE5YW05YW1LnBuZw==,01_试点医院/广州医科大学附属脑科医院/照片/黄兴兵-精神科-主任医师-广州医科大学附属脑科医院.png,png,png,92279,d09e5ecf6b9517a0b7dcc7fbcbf0801ec25edfbe07e8552c80c78f06a0e4f812,201,309,FULL_FETCH,
4746,周亮,https://www.gzbrain.cn/myzj/info_itemid_4746.html,实采,,1,https://www.gzbrain.cn/uploadfiles/2020/05/20200509152519408.jpg?5ZGo5LquLkpQRw==,01_试点医院/广州医科大学附属脑科医院/照片/周亮-社区精神科-教授-广州医科大学附属脑科医院.jpg,jpg,jpg,21126,63b8c2d2b1f747859604c631e319fbc64102c3d89840a232c3eb960b8c0c34d0,302,403,TRIAL_REUSE,
17840,郭建雄,https://www.gzbrain.cn/myzj/info_itemid_17840.html,实采,,1,https://www.gzbrain.cn/uploadfiles/2019/05/20190513094312481.jpg?6YOt5bu66ZuELmpwZw==,01_试点医院/广州医科大学附属脑科医院/照片/郭建雄-慢性病科-主任医师-广州医科大学附属脑科医院.jpg,jpg,jpg,1730141,b5e13e46d713dc98341f87de4e169bf4018728ac3dd0ad640a48b959ad389c49,1692,2538,FULL_FETCH,
5681,黄雄,https://www.gzbrain.cn/myzj/info_itemid_5681.html,实采,,1,https://www.gzbrain.cn/uploadfiles/2019/04/20190422121006557.jpg?6buE6ZuEICgyKS5qcGc=,01_试点医院/广州医科大学附属脑科医院/照片/黄雄-物质依赖科-主任医师-广州医科大学附属脑科医院.jpg,jpg,jpg,14947,e3138ec695bd75a7c08eaae5ebef5fc75692ba3d63913dac433452f8279fbfcf,390,567,FULL_FETCH,
480,唐牟尼,https://www.gzbrain.cn/myzj/info_itemid_480.html,实采,,1,https://www.gzbrain.cn/uploadfiles/2019/05/20190523114248786.png?5ZSQ54mf5bC8LnBuZw==,01_试点医院/广州医科大学附属脑科医院/照片/唐牟尼-老年精神科-主任医师-广州医科大学附属脑科医院.png,png,png,100511,442e12054538ccc83b4145bb4d88f0014c77d8e92ad4ea9f2da7d51f45b0eb26,201,298,FULL_FETCH,
675,曹莉萍,https://www.gzbrain.cn/myzj/info_itemid_675.html,实采,,1,https://www.gzbrain.cn/uploadfiles/2021/01/20210118164616854.png?5pu55Li75Lu7LnBuZw==,01_试点医院/广州医科大学附属脑科医院/照片/曹莉萍-精神科-主任医师-广州医科大学附属脑科医院.png,png,png,642646,cdec1a937067c4667d2d062a68328ecaf2bcd074179af0b002dffadffa04da93,639,802,FULL_FETCH,
778,徐贵云,https://www.gzbrain.cn/myzj/info_itemid_778.html,实采,,1,https://www.gzbrain.cn/uploadfiles/2019/10/20191014115044099.jpg?5b6Q6LS15LqRLmpwZw==,01_试点医院/广州医科大学附属脑科医院/照片/徐贵云-情感障碍科-主任医师-广州医科大学附属脑科医院.jpg,jpg,jpg,1687502,b93a85596508c579c25a52e6156e3370c0cb9c8ab2c0c46ed137f5c7d058e6f2,2040,3000,FULL_FETCH,
534,张岳峰,https://www.gzbrain.cn/myzj/info_itemid_534.html,实采,,1,https://www.gzbrain.cn/uploadfiles/2019/05/20190523115643098.png?5byg5bKz5bOwLnBuZw==,01_试点医院/广州医科大学附属脑科医院/照片/张岳峰-神经内科-主任医师-广州医科大学附属脑科医院.png,png,png,105673,a663fa6eb74ecc50b1206a9b974461cb4929687afa1c58ebda02b433b421b0f1,200,300,FULL_FETCH,
96281,周素妙,https://www.gzbrain.cn/myzj/info_itemid_96281.html,实采,,1,https://www.gzbrain.cn/uploadfiles/2025/01/20250120110534979.jpg?bW1leHBvcnQxNzM2OTExMDg5MDM2LmpwZw==,01_试点医院/广州医科大学附属脑科医院/照片/周素妙-中西医结合科-主治医师-广州医科大学附属脑科医院.jpg,jpg,jpg,82589,2f46ddc9a40de1729299a44cb928c108a5572762bc5070be393f882c3c39e586,969,1264,TRIAL_REUSE,
451,郑英君,https://www.gzbrain.cn/myzj/info_itemid_451.html,实采,,1,https://www.gzbrain.cn/uploadfiles/2019/05/20190523143200891.png?6YOR6Iux5ZCbLnBuZw==,01_试点医院/广州医科大学附属脑科医院/照片/郑英君-精神科-主任医师-广州医科大学附属脑科医院.png,png,png,90019,0910a5c3b6e862bd32f598051c548119be5a3ef9085cb1a9c8f90328fe58dab3,204,296,FULL_FETCH,
15997,杨婵娟,https://www.gzbrain.cn/myzj/info_itemid_15997.html,实采,,1,https://www.gzbrain.cn/uploadfiles/2019/11/20191106151707545.jpg?5p2o6ZmiMy5qcGc=,01_试点医院/广州医科大学附属脑科医院/照片/杨婵娟-精神科-主任医师-广州医科大学附属脑科医院.jpg,jpg,jpg,14171,7552ee4db45ccfc2b897209b01519612b85ede20bd8be0f64867c279e0cba8b4,200,261,FULL_FETCH,
49356,张继辉,https://www.gzbrain.cn/myzj/info_itemid_49356.html,实采,,1,https://www.gzbrain.cn/uploadfiles/2022/08/20220811090705206.jpg?5Zu+54mHMS5qcGc=,01_试点医院/广州医科大学附属脑科医院/照片/张继辉-睡眠与节律医学中心-研究员-广州医科大学附属脑科医院.jpg,jpg,jpg,41734,c80bd4a06ad0d7fc624e06584704df4d16a4415eb8b5761ae5a6a37e342da0fe,451,566,TRIAL_REUSE,
840,陆小兵,https://www.gzbrain.cn/myzj/info_itemid_840.html,实采,,1,https://www.gzbrain.cn/uploadfiles/2019/05/20190523112909305.png?6ZmG5bCP5YW1LnBuZw==,01_试点医院/广州医科大学附属脑科医院/照片/陆小兵-精神科-主任医师-广州医科大学附属脑科医院.png,png,png,89649,5c958084758e98ef9fc26a93b992c899e4d283abdbd49e4f189bc85ea1a1be6c,199,312,FULL_FETCH,
