序号,医院,姓名,科室_分类页,科室_列表卡片,职称_关键词,职称身份原文,重点优先级,重点关注范围,重点疾病标签,擅长诊疗方向摘录,亮眼经历线索,列表简介,详情正文摘录,来源类型,来源链接,采集入口,采集方式,采集日期,详情页状态,已建画像,异常提示,复核状态
1,广州医科大学附属脑科医院,宁玉萍,神经内科,神经内科,主任医师,主任医师,高,疑难重症,难治,老年痴呆、记忆障碍、帕金森病、难治性抑郁症、焦虑障碍、头痛、头晕、抽动症、强迫症、癫痫等。,宁玉萍，医学博士，主任医师，博士研究生导师，现任广州医科大学附属脑科医院党委书记、广州医科大学精神卫生学院院长、国家临床重点专科带头人、神经致病基因与离子通道病教育部重点实验室主任、广东省神经科学疾病重点实验室主任、广东省精神疾病转化医学工程技术研究中心负责人、广州医科大学学术委员会副主任委员。 主持国家重点研发计划课题 1 项、科技部 973 、 863 支撑计划等子课题 7 项、国自然面上项目 3 项、省级重点项目 2 项等； 发表论文 240 余篇，一作 / 通讯 SCI 收录 160 余篇； 参编国家级指南 / 专家共识 4 项，专著 10 余本；,,宁玉萍，医学博士，主任医师，博士研究生导师，现任广州医科大学附属脑科医院党委书记、广州医科大学精神卫生学院院长、国家临床重点专科带头人、神经致病基因与离子通道病教育部重点实验室主任、广东省神经科学疾病重点实验室主任、广东省精神疾病转化医学工程技术研究中心负责人、广州医科大学学术委员会副主任委员。 主持国家重点研发计划课题 1 项、科技部 973 、 863 支撑计划等子课题 7 项、国自然面上项目 3 项、省级重点项目 2 项等； 发表论文 240 余篇，一作 / 通讯 SCI 收录 160 余篇； 参编国家级指南 / 专家共识 4 项，专著 10 余本； 授权发明专利 2 项、实用新型专利 9 项； 作为第一完成人获广东省科技进步奖二等奖等省部级奖励 2 项、厅局级二等奖 1 项； 作为第二完成人获省部级二等奖 1 项、厅局级一等奖 1 项； 获评“人民名医”“杰出精神科医师”“广东省医学领军人才” “广州市最美科技工作者” “广东省三八红旗手”“广州市医学领军人才”“广州市高层次人才”等称号，获广东省政府推荐“国务院政府特殊津贴人员”； 兼任中国老年医学学会认知障碍分会副会长、中国医院协会精神病医院分会副主任委员、中国医师协会精神医师分会常务委员、广东省医师协会精神科医师分会主任委员、科技部重点研发计划项目评审专家、国自然同行评议专家等。,医院官网,https://www.gzbrain.cn/myzj/info_itemid_966.html,https://www.gzbrain.cn/myzj/list.html,官网静态专家目录分页+严格 itemid 详情 DOM 结构化抽取,2026-08-13,200,否,,待人工复核
2,广州医科大学附属脑科医院,黄兴兵,精神科,精神科,主任医师,主任医师,中,,,焦虑抑郁障碍、睡眠障碍和精神分裂症等。,广州医科大学附属脑科医院院长 医学博士，主任医师，教授，博士研究生导师，院长，党委副书记。 从事精神科医疗、教学、科研和行政管理工作 20余年，主持和参与国家、省、市级科研项目20余项，主持国家级继续教育项目4项，发表国内外学术论文80余篇，参编著作5部。 曾获“羊城好医生”称号、入选《岭南名医录》、第六届“广州医师奖”。 曾担任中国中医药研究促进会精神卫生分会常务副会长，中国医院协会精神病医院管理分会副主委， 中国心理卫生协会理事， 中国医师协会精神科医师分会委员 ， 广东省医院协会精神卫生分会副主任委员， 广东省医院协会精神科绩效考核管理学组组长， 广东省精神疾病诊疗质控中心 常务 副主任 ，广东省医院等级评审 员 （ 三甲评审 医疗组评审专家）， 广东省医学会精神医学分会常委兼精神分裂症学组组长， 广东省心理卫生协会 副会长， 广东省心理卫生协会心理健康与管理专委会副主委 委员 ， 广州市医学会精神 医学 分会主任委...,,广州医科大学附属脑科医院院长 医学博士，主任医师，教授，博士研究生导师，院长，党委副书记。 从事精神科医疗、教学、科研和行政管理工作 20余年，主持和参与国家、省、市级科研项目20余项，主持国家级继续教育项目4项，发表国内外学术论文80余篇，参编著作5部。 曾获“羊城好医生”称号、入选《岭南名医录》、第六届“广州医师奖”。 曾担任中国中医药研究促进会精神卫生分会常务副会长，中国医院协会精神病医院管理分会副主委， 中国心理卫生协会理事， 中国医师协会精神科医师分会委员 ， 广东省医院协会精神卫生分会副主任委员， 广东省医院协会精神科绩效考核管理学组组长， 广东省精神疾病诊疗质控中心 常务 副主任 ，广东省医院等级评审 员 （ 三甲评审 医疗组评审专家）， 广东省医学会精神医学分会常委兼精神分裂症学组组长， 广东省心理卫生协会 副会长， 广东省心理卫生协会心理健康与管理专委会副主委 委员 ， 广州市医学会精神 医学 分会主任委员 ， 广州市精神疾病诊疗质控中心主任 等。 目前是国家精神心理疾病临床医学研究中心精神卫生与心理健康领域专家， 广州市第五届突发公共卫生事件应急专家委员会委员兼心理干预专业组组长，广州市干部医疗保健专家组成员。 曾经 先后参加中山大学岭南学院广州市卫生局领导干部综合管理研修班、北京大学医学部医院管理 EMBA 高级研修班（广东精品班）、国际应急管理学会高级卫生管理人员赴英国—爱尔兰研修班、法国乔治•玛聚雷勒医院访问学者等。,医院官网,https://www.gzbrain.cn/myzj/info_itemid_504.html,https://www.gzbrain.cn/myzj/list.html,官网静态专家目录分页+严格 itemid 详情 DOM 结构化抽取,2026-08-13,200,否,,待人工复核
3,广州医科大学附属脑科医院,周亮,社区精神科,社区精神科,教授,教授,中,,,危机干预,博士生导师，于 2003 年在中南大学获得精神病学博士学位，其后在中南大学公共卫生学院从事教学与科研工作， 2016 年起在广州医科大学附属脑科医院工作，现任广州医科大学精神卫生学院副院长，广州医科大学附属脑科医院社区精神科主任，广州市危机干预与研究中心主任。 先后四次赴美国罗彻斯特大学、哈佛大学等访学。 主持和参与多项国内和国际课题，在美国精神病学杂志、柳叶刀精神病学杂志等国内外学术期刊发表论文 90 余篇，翻译和参与编写著作教材十余部。 任教育部精神医学教指委委员、广东省精神医学教指委主任委员、 中国心理卫生协会危机干预专委会副主任委员、广东省心理卫生协会心理评估专业委员会副主任委员等 。,,博士生导师，于 2003 年在中南大学获得精神病学博士学位，其后在中南大学公共卫生学院从事教学与科研工作， 2016 年起在广州医科大学附属脑科医院工作，现任广州医科大学精神卫生学院副院长，广州医科大学附属脑科医院社区精神科主任，广州市危机干预与研究中心主任。 先后四次赴美国罗彻斯特大学、哈佛大学等访学。 主要研究兴趣包括危机干预、自杀的预防和研究、社区精神卫生服务等。 主持和参与多项国内和国际课题，在美国精神病学杂志、柳叶刀精神病学杂志等国内外学术期刊发表论文 90 余篇，翻译和参与编写著作教材十余部。 任教育部精神医学教指委委员、广东省精神医学教指委主任委员、 中国心理卫生协会危机干预专委会副主任委员、广东省心理卫生协会心理评估专业委员会副主任委员等 。,医院官网,https://www.gzbrain.cn/myzj/info_itemid_4746.html,https://www.gzbrain.cn/myzj/list.html,官网静态专家目录分页+严格 itemid 详情 DOM 结构化抽取,2026-08-13,200,否,,待人工复核
4,广州医科大学附属脑科医院,郭建雄,慢性病科,慢性病科,主任医师,主任医师,高,慢性病,慢性,焦虑症、抑郁症及情感障碍的临床诊断和治疗以及心理危机干预。,主任医师，医学硕士，硕士导师，广州医科大学附属脑科医院白云院区主任，广州医科大学、广州中医药大学兼职教授。 广东中西医结合学会心身医学专业委员会副主任委员、广东省医学会灾难(心理)应急医学专业委员会常务委员、广东省医学会性医学专业委员会常务委员、广东省精神科医师协会委员、广东省医院协会精神病医院分会委员。 先后被评为“羊城好医生”、“广州医师奖”。,,主任医师，医学硕士，硕士导师，广州医科大学附属脑科医院白云院区主任，广州医科大学、广州中医药大学兼职教授。 广东中西医结合学会心身医学专业委员会副主任委员、广东省医学会灾难(心理)应急医学专业委员会常务委员、广东省医学会性医学专业委员会常务委员、广东省精神科医师协会委员、广东省医院协会精神病医院分会委员。 1993年毕业于湖南医科大学毕业后主要从事临床精神病学、心理危机干预等方面的诊疗、科研与教学工作，擅长于抑郁症、焦虑症、双相情感障碍、社交障碍及失眠、自杀行为等的临床诊疗，具有丰富的临床经验。 先后被评为“羊城好医生”、“广州医师奖”。,医院官网,https://www.gzbrain.cn/myzj/info_itemid_17840.html,https://www.gzbrain.cn/myzj/list.html,官网静态专家目录分页+严格 itemid 详情 DOM 结构化抽取,2026-08-13,200,否,,待人工复核
5,广州医科大学附属脑科医院,黄雄,物质依赖科,物质依赖科,主任医师,主任医师,高,术后恢复/康复,康复,抑郁症、焦虑症、强迫症、双相障碍、成瘾性疾病及物理治疗,主任医师，临床精神科主任，广州医科大学教授，中山大学兼职教授，硕士生导师，从事精神心理工作35年。 获国家、省市科技基金10项，发表学术论文100余篇（SCI20篇），主编《电抽搐治疗原理与临床应用》。 任中华精神科分会精神康复协作组委员、中国医师协会精神科分会物理治疗学组委员、广东省心理卫生协会理事，广东省医学会精神科分会康复物理治疗学组副组长。,,主任医师，临床精神科主任，广州医科大学教授，中山大学兼职教授，硕士生导师，从事精神心理工作35年。 擅长抑郁症、焦虑症、强迫症、双相障碍、精神分裂症、睡眠障碍、成瘾性疾病及物理治疗，尤其在改良性电抽搐治疗方面有较高造诣。 获国家、省市科技基金10项，发表学术论文100余篇（SCI20篇），主编《电抽搐治疗原理与临床应用》。 任中华精神科分会精神康复协作组委员、中国医师协会精神科分会物理治疗学组委员、广东省心理卫生协会理事，广东省医学会精神科分会康复物理治疗学组副组长。,医院官网,https://www.gzbrain.cn/myzj/info_itemid_5681.html,https://www.gzbrain.cn/myzj/list.html,官网静态专家目录分页+严格 itemid 详情 DOM 结构化抽取,2026-08-13,200,否,,待人工复核
6,广州医科大学附属脑科医院,唐牟尼,老年精神科,老年精神科,主任医师,主任医师,中,,,老年期精神分裂症、老年情感障碍、痴呆等老年相关精神障碍的诊断和治疗。,发表论文50余篇，其中发表在《中华精神科杂志》、《中华医学遗传学杂志》、《中华医学》及SCI收录论著二十余篇，所主持的科研项目《老年期痴呆流行病学调查和ALZHEIMER病分子遗传学研究》获2006年度四川省医学科技奖壹等奖。 参与的科研项目《帕金森病和痴呆流行病学及干预、控制研究》获国家科学技术进步奖二等奖。 担任中国神经科学学会精神病学基础和临床分会委员，中华医学会神经科分会及中国医师协会神经科医师分会痴呆与认知学组委员。,,硕士研究生导师，华西医科大学精神科博士毕业，中国协和医科大学北京协和医院神经科博士后，一直从事老年期痴呆和老年期抑郁的流行病学、分子遗传学研究。 发表论文50余篇，其中发表在《中华精神科杂志》、《中华医学遗传学杂志》、《中华医学》及SCI收录论著二十余篇，所主持的科研项目《老年期痴呆流行病学调查和ALZHEIMER病分子遗传学研究》获2006年度四川省医学科技奖壹等奖。 参与的科研项目《帕金森病和痴呆流行病学及干预、控制研究》获国家科学技术进步奖二等奖。 担任中国神经科学学会精神病学基础和临床分会委员，中华医学会神经科分会及中国医师协会神经科医师分会痴呆与认知学组委员。,医院官网,https://www.gzbrain.cn/myzj/info_itemid_480.html,https://www.gzbrain.cn/myzj/list.html,官网静态专家目录分页+严格 itemid 详情 DOM 结构化抽取,2026-08-13,200,否,,待人工复核
7,广州医科大学附属脑科医院,徐贵云,情感障碍科,情感障碍科,主任医师,主任医师,中,,,情感障碍（抑郁症、双相障碍）的诊断和治疗，强迫症及社交恐惧症的诊治与认知行为治疗。,硕士研究生导师、 博士后导师，广州市脑科医院情感障碍科主任，情绪与认知研究室主任，广州医科大学精神卫生学院临床精神病学教研室主任，广州市高层次医学重点人才，羊城好医生。 中国研究型医院学会神经再生与修复专业委员会常委，情感障碍与神经再生学组组长，中华医学会精神病学分会双相障碍协作组专家委员会委员，中国医师协会精神科分会强迫症专业委员会委员 。,,硕士研究生导师、 博士后导师，广州市脑科医院情感障碍科主任，情绪与认知研究室主任，广州医科大学精神卫生学院临床精神病学教研室主任，广州市高层次医学重点人才，羊城好医生。 是中国著名的情感障碍专家。 中国研究型医院学会神经再生与修复专业委员会常委，情感障碍与神经再生学组组长，中华医学会精神病学分会双相障碍协作组专家委员会委员，中国医师协会精神科分会强迫症专业委员会委员 。 近 30年长期从事精神医学临床、科研和教学工作，目前主要从事情感障碍的早期诊断和优化治疗研究，并对强迫症和社交恐惧症的诊治和认知行为治疗有独特经验。,医院官网,https://www.gzbrain.cn/myzj/info_itemid_778.html,https://www.gzbrain.cn/myzj/list.html,官网静态专家目录分页+严格 itemid 详情 DOM 结构化抽取,2026-08-13,200,否,,待人工复核
8,广州医科大学附属脑科医院,周素妙,中西医结合科,中西医结合科,主治医师,主治医师,中,,,抑郁障碍、双相情感障碍、失眠、焦虑、精神分裂症等疾病的诊疗，对精神疾病早期识别的氧化应激标志物有较丰富的经验。,现任广东省中医药学会老年健康与慢病管理专业委员、广东省心理卫生协会重性心理障碍专业委员会委员、广州市医师协会精神医学分会委员、广州市医学会精神医学分会委员、。 主持省级课题一项，作为团队骨干参与多项国家级、省级及市级科研项目，发表国内外医学学术论文 30 余篇。 荣获“本科优秀教师”和“优秀科技人才”等称号。,,现任广东省中医药学会老年健康与慢病管理专业委员、广东省心理卫生协会重性心理障碍专业委员会委员、广州市医师协会精神医学分会委员、广州市医学会精神医学分会委员、。 主持省级课题一项，作为团队骨干参与多项国家级、省级及市级科研项目，发表国内外医学学术论文 30 余篇。 荣获“本科优秀教师”和“优秀科技人才”等称号。,医院官网,https://www.gzbrain.cn/myzj/info_itemid_96281.html,https://www.gzbrain.cn/myzj/list.html,官网静态专家目录分页+严格 itemid 详情 DOM 结构化抽取,2026-08-13,200,否,,待人工复核
9,广州医科大学附属脑科医院,张继辉,睡眠与节律医学中心,睡眠与节律医学中心,研究员,研究员（正高）,高,,,睡眠障碍在精神和躯体疾病中的作用及机制，失眠、梦游、打鼾、呼吸,博士生导师，香港中文大学内科科学博士。 中国睡眠研究会青年工作委员会第三届主任委员，海峡两岸医药卫生交流协会睡眠医学专业委员会副主任委员。 先后主持9项国家级基金，包括5项香港政府基金（4项医疗卫生基金和1项RGC基金）、3项国家自然科学基金和1项国家重点研发计划课题。 近5年以独立或最后通讯身份在Eur Heart J (IF=35.855)、Nature Communications (IF=17.694)、NPJ Digital Medicine (IF=15.357) 、Ann Neurol (IF=11.274)、JACC Heart Fail (IF=12.544)等期刊发表近20篇SCI论文。,,博士生导师，香港中文大学内科科学博士。 中国睡眠研究会青年工作委员会第三届主任委员，海峡两岸医药卫生交流协会睡眠医学专业委员会副主任委员。 先后主持9项国家级基金，包括5项香港政府基金（4项医疗卫生基金和1项RGC基金）、3项国家自然科学基金和1项国家重点研发计划课题。 研发了数字化失眠评估和行为治疗平台，获得软件著作版权2项，并获批2023年广州临床特色技术项目。 获批2023年度广州市市校（院）企联合资助项目。 近5年以独立或最后通讯身份在Eur Heart J (IF=35.855)、Nature Communications (IF=17.694)、NPJ Digital Medicine (IF=15.357) 、Ann Neurol (IF=11.274)、JACC Heart Fail (IF=12.544)等期刊发表近20篇SCI论文。 ISI被引>3500，H指数35。 参与编著Paediatric Sleep Disorders、《睡眠医学名词》、《中国睡眠医学中心标准化建设指南》、《中国失眠障碍诊断和治疗指南》、《中国失眠障碍综合防治指南》和《睡眠健康管理手册》，相关研究成果被写入多本国内外教材及临床指南，包括“十二五”普通高等教育本科国家级规划教材《神经病学》（人民卫生出版社，第7版）、国际睡眠障碍诊断标准（第3版，ICSD-3）、国际知名睡眠医学教材 Principles and Practice of Sleep Medicine（第6版）。 为第6届世界睡眠医学大会青年科学家奖获得者。,医院官网,https://www.gzbrain.cn/myzj/info_itemid_49356.html,https://www.gzbrain.cn/myzj/list.html,官网静态专家目录分页+严格 itemid 详情 DOM 结构化抽取,2026-08-13,200,否,,待人工复核
10,广州医科大学附属脑科医院,韩为,中医科,中医科,主任中医师,主任中医师,高,慢性病、术后恢复/康复,慢性、康复,擅长将“通督调神针法”、“颞三针”等特色针灸手法与新安医学内科方药相结合，治疗脑病等内科杂病，如：中风后遗症，面瘫，脑瘫康复，睡眠障碍，血管性痴呆，眩晕，耳鸣耳聋，慢性胃炎，头痛、颈肩腰腿痛等。,韩为，主任中医师，北京中医药大学博士，博士生导师，安徽省学术和技术带头人； 中国针灸学会第一届青年委员会副主任委员，中华中医药学会脑病分会常务委员； 曾获中华中医药学会科学技术一等奖、广州中医药大学科技进步一等奖及安徽省科学技术二、三等奖多项； 现主持国家自然科学基金面上项目 1 项，安徽省第十三批 115 产业创新团队 “ 针药结合防治脑病 ” 项目 1 项，参与国家级省部级项目多项；,,韩为，主任中医师，北京中医药大学博士，博士生导师，安徽省学术和技术带头人； 中国针灸学会第一届青年委员会副主任委员，中华中医药学会脑病分会常务委员； 曾获中华中医药学会科学技术一等奖、广州中医药大学科技进步一等奖及安徽省科学技术二、三等奖多项； 现主持国家自然科学基金面上项目 1 项，安徽省第十三批 115 产业创新团队 “ 针药结合防治脑病 ” 项目 1 项，参与国家级省部级项目多项； 参与编撰专著 2 部，发表学术论文 40 余篇。 培养硕士研究生 30 余人。,医院官网,https://www.gzbrain.cn/myzj/info_itemid_33179.html,https://www.gzbrain.cn/myzj/list.html,官网静态专家目录分页+严格 itemid 详情 DOM 结构化抽取,2026-08-13,200,否,,待人工复核
