姓名,来源链接,状态,失败三态,照片链接,照片文件,字节数,SHA-256,魔数,宽,高,错误证据
叶穗林,https://www.gzszyy.com/expert/2026/w9aADOev.html,实采,,https://oss.gzszyy.com/20200722/175120692.jpg,01_试点医院/广州市中医院/照片/叶穗林-名医堂-主任中医师-广州市中医院.jpg,19404,c3c8347426b0332b3905bc2c3d00042acd84cb1f75f921c93a30b21bdd8f0457,FFD8FFE10018457869660000,288,400,
蔡迎峰,https://www.gzszyy.com/expert/2026/X7axvrdy.html,实采,,https://oss.gzszyy.com/20201016/094407246.jpg,01_试点医院/广州市中医院/照片/蔡迎峰-名医堂-主任中医师-广州市中医院.jpg,232572,6ae63b7b3965238cb627c0c20efac66100b675e7604198ccf061234165996dd6,FFD8FFE10E23457869660000,1152,1600,
李丽霞,https://www.gzszyy.com/expert/2026/KQe1wRbJ.html,实采,,https://oss.gzszyy.com/20200928/100512386.jpg,01_试点医院/广州市中医院/照片/李丽霞-名医堂-主任中医师-广州市中医院.jpg,216571,c67ebba385091bd42c2e8f6e355de45ef5ba6656cfe53a4bf5d9b5f1c64d0590,FFD8FFE10E89457869660000,1152,1600,
赵云燕,https://www.gzszyy.com/expert/2026/46dBgJe7.html,实采,,https://oss.gzszyy.com/20200930/162538546.jpg,01_试点医院/广州市中医院/照片/赵云燕-名医堂-主任中医师-广州市中医院.jpg,262064,d18ea016b11f6de3d556c1750eabcb31e697ae965207fe29d8c0b9ca334956aa,FFD8FFE10F70457869660000,1152,1600,
罗永佳,https://www.gzszyy.com/expert/2026/nXe0LGex.html,实采,,https://oss.gzszyy.com/20200928/083924210.jpg,01_试点医院/广州市中医院/照片/罗永佳-名医堂-主任中医师-广州市中医院.jpg,255085,59f0932e94b1ebd64f616fbc24be7d5420ae3816becd125ac2b2a9e4b8a12033,FFD8FFE10DED457869660000,1152,1600,
祝维峰,https://www.gzszyy.com/expert/2026/oQeZ6Jep.html,实采,,https://oss.gzszyy.com/20200928/084329871.jpg,01_试点医院/广州市中医院/照片/祝维峰-名医堂-主任中医师-广州市中医院.jpg,228256,e257ffd429bbbd48530bc0288e3041bdb64afcb71c2fa2e7e1a0f827c067f249,FFD8FFE10DE5457869660000,1152,1600,
徐雯,https://www.gzszyy.com/expert/2026/pmbk7Ybz.html,实采,,https://oss.gzszyy.com/20200928/084517216.jpg,01_试点医院/广州市中医院/照片/徐雯-名医堂-主任中医师-广州市中医院.jpg,250227,a527a1f321e5a3dc8435b0a4a3978c3414ba62dfb2750e9034513f3ba5894d45,FFD8FFE10E88457869660000,1152,1600,
叶绍伟,https://www.gzszyy.com/expert/2026/9wdLwbjP.html,实采,,https://oss.gzszyy.com/20200930/151748828.jpg,01_试点医院/广州市中医院/照片/叶绍伟-名医堂-主任中医师-广州市中医院.jpg,237871,40af553e83bd858de029aa4eba862ce1060fcc08d3c85da5c954151de2508321,FFD8FFE10EE0457869660000,1152,1600,
吕永慧,https://www.gzszyy.com/expert/2026/WPe9xdLy.html,实采,,https://oss.gzszyy.com/20210429/154245713.jpg,01_试点医院/广州市中医院/照片/吕永慧-名医堂-主任中医师-广州市中医院.jpg,26683,689fdf254d6e57e490364e6ad1f6a72f40d93f124552039e21b18e758fa81675,FFD8FFE10368457869660000,652,652,
梁劲军,https://www.gzszyy.com/expert/2026/4zbq7rep.html,实采,,https://oss.gzszyy.com/20201014/083925348.jpg,01_试点医院/广州市中医院/照片/梁劲军-名医堂-主任中医师-广州市中医院.jpg,228838,ffd91e6b94e3136203dd4d4e78eb9f91eb75d6445c51e2811d1bbcd12b1b8c82,FFD8FFE10E3B457869660000,1152,1600,
