姓名,科室,职称,职称层级,详情ID,来源链接,详情HTTP链,照片链接,照片HTTP链,照片Content-Type,照片文件,字节数,宽度,高度,SHA-256,魔数格式,Referer,大图终审
叶穗林,名医堂,主任中医师,正高,w9aADOev,https://www.gzszyy.com/expert/2026/w9aADOev.html,200@https://www.gzszyy.com/expert/2026/w9aADOev.html,https://oss.gzszyy.com/20200722/175120692.jpg,200@https://oss.gzszyy.com/20200722/175120692.jpg,image/jpeg,叶穗林-名医堂-主任中医师-广州市中医院.jpg,19404,288,400,c3c8347426b0332b3905bc2c3d00042acd84cb1f75f921c93a30b21bdd8f0457,jpg,https://www.gzszyy.com/expert/2026/w9aADOev.html,否
吴薏婷,肿瘤一区,主任中医师,正高,4zbqjrdp,https://www.gzszyy.com/expert/2026/4zbqjrdp.html,200@https://www.gzszyy.com/expert/2026/4zbqjrdp.html,https://oss.gzszyy.com/20200928/085458549.jpg,200@https://oss.gzszyy.com/20200928/085458549.jpg,image/jpeg,吴薏婷-肿瘤一区-主任中医师-广州市中医院.jpg,279273,1152,1600,ca9bcb32a766027a1b1dd238d1216ba4791a41ea93ba88c90cbe277cb63f3ea5,jpg,https://www.gzszyy.com/expert/2026/4zbqjrdp.html,否
林少贞,针灸科,主任中医师,正高,ELe31Mb6,https://www.gzszyy.com/expert/2026/ELe31Mb6.html,200@https://www.gzszyy.com/expert/2026/ELe31Mb6.html,https://oss.gzszyy.com/20201016/110831802.jpg,200@https://oss.gzszyy.com/20201016/110831802.jpg,image/jpeg,林少贞-针灸科-主任中医师-广州市中医院.jpg,247360,1152,1600,0d3e956b8063ed352709ac61e007abf4b82cbe4bffc361e91efb0c663d5a8a13,jpg,https://www.gzszyy.com/expert/2026/ELe31Mb6.html,否
陈庆强,肿瘤二区,副主任中医师,副高,pmbk5Xez,https://www.gzszyy.com/expert/2026/pmbk5Xez.html,200@https://www.gzszyy.com/expert/2026/pmbk5Xez.html,https://oss.gzszyy.com/20200928/094257985.jpg,200@https://oss.gzszyy.com/20200928/094257985.jpg,image/jpeg,陈庆强-肿瘤二区-副主任中医师-广州市中医院.jpg,226780,1152,1600,31a4c1590dba5e8a1f6f382b3c22d980b529cca64d1ff506749727f8a3c3adb8,jpg,https://www.gzszyy.com/expert/2026/pmbk5Xez.html,否
欧阳智,脑病科（神经内科）,副主任中医师,副高,YqaQlenj,https://www.gzszyy.com/expert/2026/YqaQlenj.html,200@https://www.gzszyy.com/expert/2026/YqaQlenj.html,https://oss.gzszyy.com/20200930/152827406.jpg,200@https://oss.gzszyy.com/20200930/152827406.jpg,image/jpeg,欧阳智-脑病科（神经内科）-副主任中医师-广州市中医院.jpg,237663,1152,1600,7d5a95c99a7c00e7351a360c29d9e79b9b0a4d130003257bc17e20dfb86e9359,jpg,https://www.gzszyy.com/expert/2026/YqaQlenj.html,否
周艳利,肾病科,副主任中医师,副高,MYerEdOB,https://www.gzszyy.com/expert/2026/MYerEdOB.html,200@https://www.gzszyy.com/expert/2026/MYerEdOB.html,https://oss.gzszyy.com/20200930/164456296.jpg,200@https://oss.gzszyy.com/20200930/164456296.jpg,image/jpeg,周艳利-肾病科-副主任中医师-广州市中医院.jpg,221414,1152,1600,1854814b6bd7809a4a3932493c73f528b7330fea1c93eaec1314c8bae1c9828c,jpg,https://www.gzszyy.com/expert/2026/MYerEdOB.html,否
夏思,血液科,主治医师,其他,LDdwEma1,https://www.gzszyy.com/expert/2026/LDdwEma1.html,200@https://www.gzszyy.com/expert/2026/LDdwEma1.html,https://oss.gzszyy.com/20240612/144022314.jpg,200@https://oss.gzszyy.com/20240612/144022314.jpg,image/jpeg,夏思-血液科-主治医师-广州市中医院.jpg,190372,2000,1333,b460cd7e7b165327d2d7a118d6e88ce02369fc64864e1ae399d9d0f6fbb7b3c5,jpg,https://www.gzszyy.com/expert/2026/LDdwEma1.html,否
赵鸿,重症医学科,主治医师,其他,YQdJZodO,https://www.gzszyy.com/expert/2026/YQdJZodO.html,200@https://www.gzszyy.com/expert/2026/YQdJZodO.html,https://oss.gzszyy.com/20200930/162807841.jpg,200@https://oss.gzszyy.com/20200930/162807841.jpg,image/jpeg,赵鸿-重症医学科-主治医师-广州市中医院.jpg,221807,1152,1600,26419fd234293aca4ee41ba2ebacb220531034a98d6fa6f5e853e2722f1464bc,jpg,https://www.gzszyy.com/expert/2026/YQdJZodO.html,否
金华伟,肺病科（呼吸内科）,医师,其他,MYer8wbO,https://www.gzszyy.com/expert/2026/MYer8wbO.html,200@https://www.gzszyy.com/expert/2026/MYer8wbO.html,https://oss.gzszyy.com/20201013/172657639.jpg,200@https://oss.gzszyy.com/20201013/172657639.jpg,image/jpeg,金华伟-肺病科（呼吸内科）-医师-广州市中医院.jpg,209904,1152,1600,c0d934ff82d581ba1ec42fd412c4813ab983b533e2c8b4d428975c351a2f79d2,jpg,https://www.gzszyy.com/expert/2026/MYer8wbO.html,否
陈燕珊,内分泌科,医师,其他,y1aK6zeQ,https://www.gzszyy.com/expert/2026/y1aK6zeQ.html,200@https://www.gzszyy.com/expert/2026/y1aK6zeQ.html,https://oss.gzszyy.com/20201013/162836188.jpg,200@https://oss.gzszyy.com/20201013/162836188.jpg,image/jpeg,陈燕珊-内分泌科-医师-广州市中医院.jpg,260531,1152,1600,23c4ffbe5c4e24f6e21b4130695782eb4c6da72dfe73aaee0b0a00af09532859,jpg,https://www.gzszyy.com/expert/2026/y1aK6zeQ.html,否
