序号,医院,姓名,科室_分类页,科室_列表卡片,职称_关键词,职称身份原文,重点优先级,重点关注范围,重点疾病标签,擅长诊疗方向摘录,亮眼经历线索,列表简介,详情正文摘录,来源类型,来源链接,照片链接,照片文件,采集入口,采集方式,采集日期,详情页状态,已建画像,异常提示,复核状态
1,中山大学附属第五医院,屈丽波,中医科,中医科,主任医师、副主任医师、副主任,副主任医师。,高,肿瘤、生殖疾病、术后恢复/康复、疑难重症,肿瘤、癌、瘤、化疗、不孕、卵巢、多囊、月经、术后、姑息、疑难,从事中医临床、教研近40年，擅长中医、中西医结合内科疾病的诊治，尤其对中医内科疑难杂症的诊治，恶性肿瘤的中医姑息治疗及术后放化疗后的中医调治有独到之处。,副主任医师。 副主任医师。 广东省优秀中医临床人才。 1990年参加中国中医科学院西苑医院举办的“全国中医高级进修班学习”并研修于西苑医院临床1年。,副主任医师。,副主任医师。 广东省优秀中医临床人才。1983年毕业于湖北中医药大学，获学士学位。1990年参加中国中医科学院西苑医院举办的“全国中医高级进修班学习”并研修于西苑医院临床1年。数次参加武汉同济医学院举办的肿瘤学习班，2008年参加广东省中医药管理局举办的“广东省优秀中医临床研修项目”学习，2012年获广东省中医药管理局授予“广东省优秀中医临床人才”称号，多次参加广州中医药大学举办的全国经方学习班，均获结业证。从事中医临床、教研近40年，擅长中医、中西医结合内科疾病的诊治，尤其对中医内科疑难杂症的诊治，恶性肿瘤的中医姑息治疗及术后放化疗后的中医调治有独到之处。对妇科月经不调（多囊卵巢综合征）、不孕症及绝经期的中医调治具有丰富的临床经验。现任省中医学会内科专委会常务委员，省中西医结合亚健康专委会委员及珠海市抗癌协会中西医结合肝病专委会副主任委员。参与省、市多项研究课题，发表相关专业论文14篇。 特需名专家：周一下午。,医院官网,https://www.sysu5.cn/medical-service/department-expert/doctor/10705,,,https://www.sysu5.cn/medical-service/department-expert/doctor/category?category_target_id=All&combine=,官网分类页+官网医生详情页,2026-08-08,200,是,,待人工复核
2,中山大学附属第五医院,张玉龙,中医科,中医科,教授、医学博士、博士、硕士,医师，医学博士，博士后。,高,肿瘤,肿瘤、癌、瘤、鼻咽癌、肺癌、肝癌、肠癌、乳腺癌,临床擅长中医药调治：（1）呼吸系统（感冒、鼻炎/鼻窦炎、咽炎、支气管炎、肺炎、慢阻肺、哮喘、肺结节等）；,,医师，医学博士，博士后。,医师，医学博士，博士后。 本科毕业于陕西中医药大学；硕士毕业于北京中医药大学，师承中国中医科学院西苑医院，国家中医老年病重点学科带头人李跃华教授，从事老年呼吸系统、恶性肿瘤、脑血管、骨质疏松等临床研究；博士毕业于中山大学，从事肿瘤学相关研究，目前从事中医肿瘤相关博士后研究。 临床擅长中医药调治：（1）呼吸系统（感冒、鼻炎/鼻窦炎、咽炎、支气管炎、肺炎、慢阻肺、哮喘、肺结节等）；（2）老年疾病（睡眠障碍、脑梗后遗症、颈肩腰背手足痛、骨质疏松等）；（3）恶性肿瘤（肺癌、肝癌、肠癌、鼻咽癌、乳腺癌、胰腺癌、神经系统肿瘤等）；（4）中医男科（男性不育、小便不畅等）。中文核心2篇，高水平论文1篇。,医院官网,https://www.sysu5.cn/medical-service/department-expert/doctor/10710,,,https://www.sysu5.cn/medical-service/department-expert/doctor/category?category_target_id=All&combine=,官网分类页+官网医生详情页,2026-08-08,200,是,,待人工复核
3,中山大学附属第五医院,张维颖,中医科,中医科,主任医师,主任医师。,高,肿瘤、生殖疾病、疑难重症,肿瘤、瘤、月经、疑难,1998年在中山医科大学进修消化内镜及肝病。 广东省优秀中医临床人才从事临床、教学、科研工作近40年，擅长运用中西医结合方法诊治内科疑难病症，尤其对胃肠肝胆疾病、心脑血管病、心身疾病及恶性肿瘤的诊治和预防肿瘤复发有独特经验。 对妇科月经不调、带下、崩漏、产后杂病的治疗亦有丰富经验。,主任医师。 主任医师。 1998年在中山医科大学进修消化内镜及肝病。 2008—2011年参加广东省中医管理局举办的”广东省高级中医临床人才研修班”，2012年获广东省中医管理局授予优秀中医临床人才称号。,主任医师。,主任医师。 1982年毕业于陕西中医学院中医专业，获学士学位。1998年在中山医科大学进修消化内镜及肝病。2008—2011年参加广东省中医管理局举办的”广东省高级中医临床人才研修班”，2012年获广东省中医管理局授予优秀中医临床人才称号。广东省优秀中医临床人才从事临床、教学、科研工作近40年，擅长运用中西医结合方法诊治内科疑难病症，尤其对胃肠肝胆疾病、心脑血管病、心身疾病及恶性肿瘤的诊治和预防肿瘤复发有独特经验。对妇科月经不调、带下、崩漏、产后杂病的治疗亦有丰富经验。主持省厅级科研项目2项，发表专业论文40余篇。任广东省中西医结合学会亚健康专业委员会常委，广东省肝病学会中医药专业委员会常委等。 特需名专家：周二下午。,医院官网,https://www.sysu5.cn/medical-service/department-expert/doctor/10704,,,https://www.sysu5.cn/medical-service/department-expert/doctor/category?category_target_id=All&combine=,官网分类页+官网医生详情页,2026-08-08,200,是,,待人工复核
4,中山大学附属第五医院,李安,中医科,中医科,主任医师、副主任医师、医学硕士、硕士、副主任,副主任医师，医学硕士。,高,生殖疾病、术后恢复/康复,月经、术后、恢复、疼痛,擅长针药并用治疗中风后遗症、面瘫、颈肩腰腿痛、带状疱疹、月经不调等疾病，以及针刺减肥、针灸美容、脏腑机能调理、手术后功能恢复等方面的中医治疗，尤其对各种原因引起的颈肩腰腿痛等疼痛性疾病诊治具有丰富的临床经验。,副主任医师，医学硕士。 副主任医师，医学硕士。 北京中医药大学中医系毕业，广西中医药大学针推临床专业硕士，从事中医内科、针灸专业的临床、教学、科研工作近20年，曾到中山大学附属第一医院进修。 现任广东省中西医结合亚健康专业委员会委员、珠海市针灸协会理事。,副主任医师，医学硕士。,副主任医师，医学硕士。 北京中医药大学中医系毕业，广西中医药大学针推临床专业硕士，从事中医内科、针灸专业的临床、教学、科研工作近20年，曾到中山大学附属第一医院进修。擅长针药并用治疗中风后遗症、面瘫、颈肩腰腿痛、带状疱疹、月经不调等疾病，以及针刺减肥、针灸美容、脏腑机能调理、手术后功能恢复等方面的中医治疗，尤其对各种原因引起的颈肩腰腿痛等疼痛性疾病诊治具有丰富的临床经验。现任广东省中西医结合亚健康专业委员会委员、珠海市针灸协会理事。承担及参与省市级研究课题，发表医学论文十余篇。,医院官网,https://www.sysu5.cn/medical-service/department-expert/doctor/10707,,,https://www.sysu5.cn/medical-service/department-expert/doctor/category?category_target_id=All&combine=,官网分类页+官网医生详情页,2026-08-08,200,是,,待人工复核
5,中山大学附属第五医院,李胜桥,中医科,中医科,研究员、教授、硕士生导师、医学博士、博士、硕士、副主任、院长,医学博士，硕士生导师。,高,慢性病、肿瘤、免疫/风湿/感染,糖尿病、慢性、肿瘤、瘤、免疫,目前主要开展对肿瘤疾病、糖尿病、慢性结肠炎等免疫相关性疾病的中西医结合诊疗和研究工作，对中医药治疗外科疾病也有深入的研究。,医学博士，硕士生导师。 医学博士，硕士生导师。 发表高水平论文十余篇，论文发表在“Blood”(IF:14)及其他核心免疫或移植学杂志如“American Journal of Transplantation”、“Journal of Immunology”等。 中山大学“百人计划”第二期引进人才。,医学博士，硕士生导师。,医学博士，硕士生导师。 从事中西医结合医疗及科研三十余年，对中、西医都有深入的研究。本科毕业于湖北中医药大学后长期从事临床工作，有丰富的临床经验，并取得中西医结合临床外科硕士学位。2001年后留学欧洲，在比利时鲁汶大学（KU Leuven）医学院学习和工作。先后获得医学科学硕士、博士学位，师从移植免疫学专家、鲁汶大学校长、附属医院院长Mark Waer教授。毕业后留校担任移植实验室及IVAP公司研究员，主要开展免疫排斥反应的机理，新型免疫抑制剂的筛选及开发等方面研究工作。发表高水平论文十余篇，论文发表在“Blood”(IF:14)及其他核心免疫或移植学杂志如“American Journal of Transplantation”、“Journal of Immunology”等。中山大学“百人计划”第二期引进人才。教育部本科高等教育指导委员会委员，珠海市医师协会中医分会和中西医结合分会副主任委员。目前主要开展对肿瘤疾病、糖尿病、慢性结肠炎等免疫相关性疾病的中西医结合诊疗和研究工作，对中医药治疗外科疾病也有深入的研究。,医院官网,https://www.sysu5.cn/medical-service/department-expert/doctor/10703,,,https://www.sysu5.cn/medical-service/department-expert/doctor/category?category_target_id=All&combine=,官网分类页+官网医生详情页,2026-08-08,200,是,,待人工复核
6,中山大学附属第五医院,杨璇,中医科,中医科,主治医师、医学硕士、硕士,主治医师，医学硕士。,高,生殖疾病、术后恢复/康复,月经、疼痛,本人临床经验丰富，尤其擅长中风后遗症、面神经麻痹、耳鸣耳聋、过敏性鼻炎、睡眠障碍、月经不调、带状疱疹以及偏头痛、颈肩腰腿痛等各种疼痛性疾病的针灸治疗，在针刺减肥、针灸美容等方面也取得了较好的临床疗效。,从事中医及针灸临床、教学、科研工作10余年，并参与多项省市级课题的研究，发表相关专业学术论文数篇。,主治医师，医学硕士。,主治医师，医学硕士。 本人2009年毕业于湖北中医药大学，取得针灸学专业硕士学位。从事中医及针灸临床、教学、科研工作10余年，并参与多项省市级课题的研究，发表相关专业学术论文数篇。本人临床经验丰富，尤其擅长中风后遗症、面神经麻痹、耳鸣耳聋、过敏性鼻炎、睡眠障碍、月经不调、带状疱疹以及偏头痛、颈肩腰腿痛等各种疼痛性疾病的针灸治疗，在针刺减肥、针灸美容等方面也取得了较好的临床疗效。,医院官网,https://www.sysu5.cn/medical-service/department-expert/doctor/10708,,,https://www.sysu5.cn/medical-service/department-expert/doctor/category?category_target_id=All&combine=,官网分类页+官网医生详情页,2026-08-08,200,是,,待人工复核
7,中山大学附属第五医院,胡向阳,中医科,中医科,主任医师、副主任医师、硕士生导师、医学博士、博士、硕士、副主任,副主任医师、医学博士、硕士生导师。,高,慢性病,冠心病、代谢,从事中医临床工作20余年，擅长肾结石、胆结石、痛风、冠心病等疾病的中药治疗，尤其中药治疗肾结石、冠心病具有丰富的临床经验，现任世界中医药联合会代谢性疾病委员会理事，中国老年学会抗衰老科学委员会理事，广东省中医药学会内科专业学会委员。,副主任医师、医学博士、硕士生导师。 副主任医师、医学博士、硕士生导师。 从事中医临床工作20余年，擅长肾结石、胆结石、痛风、冠心病等疾病的中药治疗，尤其中药治疗肾结石、冠心病具有丰富的临床经验，现任世界中医药联合会代谢性疾病委员会理事，中国老年学会抗衰老科学委员会理事，广东省中医药学会内科专业学会委员。 主持或参与国家、省、市级中医药科研课题10项，在中医杂志、中国中西医结合杂志、中国中药杂志、中药材、时珍国医国药、亚太传统医药、中华医学杂志英文版等发表40余篇著作。,副主任医师、医学博士、硕士生导师。,副主任医师、医学博士、硕士生导师。 从事中医临床工作20余年，擅长肾结石、胆结石、痛风、冠心病等疾病的中药治疗，尤其中药治疗肾结石、冠心病具有丰富的临床经验，现任世界中医药联合会代谢性疾病委员会理事，中国老年学会抗衰老科学委员会理事，广东省中医药学会内科专业学会委员。主持或参与国家、省、市级中医药科研课题10项，在中医杂志、中国中西医结合杂志、中国中药杂志、中药材、时珍国医国药、亚太传统医药、中华医学杂志英文版等发表40余篇著作。 周二下午， 周三全天，周四全天，周五下午、周日上午。,医院官网,https://www.sysu5.cn/medical-service/department-expert/doctor/10706,,,https://www.sysu5.cn/medical-service/department-expert/doctor/category?category_target_id=All&combine=,官网分类页+官网医生详情页,2026-08-08,200,是,,待人工复核
8,中山大学附属第五医院,曾奇,中医肿瘤科,中医肿瘤科,主任医师、教授、硕士生导师、医学博士、博士、硕士、科主任、首席专家,中医肿瘤科主任，主任医师，医学博士，硕士生导师。,高,肿瘤,肿瘤、癌、瘤、放疗、化疗、鼻咽癌,擅长：老年肿瘤，晚期肿瘤的放疗、化疗等中西医综合治疗。 擅长：老年肿瘤，晚期肿瘤的放疗、化疗等中西医综合治疗。 已从事恶性肿瘤诊疗工作20余年，擅长老年肿瘤及晚期肿瘤的中西医结合等综合治疗。 专业特长为恶性肿瘤的精准放射治疗；,"中医肿瘤科主任，主任医师，医学博士，硕士生导师。 中医肿瘤科主任，主任医师，医学博士，硕士生导师。 专业特长为恶性肿瘤的精准放射治疗； 硕士及博士在中山大学肿瘤防治中心分别师从该院鼻咽癌首席专家郭翔教授及知名肿瘤学家吴沛宏教授，并在该院完成肿瘤专科医师规范化培训，2015年经中山大学资助赴美国Van Andel Institute从事肿瘤转移微环境研究一年，在暨南大学中医学院参加""西学中""班并师从中国中医科学院基础研究所、全国名中医周超凡教授。",中医肿瘤科主任，主任医师，医学博士，硕士生导师。 擅长：老年肿瘤，晚期肿瘤的放疗、化疗等中西医综合治疗。,"中医肿瘤科主任，主任医师，医学博士，硕士生导师。 擅长：老年肿瘤，晚期肿瘤的放疗、化疗等中西医综合治疗。 已从事恶性肿瘤诊疗工作20余年，擅长老年肿瘤及晚期肿瘤的中西医结合等综合治疗。专业特长为恶性肿瘤的精准放射治疗；在老年、晚期肿瘤、恶性黑色素瘤及软组织肉瘤的个体化治疗方面积累了丰富临床经验。硕士及博士在中山大学肿瘤防治中心分别师从该院鼻咽癌首席专家郭翔教授及知名肿瘤学家吴沛宏教授，并在该院完成肿瘤专科医师规范化培训，2015年经中山大学资助赴美国Van Andel Institute从事肿瘤转移微环境研究一年，在暨南大学中医学院参加""西学中""班并师从中国中医科学院基础研究所、全国名中医周超凡教授。近年来，以第一/共一，通讯/共同通讯作者在恶性肿瘤领域发表高水平论文10余篇，包含Nature Communications, European Journal of Cancer, Cancer Immunol Res等）。现任中国抗癌协会中西整合鼻咽癌专委会常委，广东省医疗行业协会肿瘤学分会副主委，广东省医师协会放疗医师分会委员，珠海市中医药学会副理事长，珠海市抗癌协会肿瘤传统医学专委会主任委员。 特需名专家：周四下午。",医院官网,https://www.sysu5.cn/medical-service/department-expert/doctor/10309,,,https://www.sysu5.cn/medical-service/department-expert/doctor/category?category_target_id=All&combine=,官网分类页+官网医生详情页,2026-08-08,200,是,,待人工复核
9,中山大学附属第五医院,韩宗萍,临床营养科,临床营养科,主任医师、副主任医师、医学硕士、博士、硕士、副主任,临床营养科副主任，副主任医师，医学硕士。,高,慢性病、术后恢复/康复、疑难重症,慢性、营养、重症、MDT,中大五院临床营养科副主任，毕业于中山大学临床医学（七年制）专业，目前为中山大学临床医学在读博士，注册营养师，从事临床工作11年，擅长成人、儿童、孕期、产后医学体重管理、重症营养治疗、慢性疾病营养指导。 中国营养学会营养指导员，中国营养学会临床营养分会青年创新项目组委员，广东省医院协会医院营养管理专业委员会常务委员，广东省医学会肠外肠内营养学分会委员，广东省营养学会临床营养专业委员会第七届委员会青年委员，广东省营养学会营养教育与健康促进专业委员会委员，广东省健康管理学会医学营养与健康促进专业委员会炎症性肠病营养治疗学组委员，广东省营养学会青年工作委员会委员，珠海市中西医结合肥胖与体重管理专业委员会常务委员，珠海市中西医结合学会骨质疏松专业委员会委员，珠海市健康教育讲师团优秀个人，中山大学附属第五医院脂肪肝中心MDT专家。,临床营养科副主任，副主任医师，医学硕士。 临床营养科副主任，副主任医师，医学硕士。 中国营养学会营养指导员，中国营养学会临床营养分会青年创新项目组委员，广东省医院协会医院营养管理专业委员会常务委员，广东省医学会肠外肠内营养学分会委员，广东省营养学会临床营养专业委员会第七届委员会青年委员，广东省营养学会营养教育与健康促进专业委员会委员，广东省健康管理学会医学营养与健康促进专业委员会炎症性肠病营养治疗学组委员，广东省营养学会青年工作委员会委员，珠海市中西医结合肥胖与体重管理专业委员会常务委员，珠海市中西医结合学会骨质疏松专业委员会委员，珠海市健康教育讲师团优秀个人，中山大学附属第五医院脂肪肝中心MDT专家。 参与国家自然基金、省级科技厅课题等，主持广东省教育厅教改项目两项（其中重点项目一项），发表高水平论文数篇。,临床营养科副主任，副主任医师，医学硕士。,临床营养科副主任，副主任医师，医学硕士。 中大五院临床营养科副主任，毕业于中山大学临床医学（七年制）专业，目前为中山大学临床医学在读博士，注册营养师，从事临床工作11年，擅长成人、儿童、孕期、产后医学体重管理、重症营养治疗、慢性疾病营养指导。中国营养学会营养指导员，中国营养学会临床营养分会青年创新项目组委员，广东省医院协会医院营养管理专业委员会常务委员，广东省医学会肠外肠内营养学分会委员，广东省营养学会临床营养专业委员会第七届委员会青年委员，广东省营养学会营养教育与健康促进专业委员会委员，广东省健康管理学会医学营养与健康促进专业委员会炎症性肠病营养治疗学组委员，广东省营养学会青年工作委员会委员，珠海市中西医结合肥胖与体重管理专业委员会常务委员，珠海市中西医结合学会骨质疏松专业委员会委员，珠海市健康教育讲师团优秀个人，中山大学附属第五医院脂肪肝中心MDT专家。参与国家自然基金、省级科技厅课题等，主持广东省教育厅教改项目两项（其中重点项目一项），发表高水平论文数篇。 特需名专家门诊：周四上午。,医院官网,https://www.sysu5.cn/medical-service/department-expert/doctor/10837,,,https://www.sysu5.cn/medical-service/department-expert/doctor/category?category_target_id=All&combine=,官网分类页+官网医生详情页,2026-08-08,200,是,,待人工复核
10,中山大学附属第五医院,彭培建,乳腺肿瘤内科,乳腺肿瘤内科,主任医师、硕士生导师、博士、硕士、科主任、副主任,乳腺病科主任，主任医师，肿瘤学博士，硕士生导师。,高,肿瘤、免疫/风湿/感染、术后恢复/康复、疑难重症,肿瘤、癌、瘤、化疗、靶向、肺癌、乳腺癌、免疫、术后、多学科,擅长：乳腺良恶性肿瘤的诊治，擅长乳腺癌放化疗、靶向及内分泌治疗。 擅长：乳腺良恶性肿瘤的诊治，擅长乳腺癌放化疗、靶向及内分泌治疗。 乳腺癌的放化疗、内分泌治疗及靶向治疗。 对乳腺癌的新辅助治疗、术后辅助治疗以及晚期乳腺癌的治疗具有丰富的临床治疗经验。,乳腺病科主任，主任医师，肿瘤学博士，硕士生导师。 乳腺病科主任，主任医师，肿瘤学博士，硕士生导师。 同时也擅长肺癌的放化疗、靶向及免疫等多学科综合治疗，特别是在肺癌“免化疗”治疗方面具有丰富的临床经验。 现任中国临床肿瘤学会（CSCO）理事会理事、CSCO神经系统肿瘤专家委员会常委、广东省医师协会肿瘤内科分会常委、广东省抗癌协会肿瘤化疗专业委员会委员、广东省胸部疾病学会免疫治疗专业委员会常务委员、广东省临床医学会精准医疗专业委员会委员、珠海市抗癌协会肿瘤转移专业委员会主任委员、珠海市医师协会肿瘤学分会副主任委员及珠海市医师协会乳腺外科分会副主任委员。,乳腺病科主任，主任医师，肿瘤学博士，硕士生导师。 擅长：乳腺良恶性肿瘤的诊治，擅长乳腺癌放化疗、靶向及内分泌治疗。,乳腺病科主任，主任医师，肿瘤学博士，硕士生导师。 擅长：乳腺良恶性肿瘤的诊治，擅长乳腺癌放化疗、靶向及内分泌治疗。 乳腺癌的放化疗、内分泌治疗及靶向治疗。对乳腺癌的新辅助治疗、术后辅助治疗以及晚期乳腺癌的治疗具有丰富的临床治疗经验。尤其擅长HER2阳性及三阴性乳腺癌的治疗及研究。同时也擅长肺癌的放化疗、靶向及免疫等多学科综合治疗，特别是在肺癌“免化疗”治疗方面具有丰富的临床经验。国家药物临床研究基地乳腺癌药物专业负责人。毕业于中山大学附属肿瘤医院，分别获肿瘤学硕士及博士学位。现任中国临床肿瘤学会（CSCO）理事会理事、CSCO神经系统肿瘤专家委员会常委、广东省医师协会肿瘤内科分会常委、广东省抗癌协会肿瘤化疗专业委员会委员、广东省胸部疾病学会免疫治疗专业委员会常务委员、广东省临床医学会精准医疗专业委员会委员、珠海市抗癌协会肿瘤转移专业委员会主任委员、珠海市医师协会肿瘤学分会副主任委员及珠海市医师协会乳腺外科分会副主任委员。现作为医院负责人主持多项国家及国际性乳腺癌抗肿瘤新药的临床研究，参与及承担多项国家级及省市课题。于国外重要期刊发表高水平论文15篇，为J Cancer Res Clin Oncol、Drug Design、Development and Therapy和Oral Oncology等杂志审稿人。2019年获中国抗癌协会科技奖一等奖及广东省医学科学技术奖一等奖。 特需名专家：周四上午。,医院官网,https://www.sysu5.cn/medical-service/department-expert/doctor/10470,,,https://www.sysu5.cn/medical-service/department-expert/doctor/category?category_target_id=All&combine=,官网分类页+官网医生详情页,2026-08-08,200,是,,待人工复核
