序号,推进批次,城市,区县,医院名称,医院别名,医院等级,医院类型,官网首页_候选,官网标题_自动识别,医生目录入口_候选,入口类型_自动判断,是否可按科室_初判,是否可全院采集_初判,采集难度_初判,官方确认状态,自动置信度,检索关键词,搜索依据链接,排除或注意事项,下一步动作,人工复核结果,人工备注,更新时间
1,1,广州市,越秀区,中国人民解放军南部战区总医院,陆总医院,三级甲等,综合医院,,,,,,,D-待人工补官网,未找到-待人工补充,未找到,中国人民解放军南部战区总医院 官方网站 官网 / 中国人民解放军南部战区总医院 官网 医生 专家 科室,,,人工补充官网首页,,,2026-08-09
2,1,广州市,海珠区,中国人民解放军第421医院,四二一医院,三级甲等,综合医院,,,,,,,D-待人工补官网,未找到-待人工补充,未找到,中国人民解放军第421医院 官方网站 官网 / 中国人民解放军第421医院 官网 医生 专家 科室,https://html.duckduckgo.com/html/?q=%E4%B8%AD%E5%9B%BD%E4%BA%BA%E6%B0%91%E8%A7%A3%E6%94%BE%E5%86%9B%E7%AC%AC421%E5%8C%BB%E9%99%A2%20%E5%AE%98%E7%BD%91%20%E5%8C%BB%E7%94%9F%20%E4%B8%93%E5%AE%B6%20%E7%A7%91%E5%AE%A4,,人工补充官网首页,,,2026-08-09
3,1,广州市,天河区,中国人民解放军第一五七医院,"157陆军医院,157医院",三级甲等,综合医院,,,,,,,D-待人工补官网,未找到-待人工补充,未找到,中国人民解放军第一五七医院 官方网站 官网 / 中国人民解放军第一五七医院 官网 医生 专家 科室,https://html.duckduckgo.com/html/?q=%E4%B8%AD%E5%9B%BD%E4%BA%BA%E6%B0%91%E8%A7%A3%E6%94%BE%E5%86%9B%E7%AC%AC%E4%B8%80%E4%BA%94%E4%B8%83%E5%8C%BB%E9%99%A2%20%E5%AE%98%E7%BD%91%20%E5%8C%BB%E7%94%9F%20%E4%B8%93%E5%AE%B6%20%E7%A7%91%E5%AE%A4,,人工补充官网首页,,,2026-08-09
4,1,广州市,越秀区,中山大学中山眼科中心,中山大学眼科中心,三级甲等,专科医院,http://www.gzzoc.org.cn/,首页 | 中山大学中山眼科中心,http://www.gzzoc.org.cn/expert-introduction?name=&department=All,专家介绍,可能,待确认,A-优先自动采集,自动候选-待人工复核,高,中山大学中山眼科中心 官方网站 官网,https://html.duckduckgo.com/html/?q=%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%E4%B8%AD%E5%B1%B1%E7%9C%BC%E7%A7%91%E4%B8%AD%E5%BF%83%20%E5%AE%98%E6%96%B9%E7%BD%91%E7%AB%99%20%E5%AE%98%E7%BD%91,入口锚文本：专家介绍,人工打开医生入口，确认是否覆盖全院,,,2026-08-09
5,1,广州市,海珠区,中山大学孙逸仙纪念医院,"中山大学附属第二医院,中山二院",三级甲等,综合医院,,,,,,,D-待人工补官网,未找到-待人工补充,未找到,中山大学孙逸仙纪念医院 官方网站 官网 / 中山大学孙逸仙纪念医院 官网 医生 专家 科室,,,人工补充官网首页,,,2026-08-09
6,1,广州市,越秀区,中山大学肿瘤防治中心,中山大学附属肿瘤医院,三级甲等,专科医院,https://www.sysucc.org.cn/home,中山大学肿瘤防治中心,https://www.sysucc.org.cn/linchuangzhuanjia,专家介绍,可能,待确认,A-优先自动采集,自动候选-待人工复核,高,中山大学肿瘤防治中心 官方网站 官网,https://html.duckduckgo.com/html/?q=%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%E8%82%BF%E7%98%A4%E9%98%B2%E6%B2%BB%E4%B8%AD%E5%BF%83%20%E5%AE%98%E6%96%B9%E7%BD%91%E7%AB%99%20%E5%AE%98%E7%BD%91,入口锚文本：专家介绍,人工打开医生入口，确认是否覆盖全院,,,2026-08-09
7,1,广州市,越秀区,中山大学附属第一医院,中山大学附属第一医院,三级甲等,综合医院,,,,,,,D-待人工补官网,未找到-待人工补充,未找到,中山大学附属第一医院 官方网站 官网 / 中山大学附属第一医院 官网 医生 专家 科室,,,人工补充官网首页,,,2026-08-09
8,1,广州市,黄埔区,中山大学附属第一医院黄埔院区,中山大学附属第一医院东院,三级甲等,综合医院,,,,,,,D-待人工补官网,未找到-待人工补充,未找到,中山大学附属第一医院黄埔院区 官方网站 官网 / 中山大学附属第一医院黄埔院区 官网 医生 专家 科室,https://html.duckduckgo.com/html/?q=%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%E9%99%84%E5%B1%9E%E7%AC%AC%E4%B8%80%E5%8C%BB%E9%99%A2%E9%BB%84%E5%9F%94%E9%99%A2%E5%8C%BA%20%E5%AE%98%E7%BD%91%20%E5%8C%BB%E7%94%9F%20%E4%B8%93%E5%AE%B6%20%E7%A7%91%E5%AE%A4,院区/分院条目需确认是否独立采集,人工补充官网首页,,,2026-08-09
9,1,广州市,天河区,中山大学附属第三医院,中山三院,三级甲等,综合医院,https://www.zssy.com.cn/,首页 | 中山大学附属第三医院,https://www.zssy.com.cn/page/5968,专家介绍,可能,待确认,A-优先自动采集,自动候选-待人工复核,高,中山大学附属第三医院 官方网站 官网 / 中山大学附属第三医院 官网 医生 专家 科室,https://html.duckduckgo.com/html/?q=%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%E9%99%84%E5%B1%9E%E7%AC%AC%E4%B8%89%E5%8C%BB%E9%99%A2%20%E5%AE%98%E7%BD%91%20%E5%8C%BB%E7%94%9F%20%E4%B8%93%E5%AE%B6%20%E7%A7%91%E5%AE%A4,,人工打开医生入口，确认是否覆盖全院,,,2026-08-09
10,1,广州市,越秀区,南方医科大学口腔医院(海珠广场院区),南方医科大学口腔医院(海珠广场院区),三级甲等,综合医院,https://www.smukqyy.cn/home,南方医科大学口腔医院,https://www.smukqyy.cn/doctor/313,医生目录,可能,待确认,A-优先自动采集,自动候选-待人工复核,高,南方医科大学口腔医院 官方网站 官网,https://html.duckduckgo.com/html/?q=%E5%8D%97%E6%96%B9%E5%8C%BB%E7%A7%91%E5%A4%A7%E5%AD%A6%E5%8F%A3%E8%85%94%E5%8C%BB%E9%99%A2%20%E5%AE%98%E6%96%B9%E7%BD%91%E7%AB%99%20%E5%AE%98%E7%BD%91,入口锚文本：门诊时间；院区/分院条目需确认是否独立采集,人工打开医生入口，确认是否覆盖全院,,,2026-08-09
